index,Open,High,Low,Close,Volume,Adj Close
2020-12-21,0.2,3.0885,0.2,1.0612,260814591.13,
2020-12-28,1.06,1.4033,0.7541,1.108,247096466.01,
2021-01-04,1.108,1.615,0.9666,1.2058,153906104.1,
2021-01-11,1.2032,2.19,0.9623,2.0362,156230442.66,
2021-01-18,2.0283,2.49,1.4113,2.4743,128687207.2,
2021-01-25,2.4707,5.55,2.18,4.9309,224793683.25,
2021-02-01,4.9307,6.33,4.2715,4.9512,148686675.07,
2021-02-08,4.9513,6.29,4.4,5.25,137108505.66,
2021-02-15,5.25,5.8976,4.205,5.0575,130621595.32,
2021-02-22,5.0575,5.1676,3.0,3.8407,178562397.05,
2021-03-01,3.8408,4.3556,3.52,3.9827,78991904.33,
2021-03-08,3.988,4.555,3.6302,3.8322,91004367.55,
2021-03-15,3.8358,5.2445,3.72,4.6725,97097387.71,
2021-03-22,4.6701,4.8481,3.567,4.0882,55371545.27,
2021-03-29,4.0876,4.7999,4.0245,4.57,54280976.99,
2021-04-05,4.57,6.67,4.4219,5.6706,157281417.98,
2021-04-12,5.6733,6.65,4.5,5.2943,83552757.57,
2021-04-19,5.2928,5.4598,3.7536,3.9961,67737668.31,
2021-04-26,3.9969,5.91,3.9411,5.3614,72048315.92,
2021-05-03,5.3612,7.8748,5.1855,7.0801,127090472.13,
2021-05-10,7.0806,7.1879,4.65,5.1263,88224247.82,
2021-05-17,5.1261,5.4228,1.7777,2.3355,132727757.68,
2021-05-24,2.3344,3.5,2.29,2.8861,79247197.9,
2021-05-31,2.8835,4.1176,2.7458,3.9098,82992547.55,
2021-06-07,3.9098,3.9153,2.5172,3.0067,66314154.24,
2021-06-14,3.0021,3.9499,2.8065,3.398,80094297.85,
2021-06-21,3.3972,3.49,2.07,2.5061,77833256.66,
2021-06-28,2.5058,2.7039,2.2625,2.531,46721928.41,
2021-07-05,2.5336,2.969,2.3461,2.5177,41017351.61,
2021-07-12,2.5196,2.59,1.95,2.0297,34055161.35,
2021-07-19,2.0297,2.15,1.618,2.0447,62428080.81,
2021-07-26,2.0442,2.4854,2.0188,2.317,66792526.57,
2021-08-02,2.3171,2.7197,2.1819,2.4907,61192212.7,
2021-08-09,2.4913,3.1083,2.4,3.0447,75787154.47,
2021-08-16,3.0454,3.6215,2.94,3.3849,98842820.57,
2021-08-23,3.3861,3.5042,2.836,3.153,59803587.0,
2021-08-30,3.153,4.012,2.948,3.834,81296545.64,
2021-09-06,3.834,3.96,2.546,2.989,76511130.48,
2021-09-13,2.987,3.515,2.693,2.945,68607120.1,
2021-09-20,2.947,2.955,2.214,2.679,77077391.36,
2021-09-27,2.679,3.249,2.362,3.079,84350262.2,
2021-10-04,3.078,3.367,2.888,2.952,63218195.8,
2021-10-11,2.951,3.575,2.701,3.483,85703081.0,
2021-10-18,3.483,4.5478,3.298,3.803,98698967.82,
2021-10-25,3.804,7.73,3.763,4.576,247927227.29,
2021-11-01,4.573,4.761,4.133,4.571,61023490.0,
2021-11-08,4.572,4.732,3.782,4.279,55958453.9,
2021-11-15,4.278,4.36,3.466,3.987,55994061.5,
2021-11-22,3.988,4.308,3.364,3.646,79829533.5,
2021-11-29,3.648,4.259,1.994,2.637,141917121.96,
2021-12-06,2.638,2.97,2.359,2.547,74721880.9,
2021-12-13,2.548,2.731,2.229,2.423,67983752.0,
2021-12-20,2.423,2.98,2.3,2.755,82779536.3,
2021-12-27,2.758,2.982,2.336,2.554,74354977.4,
2022-01-03,2.553,2.66,2.034,2.151,82584862.7,
2022-01-10,2.15,2.524,1.965,2.435,86731734.4,
2022-01-17,2.435,2.449,1.5,1.691,70985209.98,
2022-01-24,1.689,1.829,1.422,1.662,57593650.05,
2022-01-31,1.66,1.868,1.575,1.859,39614122.1,
2022-02-07,1.86,1.983,1.612,1.657,42899857.1,
2022-02-14,1.657,1.872,1.456,1.486,35973325.6,
2022-02-21,1.485,1.553,1.181,1.384,45837224.39,
2022-02-28,1.384,1.553,1.291,1.303,36010565.7,
2022-03-07,1.302,1.472,1.23,1.309,35036268.4,
2022-03-14,1.308,1.745,1.286,1.557,64182520.1,
2022-03-21,1.557,1.767,1.512,1.747,53252538.0,
2022-03-28,1.747,2.1,1.667,1.979,88124979.7,
2022-04-04,1.979,2.004,1.564,1.586,42412482.0,
2022-04-11,1.586,1.603,1.421,1.461,23084272.4,
2022-04-18,1.461,1.639,1.379,1.419,27035601.4,
2022-04-25,1.418,1.426,1.071,1.16,35439160.53,
2022-05-02,1.159,1.399,1.122,1.301,99405237.8,
2022-05-09,1.301,1.369,0.705,0.979,157698914.25,
2022-05-16,0.979,1.017,0.89,0.997,41651980.3,
2022-05-23,0.996,1.055,0.882,0.921,35661545.3,
2022-05-30,0.92,1.014,0.849,0.859,48932448.3,
2022-06-06,0.859,0.898,0.648,0.651,43042581.7,
2022-06-13,0.652,0.661,0.514,0.58,57949240.54,
2022-06-20,0.581,0.786,0.558,0.692,79915089.6,
2022-06-27,0.692,0.809,0.641,0.781,41314994.8,
