index,Open,High,Low,Close,Volume,Adj Close
2020-09-28,0.5238360166549683,65.30593872070312,0.0,52.67503356933594,0.0,52.67503356933594
2020-10-05,52.67503356933594,55.11235809326172,35.9706916809082,49.66072463989258,5507058.0,49.66072463989258
2020-10-12,51.43,59.0,38.206,40.75,262374.378,
2020-10-19,40.82,42.658,32.0,37.895,956830.678,
2020-10-26,37.893,39.192,27.73,30.757,971051.075,
2020-11-02,30.703,54.9,25.939,53.931,1795551.364,
2020-11-09,53.95,71.414,49.45,64.256,3854990.235,
2020-11-16,64.251,82.48,60.903,68.811,2894379.137,
2020-11-23,68.762,75.5,50.0,68.886,2270623.774,
2020-11-30,68.954,94.875,68.936,87.838,2656394.275,
2020-12-07,87.905,95.0,70.564,83.929,2244647.703,
2020-12-14,83.933,96.329,79.584,85.629,2288517.141,
2020-12-21,85.574,87.791,63.021,76.751,1469336.0,
2020-12-28,76.762,95.0,75.0,93.778,1458231.589,
2021-01-04,93.789,135.99,86.01,127.007,2892045.197,
2021-01-11,126.9,203.498,94.02,186.323,2999485.031,
2021-01-18,186.253,288.9,147.27,264.401,2581035.984,
2021-01-25,264.526,323.703,238.0,299.601,2684436.1,
2021-02-01,299.975,542.543,283.607,472.907,2996812.698,
2021-02-08,473.125,581.667,460.28,468.525,1731249.3,
2021-02-15,468.43,498.0,380.0,436.965,2222558.571,
2021-02-22,436.986,448.611,284.627,354.155,2150988.104,
2021-03-01,353.791,419.96,339.99,414.89,1493727.896,
2021-03-08,415.033,459.0,359.674,380.669,1503556.769,
2021-03-15,380.009,396.2,350.194,367.339,739631.251,
2021-03-22,367.597,373.72,296.225,347.721,759940.891,
2021-03-29,348.036,425.5,344.39,403.4,1053980.634,
2021-04-05,403.499,415.129,340.207,372.026,875679.875,
2021-04-12,372.231,489.0,280.727,381.498,2288464.461,
2021-04-19,381.3,415.134,308.12,348.53,1850768.3326,
2021-04-26,348.98,512.0,345.43,482.41,2112956.4625,
2021-05-03,482.41,535.0,432.15,459.51,1456457.1352,
2021-05-10,459.44,634.32,400.0,527.88,3419071.2822,
2021-05-17,527.84,668.0,208.09,293.31,4824173.8004,
2021-05-24,293.08,418.0,280.3,324.38,2563760.3324,
2021-05-31,324.38,409.38,304.36,365.48,1513813.3375,
2021-06-07,365.73,387.76,265.68,316.27,1150945.7114,
2021-06-14,316.3,336.49,242.07,272.67,826791.0588,
2021-06-21,272.85,275.75,170.1,202.87,2024172.1751,
2021-06-28,202.93,289.9,200.62,277.0,1797134.6161,
2021-07-05,277.0,347.53,260.42,305.09,2887546.1336,
2021-07-12,305.1,321.95,245.01,253.68,1394197.296,
2021-07-19,253.88,299.05,212.54,288.07,1350095.0892,
2021-07-26,287.89,339.59,283.29,316.38,1599142.1362,
2021-08-02,316.38,400.02,300.26,360.72,1271367.3431,
2021-08-09,360.82,428.28,347.36,410.27,1026390.0402,
2021-08-16,410.14,448.44,361.27,400.98,1261388.9573,
2021-08-23,400.98,415.49,340.9,364.1,725031.4918,
2021-08-30,363.9,425.7,345.9,416.8,1062344.2954,
2021-09-06,416.9,425.0,304.3,333.3,1229639.6851,
2021-09-13,333.3,418.0,303.1,340.0,1297983.49,
2021-09-20,340.0,341.0,252.0,293.3,1117801.8377,
2021-09-27,293.4,323.7,259.1,310.6,731651.811,
2021-10-04,310.5,324.9,284.4,287.9,670940.07,
2021-10-11,287.8,321.2,270.8,304.4,687460.423,
2021-10-18,304.5,338.0,289.7,307.8,568370.987,
2021-10-25,307.7,459.0,300.3,314.2,2411421.9711,
2021-11-01,314.3,347.0,301.9,319.9,871631.209,
2021-11-08,319.9,349.9,295.2,315.1,1027031.816,
2021-11-15,315.3,317.3,255.2,266.4,908497.723,
2021-11-22,266.7,277.6,218.3,238.6,865806.131,
2021-11-29,238.6,268.8,159.2,191.6,1041687.4454,
2021-12-06,191.6,203.9,162.7,179.9,1036293.279,
2021-12-13,179.7,202.0,157.6,183.3,1024302.321,
2021-12-20,183.3,280.8,167.2,267.8,1701038.978,
2021-12-27,268.1,296.8,230.8,265.3,1584836.282,
2022-01-03,265.3,286.4,199.7,209.5,1423819.858,
2022-01-10,209.5,245.5,186.7,242.5,1006034.868,
2022-01-17,242.4,244.3,135.0,158.4,1370548.6359,
2022-01-24,158.5,164.0,131.1,148.9,968656.5826,
2022-01-31,149.0,174.5,141.6,173.5,682778.724,
2022-02-07,173.6,192.7,155.8,158.1,654529.376,
2022-02-14,158.1,174.5,135.1,137.6,537488.718,
2022-02-21,137.5,144.8,112.4,131.6,1168176.2117,
2022-02-28,131.6,150.9,116.3,116.7,1332954.841,
2022-03-07,116.7,130.5,113.3,115.7,824537.676,
2022-03-14,115.6,165.6,113.4,152.6,1579436.397,
2022-03-21,152.7,174.4,146.8,169.2,1153707.111,
2022-03-28,169.2,261.2,164.8,243.0,3482271.694,
2022-04-04,243.0,243.0,175.0,176.3,1478757.907,
2022-04-11,176.3,180.3,155.6,166.7,910078.316,
2022-04-18,166.7,198.8,157.4,166.4,1195237.761,
2022-04-25,166.4,179.0,137.8,146.5,1739569.199,
2022-05-02,146.5,162.2,125.1,125.9,1248534.255,
2022-05-09,125.9,128.9,64.8,92.1,3420076.7441,
2022-05-16,92.1,93.8,80.8,91.3,342963.157,
