index,Open,High,Low,Close,Volume,Adj Close
2017-11-06,0.0251599997282028,0.0350599996745586,0.0225910004228353,0.0239770002663135,38295450.0,0.0239770002663135
2017-11-13,0.0243640001863241,0.0284780003130435,0.0234949998557567,0.0280840005725622,30434130.0,0.0280840005725622
2017-11-20,0.0281520001590251,0.0398549996316432,0.0269629992544651,0.0363320000469684,74265880.0,0.0363320000469684
2017-11-27,0.0366190001368522,0.1469060033559799,0.0366190001368522,0.1318069994449615,829914388.0,0.1318069994449615
2017-12-04,0.1315460056066513,0.1459459960460662,0.0991360023617744,0.1102809980511665,453264804.0,0.1102809980511665
2017-12-11,0.1089269965887069,0.5924170017242432,0.1086380034685134,0.5130109786987305,1886958724.0,0.5130109786987305
2017-12-18,0.5119389891624451,0.58958899974823,0.2936410009860992,0.3900290131568908,1186154312.0,0.3900290131568908
2017-12-25,0.3923299908638,0.7773849964141846,0.3628070056438446,0.719694972038269,1598927288.0,0.719694972038269
2018-01-01,0.7188469767570496,1.3272099494934082,0.6719409823417664,1.008520007133484,2722508048.0,1.008520007133484
2018-01-08,0.9993289709091188,0.9993289709091188,0.5724999904632568,0.802262008190155,1779148000.0,0.802262008190155
2018-01-15,0.795760989189148,0.8845059871673584,0.4406200051307678,0.6131629943847656,7776007040.0,0.6131629943847656
2018-01-22,0.6149830222129822,0.6830229759216309,0.5200129747390747,0.6702859997749329,3710111040.0,0.6702859997749329
2018-01-29,0.6693729758262634,0.6693729758262634,0.2747339904308319,0.3793030083179474,5357531952.0,0.3793030083179474
2018-02-05,0.3850440084934234,0.4627659916877746,0.266523003578186,0.3697690069675445,4708104000.0,0.3697690069675445
2018-02-12,0.3725950121879577,0.4280740022659302,0.3599199950695038,0.3856180012226105,1901234032.0,0.3856180012226105
2018-02-19,0.386929988861084,0.4043290019035339,0.3144110143184662,0.3440330028533935,1505776976.0,0.3440330028533935
2018-02-26,0.3452720046043396,0.3469550013542175,0.2861930131912231,0.3007870018482208,925014000.0,0.3007870018482208
2018-03-05,0.2998969852924347,0.3177230060100555,0.1918040066957473,0.2234980016946792,1208930984.0,0.2234980016946792
2018-03-12,0.2241040021181106,0.2373420000076294,0.1270460039377212,0.1561550050973892,999748584.0,0.1561550050973892
2018-03-19,0.16074900329113,0.2275020033121109,0.1569350063800811,0.1846050024032592,1371732408.0,0.1846050024032592
2018-03-26,0.1839600056409835,0.1854210048913955,0.1363169997930526,0.1507679969072342,722563800.0,0.1507679969072342
2018-04-02,0.1516910046339035,0.1791719943284988,0.1418299973011016,0.1565990000963211,678018000.0,0.1565990000963211
2018-04-09,0.1570940017700195,0.2234439998865127,0.1474779993295669,0.2213899940252304,1242226500.0,0.2213899940252304
2018-04-16,0.25551,0.307,0.23983,0.2816,362148317.11,
2018-04-23,0.2816,0.3866,0.255,0.36254,719224876.24,
2018-04-30,0.36251,0.3885,0.3187,0.34654,534254260.89,
2018-05-07,0.34599,0.3474,0.23402,0.27718,575992908.65,
2018-05-14,0.27718,0.27815,0.23037,0.25556,351300182.6,
2018-05-21,0.25556,0.25999,0.18865,0.19186,495423322.31,
2018-05-28,0.19198,0.23677,0.17055,0.22659,939992355.62,
2018-06-04,0.2266,0.2303,0.16806,0.17346,735552057.5,
2018-06-11,0.17346,0.1813,0.145,0.16044,783679652.73,
2018-06-18,0.16047,0.17149,0.1191,0.13093,744086496.59,
2018-06-25,0.13085,0.1459,0.11359,0.14211,816993325.7,
2018-07-02,0.14196,0.16209,0.13698,0.14481,880032853.3,
2018-07-09,0.14482,0.14594,0.122,0.14227,750137027.8,
2018-07-16,0.14231,0.19701,0.14037,0.16916,1679298348.39,
2018-07-23,0.16937,0.18057,0.1551,0.16268,1105992813.6,
2018-07-30,0.16274,0.163,0.1229,0.13024,851519392.9,
2018-08-06,0.1305,0.13618,0.10713,0.11153,944960119.05,
2018-08-13,0.11152,0.11415,0.084,0.10143,1177401582.64,
2018-08-20,0.10131,0.10299,0.08682,0.09306,936005246.6,
2018-08-27,0.09306,0.11032,0.09206,0.10499,1308868332.4,
2018-09-03,0.10471,0.10709,0.07353,0.07601,1098760009.7,
2018-09-10,0.07592,0.07867,0.06089,0.06988,1486880051.8,
2018-09-17,0.06988,0.0939,0.06193,0.08986,2340380742.6,
2018-09-24,0.08985,0.09197,0.07425,0.08511,1967340582.3,
2018-10-01,0.08511,0.087,0.0782,0.08464,895800319.9,
2018-10-08,0.08465,0.0889,0.0692,0.0717,1113247643.8,
2018-10-15,0.07164,0.08497,0.07,0.07721,951188057.2,
2018-10-22,0.07722,0.07785,0.07255,0.07364,275082796.4,
2018-10-29,0.07358,0.07857,0.06773,0.0773,349111415.3,
2018-11-05,0.0773,0.0826,0.07401,0.077,506316083.4,
2018-11-12,0.07698,0.078,0.05811,0.06234,651057578.2,
2018-11-19,0.06235,0.06246,0.03315,0.03832,1477623615.3,
2018-11-26,0.03832,0.04487,0.03401,0.04187,1449985291.8,
2018-12-03,0.04184,0.04214,0.02708,0.0311,1348151255.26,
2018-12-10,0.03106,0.03199,0.02761,0.029,621674003.1,
2018-12-17,0.029,0.04479,0.0289,0.04369,1944872170.8,
2018-12-24,0.04369,0.04899,0.03539,0.04263,1561710724.2,
2018-12-31,0.04262,0.0488,0.03964,0.04822,1124272940.6,
2019-01-07,0.04822,0.05412,0.0388,0.03944,1703224715.6,
2019-01-14,0.03944,0.04597,0.03939,0.04287,1096844030.1,
2019-01-21,0.0429,0.04401,0.04014,0.04087,542351906.6,
2019-01-28,0.04088,0.04121,0.0366,0.03824,717502517.2,
2019-02-04,0.03824,0.04309,0.03588,0.0429,665297721.8,
2019-02-11,0.04292,0.04299,0.0399,0.04157,438455221.3,
2019-02-18,0.0416,0.05053,0.04097,0.04156,1404387718.7,
2019-02-25,0.04162,0.04433,0.04145,0.04206,585170595.2,
2019-03-04,0.04211,0.0472,0.03908,0.04557,866855839.1,
2019-03-11,0.04559,0.05195,0.04465,0.04983,1179976390.6,
2019-03-18,0.04985,0.06464,0.04899,0.06151,2102835553.4,
2019-03-25,0.06149,0.07338,0.0562,0.06989,1827768161.9,
2019-04-01,0.06984,0.09976,0.06888,0.0898,2482358670.8,
2019-04-08,0.08983,0.09175,0.07575,0.08416,1395349834.2,
2019-04-15,0.08415,0.08531,0.07066,0.0733,829907323.8,
2019-04-22,0.07331,0.07979,0.06672,0.06878,1097756945.9,
2019-04-29,0.06874,0.07225,0.06401,0.06603,624459399.4,
2019-05-06,0.06603,0.07854,0.0591,0.07022,1135403092.6,
2019-05-13,0.07021,0.1008,0.06947,0.08613,2036803931.9,
2019-05-20,0.08607,0.0869,0.07381,0.08514,968592845.5,
2019-05-27,0.08516,0.09755,0.08002,0.0963,1550366188.3,
2019-06-03,0.09636,0.09833,0.07695,0.07887,1065818670.5,
2019-06-10,0.07892,0.0966,0.07773,0.09189,1302194687.3,
2019-06-17,0.09189,0.10379,0.08507,0.097,1192881832.7,
2019-06-24,0.09689,0.10687,0.0813,0.08226,1590075512.7,
2019-07-01,0.08227,0.08599,0.07568,0.0797,734630917.8,
2019-07-08,0.07976,0.08193,0.05877,0.05923,734939667.1,
2019-07-15,0.05907,0.06509,0.04985,0.06107,850829055.7,
2019-07-22,0.06117,0.06354,0.05385,0.05936,576518812.9,
2019-07-29,0.05939,0.06258,0.05576,0.05605,452662490.0,
2019-08-05,0.0561,0.0582,0.04735,0.05472,759946940.7,
2019-08-12,0.05479,0.05491,0.04454,0.05061,560533993.1,
2019-08-19,0.05065,0.05265,0.04595,0.04949,591771434.8,
2019-08-26,0.04949,0.05082,0.04312,0.04425,437985052.1,
2019-09-02,0.04422,0.0475,0.04323,0.04657,578809275.7,
2019-09-09,0.04657,0.04814,0.04423,0.04664,511651020.8,
2019-09-16,0.04665,0.05557,0.04562,0.04892,1522673423.0,
2019-09-23,0.04892,0.04945,0.03498,0.03715,1579748164.4,
2019-09-30,0.03716,0.04023,0.0357,0.03881,926496836.4,
2019-10-07,0.03879,0.04345,0.03808,0.04127,1128391654.0,
2019-10-14,0.04127,0.04205,0.03729,0.03946,773179510.7,
2019-10-21,0.03946,0.04342,0.03513,0.04216,1477350664.0,
2019-10-28,0.0422,0.04492,0.0401,0.04168,968423582.4,
2019-11-04,0.04171,0.04603,0.0411,0.04384,880883717.9,
2019-11-11,0.04385,0.04592,0.04169,0.04501,789013207.9,
2019-11-18,0.04501,0.04624,0.03411,0.03498,1378560448.0,
2019-11-25,0.03497,0.04212,0.0315,0.03956,1417313809.5,
2019-12-02,0.03956,0.03959,0.03618,0.03872,650241756.7,
2019-12-09,0.03872,0.03881,0.03569,0.03649,554667724.5,
2019-12-16,0.03646,0.03655,0.03032,0.03436,815784716.8,
2019-12-23,0.03438,0.03495,0.03153,0.03412,638223106.4,
2019-12-30,0.03412,0.03527,0.03218,0.0346,400304328.7,
2020-01-06,0.03461,0.03875,0.03439,0.03792,974212119.4,
2020-01-13,0.03788,0.046,0.0367,0.042,1812922016.5,
2020-01-20,0.042,0.04684,0.04135,0.04477,1247978950.5,
2020-01-27,0.04479,0.0587,0.044,0.0557,3296839132.2,
2020-02-03,0.05572,0.06279,0.05395,0.06188,2010646979.7,
2020-02-10,0.06188,0.07231,0.05669,0.06146,2681379077.4,
2020-02-17,0.06145,0.06373,0.05515,0.06145,1920438709.8,
2020-02-24,0.06143,0.0618,0.04506,0.04561,2367194471.9,
2020-03-02,0.04559,0.05229,0.04232,0.04291,1571211053.1,
2020-03-09,0.04291,0.044,0.01765,0.02693,4427680091.5,
2020-03-16,0.02692,0.03396,0.02156,0.02703,3278422128.1,
2020-03-23,0.02704,0.03143,0.0266,0.02806,1833142393.8,
2020-03-30,0.02808,0.03352,0.02801,0.0319,1437008191.9,
2020-04-06,0.03191,0.03695,0.0319,0.03347,1694422779.9,
2020-04-13,0.03345,0.037,0.03089,0.03549,1330456585.2,
2020-04-20,0.03549,0.04616,0.0337,0.04593,2225349961.7,
2020-04-27,0.04594,0.05439,0.04415,0.04898,2983949215.0,
2020-05-04,0.04897,0.05376,0.0425,0.04755,2528761012.1,
2020-05-11,0.04758,0.05227,0.04485,0.05129,2009114846.6,
2020-05-18,0.05128,0.0576,0.05023,0.05125,2202070341.1,
2020-05-25,0.05129,0.0865,0.05102,0.0739,4728133206.7,
2020-06-01,0.07391,0.09039,0.0708,0.08657,4716975923.7,
2020-06-08,0.08655,0.08695,0.073,0.07642,2037215754.2,
2020-06-15,0.07644,0.08454,0.0693,0.07841,2273914194.8,
2020-06-22,0.07839,0.08723,0.07453,0.08028,1757427315.8,
2020-06-29,0.08026,0.1021,0.08026,0.09813,3471929823.0,
2020-07-06,0.09815,0.13877,0.09722,0.12685,5415936984.5,
2020-07-13,0.12689,0.136,0.11823,0.12402,2957266354.7,
2020-07-20,0.12401,0.15464,0.11465,0.14849,2922760685.5,
2020-07-27,0.14847,0.15101,0.1258,0.13375,3823596908.7,
2020-08-03,0.13381,0.1523,0.132,0.14512,2227892199.3,
2020-08-10,0.14512,0.14653,0.12336,0.13882,2176207278.7,
2020-08-17,0.13882,0.14484,0.1182,0.12141,1980324123.3,
2020-08-24,0.12146,0.12707,0.10211,0.11747,2102437105.0,
2020-08-31,0.11742,0.12812,0.0854,0.0926,3616688513.2,
2020-09-07,0.09266,0.09981,0.08603,0.09507,1988096535.0,
2020-09-14,0.09509,0.09804,0.08751,0.08936,1500354223.8,
2020-09-21,0.08936,0.10273,0.07545,0.1013,3047634824.9,
2020-09-28,0.10132,0.10671,0.08967,0.09686,2120714258.1,
2020-10-05,0.09684,0.11151,0.08934,0.10648,2000318087.2,
2020-10-12,0.10652,0.11428,0.10216,0.10735,1888965711.7,
2020-10-19,0.10737,0.11279,0.10058,0.10639,1575884256.3,
2020-10-26,0.1064,0.1076,0.08915,0.09827,1532312898.8,
2020-11-02,0.09827,0.11387,0.08793,0.10655,2453766939.7,
2020-11-09,0.10652,0.10915,0.0985,0.10046,1756226239.5,
2020-11-16,0.10045,0.15352,0.0995,0.14599,4780340760.9,
2020-11-23,0.14593,0.183,0.1123,0.16663,8369067993.9,
2020-11-30,0.16666,0.17456,0.14132,0.15873,3806968856.1,
2020-12-07,0.15875,0.15906,0.12924,0.15406,2330178505.5,
2020-12-14,0.15404,0.17628,0.14903,0.16201,2889774518.3,
2020-12-21,0.16196,0.16714,0.1263,0.15467,4411414107.6,
2020-12-28,0.15467,0.2096,0.1528,0.20615,5798898331.0,
2021-01-04,0.20625,0.3553,0.19203,0.30153,9425875292.34,
2021-01-11,0.30154,0.3974,0.2288,0.38081,7457315898.32,
2021-01-18,0.38077,0.39724,0.28,0.35345,4460397715.0,
2021-01-25,0.35346,0.37752,0.30404,0.34475,3249056527.6,
2021-02-01,0.34464,0.70888,0.33214,0.66109,7553179586.82,
2021-02-08,0.66109,0.98,0.63191,0.84364,6043391695.41,
2021-02-15,0.84288,1.2,0.6856,1.09894,5163915970.53,
2021-02-22,1.09955,1.488,0.81,1.31203,10266355257.6,
2021-03-01,1.31279,1.348,1.03374,1.13042,4490686655.5,
2021-03-08,1.13073,1.22,0.985,1.05243,3071858133.3,
2021-03-15,1.05241,1.47299,1.0,1.18561,5710415456.6,
2021-03-22,1.18561,1.28755,1.038,1.18983,2781436657.2,
2021-03-29,1.18983,1.24796,1.151,1.18206,1868790426.5,
2021-04-05,1.18205,1.34359,1.1588,1.26355,2565071717.9,
2021-04-12,1.26376,1.55845,1.07204,1.27693,4321705702.5,
2021-04-19,1.27655,1.32443,0.92,1.0913,3603171593.35,
2021-04-26,1.091,1.4117,1.0793,1.3267,2569820158.88,
2021-05-03,1.3267,1.833,1.2557,1.7663,4680375948.27,
2021-05-10,1.7662,2.47,1.5,2.3002,6666591737.5,
2021-05-17,2.3002,2.329,1.01,1.3139,8764599408.35,
2021-05-24,1.3135,1.832,1.2476,1.5751,5446595743.42,
2021-05-31,1.5751,1.8897,1.5249,1.6771,3137175021.59,
2021-06-07,1.6771,1.7414,1.3562,1.5566,2754349999.94,
2021-06-14,1.5563,1.6109,1.306,1.4263,1501408871.56,
2021-06-21,1.4262,1.4371,1.0001,1.338,3434817779.27,
2021-06-28,1.3379,1.4955,1.2825,1.4615,1587104439.69,
2021-07-05,1.4615,1.4616,1.2859,1.3485,1009982010.63,
2021-07-12,1.3485,1.3736,1.1497,1.1813,928479637.42,
2021-07-19,1.1814,1.2487,1.0202,1.2284,1250461227.47,
