index,Open,High,Low,Close,Volume,Adj Close
2021-03-01,8.572256088256836,8.60112190246582,3.9079630374908447,3.995455026626587,79110080.0,3.995455026626587
2021-03-08,3.995204925537109,4.273394107818604,0.6361520290374756,0.6371449828147888,89024432.0,0.6371449828147888
2021-03-15,0.6373379826545715,1.3604120016098022,0.5462899804115295,1.3588110208511353,51451911.0,1.3588110208511353
2021-03-22,1.3591190576553345,1.4940630197525024,0.4066320061683655,0.5900850296020508,64960953.0,0.5900850296020508
2021-03-29,0.5900319814682007,0.8177409768104553,0.3918749988079071,0.8081949949264526,35750177.0,0.8081949949264526
2021-04-05,0.8085489869117737,1.1373909711837769,0.6765109896659851,0.7442989945411682,42481054.0,0.7442989945411682
2021-04-12,0.7487339973449707,0.9894220232963562,0.4915559887886047,0.5420569777488708,55426039.0,0.5420569777488708
2021-04-19,0.5413540005683899,0.8560649752616882,0.5213419795036316,0.7207040190696716,43970375.0,0.7207040190696716
2021-04-26,0.7209150195121765,3.256376028060913,0.7199440002441406,3.244402885437012,92200329.0,3.244402885437012
2021-05-03,3.2445080280303955,4.257404804229736,2.1684060096740723,2.6700470447540283,49984089.0,2.6700470447540283
2021-05-10,2.665699005126953,3.249918937683105,1.352905035018921,1.4090080261230469,31710296.0,1.4090080261230469
2021-05-17,1.409024000167847,1.6227389574050903,0.6421120166778564,0.7236670255661011,20532605.0,0.7236670255661011
2021-05-24,0.7238630056381226,1.2064650058746338,0.7149479985237122,0.8948879837989807,11143224.0,0.8948879837989807
2021-05-31,0.8949180245399475,1.0753580331802368,0.7847399711608887,0.8765720129013062,11438871.0,0.8765720129013062
2021-06-07,0.8764029741287231,0.9220510125160216,0.7516930103302002,0.8389449715614319,11444195.0,0.8389449715614319
2021-06-14,0.8390039801597595,0.8707749843597412,0.7182170152664185,0.7536479830741882,11758499.0,0.7536479830741882
2021-06-21,0.7536119818687439,0.7617509961128235,0.2995269894599914,0.3838520050048828,7102449.0,0.3838520050048828
2021-06-28,0.3839659988880157,0.6947979927062988,0.3824590146541595,0.6864439845085144,5300020.0,0.6864439845085144
2021-07-05,0.6865100264549255,0.6881009936332703,0.5322989821434021,0.5994930267333984,36850018.0,0.5994930267333984
2021-07-12,0.5995050072669983,0.6132429838180542,0.4605079889297485,0.4642179906368255,62778521.0,0.4642179906368255
2021-07-19,0.4640949964523315,0.525288999080658,0.3836300075054168,0.5237219929695129,53782478.0,0.5237219929695129
2021-07-26,0.5237460136413574,1.1815789937973022,0.5223140120506287,0.6377549767494202,194439014.0,0.6377549767494202
2021-08-02,0.6329889893531799,1.1065469980239868,0.5994679927825928,0.9945669770240784,175300141.0,0.9945669770240784
2021-08-09,0.9611,1.65,0.9611,1.1157,83258501.0,
2021-08-16,1.115,1.7885,1.0888,1.3525,195141704.1,
2021-08-23,1.3522,1.4437,1.16,1.364,49991918.5,
2021-08-30,1.3619,1.3646,1.131,1.1874,36288116.2,
2021-09-06,1.1872,1.35,0.7889,1.1251,72350801.5,
2021-09-13,1.1251,1.31,0.9822,1.0604,38497327.2,
2021-09-20,1.0607,1.1858,0.799,0.8654,62511951.2,
2021-09-27,0.8649,0.95,0.8237,0.8869,41690071.1,
2021-10-04,0.8882,0.9381,0.8247,0.8319,31479397.5,
2021-10-11,0.8319,1.0722,0.813,0.9457,88539573.9,
2021-10-18,0.9457,1.0399,0.8758,0.8805,37216946.4,
2021-10-25,0.8805,0.9449,0.8258,0.8943,35497352.4,
2021-11-01,0.8943,0.95,0.84,0.8881,30699117.2,
2021-11-08,0.8881,0.9455,0.7733,0.8787,41667519.3,
2021-11-15,0.8782,0.8842,0.7282,0.7867,36057921.5,
2021-11-22,0.7867,0.79,0.6731,0.7065,25835549.3,
2021-11-29,0.707,0.875,0.5455,0.5645,74168891.0,
2021-12-06,0.5645,0.819,0.5166,0.5798,57903415.6,
2021-12-13,0.5798,0.5818,0.4789,0.5278,23334878.2,
2021-12-20,0.5265,0.5977,0.5094,0.5838,18675557.1,
2021-12-27,0.584,0.8189,0.5608,0.6085,141555052.5,
2022-01-03,0.6085,0.6722,0.4807,0.4975,53368634.0,
2022-01-10,0.4974,0.5216,0.4467,0.5053,22208408.4,
2022-01-17,0.5053,0.5099,0.2506,0.3117,48317835.0,
2022-01-24,0.3114,0.3946,0.2786,0.3602,54622636.4,
2022-01-31,0.3597,0.424,0.3424,0.3905,24208485.6,
2022-02-07,0.3901,0.4565,0.3688,0.3741,29068896.0,
2022-02-14,0.374,0.5093,0.3493,0.3602,99953863.4,
2022-02-21,0.3602,0.49,0.3129,0.3912,48340830.2,
2022-02-28,0.3913,0.46,0.3627,0.3756,80642875.0,
2022-03-07,0.376,0.4488,0.3567,0.4119,53449827.8,
2022-03-14,0.4117,0.6532,0.3946,0.5104,130107079.5,
2022-03-21,0.5108,0.54,0.4489,0.4844,74492939.3,
2022-03-28,0.4844,0.5833,0.4575,0.5281,44940030.1,
2022-04-04,0.5272,0.62,0.4894,0.5642,83782596.4,
2022-04-11,0.5638,0.7486,0.5176,0.6389,199882819.3,
2022-04-18,0.6378,0.6869,0.585,0.5953,54690699.5,
2022-04-25,0.5956,0.5956,0.3673,0.4121,36701642.8,
2022-05-02,0.4124,0.4729,0.4027,0.4271,27939755.4,
2022-05-09,0.4273,0.4334,0.26,0.3242,42498118.5,
2022-05-16,0.3239,0.3239,0.2944,0.3157,3036617.3,
