index,Open,High,Low,Close,Volume,Adj Close
2020-10-05,0.02,0.15,0.02,0.04367,576742709.5,
2020-10-12,0.04368,0.04967,0.0332,0.03751,339160732.6,
2020-10-19,0.03751,0.03768,0.02897,0.03429,206230544.3,
2020-10-26,0.03438,0.03892,0.024,0.02902,138793177.5,
2020-11-02,0.02906,0.05555,0.02569,0.05061,193250857.9,
2020-11-09,0.05061,0.15003,0.0416,0.14201,496058950.8,
2020-11-16,0.14201,0.21,0.096,0.19595,796069385.6,
2020-11-23,0.19596,0.28888,0.18102,0.22236,398381519.6,
2020-11-30,0.22226,0.30505,0.20788,0.25435,245359248.8,
2020-12-07,0.25394,0.25791,0.1729,0.20477,190261115.3,
2020-12-14,0.20454,0.258,0.19028,0.21101,173048575.7,
2020-12-21,0.21102,0.21968,0.14828,0.17396,99992127.8,
2020-12-28,0.17433,0.32246,0.17158,0.28686,155589811.9,
2021-01-04,0.28686,0.73735,0.22999,0.41866,407143255.9,
2021-01-11,0.41873,0.55,0.302,0.48935,256404844.0,
2021-01-18,0.48937,1.09578,0.487,1.08801,292349222.2,
2021-01-25,1.08846,2.39,0.901,2.04791,444386110.6,
2021-02-01,2.04511,2.94325,1.74,2.23417,249051724.0,
2021-02-08,2.22744,2.6,1.56133,1.67327,331255394.9,
2021-02-15,1.67593,1.86,1.30641,1.60123,238539791.2,
2021-02-22,1.60185,1.79,0.96576,1.24462,317322551.2,
2021-03-01,1.24462,2.091,1.22381,1.6855,250314841.0,
2021-03-08,1.68559,1.85649,1.4,1.50275,133369305.4,
2021-03-15,1.50534,1.9735,1.4658,1.74637,158153381.9,
2021-03-22,1.74585,2.3,1.61736,1.8003,189598218.9,
2021-03-29,1.79897,2.03714,1.7,1.9129,107934465.4,
2021-04-05,1.91347,2.142,1.513,1.57078,156498481.4,
2021-04-12,1.57078,1.76251,1.1003,1.47354,220208415.8,
2021-04-19,1.47461,1.649,1.13382,1.215,187971683.11,
2021-04-26,1.2177,2.1857,1.2057,1.9732,191936270.78,
2021-05-03,1.971,2.2549,1.7972,1.8809,133715435.71,
2021-05-10,1.8812,2.52,1.5295,1.8944,260372481.05,
2021-05-17,1.8931,2.0,0.5083,0.6512,226976969.31,
2021-05-24,0.65,0.9997,0.6356,0.7527,180666512.65,
2021-05-31,0.751,0.9416,0.6958,0.7909,130950997.16,
2021-06-07,0.7909,0.8171,0.5507,0.6123,118214551.3,
2021-06-14,0.6123,0.6712,0.4946,0.5374,82435268.36,
2021-06-21,0.5384,0.546,0.303,0.3855,189449335.49,
2021-06-28,0.3862,0.5419,0.3756,0.5303,167687063.58,
2021-07-05,0.5304,0.9474,0.501,0.769,531081391.31,
2021-07-12,0.77,0.844,0.4908,0.5153,241489899.66,
2021-07-19,0.515,0.6246,0.415,0.5983,264895549.98,
2021-07-26,0.598,0.7243,0.57,0.6759,208317992.33,
2021-08-02,0.6753,1.0199,0.634,0.8658,307285203.39,
2021-08-09,0.8659,1.08,0.83,1.0169,206447299.68,
2021-08-16,1.0169,1.1891,0.84,1.1724,232117699.74,
2021-08-23,1.1727,1.2743,0.983,1.0926,242545012.44,
2021-08-30,1.0919,1.4589,1.0111,1.3871,223154033.75,
2021-09-06,1.3861,1.5,0.9,1.1202,153785500.65,
2021-09-13,1.1194,1.2911,0.9972,1.0683,93081317.0,
2021-09-20,1.0675,1.0696,0.7862,0.8503,98889423.09,
2021-09-27,0.8491,1.0361,0.7849,0.9933,64652336.0,
2021-10-04,0.993,1.1016,0.9353,0.9604,87961950.76,
2021-10-11,0.9592,1.1136,0.893,1.0182,65372777.0,
2021-10-18,1.0183,1.1073,0.992,1.0134,49740183.0,
2021-10-25,1.013,1.16,0.9382,1.0211,71188523.0,
2021-11-01,1.0215,1.28,0.9887,1.1639,120068397.0,
2021-11-08,1.1636,1.2699,1.0092,1.1611,112104037.0,
2021-11-15,1.1606,1.205,0.8523,0.9759,83288438.0,
2021-11-22,0.9763,1.038,0.814,0.9304,91473871.0,
2021-11-29,0.9303,1.0565,0.7055,0.755,122318778.58,
2021-12-06,0.7555,0.8738,0.6784,0.741,50134372.58,
2021-12-13,0.7409,0.7475,0.6339,0.6817,43441441.0,
2021-12-20,0.6817,0.7887,0.6419,0.75,26608381.0,
2021-12-27,0.7504,0.85,0.6508,0.6978,30288254.0,
2022-01-03,0.6969,0.7513,0.5071,0.5454,52920306.47,
2022-01-10,0.5442,0.6076,0.4931,0.576,53465043.0,
2022-01-17,0.5767,0.5778,0.3547,0.4097,55268590.59,
2022-01-24,0.4099,0.4263,0.3454,0.3769,45294862.98,
2022-01-31,0.3774,0.4485,0.3577,0.4422,37208230.0,
2022-02-07,0.4429,0.479,0.3756,0.3762,144878932.0,
2022-02-14,0.3766,0.4148,0.3198,0.3249,70249245.0,
2022-02-21,0.3251,0.345,0.2626,0.3061,107296222.3,
