index,Open,High,Low,Close,Volume,Adj Close
2021-02-22,25.17442512512207,29.53962135314941,16.946067810058594,19.24713706970215,21620974.0,19.24713706970215
2021-03-01,19.19966125488281,29.105356216430664,18.70563316345215,25.0568790435791,38261027.0,25.0568790435791
2021-03-08,25.03362846374512,27.77351760864257,20.3330307006836,25.00728988647461,32204024.0,25.00728988647461
2021-03-15,24.904083251953125,41.69692611694336,21.65144920349121,33.771751403808594,128836342.0,33.771751403808594
2021-03-22,33.750885009765625,38.21598815917969,25.946542739868164,33.9347038269043,44080585.0,33.9347038269043
2021-03-29,33.97410583496094,43.57293319702149,31.54112434387207,36.942848205566406,55624413.0,36.942848205566406
2021-04-05,36.92662048339844,68.8237075805664,33.83219909667969,65.05555725097656,126877785.0,65.05555725097656
2021-04-12,65.08651733398438,70.55596160888672,37.61177062988281,42.48697662353516,64230257.0,42.48697662353516
2021-04-19,42.33876037597656,45.56074523925781,30.42667961120605,36.77796173095703,38209424.0,36.77796173095703
2021-04-26,36.773284912109375,57.8996696472168,36.42833709716797,53.97144317626953,51264701.0,53.97144317626953
2021-05-03,53.96153259277344,56.70977783203125,40.03215026855469,42.23754501342773,43408967.0,42.23754501342773
2021-05-10,42.31452560424805,54.95108413696289,35.665382385253906,44.22557067871094,90205078.0,44.22557067871094
2021-05-17,44.179969787597656,50.71500396728516,17.057842254638672,20.59507369995117,61400994.0,20.59507369995117
2021-05-24,20.58243560791016,27.59401130676269,19.73393440246582,22.635459899902344,24264462.0,22.635459899902344
2021-05-31,22.633861541748047,25.129615783691406,20.51249885559082,21.411245346069336,22264520.0,21.411245346069336
2021-06-07,21.43711471557617,25.04085350036621,17.28561782836914,20.95298194885254,35694254.0,20.95298194885254
2021-06-14,20.94550323486328,23.90165901184082,18.71118927001953,19.94748878479004,28575306.0,19.94748878479004
2021-06-21,19.92391395568848,19.92391395568848,10.941962242126465,14.48602294921875,19124408.0,14.48602294921875
2021-06-28,14.491561889648438,15.862540245056152,13.382736206054688,14.61919116973877,8906859.0,14.61919116973877
2021-07-05,14.630638122558594,28.81987953186035,13.31679344177246,22.5354118347168,114567144.0,22.5354118347168
2021-07-12,22.518653869628903,24.728900909423828,14.656015396118164,15.70407009124756,67964016.0,15.70407009124756
2021-07-19,15.705391883850098,28.85531616210937,12.895355224609377,23.55264472961425,101895151.0,23.55264472961425
2021-07-26,23.349096298217773,25.776031494140625,18.025728225708008,21.439132690429688,63991457.0,21.439132690429688
2021-08-02,21.42753791809082,28.32999038696289,21.15518951416016,25.525371551513672,36913299.0,25.525371551513672
2021-08-09,25.52630424499512,34.87690353393555,25.077327728271484,34.769195556640625,40337806.0,34.769195556640625
2021-08-16,34.77970504760742,42.34752655029297,33.27546310424805,35.369163513183594,34122341.0,35.369163513183594
2021-08-23,35.416595458984375,38.7109603881836,30.4633846282959,33.92190933227539,25522081.0,33.92190933227539
2021-08-30,33.872276306152344,47.91927719116211,33.013057708740234,35.37137985229492,109163919.0,35.37137985229492
2021-09-06,35.32877731323242,36.451202392578125,25.61078643798828,28.844087600708008,49023975.0,28.844087600708008
2021-09-13,28.822847366333008,40.50813674926758,28.167869567871094,34.32347869873047,115700046.0,34.32347869873047
2021-09-20,34.35527038574219,34.77458953857422,25.127456665039062,26.84122467041016,52137228.0,26.84122467041016
2021-09-27,26.85414123535156,29.463348388671875,21.58944129943848,26.391822814941406,43362912.0,26.391822814941406
2021-10-04,26.402687072753903,27.86410140991211,24.60540199279785,24.82528686523437,25087717.0,24.82528686523437
2021-10-11,24.825023651123047,34.82478713989258,24.523944854736328,33.18449020385742,92347445.0,33.18449020385742
2021-10-18,33.19388961791992,63.296817779541016,31.659269332885746,37.56681823730469,888847175.0,37.56681823730469
2021-10-25,34.61,42.9,34.61,36.2,476471.16,
2021-11-01,36.2,43.79,35.1,40.51,704111.04,
2021-11-08,40.52,43.4,34.94,38.47,546621.64,
2021-11-15,38.49,39.65,28.89,33.21,601900.16,
2021-11-22,33.19,33.67,26.88,30.58,446023.89,
2021-11-29,30.61,41.5,24.62,27.14,1612026.11,
2021-12-06,27.14,31.44,24.29,26.89,739471.73,
2021-12-13,26.89,29.87,21.72,24.74,447551.97,
2021-12-20,24.74,26.51,22.79,25.84,204367.08,
2021-12-27,25.84,28.75,23.51,24.46,397772.02,
2022-01-03,24.46,25.59,19.55,20.88,264445.15,
2022-01-10,20.88,21.26,18.98,20.69,190481.95,
2022-01-17,20.7,20.7,12.13,14.0,304272.21,
2022-01-24,14.05,17.67,11.66,14.28,899346.13,
2022-01-31,14.26,17.0,13.19,15.59,321369.73,
2022-02-07,15.61,17.7,14.67,15.1,168376.51,
2022-02-14,15.1,17.13,12.95,12.96,135521.81,
2022-02-21,12.96,14.87,10.89,12.01,217705.64,
2022-02-28,11.98,16.5,11.86,12.49,999132.2,
2022-03-07,12.48,15.86,12.11,12.19,556385.68,
2022-03-14,12.22,27.4,12.16,17.22,7176417.99,
2022-03-21,17.23,17.51,15.52,16.1,2026408.34,
2022-03-28,16.1,17.53,15.09,16.89,1306830.48,
2022-04-04,16.89,19.23,13.82,14.06,1116788.96,
2022-04-11,14.02,16.94,12.94,13.3,1723143.05,
2022-04-18,13.29,15.2,12.62,12.71,694997.48,
2022-04-25,12.73,14.2,10.78,11.67,1052789.21,
2022-05-02,11.64,14.0,9.99,10.03,2226756.11,
2022-05-09,10.03,10.22,3.74,6.09,1135941.38,
2022-05-16,6.07,7.44,5.62,6.26,361585.67,
