index,Open,High,Low,Close,Volume,Adj Close
2021-10-04,0.06001,4.75,0.06001,3.17,555513349.0,
2021-10-11,3.17,3.35,2.097,2.39391,210436931.0,
2021-10-18,2.39434,2.5703,1.65162,1.72681,71418937.0,
2021-10-25,1.7254,2.05531,1.54763,1.69824,93955590.0,
2021-11-01,1.69953,2.64982,1.64704,1.73568,144992230.0,
2021-11-08,1.73289,1.77999,1.26787,1.40509,77284698.0,
2021-11-15,1.40391,1.4059,1.0558,1.22792,81606230.0,
2021-11-22,1.22733,1.40014,1.0,1.21134,141985520.0,
2021-11-29,1.21137,1.65,0.8,0.84409,209772624.0,
2021-12-06,0.84409,0.945,0.70381,0.75725,72701667.0,
2021-12-13,0.75721,0.76127,0.59373,0.653,57679116.0,
2021-12-20,0.653,0.82866,0.6,0.77684,77176288.0,
2021-12-27,0.7743,0.81999,0.6,0.68177,86024204.0,
2022-01-03,0.68177,0.7145,0.44569,0.46921,73053362.0,
2022-01-10,0.46947,0.52777,0.41057,0.46823,52534036.0,
2022-01-17,0.46721,0.7425,0.39693,0.42961,536519474.0,
2022-01-24,0.42961,0.43984,0.33265,0.38289,182727010.0,
2022-01-31,0.38299,0.48855,0.36103,0.45507,168376679.0,
2022-02-07,0.45528,0.59,0.38721,0.49007,376746928.0,
2022-02-14,0.49007,0.76708,0.48729,0.60458,548898725.0,
2022-02-21,0.60506,0.65554,0.41,0.54708,329680500.0,
2022-02-28,0.5453,0.62,0.42033,0.42139,228799319.0,
2022-03-07,0.42151,0.488,0.371,0.37153,163571731.0,
2022-03-14,0.372,0.489,0.3548,0.45399,232741968.0,
2022-03-21,0.45402,0.47244,0.4102,0.44467,121001977.0,
2022-03-28,0.44489,0.61521,0.4381,0.56354,421290254.0,
2022-04-04,0.56354,0.56434,0.433,0.44579,204863534.0,
2022-04-11,0.4457,0.44767,0.38692,0.39502,101291739.0,
2022-04-18,0.39512,0.4156,0.3731,0.37773,90395788.0,
2022-04-25,0.37709,0.37857,0.26786,0.28414,88008354.0,
2022-05-02,0.28454,0.29998,0.22402,0.2284,113654128.0,
2022-05-09,0.22863,0.23068,0.06352,0.10786,265626184.0,
2022-05-16,0.1078,0.157,0.09574,0.12618,118300623.0,
