index,Open,High,Low,Close,Volume,Adj Close
2021-11-29,4.470040798187256,21.8715877532959,4.470040798187256,6.647471904754639,1222203740.0,6.647471904754639
2021-12-06,5.631,7.999,5.1,5.273,12811988.96,
2021-12-13,5.275,5.283,3.503,3.523,13887683.29,
2021-12-20,3.523,6.35,3.056,5.743,33288374.08,
2021-12-27,5.746,6.088,4.004,4.223,27921365.68,
2022-01-03,4.213,4.236,3.166,3.66,28808118.69,
2022-01-10,3.661,4.028,3.316,3.817,21864200.32,
2022-01-17,3.82,3.929,1.867,2.231,28106946.86,
2022-01-24,2.229,2.45,1.812,2.131,24576296.59,
2022-01-31,2.129,2.39,1.858,2.175,27101465.37,
2022-02-07,2.174,2.735,1.837,1.87,33332441.47,
2022-02-14,1.871,1.968,1.351,1.415,20807563.73,
2022-02-21,1.416,1.544,1.034,1.197,35311619.89,
2022-02-28,1.197,1.71,1.171,1.212,81504068.27,
2022-03-07,1.212,1.39,1.15,1.151,36312377.26,
2022-03-14,1.15,1.636,1.15,1.469,54890342.07,
2022-03-21,1.468,1.77,1.459,1.597,51303414.64,
2022-03-28,1.596,2.368,1.51,1.894,80466083.32,
2022-04-04,1.894,2.051,1.49,1.494,37834408.93,
2022-04-11,1.495,1.504,1.3,1.324,19477595.06,
2022-04-18,1.324,1.566,1.224,1.284,26002857.18,
2022-04-25,1.283,1.298,0.998,1.073,25169336.58,
2022-05-02,1.072,1.172,0.897,0.916,32971496.26,
2022-05-09,0.915,0.932,0.355,0.704,88837152.75,
2022-05-16,0.704,0.705,0.591,0.597,7364015.47,
