index,Open,High,Low,Close,Volume,Adj Close
2020-10-26,80.54910278320312,185.92532348632807,80.54898071289062,126.61762237548828,20116148.0,126.61762237548828
2020-11-02,126.61762237548828,129.02334594726562,28.008277893066406,28.011075973510746,11684171.0,28.011075973510746
2020-11-09,28.011075973510746,28.011075973510746,17.42592430114746,22.582263946533203,2909104.0,22.582263946533203
2020-11-16,22.58224296569824,30.576311111450195,18.742176055908203,25.84266471862793,3385084.0,25.84266471862793
2020-11-23,25.842470169067383,29.87558555603028,21.42256546020508,28.06724548339844,5347713.0,28.06724548339844
2020-11-30,28.066579818725582,30.23846435546875,25.906612396240234,28.13404083251953,4653671.0,28.13404083251953
2020-12-07,28.134336471557617,28.826265335083008,22.775121688842773,28.57089233398437,4681965.0,28.57089233398437
2020-12-14,28.570838928222656,35.660865783691406,25.788537979125977,33.805904388427734,7301809.0,33.805904388427734
2020-12-21,33.79826354980469,33.847129821777344,26.37541961669922,30.08354377746582,8618492.0,30.08354377746582
2020-12-28,30.08567237854004,30.08567237854004,16.205965042114258,17.47403335571289,9280033.0,17.47403335571289
2021-01-04,17.51150894165039,24.09235191345215,14.767765998840332,22.39897727966309,7629851.0,22.39897727966309
2021-01-11,22.39897918701172,30.999786376953125,19.612037658691406,28.14542007446289,9687609.0,28.14542007446289
2021-01-18,28.14403343200684,35.87262344360352,25.158842086791992,33.203006744384766,13279872.0,33.203006744384766
2021-01-25,33.20291519165039,56.1384391784668,32.34674453735352,48.91266250610352,26761907.0,48.91266250610352
2021-02-01,48.91276550292969,77.55014038085938,44.50249099731445,62.95489883422852,22564353.0,62.95489883422852
2021-02-08,62.95467758178711,76.29645538330078,52.25821304321289,71.99341583251953,22902756.0,71.99341583251953
2021-02-15,71.99687194824219,73.0824203491211,58.38890075683594,65.07089233398438,22669899.0,65.07089233398438
2021-02-22,65.07622528076172,65.3177490234375,45.54476547241211,49.33422470092773,21927864.0,49.33422470092773
2021-03-01,49.33584976196289,60.60676574707031,48.75759506225586,59.688232421875,17604247.0,59.688232421875
2021-03-08,59.68549728393555,89.51094818115234,56.94269561767578,88.16297912597656,19051472.0,88.16297912597656
2021-03-15,88.15601348876953,88.20885467529297,59.54219818115234,60.88717651367188,20844608.0,60.88717651367188
