index,Open,High,Low,Close,Volume,Adj Close
2022-01-24,1.95e-06,2.55e-06,1.5e-06,2.09e-06,63341110712174.0,
2022-01-31,2.08e-06,2.39e-06,2e-06,2.28e-06,42918405484969.0,
2022-02-07,2.27e-06,2.41e-06,2.1e-06,2.12e-06,41546904762369.0,
2022-02-14,2.12e-06,2.23e-06,1.94e-06,1.97e-06,48350484537866.0,
2022-02-21,1.98e-06,2.06e-06,1.68e-06,1.84e-06,54243183110488.0,
2022-02-28,1.84e-06,2.04e-06,1.77e-06,1.78e-06,49182899462600.0,
2022-03-07,1.78e-06,1.89e-06,1.73e-06,1.74e-06,40466125971561.0,
2022-03-14,1.73e-06,1.89e-06,1.71e-06,1.82e-06,38301016893271.0,
2022-03-21,1.82e-06,2.25e-06,1.8e-06,2.14e-06,112165857252423.0,
2022-03-28,2.15e-06,2.34e-06,2.07e-06,2.23e-06,47108840985120.0,
2022-04-04,2.23e-06,2.24e-06,1.95e-06,1.96e-06,27598200025107.0,
2022-04-11,1.95e-06,2.08e-06,1.79e-06,1.9e-06,33221899214904.0,
2022-04-18,1.9e-06,2.04e-06,1.82e-06,1.83e-06,34226543004539.0,
2022-04-25,1.84e-06,1.85e-06,1.65e-06,1.72e-06,28806943138752.0,
2022-05-02,1.73e-06,1.82e-06,1.59e-06,1.61e-06,29990588057472.0,
2022-05-09,1.6e-06,1.61e-06,9.8e-07,1.15e-06,65155070430803.0,
2022-05-16,1.15e-06,1.15e-06,1.08e-06,1.11e-06,10735095422711.0,
