index,Open,High,Low,Close,Volume,Adj Close
2021-07-19,0.07541,3.0,0.07541,1.4358,1147236683.0,
2021-07-26,1.42817,1.6218,1.00001,1.145,592428068.0,
2021-08-02,1.14316,1.31754,1.06589,1.26533,215282554.0,
2021-08-09,1.26374,1.85,1.12,1.50038,410469258.0,
2021-08-16,1.50282,3.38459,1.39437,3.13138,739302312.0,
2021-08-23,3.13085,6.445,2.99832,4.847,933533977.2,
2021-08-30,4.847,5.3,4.051,4.592,211974116.1,
2021-09-06,4.592,4.907,2.898,3.73,264899408.8,
2021-09-13,3.73,4.4,3.204,3.906,171511357.4,
2021-09-20,3.907,3.927,2.724,2.933,123559538.9,
2021-09-27,2.934,4.15,2.763,3.82,136940338.2,
2021-10-04,3.82,3.984,3.261,3.285,91269002.8,
2021-10-11,3.285,3.927,3.006,3.381,103598298.2,
2021-10-18,3.381,4.153,3.272,3.773,80529592.9,
2021-10-25,3.775,4.488,3.383,3.676,102062060.1,
2021-11-01,3.677,4.38,3.544,3.904,95683095.3,
2021-11-08,3.904,4.644,3.55,3.785,92312808.2,
2021-11-15,3.785,3.819,2.91,3.253,43653888.7,
2021-11-22,3.255,3.4,2.755,3.005,43091384.8,
2021-11-29,3.002,3.52,1.885,2.213,74372035.1,
2021-12-06,2.211,2.408,2.007,2.228,38807534.5,
2021-12-13,2.228,2.241,1.902,1.978,26290947.7,
2021-12-20,1.978,2.646,1.861,2.558,70970932.4,
2021-12-27,2.559,2.985,2.324,2.46,70877525.5,
2022-01-03,2.46,2.904,2.233,2.295,77444085.1,
2022-01-10,2.296,2.563,2.063,2.452,40699839.2,
2022-01-17,2.453,2.464,1.416,1.618,39075350.3,
2022-01-24,1.618,1.883,1.34,1.581,47295687.9,
2022-01-31,1.58,1.858,1.51,1.81,23083480.6,
2022-02-07,1.81,2.098,1.602,1.615,48960887.8,
2022-02-14,1.613,1.888,1.455,1.48,27947756.4,
2022-02-21,1.48,1.537,1.081,1.258,36052876.2,
2022-02-28,1.258,1.628,1.228,1.228,42636433.3,
2022-03-07,1.233,1.355,1.156,1.164,25621723.2,
2022-03-14,1.165,1.687,1.144,1.604,70231785.6,
2022-03-21,1.607,1.7,1.501,1.691,43834856.1,
2022-03-28,1.69,1.962,1.582,1.85,65477744.7,
2022-04-04,1.851,1.875,1.48,1.511,36568495.8,
2022-04-11,1.51,1.715,1.342,1.483,56455019.8,
2022-04-18,1.483,1.628,1.4,1.44,28352735.9,
2022-04-25,1.438,1.442,1.046,1.179,44397694.3,
2022-05-02,1.18,1.265,1.005,1.027,27814261.9,
2022-05-09,1.027,1.07,0.34,0.553,95700831.7,
2022-05-16,0.552,0.553,0.475,0.514,9331621.2,
