index,Open,High,Low,Close,Volume,Adj Close
2020-05-18,0.8259509801864624,3.916594982147217,0.7955340147018433,1.813446044921875,8970539.0,1.813446044921875
2020-05-25,1.8096959590911863,1.9454820156097408,1.399127960205078,1.5676929950714111,13280399.0,1.5676929950714111
2020-06-01,1.5704569816589355,3.6354410648345934,1.4760899543762207,1.6248619556427002,3191525.0,1.6248619556427002
2020-06-08,1.6249409914016724,1.8974100351333616,1.481552004814148,1.59852397441864,2343337.0,1.59852397441864
2020-06-15,1.5987149477005005,1.904152035713196,1.4474799633026123,1.8089640140533447,2179458.0,1.8089640140533447
2020-06-22,1.80775797367096,1.9369699954986568,1.7359859943389893,1.8146979808807373,1364319.0,1.8146979808807373
2020-06-29,1.8146979808807373,1.924039959907532,1.7339589595794678,1.8336329460144043,1122838.0,1.8336329460144043
2020-07-06,1.833484053611756,1.996695041656494,1.6799839735031128,1.7070749998092651,1720636.0,1.7070749998092651
2020-07-13,1.7070749998092651,2.010833978652954,1.6842950582504272,1.7780389785766602,1568307.0,1.7780389785766602
2020-07-20,1.778133988380432,1.8152209520339968,1.7076220512390137,1.7833399772644043,987730.0,1.7833399772644043
2020-07-27,1.7833139896392822,1.8436230421066284,1.733858942985535,1.743507981300354,909136.0,1.743507981300354
2020-08-03,1.7436439990997314,2.0638039112091064,1.7289279699325562,1.957985997200012,1571904.0,1.957985997200012
2020-08-10,1.957985997200012,2.649039030075073,1.9231690168380733,2.5359199047088623,3562820.0,2.5359199047088623
2020-08-17,2.5359199047088623,2.718456983566284,2.1981029510498047,2.3859610557556152,3434840.0,2.3859610557556152
2020-08-24,2.359448909759521,4.490996837615967,2.3585729598999023,4.105069160461426,97565288.0,4.105069160461426
2020-08-31,4.103968143463135,4.7280778884887695,3.074512958526612,3.479024887084961,141535413.0,3.479024887084961
2020-09-07,3.477000951766968,3.526226043701172,2.7879459857940674,2.7879459857940674,36495654.0,2.7879459857940674
2020-09-14,2.792398929595948,4.527554988861084,2.0250349044799805,3.595339059829712,91900598.0,3.595339059829712
2020-09-21,3.595339059829712,3.59539008140564,2.4038689136505127,2.4130699634552,58553389.0,2.4130699634552
2020-09-28,2.413325071334839,2.453094959259033,2.10644793510437,2.129159927368164,25488207.0,2.129159927368164
2020-10-05,2.1351540088653564,2.544100046157837,1.9035539627075195,2.156147003173828,37125158.0,2.156147003173828
2020-10-12,2.156774044036865,2.2364819049835205,2.00537109375,2.094666004180908,25467829.0,2.094666004180908
2020-10-19,2.0948610305786133,2.117219924926758,1.9463160037994385,1.96143901348114,12767228.0,1.96143901348114
2020-10-26,1.961446046829224,1.9633599519729608,1.598232984542847,1.6362279653549194,12472941.0,1.6362279653549194
2020-11-02,1.636222004890442,1.7837200164794922,1.4131239652633667,1.4439159631729126,18038789.0,1.4439159631729126
2020-11-09,1.4439189434051514,1.930904984474182,1.4439189434051514,1.700037956237793,22973333.0,1.700037956237793
2020-11-16,1.7000340223312378,2.1236989498138428,1.6270049810409546,2.003865957260132,21232135.0,2.003865957260132
2020-11-23,2.003873109817505,2.0863289833068848,1.7079180479049685,1.8175599575042725,26261705.0,1.8175599575042725
2020-11-30,1.8164570331573489,1.900163054466248,1.7495570182800293,1.7937129735946655,11989944.0,1.7937129735946655
2020-12-07,1.7936149835586548,1.932644009590149,1.4128119945526123,1.6895129680633545,15469985.0,1.6895129680633545
2020-12-14,1.689031958580017,1.819614052772522,1.5290800333023071,1.5830780267715454,15280867.0,1.5830780267715454
2020-12-21,1.5869139432907104,1.6968220472335815,1.3558889627456665,1.4933220148086548,19663374.0,1.4933220148086548
2020-12-28,1.4903310537338257,1.6936370134353638,1.3737529516220093,1.4419959783554075,21712876.0,1.4419959783554075
2021-01-04,1.588,4.12,1.588,2.14,23790755.15,
2021-01-11,2.1534,2.2432,1.755,2.125,2588162.16,
2021-01-18,2.125,3.85,2.0683,2.7848,39162624.81,
2021-01-25,2.7848,3.5998,2.753,2.8041,16164929.21,
2021-02-01,2.8042,3.85,2.765,3.6017,9802032.23,
2021-02-08,3.6129,5.98,3.2902,4.3421,21945949.85,
2021-02-15,4.3511,6.6,3.75,5.1249,17750957.53,
2021-02-22,5.1249,5.1289,3.3565,3.818,4648496.38,
2021-03-01,3.7991,4.2948,3.6003,3.8943,3755292.98,
2021-03-08,3.8941,4.8,3.6991,3.856,7026314.93,
2021-03-15,3.856,4.6,3.591,3.8941,8499454.41,
2021-03-22,3.8857,4.252,3.2493,3.5692,9080025.39,
2021-03-29,3.5692,5.0191,3.5499,4.416,13461316.67,
2021-04-05,4.4132,4.8,4.2,4.6966,5463335.18,
2021-04-12,4.7092,5.0298,3.7,4.0301,10067096.71,
2021-04-19,4.0295,7.2537,3.786,5.6067,66351157.8,
2021-04-26,5.6099,6.15,4.991,5.6155,19842218.79,
2021-05-03,5.6215,5.8213,4.9596,5.2642,13719842.26,
2021-05-10,5.2612,5.6,4.1689,4.6019,12683517.95,
2021-05-17,4.6109,6.7,2.2,2.6379,34987689.82,
2021-05-24,2.6397,3.977,2.4835,3.397,15034378.58,
2021-05-31,3.397,3.8,3.1226,3.237,6127949.51,
2021-06-07,3.2347,3.2867,2.4443,2.5886,12682700.37,
2021-06-14,2.5861,2.8591,2.0996,2.3266,14488027.28,
2021-06-21,2.3243,4.68,1.6501,3.47,70419101.89,
2021-06-28,3.4676,3.97,2.8075,3.4172,40113553.47,
2021-07-05,3.4201,3.4201,2.81,2.8882,16004169.66,
2021-07-12,2.8883,3.1999,2.24,2.3187,8834674.85,
2021-07-19,2.3187,2.7566,2.1,2.5342,16558166.06,
2021-07-26,2.5342,2.8376,2.4339,2.6132,8032838.02,
2021-08-02,2.6102,3.1783,2.5673,2.8186,24212507.97,
2021-08-09,2.8197,3.3852,2.771,3.129,13997905.85,
2021-08-16,3.1283,3.3,2.8355,3.2216,14072848.36,
2021-08-23,3.2233,5.13,2.915,4.265,42876850.13,
2021-08-30,4.264,10.957,4.05,5.472,134132905.7,
2021-09-06,5.472,6.323,3.786,4.956,85015451.1,
2021-09-13,4.958,6.22,4.236,5.936,59667150.2,
2021-09-20,5.935,8.284,5.13,6.259,200319871.7,
2021-09-27,6.253,7.016,5.51,6.31,64274404.4,
2021-10-04,6.305,6.344,5.5,5.646,45719980.0,
2021-10-11,5.653,6.6,5.1,6.149,42173636.3,
2021-10-18,6.149,7.05,5.902,6.699,31224419.3,
2021-10-25,6.693,7.865,6.0,6.236,48182468.1,
2021-11-01,6.233,6.748,6.05,6.338,21258325.3,
2021-11-08,6.338,6.776,5.409,5.827,22575639.8,
2021-11-15,5.823,6.22,4.811,5.788,25465269.2,
2021-11-22,5.798,6.219,4.486,4.884,35627578.5,
2021-11-29,4.882,5.268,3.079,3.739,31708294.7,
2021-12-06,3.739,4.758,3.383,3.842,33807994.9,
2021-12-13,3.842,4.25,3.234,4.088,36842040.2,
2021-12-20,4.08,5.185,3.839,5.114,36099493.6,
2021-12-27,5.118,5.4,4.358,5.088,22434957.6,
2022-01-03,5.08,6.05,4.38,4.669,42511214.4,
2022-01-10,4.662,5.368,4.144,4.988,38014648.4,
2022-01-17,4.994,5.018,3.011,3.336,41168890.8,
2022-01-24,3.337,3.36,2.891,3.028,28426001.4,
2022-01-31,3.026,3.428,2.896,3.363,23815374.0,
2022-02-07,3.364,3.752,2.895,2.922,37339797.6,
2022-02-14,2.922,3.199,2.484,2.559,24807190.67,
2022-02-21,2.563,2.707,2.05,2.358,40777969.47,
2022-02-28,2.361,2.904,2.329,2.556,56759545.4,
2022-03-07,2.556,3.007,2.504,2.54,55022329.3,
2022-03-14,2.54,4.0,2.361,2.873,99414212.7,
2022-03-21,2.874,3.333,2.773,3.313,47946867.1,
2022-03-28,3.311,3.905,3.18,3.812,71431767.3,
2022-04-04,3.812,5.218,3.375,3.44,135632831.8,
2022-04-11,3.44,3.459,3.002,3.017,40944030.4,
2022-04-18,3.017,3.364,2.857,2.881,42603481.8,
2022-04-25,2.881,3.032,2.257,2.477,46503093.3,
2022-05-02,2.475,2.699,2.112,2.301,52346617.8,
2022-05-09,2.301,2.362,1.202,1.605,143220304.79,
2022-05-16,1.606,1.607,1.2,1.36,62373451.3,
2022-05-23,1.36,1.585,1.23,1.348,106195809.6,
2022-05-30,1.349,1.528,1.234,1.289,48310749.3,
2022-06-06,1.288,1.365,0.898,0.968,51263701.16,
2022-06-13,0.967,0.983,0.735,0.841,68609492.2,
2022-06-20,0.841,1.05,0.795,0.917,60738927.5,
2022-06-27,0.917,0.981,0.898,0.944,9005323.6,
