index,Open,High,Low,Close,Volume,Adj Close
2021-07-12,0.804036021232605,2.1283109188079834,0.4287829995155334,1.3425270318984983,233500751.0,1.3425270318984983
2021-07-19,1.3428460359573364,1.545470952987671,1.0089579820632937,1.2200820446014404,115623688.0,1.2200820446014404
2021-07-26,1.209,2.485,1.086,1.112,101771003.6,
2021-08-02,1.115,1.22,0.956,1.018,53299525.7,
2021-08-09,1.02,1.888,1.0,1.546,160495604.8,
2021-08-16,1.546,1.969,1.468,1.513,76029936.3,
2021-08-23,1.513,1.749,1.338,1.607,85759743.0,
2021-08-30,1.609,2.177,1.547,1.701,128089018.5,
2021-09-06,1.702,1.775,1.101,1.535,88926150.6,
2021-09-13,1.535,1.588,1.263,1.304,52811700.5,
2021-09-20,1.306,1.348,0.954,1.041,48938921.1,
2021-09-27,1.042,1.246,0.9,1.156,50259835.7,
2021-10-04,1.155,1.37,1.022,1.183,64544178.4,
2021-10-11,1.182,1.545,1.082,1.332,82129706.6,
2021-10-18,1.33,1.358,1.162,1.183,28898698.7,
2021-10-25,1.185,1.275,1.06,1.201,33967844.4,
2021-11-01,1.201,1.6,1.137,1.419,69066276.1,
2021-11-08,1.42,1.451,1.165,1.218,39202637.3,
2021-11-15,1.221,1.35,1.049,1.204,39903351.4,
2021-11-22,1.206,1.347,1.014,1.162,51976715.1,
2021-11-29,1.162,1.18,0.735,0.856,34771238.3,
2021-12-06,0.856,1.145,0.689,0.965,155686962.3,
2021-12-13,0.965,0.99,0.727,0.766,55518620.3,
2021-12-20,0.764,0.867,0.72,0.808,28705713.0,
2021-12-27,0.808,0.835,0.693,0.743,30615764.9,
2022-01-03,0.743,0.743,0.557,0.587,25350781.2,
2022-01-10,0.587,0.799,0.533,0.625,84878075.0,
2022-01-17,0.624,0.648,0.351,0.411,68965556.3,
2022-01-24,0.411,0.429,0.313,0.337,64835893.2,
2022-01-31,0.336,0.391,0.315,0.385,50416983.8,
2022-02-07,0.384,0.64,0.366,0.403,327388285.9,
2022-02-14,0.403,0.442,0.347,0.352,91358242.6,
2022-02-21,0.353,0.381,0.278,0.318,89135424.6,
2022-02-28,0.318,0.409,0.31,0.334,68444053.2,
2022-03-07,0.334,0.339,0.294,0.297,51915690.1,
2022-03-14,0.296,0.373,0.291,0.326,60865248.5,
2022-03-21,0.326,0.402,0.314,0.376,118507996.3,
2022-03-28,0.376,0.619,0.373,0.507,260901197.7,
2022-04-04,0.506,0.534,0.356,0.357,117857841.5,
2022-04-11,0.357,0.369,0.316,0.332,60027688.6,
2022-04-18,0.331,0.366,0.319,0.32,41858556.9,
2022-04-25,0.32,0.329,0.25,0.27,40195816.6,
2022-05-02,0.27,0.3,0.243,0.246,27357737.7,
2022-05-09,0.246,0.252,0.1,0.156,70867548.2,
2022-05-16,0.156,0.215,0.143,0.161,45645000.9,
