index,Open,High,Low,Close,Volume,Adj Close
2018-08-13,3.700000161188655e-05,5.199999941396527e-05,3.700000161188655e-05,3.9999998989515007e-05,84011.0,3.9999998989515007e-05
2018-08-20,3.9999998989515007e-05,3.9999998989515007e-05,3.600000127335079e-05,3.700000161188655e-05,62403.0,3.700000161188655e-05
2018-08-27,3.7999998312443495e-05,7.599999662488699e-05,3.700000161188655e-05,6.0999998822808266e-05,43647.0,6.0999998822808266e-05
2018-09-03,6.0999998822808266e-05,6.600000051548705e-05,4.8999998398358e-05,5.8000001445179805e-05,14918.0,5.8000001445179805e-05
2018-09-10,5.8000001445179805e-05,8.900000102585182e-05,5.400000009103678e-05,7.79999973019585e-05,57610.0,7.79999973019585e-05
2018-09-17,7.79999973019585e-05,8.900000102585182e-05,6.199999916134402e-05,6.500000017695129e-05,49677.0,6.500000017695129e-05
2018-09-24,6.500000017695129e-05,7.100000220816582e-05,4.199999966658652e-05,4.199999966658652e-05,8301.0,4.199999966658652e-05
2018-10-01,4.199999966658652e-05,5.400000009103678e-05,3.199999991920777e-05,3.700000161188655e-05,6707.0,3.700000161188655e-05
2018-10-08,3.700000161188655e-05,3.9999998989515007e-05,2.700000004551839e-05,2.9000000722589903e-05,6655.0,2.9000000722589903e-05
2018-10-15,2.9000000722589903e-05,3.5000000934815034e-05,2.200000017182901e-05,2.200000017182901e-05,8162.0,2.200000017182901e-05
2018-10-22,2.300000051036477e-05,2.8000000384054147e-05,1.9999999494757503e-05,1.9999999494757503e-05,6862.0,1.9999999494757503e-05
2018-10-29,1.9999999494757503e-05,2.300000051036477e-05,1.4000000192027072e-05,1.9999999494757503e-05,3078.0,1.9999999494757503e-05
2018-11-05,1.9999999494757503e-05,2.099999983329326e-05,1.1000000085914508e-05,1.4000000192027072e-05,3633.0,1.4000000192027072e-05
2018-11-12,1.4000000192027072e-05,1.5999999959603883e-05,3.999999989900971e-06,9.000000318337698e-06,3416.0,9.000000318337698e-06
2018-11-19,9.000000318337698e-06,9.000000318337698e-06,6.000000212225132e-06,7.000000096013537e-06,1995.0,7.000000096013537e-06
2018-11-26,7.000000096013537e-06,9.999999747378752e-06,4.999999873689376e-06,7.999999979801942e-06,1807.0,7.999999979801942e-06
2018-12-03,7.000000096013537e-06,7.999999979801942e-06,6.000000212225132e-06,6.000000212225132e-06,1626.0,6.000000212225132e-06
2018-12-10,6.000000212225132e-06,7.000000096013537e-06,4.999999873689376e-06,6.000000212225132e-06,1681.0,6.000000212225132e-06
2018-12-17,6.000000212225132e-06,7.000000096013537e-06,3.000000106112566e-06,4.999999873689376e-06,2803.0,4.999999873689376e-06
2018-12-24,4.999999873689376e-06,7.000000096013537e-06,3.999999989900971e-06,3.999999989900971e-06,895.0,3.999999989900971e-06
2018-12-31,3.999999989900971e-06,4.999999873689376e-06,3.999999989900971e-06,4.999999873689376e-06,690.0,4.999999873689376e-06
2019-01-07,4.999999873689376e-06,9.000000318337698e-06,1.999999994950485e-06,3.000000106112566e-06,743.0,3.000000106112566e-06
2019-01-14,1.999999994950485e-06,3.999999989900971e-06,9.999999974752427e-07,1.999999994950485e-06,170.0,1.999999994950485e-06
2019-01-21,1.999999994950485e-06,4.999999873689376e-06,9.999999974752427e-07,1.999999994950485e-06,1580.0,1.999999994950485e-06
2019-01-28,1.999999994950485e-06,3.999999989900971e-06,1.999999994950485e-06,1.999999994950485e-06,455.0,1.999999994950485e-06
2019-02-04,1.999999994950485e-06,6.000000212225132e-06,1.999999994950485e-06,3.000000106112566e-06,447.0,3.000000106112566e-06
2019-02-11,3.000000106112566e-06,3.000000106112566e-06,1.999999994950485e-06,3.000000106112566e-06,519.0,3.000000106112566e-06
2019-02-18,3.000000106112566e-06,1.1000000085914508e-05,1.999999994950485e-06,1.999999994950485e-06,687.0,1.999999994950485e-06
2019-02-25,1.999999994950485e-06,3.000000106112566e-06,1.999999994950485e-06,1.999999994950485e-06,339.0,1.999999994950485e-06
2019-03-04,1.999999994950485e-06,1.9999999494757503e-05,9.999999974752427e-07,1.999999994950485e-06,228.0,1.999999994950485e-06
2019-03-11,1.999999994950485e-06,1.9999999494757503e-05,9.999999974752427e-07,9.999999974752427e-07,251.0,9.999999974752427e-07
2019-03-18,9.999999974752427e-07,3.000000106112566e-06,9.999999974752427e-07,1.999999994950485e-06,231.0,1.999999994950485e-06
2019-03-25,1.999999994950485e-06,1.2000000424450263e-05,9.999999974752427e-07,9.999999974752427e-07,17802.0,9.999999974752427e-07
2019-04-01,9.999999974752427e-07,7.000000096013537e-06,9.999999974752427e-07,7.000000096013537e-06,620.0,7.000000096013537e-06
2019-04-08,7.000000096013537e-06,3.899999865097925e-05,9.999999974752427e-07,9.999999974752427e-07,113.0,9.999999974752427e-07
2019-04-15,9.999999974752427e-07,3.999999989900971e-06,9.999999974752427e-07,9.999999974752427e-07,188.0,9.999999974752427e-07
2019-04-22,9.999999974752427e-07,3.999999989900971e-06,9.999999974752427e-07,9.999999974752427e-07,183.0,9.999999974752427e-07
2019-04-29,9.999999974752427e-07,3.000000106112566e-06,9.999999974752427e-07,9.999999974752427e-07,165.0,9.999999974752427e-07
2019-05-06,9.999999974752427e-07,3.000000106112566e-06,9.999999974752427e-07,9.999999974752427e-07,96.0,9.999999974752427e-07
2019-05-13,9.999999974752427e-07,1.999999994950485e-06,9.999999974752427e-07,9.999999974752427e-07,116.0,9.999999974752427e-07
