index,Open,High,Low,Close,Volume,Adj Close
2020-10-19,0.0023620000574737,0.0125129995867609,0.0,0.0,19456.0,0.0
2020-10-26,0.77,4.8,0.77,0.8296,36925499.33,
2020-11-02,0.8308,0.9,0.6901,0.8358,30114647.05,
2020-11-09,0.8353,1.2985,0.788,1.2116,19243894.71,
2020-11-16,1.212,1.461,0.9944,1.1664,36360049.47,
2020-11-23,1.1664,1.2599,0.9,1.187,16813827.69,
2020-11-30,1.1871,1.3599,1.0,1.0272,25202333.52,
2020-12-07,1.028,1.2953,0.9487,0.993,33250834.15,
2020-12-14,0.9929,1.194,0.9141,0.9275,29579313.52,
2020-12-21,0.9275,1.08,0.78,0.8041,34131694.88,
2020-12-28,0.8049,0.93,0.7951,0.9254,20689582.0,
2021-01-04,0.9257,1.3012,0.8323,0.9133,62370723.32,
2021-01-11,0.914,1.143,0.793,1.11,21229882.69,
2021-01-18,1.1105,1.575,0.86,1.0198,81343685.6,
2021-01-25,1.0196,1.0343,0.81,0.9186,47494898.36,
2021-02-01,0.9186,1.32,0.8953,1.2601,43513753.22,
2021-02-08,1.2594,2.5668,1.2457,2.0834,70857945.48,
2021-02-15,2.0822,2.73,1.4602,2.1177,42262648.81,
2021-02-22,2.1192,2.1263,1.28,1.5623,32982688.04,
2021-03-01,1.5613,2.1748,1.5574,2.1544,22137553.74,
2021-03-08,2.1565,2.81,1.9487,2.39,32347497.7,
2021-03-15,2.39,2.9455,2.2,2.4546,32098528.5,
2021-03-22,2.4547,2.8908,1.94,2.6747,29255293.4,
2021-03-29,2.6744,3.835,2.5484,3.555,39456732.69,
2021-04-05,3.5573,3.9688,3.01,3.4212,33019897.89,
2021-04-12,3.4192,3.4932,1.9001,2.5151,21275530.34,
2021-04-19,2.5156,2.6371,1.8262,2.267,31314098.02,
2021-04-26,2.2655,2.9184,2.2465,2.6578,34252934.97,
2021-05-03,2.6597,3.4406,2.5904,3.1016,53641548.66,
2021-05-10,3.1036,3.185,2.0001,2.1688,26256875.93,
2021-05-17,2.17,2.1714,0.8932,1.1151,39479076.05,
2021-05-24,1.1077,1.4991,1.0136,1.2634,22316423.9,
2021-05-31,1.2604,1.5823,1.1934,1.2708,27011913.89,
2021-06-07,1.273,1.3922,1.0443,1.206,20152201.47,
2021-06-14,1.21,1.4444,1.09,1.1503,39215018.95,
2021-06-21,1.152,1.1785,0.75,0.9109,16793808.48,
2021-06-28,0.9092,1.2751,0.885,1.1989,33042172.91,
2021-07-05,1.1986,1.2064,0.9751,1.0606,18725867.12,
2021-07-12,1.0614,1.28,0.9325,1.0773,37947595.64,
2021-07-19,1.0773,1.1605,0.8837,1.0929,40517493.96,
2021-07-26,1.0945,1.2197,0.965,1.1018,56504370.86,
2021-08-02,1.1044,1.3868,1.0709,1.2011,52550719.9,
2021-08-09,1.2029,1.7927,1.1558,1.7042,65042879.09,
2021-08-16,1.7042,2.4773,1.4986,2.2126,92093173.07,
2021-08-23,2.2126,3.085,2.144,2.397,72060049.1,
2021-08-30,2.395,2.97,2.278,2.865,50326684.21,
2021-09-06,2.865,3.0,1.664,2.151,49142170.36,
2021-09-13,2.153,2.2,1.827,1.957,26254500.3,
2021-09-20,1.955,1.967,1.401,1.515,32259760.0,
2021-09-27,1.515,1.982,1.386,1.916,31065300.2,
2021-10-04,1.916,2.227,1.744,1.798,23020221.8,
2021-10-11,1.798,2.218,1.639,2.132,36776762.3,
2021-10-18,2.133,2.172,1.899,1.946,23355133.0,
2021-10-25,1.946,2.297,1.748,1.951,35907848.4,
2021-11-01,1.952,2.306,1.855,2.152,27234988.6,
2021-11-08,2.153,2.156,1.686,1.923,22090476.1,
2021-11-15,1.925,2.029,1.504,1.753,21200843.1,
2021-11-22,1.75,1.913,1.55,1.679,17738895.7,
2021-11-29,1.679,3.28,1.2,1.533,156305680.22,
2021-12-06,1.533,1.857,1.404,1.748,54731256.9,
2021-12-13,1.747,1.9,1.475,1.755,30268972.6,
2021-12-20,1.754,2.185,1.605,1.942,24000386.7,
2021-12-27,1.943,2.025,1.535,1.776,20494066.1,
2022-01-03,1.775,1.83,1.337,1.36,19642291.2,
2022-01-10,1.36,1.566,1.24,1.489,12260794.3,
2022-01-17,1.49,1.495,1.09,1.154,26470415.37,
2022-01-24,1.153,1.495,1.04,1.414,23116275.8,
2022-01-31,1.41,1.58,1.219,1.489,13194051.4,
2022-02-07,1.489,1.571,1.21,1.244,14433850.6,
2022-02-14,1.243,1.359,1.032,1.063,16216672.6,
2022-02-21,1.063,1.207,0.933,1.081,23596770.0,
2022-02-28,1.081,1.283,1.054,1.088,21045379.1,
2022-03-07,1.088,1.246,1.059,1.073,19719903.6,
2022-03-14,1.072,1.33,1.049,1.194,15115041.7,
2022-03-21,1.195,1.468,1.166,1.444,13641208.9,
2022-03-28,1.445,1.76,1.329,1.528,52720679.9,
2022-04-04,1.527,1.764,1.221,1.275,67670391.0,
2022-04-11,1.278,1.357,1.16,1.239,18994642.3,
2022-04-18,1.239,1.423,1.125,1.198,42830920.9,
2022-04-25,1.197,1.199,0.96,1.065,21927700.3,
2022-05-02,1.066,1.137,0.922,0.948,25240300.2,
2022-05-09,0.947,0.978,0.71,0.832,37556982.9,
2022-05-16,0.833,0.868,0.735,0.838,16746469.4,
2022-05-23,0.837,0.873,0.752,0.846,14384279.0,
2022-05-30,0.846,0.945,0.772,0.796,14940593.2,
2022-06-06,0.798,0.884,0.732,0.849,18613717.3,
2022-06-13,0.85,0.948,0.721,0.81,35518979.6,
2022-06-20,0.811,0.876,0.769,0.807,13465362.3,
2022-06-27,0.807,0.832,0.779,0.808,1842609.8,
