index,Open,High,Low,Close,Volume,Adj Close
2021-11-01,0.023,16.79999,0.023,2.07632,364251097.0,
2021-11-08,2.07578,2.85,1.68492,2.13265,222203978.0,
2021-11-15,2.13265,4.57819,1.76,3.1382,430538118.0,
2021-11-22,3.14697,4.89,2.75,3.64082,392482314.0,
2021-11-29,3.64082,4.17243,1.81677,2.16748,193867371.0,
2021-12-06,2.16748,2.7696,1.88,2.24938,151154923.0,
2021-12-13,2.24719,2.265,1.85222,1.96232,83236996.0,
2021-12-20,1.96315,2.7542,1.929,2.52074,139726195.0,
2021-12-27,2.5207,2.70171,2.0068,2.09213,58120325.0,
2022-01-03,2.09213,2.1721,1.55395,1.71828,62454750.0,
2022-01-10,1.71598,1.74309,1.47751,1.5234,37269773.0,
2022-01-17,1.52348,1.52683,0.65205,0.76091,63246339.0,
2022-01-24,0.76091,0.86263,0.63129,0.74521,89908000.0,
2022-01-31,0.74521,1.275,0.68011,1.12685,294545846.0,
2022-02-07,1.12685,1.343,0.97238,1.00734,309811155.0,
2022-02-14,1.00837,1.1083,0.79928,0.82153,109642138.0,
2022-02-21,0.8216,0.87144,0.63,0.72349,85711534.0,
2022-02-28,0.72508,0.93,0.7,0.70453,113078094.0,
2022-03-07,0.7042,0.77,0.61084,0.6418,124371840.0,
2022-03-14,0.6417,0.84444,0.611,0.71594,139373052.0,
2022-03-21,0.71599,0.98,0.71384,0.89714,298678458.0,
2022-03-28,0.89712,1.286,0.8478,1.15911,455209065.0,
2022-04-04,1.15862,1.58499,1.04427,1.12148,399398660.0,
2022-04-11,1.12058,1.15424,0.96499,0.97593,121146797.0,
2022-04-18,0.97533,1.22868,0.908,1.04899,193032883.0,
2022-04-25,1.04766,2.222,0.92433,1.31297,1155156703.0,
2022-05-02,1.3137,1.6361,0.95155,0.96603,718300689.0,
2022-05-09,0.96578,1.00666,0.2838,0.47388,849659591.0,
2022-05-16,0.47389,0.5335,0.40223,0.4897,128822564.0,
