index,Open,High,Low,Close,Volume,Adj Close
2020-08-03,0.9526159763336182,3.588536024093628,0.7915549874305725,2.88877010345459,9524351.0,2.88877010345459
2020-08-10,2.88877010345459,3.2648301124572754,2.05505108833313,2.962709903717041,41756830.0,2.962709903717041
2020-08-17,2.962709903717041,3.975241899490357,2.100224018096924,3.0963120460510254,228718366.0,3.0963120460510254
2020-08-24,3.1004979610443115,4.611175060272217,2.6106081008911133,4.3298869132995605,293756933.0,4.3298869132995605
2020-08-31,4.12,4.12,1.826,2.316,4918777.576,
2020-09-07,2.316,2.98,1.86,2.376,11210182.154,
2020-09-14,2.376,2.955,1.81,1.878,14337177.898,
2020-09-21,1.877,1.944,1.16,1.431,13880991.396,
2020-09-28,1.431,1.539,1.112,1.253,20559042.24,
2020-10-05,1.254,1.516,0.918,1.483,13754484.237,
2020-10-12,1.486,1.613,1.202,1.344,9367875.357,
2020-10-19,1.34,1.495,1.107,1.469,10981998.325,
2020-10-26,1.471,1.514,1.041,1.133,9119382.26,
2020-11-02,1.132,1.3,0.95,1.118,12052614.978,
2020-11-09,1.119,1.293,1.033,1.264,18374262.804,
2020-11-16,1.265,1.919,1.115,1.677,29733399.357,
2020-11-23,1.681,1.986,1.301,1.572,24075562.538,
2020-11-30,1.571,1.97,1.499,1.628,16179816.197,
2020-12-07,1.628,1.863,1.3,1.459,12545722.903,
2020-12-14,1.458,1.61,1.337,1.407,10592445.972,
2020-12-21,1.405,1.449,1.049,1.189,7536698.384,
2020-12-28,1.19,1.377,1.12,1.311,10236576.445,
2021-01-04,1.308,1.745,1.202,1.465,18541144.185,
2021-01-11,1.469,1.95,1.151,1.785,22109598.132,
2021-01-18,1.782,2.348,1.45,2.099,31235363.206,
2021-01-25,2.098,2.249,1.68,1.843,27491451.093,
2021-02-01,1.843,2.46,1.722,2.038,27250597.322,
2021-02-08,2.043,3.439,1.983,2.761,34322588.568,
2021-02-15,2.758,3.736,2.25,2.944,42016789.613,
2021-02-22,2.95,2.957,1.824,2.06,28102644.951,
2021-03-01,2.053,2.65,2.02,2.429,35729711.098,
2021-03-08,2.42,3.073,2.302,2.787,29456188.263,
2021-03-15,2.787,4.198,2.536,3.382,44806137.872,
2021-03-22,3.384,4.0,2.634,3.594,24692581.942,
2021-03-29,3.594,5.133,3.469,5.081,31593820.417,
2021-04-05,5.08,5.409,4.067,4.675,21754611.433,
2021-04-12,4.675,5.13,3.525,3.993,20814706.677,
2021-04-19,3.986,4.25,2.752,3.024,28221008.597,
2021-04-26,3.019,4.649,2.969,4.43,23029894.008,
2021-05-03,4.439,5.8,4.15,4.839,39118840.335,
2021-05-10,4.834,5.199,3.502,3.847,31267283.713,
2021-05-17,3.844,3.857,1.251,1.589,28480883.995,
2021-05-24,1.575,2.395,1.57,1.855,24586569.929,
2021-05-31,1.855,2.24,1.68,1.847,19984616.829,
2021-06-07,1.854,2.093,1.37,1.547,22702974.202,
2021-06-14,1.548,1.724,1.29,1.413,12479496.088,
2021-06-21,1.414,1.423,0.921,1.144,14531715.59,
2021-06-28,1.147,1.273,1.106,1.186,11404848.596,
2021-07-05,1.185,1.42,1.12,1.395,19818339.713,
2021-07-12,1.395,1.59,1.135,1.19,27396282.915,
2021-07-19,1.188,1.266,1.0,1.244,12847394.95,
2021-07-26,1.242,1.53,1.232,1.455,21865989.977,
2021-08-02,1.455,1.71,1.324,1.516,41279356.5,
2021-08-09,1.518,2.09,1.46,2.022,28063312.721,
2021-08-16,2.024,2.339,1.793,2.206,30214797.089,
2021-08-23,2.208,2.302,1.854,2.006,17292261.179,
2021-08-30,2.006,2.544,1.931,2.253,32420529.036,
2021-09-06,2.252,2.57,1.621,2.11,63876151.099,
2021-09-13,2.112,2.148,1.784,1.813,21363088.5,
2021-09-20,1.814,1.83,1.31,1.582,25828551.566,
2021-09-27,1.586,1.87,1.402,1.688,17021814.2,
2021-10-04,1.687,2.16,1.612,1.979,22489404.5,
2021-10-11,1.98,2.074,1.639,1.769,16033654.3,
2021-10-18,1.769,2.131,1.667,1.774,14712601.8,
2021-10-25,1.774,2.07,1.576,1.827,13337384.6,
2021-11-01,1.829,2.057,1.751,1.839,13368153.5,
2021-11-08,1.839,2.2,1.795,1.915,25280815.7,
2021-11-15,1.915,1.988,1.647,1.86,14709891.5,
2021-11-22,1.864,2.388,1.686,1.911,27548208.1,
2021-11-29,1.913,2.169,1.38,1.466,25409246.1,
2021-12-06,1.466,1.598,1.282,1.369,13402978.7,
2021-12-13,1.372,1.375,1.156,1.208,10527405.559,
2021-12-20,1.205,1.449,1.142,1.418,10681388.3,
2021-12-27,1.418,1.503,1.223,1.312,13260140.9,
2022-01-03,1.312,1.451,1.039,1.146,13324967.586,
2022-01-10,1.148,1.295,1.038,1.217,7633682.9,
2022-01-17,1.217,1.343,0.801,0.885,10959790.327,
2022-01-24,0.887,1.305,0.73,0.934,46611835.6,
2022-01-31,0.936,1.034,0.88,1.019,7494674.8,
2022-02-07,1.019,1.1,0.933,0.946,10930684.6,
2022-02-14,0.946,1.463,0.925,0.946,73237730.8,
2022-02-21,0.946,1.242,0.86,0.99,64049520.0,
2022-02-28,0.991,1.11,0.948,0.954,18549511.0,
2022-03-07,0.954,1.012,0.867,0.872,18484561.6,
2022-03-14,0.871,1.08,0.844,0.937,25658200.9,
2022-03-21,0.936,1.074,0.919,1.059,14634226.6,
2022-03-28,1.059,1.2,1.025,1.144,20893750.5,
2022-04-04,1.144,1.176,0.907,0.933,12571833.9,
2022-04-11,0.934,1.008,0.85,0.87,10143717.9,
2022-04-18,0.868,0.994,0.845,0.872,8661395.6,
2022-04-25,0.873,0.873,0.744,0.77,6203285.9,
2022-05-02,0.769,0.819,0.642,0.647,5594083.8,
2022-05-09,0.648,0.654,0.307,0.408,19464287.2,
2022-05-16,0.41,0.41,0.367,0.4,2081543.7,
