index,Open,High,Low,Close,Volume,Adj Close
2020-09-28,0.0623710006475448,0.0661289989948272,0.0623710006475448,0.0660919994115829,0.0,0.0660919994115829
2020-10-19,0.4025160074234009,0.4525299966335296,0.2840659916400909,0.285299003124237,925621.0,0.285299003124237
2020-10-26,0.285299003124237,0.2953569889068603,0.2454230040311813,0.2503449916839599,988864.0,0.2503449916839599
2020-11-02,0.2503449916839599,0.2526400089263916,0.190991997718811,0.2220029979944229,715500.0,0.2220029979944229
2020-11-09,0.2220039963722229,0.3016979992389679,0.2021699994802475,0.2622590065002441,791060.0,0.2622590065002441
2020-11-16,0.2622590065002441,0.309033989906311,0.2519840002059936,0.2613010108470917,637875.0,0.2613010108470917
2020-11-23,0.2613010108470917,0.2793389856815338,0.2248629927635193,0.236067995429039,504559.0,0.236067995429039
2020-11-30,0.236065998673439,0.2408719956874847,0.1886599957942962,0.1897200047969818,466215.0,0.1897200047969818
2020-12-07,0.1897239983081817,0.1958979964256286,0.1623760014772415,0.168502002954483,601946.0,0.168502002954483
2020-12-14,0.1684969961643219,0.2727659940719604,0.1508930027484893,0.2634420096874237,2049176.0,0.2634420096874237
2020-12-21,0.2634409964084625,0.3008669912815094,0.1889290064573288,0.1924629956483841,2970416.0,0.1924629956483841
2020-12-28,0.1924629956483841,0.216729998588562,0.1609790027141571,0.2001589983701706,1383279.0,0.2001589983701706
2021-01-04,0.2001660019159317,0.3260189890861511,0.1923750042915344,0.2879999876022339,2627299.0,0.2879999876022339
2021-01-11,0.2879999876022339,0.382656991481781,0.2640730142593384,0.364995002746582,3022304.0,0.364995002746582
2021-01-18,0.3649759888648987,0.8742939829826355,0.3518610000610351,0.7825570106506348,7721975.0,0.7825570106506348
2021-01-25,0.7825610041618347,2.032089948654175,0.6701840162277222,1.7948930263519287,25387342.0,1.7948930263519287
2021-02-01,1.7947499752044678,1.9750820398330688,1.353729009628296,1.498216986656189,29537960.0,1.498216986656189
2021-02-08,1.4986189603805542,2.5897390842437744,1.391427993774414,2.367079973220825,31161616.0,2.367079973220825
2021-02-15,2.788,10.0,2.788,6.844,104974944.236,
2021-02-22,6.843,7.07,3.286,3.62,73198788.671,
2021-03-01,3.623,4.799,3.58,4.215,39935535.215,
2021-03-08,4.215,4.36,3.3,4.094,53908163.099,
2021-03-15,4.095,5.111,3.823,3.913,44029893.198,
2021-03-22,3.917,4.29,2.944,4.05,44170955.725,
2021-03-29,4.056,4.7,3.553,3.93,38989795.806,
2021-04-05,3.937,4.95,3.333,4.786,48330407.305,
2021-04-12,4.781,5.65,3.218,3.787,101268494.011,
2021-04-19,3.787,3.997,2.445,2.713,58545144.344,
2021-04-26,2.714,4.176,2.677,4.17,73610039.904,
2021-05-03,4.17,4.495,3.402,3.555,59116822.519,
2021-05-10,3.555,3.68,2.566,2.725,42589928.777,
2021-05-17,2.724,2.762,0.865,1.07,84493095.248,
2021-05-24,1.071,1.9,1.036,1.594,94364770.478,
2021-05-31,1.591,1.97,1.466,1.686,53268854.986,
2021-06-07,1.685,1.85,1.175,1.333,46997456.321,
2021-06-14,1.335,1.429,1.177,1.273,50393627.665,
2021-06-21,1.274,1.279,0.76,0.876,59094939.419,
2021-06-28,0.876,1.034,0.798,0.931,44989769.991,
2021-07-05,0.929,1.25,0.835,1.211,107389234.219,
2021-07-12,1.211,1.396,0.906,0.916,124728273.886,
2021-07-19,0.917,1.087,0.752,1.034,93545205.569,
2021-07-26,1.035,1.3,0.941,1.177,104610498.467,
2021-08-02,1.179,1.641,1.146,1.42,101467318.976,
2021-08-09,1.42,1.83,1.326,1.706,92310803.296,
2021-08-16,1.706,2.347,1.682,2.26,170902651.941,
2021-08-23,2.257,2.381,1.72,1.855,80864481.503,
2021-08-30,1.855,2.19,1.745,2.134,97637968.356,
2021-09-06,2.135,2.2,1.306,1.516,95628423.216,
2021-09-13,1.516,1.688,1.291,1.578,65113855.512,
2021-09-20,1.578,1.585,1.063,1.194,112011887.6,
2021-09-27,1.193,1.457,1.109,1.358,69381935.8,
2021-10-04,1.358,1.55,1.255,1.324,61554571.3,
2021-10-11,1.323,1.986,1.187,1.535,157990566.0,
2021-10-18,1.535,1.689,1.457,1.504,77122061.0,
2021-10-25,1.504,1.965,1.355,1.728,131149842.9,
2021-11-01,1.729,1.895,1.569,1.846,88986031.5,
2021-11-08,1.847,1.876,1.462,1.657,77796872.1,
2021-11-15,1.657,1.719,1.215,1.413,66071684.8,
2021-11-22,1.414,1.588,1.24,1.402,90176409.5,
2021-11-29,1.404,1.542,0.771,0.928,114277922.131,
2021-12-06,0.929,1.004,0.836,0.921,73345211.3,
2021-12-13,0.921,0.928,0.774,0.826,45117916.2,
2021-12-20,0.826,1.053,0.775,1.002,69942114.2,
2021-12-27,1.002,1.1,0.825,0.923,75802716.4,
2022-01-03,0.923,0.978,0.722,0.749,103538622.681,
2022-01-10,0.749,0.84,0.665,0.807,49520490.625,
2022-01-17,0.808,0.814,0.452,0.507,62111528.584,
2022-01-24,0.507,0.54,0.433,0.496,54574798.5,
2022-01-31,0.496,0.581,0.454,0.556,105887361.0,
2022-02-07,0.557,0.65,0.489,0.499,108172342.3,
2022-02-14,0.499,0.555,0.456,0.471,51236651.0,
2022-02-21,0.473,0.505,0.38,0.416,66033961.2,
2022-02-28,0.416,0.49,0.394,0.395,37755742.3,
2022-03-07,0.395,0.425,0.358,0.364,45137559.9,
2022-03-14,0.364,0.46,0.354,0.419,75703272.9,
2022-03-21,0.419,0.499,0.407,0.49,72030618.3,
2022-03-28,0.49,0.658,0.473,0.567,231748867.9,
2022-04-04,0.567,0.569,0.398,0.402,143123849.4,
2022-04-11,0.402,0.426,0.356,0.378,137994438.8,
2022-04-18,0.378,0.453,0.357,0.389,124092919.7,
2022-04-25,0.389,0.391,0.262,0.304,92604225.0,
2022-05-02,0.305,0.331,0.261,0.275,79962259.4,
2022-05-09,0.274,0.278,0.121,0.169,134238489.0,
2022-05-16,0.169,0.172,0.149,0.172,13039257.1,
