index,Open,High,Low,Close,Volume,Adj Close
2019-07-08,0.1952300071716308,0.2088380008935928,0.1669649928808212,0.1703940033912658,603801.0,0.1703940033912658
2019-07-15,0.1704310029745102,0.2635470032691955,0.1425500065088272,0.2235150039196014,1859196.0,0.2235150039196014
2019-07-22,0.612,0.667,0.1515,0.1576,45154184.73,
2019-07-29,0.1576,0.1594,0.1105,0.1117,20476018.26,
2019-08-05,0.1116,0.176,0.0971,0.1177,128392157.74,
2019-08-12,0.1178,0.2852,0.1178,0.217,245143636.72,
2019-08-19,0.2171,0.2272,0.154,0.17,143488886.55,
2019-08-26,0.1714,0.1748,0.122,0.1313,65208128.78,
2019-09-02,0.1314,0.1394,0.1013,0.1137,55380795.93,
2019-09-09,0.1141,0.115,0.0851,0.0907,38864970.58,
2019-09-16,0.0904,0.1013,0.0836,0.0852,33975578.33,
2019-09-23,0.0856,0.0911,0.053,0.0616,32637997.6,
2019-09-30,0.0618,0.0649,0.0555,0.0567,18132306.11,
2019-10-07,0.0563,0.0798,0.0559,0.0711,43126724.42,
2019-10-14,0.0704,0.0776,0.0567,0.0608,32889907.23,
2019-10-21,0.061,0.0626,0.0491,0.0518,29954086.04,
2019-10-28,0.0518,0.0655,0.0509,0.0598,42094728.27,
2019-11-04,0.0598,0.0625,0.0527,0.0557,26975809.23,
2019-11-11,0.056,0.0561,0.0507,0.0524,14490039.31,
2019-11-18,0.0522,0.053,0.0346,0.0349,18605628.26,
2019-11-25,0.0351,0.0478,0.0312,0.0418,38071845.04,
2019-12-02,0.042,0.0606,0.0389,0.0538,47681875.62,
2019-12-09,0.054,0.06,0.0398,0.0417,34546774.14,
2019-12-16,0.0418,0.0448,0.0316,0.0405,35835930.33,
2019-12-23,0.0405,0.049,0.0397,0.0449,45082593.41,
2019-12-30,0.0449,0.0457,0.0375,0.0396,28187136.58,
2020-01-06,0.0399,0.0406,0.0346,0.0361,20659466.82,
2020-01-13,0.0361,0.0436,0.0353,0.038,42055312.98,
2020-01-20,0.0382,0.0396,0.0349,0.0368,17092761.53,
2020-01-27,0.0368,0.0381,0.0329,0.0369,16530020.0,
2020-02-03,0.0368,0.0464,0.0368,0.0443,55658996.81,
2020-02-10,0.0443,0.0603,0.0385,0.0435,85726273.09,
2020-02-17,0.0429,0.0457,0.0374,0.0449,34425819.03,
2020-02-24,0.0446,0.047,0.0315,0.035,54029203.96,
2020-03-02,0.0352,0.0422,0.0322,0.0325,31055149.88,
2020-03-09,0.0325,0.037,0.0106,0.016,55624448.53,
2020-03-16,0.016,0.0196,0.0122,0.0157,43949344.48,
2020-03-23,0.0156,0.0228,0.0152,0.016,57550759.31,
2020-03-30,0.0161,0.0196,0.0161,0.0187,26406109.33,
2020-04-06,0.0186,0.0207,0.0166,0.0179,24170710.83,
2020-04-13,0.0179,0.0203,0.0168,0.0191,22050254.16,
2020-04-20,0.0191,0.0217,0.0174,0.0214,26466779.74,
2020-04-27,0.0215,0.0242,0.0204,0.023,73819516.58,
2020-05-04,0.023,0.023,0.0177,0.0189,25673951.3,
2020-05-11,0.019,0.0246,0.0172,0.0208,56621933.81,
2020-05-18,0.0207,0.032,0.0201,0.028,90794496.31,
2020-05-25,0.028,0.0312,0.0256,0.0267,92086360.61,
2020-06-01,0.0266,0.0318,0.0251,0.0303,37961260.7,
2020-06-08,0.0305,0.0345,0.0284,0.0297,48864198.84,
2020-06-15,0.0297,0.037,0.027,0.0337,52737143.69,
2020-06-22,0.0337,0.0364,0.027,0.0293,37566986.09,
2020-06-29,0.0293,0.0328,0.0281,0.0307,20031623.47,
2020-07-06,0.0309,0.0405,0.0305,0.0388,54373535.05,
2020-07-13,0.0388,0.063,0.0359,0.0551,146815183.15,
2020-07-20,0.0551,0.0735,0.0532,0.0559,69617285.7,
2020-07-27,0.056,0.0674,0.0446,0.0578,64919771.81,
2020-08-03,0.0581,0.1025,0.0566,0.0863,109931678.01,
2020-08-10,0.0863,0.1296,0.0775,0.1083,225828718.03,
2020-08-17,0.1083,0.1121,0.0757,0.0821,113178179.33,
2020-08-24,0.082,0.0959,0.0781,0.0867,45796839.51,
2020-08-31,0.0867,0.1116,0.0512,0.0636,71507557.3,
2020-09-07,0.0632,0.0722,0.053,0.0601,47104372.17,
2020-09-14,0.0598,0.0626,0.0485,0.0511,30747256.2,
2020-09-21,0.051,0.0534,0.0376,0.0445,34338284.66,
2020-09-28,0.0447,0.0478,0.038,0.0394,19682557.14,
2020-10-05,0.0394,0.047,0.0354,0.0456,17919416.98,
2020-10-12,0.0456,0.0574,0.0377,0.0399,47311953.04,
2020-10-19,0.0399,0.042,0.0359,0.0392,12030012.81,
2020-10-26,0.0392,0.082,0.0367,0.0532,108653799.21,
2020-11-02,0.0533,0.0557,0.0417,0.0483,43791066.5,
2020-11-09,0.0484,0.0522,0.0417,0.0423,42947620.21,
2020-11-16,0.0423,0.0594,0.0395,0.053,60301364.11,
2020-11-23,0.0531,0.063,0.0424,0.0496,85897959.57,
2020-11-30,0.0497,0.058,0.0469,0.0499,37697156.12,
2020-12-07,0.0497,0.0649,0.0441,0.0556,440166704.95,
2020-12-14,0.0555,0.064,0.0503,0.0554,330182942.16,
2020-12-21,0.0554,0.0584,0.041,0.0482,42893398.79,
2020-12-28,0.0483,0.0535,0.0419,0.047,40713856.22,
2021-01-04,0.0469,0.0685,0.0435,0.0577,90258133.09,
2021-01-11,0.0577,0.0638,0.0455,0.0602,80868615.37,
2021-01-18,0.0602,0.0785,0.0548,0.0705,101447838.71,
2021-01-25,0.0705,0.1038,0.0591,0.0723,144563142.78,
2021-02-01,0.0724,0.106,0.0697,0.1005,145440501.97,
2021-02-08,0.1005,0.2114,0.0942,0.191,180180456.23,
2021-02-15,0.19,0.27,0.1453,0.2459,157376731.12,
2021-02-22,0.2471,0.28,0.1522,0.1901,156930548.78,
2021-03-01,0.1905,0.2638,0.1893,0.2442,111255174.24,
2021-03-08,0.2447,0.3374,0.2419,0.2964,155640797.88,
2021-03-15,0.2967,0.439,0.2766,0.3697,165249728.57,
2021-03-22,0.3704,0.395,0.2988,0.3536,98018007.92,
2021-03-29,0.3536,0.4299,0.346,0.402,89880574.54,
2021-04-05,0.4013,0.4617,0.3487,0.3693,122645020.56,
2021-04-12,0.3699,0.4117,0.3036,0.3195,240450985.32,
2021-04-19,0.3194,0.3539,0.1852,0.2104,193152489.02,
2021-04-26,0.2111,0.3077,0.2097,0.2798,146823654.56,
2021-05-03,0.2795,0.3139,0.2479,0.2781,119772540.3,
2021-05-10,0.2781,0.2843,0.1813,0.2005,88956820.07,
2021-05-17,0.2011,0.2022,0.0842,0.1062,113362006.82,
2021-05-24,0.1063,0.1651,0.1039,0.1256,151121002.23,
2021-05-31,0.1256,0.1387,0.1074,0.1189,88802299.8,
2021-06-07,0.1187,0.1539,0.0945,0.12,177528582.31,
2021-06-14,0.1199,0.1428,0.1116,0.1194,127635742.79,
2021-06-21,0.1195,0.13,0.0833,0.1144,128883196.16,
2021-06-28,0.1144,0.134,0.1081,0.1257,91164279.71,
2021-07-05,0.1255,0.1291,0.1069,0.1158,82526702.24,
2021-07-12,0.116,0.119,0.1012,0.1052,80686729.13,
2021-07-19,0.1051,0.115,0.0915,0.1084,75622449.69,
2021-07-26,0.1084,0.1216,0.1061,0.1085,111283743.63,
2021-08-02,0.1084,0.1594,0.1054,0.1255,263945919.39,
2021-08-09,0.1258,0.1733,0.1228,0.1561,219864787.39,
2021-08-16,0.1559,0.1777,0.1384,0.1734,325558022.52,
2021-08-23,0.1737,0.188,0.1455,0.173,104604857.23,
2021-08-30,0.1729,0.204,0.16,0.1911,97854326.39,
2021-09-06,0.191,0.196,0.1353,0.1609,97751279.97,
2021-09-13,0.1609,0.1744,0.1421,0.1553,57991676.0,
2021-09-20,0.1553,0.1684,0.1254,0.1492,112144420.76,
2021-09-27,0.1493,0.1665,0.1301,0.156,67786073.0,
2021-10-04,0.156,0.185,0.1463,0.161,100825408.0,
2021-10-11,0.1609,0.2174,0.1431,0.1798,287709847.89,
2021-10-18,0.1797,0.2083,0.1642,0.1684,110587737.0,
2021-10-25,0.1684,0.1799,0.1495,0.1746,106118463.0,
2021-11-01,0.1746,0.2868,0.1673,0.2463,247519878.61,
2021-11-08,0.2465,0.3781,0.2424,0.3501,246153632.73,
2021-11-15,0.3507,0.407,0.2575,0.3255,311174662.44,
2021-11-22,0.3256,0.3836,0.2867,0.311,146709465.0,
2021-11-29,0.311,0.3632,0.2041,0.2218,118039251.0,
2021-12-06,0.2219,0.4844,0.1868,0.4282,827462427.86,
2021-12-13,0.4281,0.662,0.3961,0.429,634120841.29,
2021-12-20,0.4291,0.7999,0.4244,0.7068,484786033.19,
2021-12-27,0.7061,1.1743,0.6787,0.9435,439799967.56,
