index,Open,High,Low,Close,Volume,Adj Close
2020-08-31,19.71,35.0,10.2,13.368,2925530.844,
2020-09-07,13.37,15.67,11.508,13.306,2747032.656,
2020-09-14,13.306,14.939,9.772,10.717,1900281.702,
2020-09-21,10.693,11.0,8.154,10.028,2593871.878,
2020-09-28,10.028,10.971,8.87,9.036,1564422.851,
2020-10-05,9.026,9.119,6.465,8.171,2429193.121,
2020-10-12,8.171,8.35,7.0,7.612,1174885.218,
2020-10-19,7.615,10.28,6.0,9.257,3254208.299,
2020-10-26,9.25,9.54,7.1,7.674,2568965.611,
2020-11-02,7.685,8.587,6.988,8.339,2251371.901,
2020-11-09,8.338,8.835,7.287,7.576,1834277.391,
2020-11-16,7.57,8.5,7.099,8.028,2606978.636,
2020-11-23,8.036,10.371,7.935,8.923,5311484.924,
2020-11-30,8.933,14.68,8.73,13.707,6455970.758,
2020-12-07,13.718,17.275,12.229,16.923,4596570.933,
2020-12-14,16.895,27.812,16.5,25.638,12178042.553,
2020-12-21,25.635,29.8,20.534,21.849,8172263.252,
2020-12-28,21.875,28.07,21.515,27.321,4814956.755,
2021-01-04,27.323,42.0,26.0,36.229,7429073.185,
2021-01-11,36.23,39.2,27.0,37.484,5062913.803,
2021-01-18,37.506,41.908,35.02,41.232,3595367.159,
2021-01-25,41.277,74.373,41.16,63.399,7555487.39,
2021-02-01,63.387,142.97,58.02,139.744,6229890.284,
2021-02-08,139.746,216.998,128.9,154.14,8100935.059,
2021-02-15,154.264,169.0,65.6,140.707,6377089.135,
2021-02-22,140.707,154.0,90.0,130.586,5564578.081,
2021-03-01,130.553,160.0,127.278,145.786,3220141.842,
2021-03-08,145.785,165.0,125.0,131.735,2044683.502,
2021-03-15,131.832,148.765,124.48,138.473,1384322.23,
2021-03-22,138.276,153.311,115.775,141.588,1876933.791,
2021-03-29,141.588,186.629,131.755,168.2,2324017.627,
2021-04-05,168.106,243.273,159.175,237.014,3391688.876,
2021-04-12,237.014,245.8,125.0,189.991,2921775.064,
2021-04-19,189.975,196.0,138.0,149.5,2610930.0371,
2021-04-26,149.4,187.81,148.13,180.55,1214624.5941,
2021-05-03,180.57,205.0,174.46,187.84,1318335.4773,
2021-05-10,187.9,191.82,143.03,154.63,1828117.2729,
2021-05-17,154.6,154.77,65.95,85.33,3978033.1313,
2021-05-24,85.43,121.79,82.56,92.91,2167679.3741,
2021-05-31,92.87,111.23,90.01,97.38,1167895.2978,
2021-06-07,97.25,106.37,76.0,87.22,1320808.001,
2021-06-14,87.28,94.3,76.44,80.27,920230.1895,
2021-06-21,80.17,80.99,53.41,65.8,1787584.6794,
2021-06-28,65.75,96.58,64.51,93.53,1569118.2359,
2021-07-05,93.45,107.81,84.81,89.17,1543564.7991,
2021-07-12,89.19,91.0,72.11,74.49,970861.288,
2021-07-19,74.44,88.36,65.0,84.99,1170203.4387,
2021-07-26,84.91,95.0,80.8,87.13,1620019.4429,
2021-08-02,87.11,129.0,85.67,125.46,2346794.4376,
2021-08-09,125.42,143.5,118.44,136.66,1581662.1878,
2021-08-16,136.62,159.9,128.36,148.65,2348594.4348,
2021-08-23,148.61,154.89,128.36,140.99,1176035.5107,
2021-08-30,141.05,185.79,139.24,176.18,2012724.7064,
2021-09-06,176.26,295.8,133.0,266.44,4569030.8248,
2021-09-13,266.34,303.03,222.61,224.81,3285288.0556,
2021-09-20,224.89,258.85,171.59,223.5,4294148.78,
2021-09-27,223.27,259.0,196.07,254.33,2118959.89,
2021-10-04,254.28,277.85,221.5,240.03,1812936.58,
2021-10-11,239.8,267.0,220.07,236.15,1050016.75,
2021-10-18,236.17,295.0,224.6,283.54,1327186.03,
2021-10-25,283.49,298.5,224.58,271.04,1186589.21,
2021-11-01,271.12,329.0,259.05,315.86,1435565.3517,
2021-11-08,315.89,338.7,287.84,319.89,1089748.1373,
2021-11-15,319.81,444.77,284.4,426.14,2643856.059,
2021-11-22,426.47,544.25,388.02,412.99,4264853.5195,
2021-11-29,413.26,428.17,224.62,288.08,3059686.03,
2021-12-06,288.21,315.0,247.83,262.58,1773619.57,
2021-12-13,262.77,345.71,225.87,246.62,2878522.33,
2021-12-20,246.62,271.01,225.01,258.6,1478251.67,
2021-12-27,258.66,284.0,231.8,239.75,1216151.3,
2022-01-03,239.65,254.44,181.0,197.98,1603863.14,
2022-01-10,198.07,219.98,180.14,195.38,1177430.46,
2022-01-17,195.42,196.12,111.57,134.2,2151428.5943,
2022-01-24,134.13,159.46,115.63,141.31,1937604.76,
2022-01-31,141.11,166.46,134.07,166.13,1303046.68,
2022-02-07,166.15,270.0,160.64,189.78,2515753.77,
2022-02-14,189.79,199.71,152.58,155.55,1395506.98,
2022-02-21,155.51,169.45,121.0,135.98,2281722.87,
2022-02-28,135.94,160.0,128.78,132.71,1663581.34,
2022-03-07,132.73,153.0,125.83,134.8,1801460.07,
2022-03-14,134.74,169.77,132.63,160.7,2096111.92,
2022-03-21,160.7,199.5,159.8,198.82,1675155.69,
2022-03-28,198.83,214.8,178.76,195.33,1471966.76,
2022-04-04,195.32,197.86,159.49,161.12,1025049.36,
2022-04-11,161.1,164.14,148.54,152.45,769388.24,
2022-04-18,152.42,169.5,145.4,151.29,953468.29,
2022-04-25,151.32,159.3,121.37,127.24,1044033.26,
2022-05-02,127.28,140.76,112.0,113.27,1198869.13,
2022-05-09,113.28,119.7,72.02,95.73,3463201.9414,
2022-05-16,95.72,103.5,88.04,102.84,351897.97,
