index,Open,High,Low,Close,Volume,Adj Close
2021-11-08,43.66,120.0,43.66,56.21,15731463.56,
2021-11-15,56.22,60.15,38.39,42.06,9669698.38,
2021-11-22,42.06,84.0,39.86,76.15,19114380.6,
2021-11-29,76.14,82.75,39.0,49.3,11812132.94,
2021-12-06,49.34,53.99,41.55,47.06,6120910.21,
2021-12-13,47.07,48.01,37.12,40.86,6184530.72,
2021-12-20,40.82,49.8,37.31,45.66,5509979.16,
2021-12-27,45.67,48.19,37.82,41.05,4348804.33,
2022-01-03,41.06,41.64,26.43,28.01,6348487.93,
2022-01-10,28.01,28.9,24.41,27.7,4868749.99,
2022-01-17,27.69,27.87,15.12,17.15,7099326.7,
2022-01-24,17.14,20.88,14.43,19.03,7002964.29,
2022-01-31,19.03,22.0,17.34,20.83,5835639.03,
2022-02-07,20.85,23.49,16.35,16.79,7772034.61,
2022-02-14,16.8,18.56,14.77,15.21,5475613.17,
2022-02-21,15.21,16.39,11.81,13.2,6593919.42,
2022-02-28,13.2,17.69,13.03,14.03,12146568.8,
2022-03-07,14.01,16.1,12.67,12.71,7035940.4,
2022-03-14,12.72,17.36,12.56,15.88,10211376.3,
2022-03-21,15.88,19.11,15.55,18.45,9588404.26,
2022-03-28,18.44,21.37,16.66,20.92,11875552.7,
2022-04-04,20.92,20.99,14.92,15.16,7363316.95,
2022-04-11,15.15,15.48,13.5,13.7,3740371.84,
2022-04-18,13.7,16.05,13.0,15.32,6394515.23,
2022-04-25,15.32,24.86,14.02,24.3,35863459.5,
2022-05-02,24.3,27.65,16.74,17.01,42338162.86,
2022-05-09,17.01,17.57,7.35,10.37,32018559.08,
2022-05-16,10.37,11.7,8.81,10.98,6140362.09,
