index,Open,High,Low,Close,Volume,Adj Close
2017-11-06,1.1330699920654297,1.207710027694702,0.9948800206184388,1.0939699411392212,104519100.0,1.0939699411392212
2017-11-13,1.0944700241088867,2.03400993347168,1.0834399461746216,1.881549954414368,415816000.0,1.881549954414368
2017-11-20,1.885259985923767,2.659590005874634,1.7298500537872314,2.4552900791168213,407582300.0,2.4552900791168213
2017-11-27,2.4552600383758545,4.119050025939941,2.3795700073242188,3.606699943542481,821211704.0,3.606699943542481
2017-12-04,3.613990068435669,5.104209899902344,3.4980499744415283,3.77153992652893,1110776992.0,3.77153992652893
2017-12-11,3.7691500186920166,9.260649681091309,3.7278900146484375,8.222169876098633,3239410000.0,8.222169876098633
2017-12-18,8.215109825134277,13.17549991607666,6.68533992767334,8.14352035522461,4429370032.0,8.14352035522461
2017-12-25,8.20281982421875,10.810799598693848,7.918089866638184,8.765950202941895,2943388000.0,8.765950202941895
2018-01-01,8.765870094299316,13.36769962310791,8.51393985748291,12.521900177001951,4706762016.0,12.521900177001951
2018-01-08,12.50879955291748,18.7096004486084,8.437629699707031,13.43570041656494,10608672128.0,13.43570041656494
2018-01-15,13.416199684143066,15.762100219726562,7.666689872741699,13.435999870300291,11808507200.0,13.435999870300291
2018-01-22,13.53719997406006,15.175100326538086,11.87090015411377,15.020500183105469,9859361088.0,15.020500183105469
2018-01-29,15.03279972076416,15.170299530029297,7.638810157775879,8.605660438537598,6332908096.0,8.605660438537598
2018-02-05,8.675749778747559,10.302599906921388,5.84857988357544,8.414509773254395,4774645952.0,8.414509773254395
2018-02-12,8.451310157775879,10.299500465393066,8.451310157775879,9.378089904785156,2472240976.0,9.378089904785156
2018-02-19,9.372909545898438,10.005000114440918,7.699440002441406,7.895410060882568,1825004976.0,7.895410060882568
2018-02-26,7.903510093688965,9.2150297164917,7.634990215301514,8.17846965789795,1724839984.0,8.17846965789795
2018-03-05,8.182939529418945,8.285719871520996,5.377590179443359,6.13886022567749,2150248976.0,6.13886022567749
2018-03-12,6.152480125427246,6.227190017700195,3.952049970626831,4.64955997467041,1568082016.0,4.64955997467041
2018-03-19,4.709099769592285,7.343969821929932,4.571450233459473,6.518159866333008,4634430048.0,6.518159866333008
2018-03-26,6.525700092315674,6.568230152130127,5.251190185546875,5.663819789886475,3806285920.0,5.663819789886475
2018-04-02,5.681600093841553,6.462570190429688,5.502649784088135,5.973919868469238,2263032000.0,5.973919868469238
2018-04-09,5.977280139923096,9.274669647216797,5.800139904022217,8.399649620056152,6597441968.0,8.399649620056152
2018-04-16,8.387960433959961,11.833900451660156,7.843019962310791,11.349599838256836,5982776928.0,11.349599838256836
2018-04-23,11.333399772644045,22.890399932861328,11.322699546813965,21.542600631713867,18543216256.0,21.542600631713867
2018-04-30,21.63909912109375,21.63909912109375,16.311399459838867,17.473600387573242,16879280000.0,17.473600387573242
2018-05-07,17.670000076293945,18.87969970703125,12.59469985961914,14.937800407409668,13538979968.0,14.937800407409668
2018-05-14,14.928899765014648,15.018699645996094,12.063599586486816,14.005999565124512,9844089920.0,14.005999565124512
2018-05-21,14.026000022888184,14.17430019378662,10.53439998626709,12.508600234985352,9457748032.0,12.508600234985352
2018-05-28,12.49,15.6774,10.7,14.5304,44817812.53,
2018-06-04,14.5304,15.0015,10.98,11.7313,39189936.13,
2018-06-11,11.7355,11.93,9.12,10.3388,51540936.95,
2018-06-18,10.3388,10.9693,6.92,8.06,65050019.65,
2018-06-25,8.0526,8.7,7.0804,8.1164,60101766.46,
2018-07-02,8.1136,9.4363,7.88,8.6827,50173915.09,
2018-07-09,8.6826,8.7165,6.54,7.4075,83327500.38,
2018-07-16,7.4026,9.37,7.2202,7.8488,84836724.0,
2018-07-23,7.8461,9.1407,7.7165,8.3148,83728191.74,
2018-07-30,8.3171,8.35,6.85,7.0373,60494432.15,
2018-08-06,7.0339,7.19,4.8152,4.9653,83153865.11,
2018-08-13,4.9631,5.661,4.15,5.2843,82730886.18,
2018-08-20,5.2854,5.355,4.5203,4.9497,86401815.48,
2018-08-27,4.9457,6.8116,4.9043,6.6366,103123149.26,
2018-09-03,6.6386,6.719,4.63,4.9449,94501052.3,
2018-09-10,4.9449,5.5555,4.72,5.409,83867421.51,
2018-09-17,5.4069,6.3,4.6745,6.0263,78596128.18,
2018-09-24,6.0265,6.0405,5.01,5.7257,86609550.07,
2018-10-01,5.7259,5.91,5.4431,5.763,87146709.85,
2018-10-08,5.7585,6.0298,5.0151,5.2149,70983247.19,
2018-10-15,5.2105,6.05,5.1448,5.5125,56416015.01,
2018-10-22,5.5108,5.5556,5.381,5.4342,16508416.41,
2018-10-29,5.4343,5.6153,5.0633,5.5442,12922303.65,
2018-11-05,5.5443,5.84,5.272,5.4886,12258840.26,
2018-11-12,5.4822,5.527,4.269,4.6425,19902835.27,
2018-11-19,4.6497,4.6501,3.04,3.405,55235662.62,
2018-11-26,3.405,3.4728,2.7988,2.8605,43528669.65,
2018-12-03,2.8628,2.89,1.528,1.9855,85778783.81,
2018-12-10,1.9869,2.058,1.7548,1.904,69580213.16,
