index,Open,High,Low,Close,Volume,Adj Close
2020-06-15,3.1590590476989746,4.808950901031494,1.1624200344085691,3.434098958969116,1065.0,3.434098958969116
2020-06-22,3.434900045394897,47.05726623535156,2.811784029006958,5.410006046295166,14644.0,5.410006046295166
2020-06-29,5.410006046295166,9.27186679840088,3.860059976577759,4.7730560302734375,606.0,4.7730560302734375
2020-07-06,4.7730560302734375,7.766602993011475,1.677603006362915,5.326704025268555,525.0,5.326704025268555
2020-07-13,5.326704025268555,17.094562530517578,1.648218035697937,1.6760729551315308,268.0,1.6760729551315308
2020-07-20,1.67564594745636,6.366508960723877,1.6499979496002195,2.509377956390381,118.0,2.509377956390381
2020-07-27,2.509488105773926,8.26939868927002,2.509488105773926,6.311760902404785,694.0,6.311760902404785
2020-08-03,6.311226844787598,7.414755821228027,3.1515560150146484,4.457444190979004,1074.0,4.457444190979004
2020-08-10,4.457444190979004,20.89055824279785,3.736016035079956,15.612360000610352,3563.0,15.612360000610352
2020-08-17,15.612360000610352,16.513927459716797,1.586691975593567,5.093347072601318,396.0,5.093347072601318
2020-08-24,5.088374137878418,7.0173211097717285,4.205746173858643,6.8549981117248535,108.0,6.8549981117248535
2020-08-31,6.8568291664123535,8.380354881286621,5.413855075836182,6.083705902099609,1198.0,6.083705902099609
2020-09-07,6.083705902099609,6.694894790649414,5.396750926971436,6.239739894866943,24.0,6.239739894866943
2020-09-14,6.237367153167725,7.651111125946045,6.063684940338135,7.427831172943115,406.0,7.427831172943115
2020-09-21,7.429912090301514,7.514654159545898,6.3705830574035645,7.148798942565918,1.0,7.148798942565918
2020-09-28,7.148769855499268,7.385287761688232,3.459252119064331,3.5257248878479004,8.0,3.5257248878479004
2020-10-05,3.525789976119995,3.7826719284057617,2.268359899520874,2.3009040355682373,10.0,2.3009040355682373
2020-10-12,2.3009040355682373,2.423449993133545,2.223954916000366,2.3197360038757324,25.0,2.3197360038757324
2020-10-19,2.3197360038757324,8.178234100341797,2.207310914993286,8.12448787689209,49.0,8.12448787689209
2020-10-26,8.12435531616211,8.225597381591797,7.501848220825195,7.926921844482422,25.0,7.926921844482422
