index,Open,High,Low,Close,Volume,Adj Close
2021-05-03,1.7240480184555054,2.5413100719451904,0.4678620100021362,0.6485919952392578,28103902.0,0.6485919952392578
2021-05-10,0.648281991481781,1.07771897315979,0.4353379905223846,0.5196089744567871,10491343.0,0.5196089744567871
2021-05-17,0.5202710032463074,0.5212100148200989,0.1716479957103729,0.2010100036859512,5062625.0,0.2010100036859512
2021-05-24,0.2007659971714019,0.3158589899539947,0.18436099588871,0.2095700055360794,3900454.0,0.2095700055360794
2021-05-31,0.2094919979572296,0.2617360055446625,0.1961880028247833,0.228193998336792,3269835.0,0.228193998336792
2021-06-07,0.2282299995422363,0.2348590046167373,0.1327989995479583,0.1641740053892135,2723142.0,0.1641740053892135
2021-06-14,0.1642089933156967,0.1998540014028549,0.1431829929351806,0.1712670028209686,2852705.0,0.1712670028209686
2021-06-21,0.1712699979543686,0.1771450042724609,0.0988899990916252,0.1243069991469383,2075300.0,0.1243069991469383
2021-06-28,0.1244919970631599,0.1588090062141418,0.1154820024967193,0.1456570029258728,2121398.0,0.1456570029258728
2021-07-05,0.1456969976425171,0.1762389987707138,0.1280950009822845,0.1323920041322708,1233729.0,0.1323920041322708
2021-07-12,0.1323940008878708,0.1419479995965957,0.111295998096466,0.1140159964561462,593062.0,0.1140159964561462
2021-07-19,0.1139649972319603,0.1369690001010894,0.0852409973740577,0.1310620009899139,718525.0,0.1310620009899139
2021-07-26,0.1309960037469864,0.1698379963636398,0.1157829985022544,0.1554850041866302,2251755.0,0.1554850041866302
2021-08-02,0.1551879942417144,0.1859710067510604,0.1280719935894012,0.1560579985380172,3540512.0,0.1560579985380172
2021-08-09,0.1562239974737167,0.1929730027914047,0.1471520066261291,0.1704930067062378,2023888.0,0.1704930067062378
2021-08-16,0.1705909967422485,0.1809650063514709,0.1171419993042945,0.1194109991192817,1640963.0,0.1194109991192817
2021-08-23,0.1193540021777153,0.157830998301506,0.1156639978289604,0.1322789937257766,1420733.0,0.1322789937257766
2021-08-30,0.1321379989385604,0.1719679981470108,0.1279260069131851,0.1640049964189529,174940.0,0.1640049964189529
2021-09-06,0.1640170067548751,0.1670989990234375,0.1119399964809417,0.1170369982719421,79608.0,0.1170369982719421
2021-09-13,0.11701700091362,0.2158180028200149,0.1059489995241165,0.132884994149208,715068.0,0.132884994149208
2021-09-20,0.1328919976949691,0.1346150040626526,0.1059919968247413,0.1152350008487701,326064.0,0.1152350008487701
2021-09-27,0.115166999399662,0.157477006316185,0.1088349968194961,0.1469739973545074,259894.0,0.1469739973545074
2021-10-04,0.147038996219635,0.4089089930057525,0.1285499930381775,0.1931750029325485,3384662.0,0.1931750029325485
2021-10-11,0.1929969936609268,0.3663829863071441,0.1787710040807724,0.2659319937229156,912604.0,0.2659319937229156
2021-10-18,0.2661780118942261,0.542218029499054,0.2589389979839325,0.3557319939136505,1866870.0,0.3557319939136505
2021-10-25,0.3551819920539856,1.0170880556106567,0.3551819920539856,0.7646099925041199,2903235.0,0.7646099925041199
2021-11-01,0.7647759914398193,1.0671080350875854,0.4665910005569458,0.5360950231552124,6151655.0,0.5360950231552124
2021-11-08,0.5355179905891418,3.827320098876953,0.3086459934711456,0.3752920031547546,2581511.0,0.3752920031547546
2021-11-15,0.3744879961013794,5.563815116882324,0.0,0.5048760175704956,3284211.0,0.5048760175704956
2021-11-22,0.5045300126075745,6.430459976196289,0.2892589867115021,0.3780870139598846,630147.0,0.3780870139598846
2021-11-29,0.3780469894409179,0.4399699866771698,0.269351989030838,0.2724510133266449,986887.0,0.2724510133266449
2021-12-06,0.2725610136985779,0.2838119864463806,0.1991250067949295,0.2149209976196289,892793.0,0.2149209976196289
2021-12-13,0.2149350047111511,0.2151740044355392,0.1852529942989349,0.2025340050458908,115447.0,0.2025340050458908
2021-12-20,0.2025099992752075,0.21942700445652,0.1316860020160675,0.1842589974403381,741274.0,0.1842589974403381
2021-12-27,0.1842799931764602,0.2328999936580658,0.1636310070753097,0.1850229948759079,276710.0,0.1850229948759079
2022-01-03,0.1850229948759079,0.2097380012273788,0.1606899946928024,0.1642169952392578,344309.0,0.1642169952392578
2022-01-10,3.751,4.679,3.3,4.158,24406130.41,
2022-01-17,4.156,4.299,2.01,2.503,21628181.31,
2022-01-24,2.502,3.313,2.0,2.573,27830603.09,
2022-01-31,2.572,4.29,2.466,2.827,77510354.39,
2022-02-07,2.823,3.89,2.204,2.291,67163866.42,
2022-02-14,2.291,2.506,1.774,1.813,42611758.4,
2022-02-21,1.813,1.965,1.315,1.41,69433626.34,
2022-02-28,1.409,1.65,1.148,1.148,41927213.44,
2022-03-07,1.148,1.981,1.101,1.69,296195278.21,
2022-03-14,1.689,2.364,1.45,2.188,187798752.17,
2022-03-21,2.186,2.442,1.993,2.321,153195118.25,
2022-03-28,2.321,2.849,2.214,2.615,145582488.95,
2022-04-04,2.613,2.615,1.963,2.042,102090854.91,
2022-04-11,2.042,2.093,1.707,1.726,64626719.72,
2022-04-18,1.727,2.13,1.563,1.727,70718819.36,
2022-04-25,1.727,1.863,1.291,1.515,68933030.06,
2022-05-02,1.515,1.867,1.345,1.363,99803289.15,
2022-05-09,1.363,1.405,0.675,0.956,135005294.41,
2022-05-16,0.956,0.956,0.815,0.885,19790401.6,
