index,Open,High,Low,Close,Volume,Adj Close
2021-10-18,1.0,100.0,1.0,12.2573,51191885.03,
2021-10-25,12.265,19.5526,11.175,11.4881,31017249.99,
2021-11-01,11.5172,13.5,9.6364,10.2623,9052445.24,
2021-11-08,10.2614,10.9,8.2233,8.6724,4595679.28,
2021-11-15,8.6942,8.938,5.7501,6.6664,10478380.59,
2021-11-22,6.6664,7.1916,5.18,5.4826,6592183.07,
2021-11-29,5.4809,8.5501,3.5163,6.3698,37596278.52,
2021-12-06,6.3699,7.8273,5.0167,5.9736,40521882.06,
2021-12-13,5.9654,6.01,4.6795,4.7362,6730862.24,
2021-12-20,4.7363,6.0,4.3397,5.3426,9222359.18,
2021-12-27,5.3374,5.7823,4.557,4.65,6324742.16,
2022-01-03,4.649,5.1874,3.8919,4.018,9907665.85,
2022-01-10,4.0232,4.6338,3.7234,4.3216,10117312.18,
2022-01-17,4.3312,4.5517,2.9256,3.1436,6147343.65,
2022-01-24,3.1484,3.3869,2.8341,3.0959,6146197.18,
2022-01-31,3.097,3.5307,2.9609,3.4089,4219869.85,
2022-02-07,3.4085,4.3,3.3527,3.4786,7744997.52,
2022-02-14,3.4578,3.7822,2.8553,3.02,6327804.74,
2022-02-21,3.02,3.9798,2.3876,2.8883,10391987.94,
2022-02-28,2.882,3.6499,2.72,2.9225,12045821.04,
2022-03-07,2.9223,6.89,2.7783,4.8654,58677845.66,
2022-03-14,4.8637,5.3383,3.7282,4.2046,26491781.85,
2022-03-21,4.2137,4.6,4.1,4.2578,7910592.95,
2022-03-28,4.2589,4.6889,4.1222,4.356,8978491.33,
2022-04-04,4.356,6.35,4.175,4.5548,38623709.45,
2022-04-11,4.5542,4.72,3.8732,4.0029,7830943.51,
2022-04-18,3.999,4.5,3.8154,3.8284,5816475.29,
2022-04-25,3.8283,3.8411,2.994,3.1516,6615040.9,
2022-05-02,3.1492,3.35,2.6725,2.6832,5780304.81,
2022-05-09,2.6909,2.7174,0.91,1.6876,16989598.93,
2022-05-16,1.6874,1.7,1.5833,1.6359,939109.35,
