index,Open,High,Low,Close,Volume,Adj Close
2021-11-01,2.735567092895508,9.54938507080078,2.686064958572388,6.987512111663818,164952047.0,6.987512111663818
2021-11-08,6.979988098144531,7.677021026611328,4.764277935028076,6.824696063995361,200930443.0,6.824696063995361
2021-11-15,6.819046974182129,45.23553466796875,5.240070819854736,9.268614768981934,301267516.0,9.268614768981934
2021-11-22,9.265257835388184,10.909470558166504,7.794620990753174,9.85550594329834,235692587.0,9.85550594329834
2021-11-29,10.36,12.7,5.9,6.23,14713556.17,
2021-12-06,6.23,6.24,4.32,5.12,16212686.09,
2021-12-13,5.12,6.4,4.06,5.86,16662060.17,
2021-12-20,5.85,7.52,5.08,6.31,14889718.98,
2021-12-27,6.3,6.32,4.68,5.25,7307184.46,
2022-01-03,5.25,5.58,3.6,3.83,10165980.13,
2022-01-10,3.83,4.43,3.41,3.9,7357900.32,
2022-01-17,3.89,3.91,2.0,2.26,7776123.98,
2022-01-24,2.25,2.58,1.85,2.41,9307905.57,
2022-01-31,2.41,2.95,2.06,2.86,10069451.18,
2022-02-07,2.87,3.33,2.54,2.64,10647203.19,
2022-02-14,2.63,3.2,2.29,2.34,5571289.68,
2022-02-21,2.34,2.51,1.89,2.13,6142633.17,
2022-02-28,2.13,2.5,2.07,2.08,3059041.71,
2022-03-07,2.09,2.17,1.87,1.88,4697898.51,
2022-03-14,1.88,2.44,1.85,2.24,8497650.72,
2022-03-21,2.23,2.8,2.18,2.65,7535607.66,
2022-03-28,2.65,3.06,2.59,2.94,6535693.01,
2022-04-04,2.94,2.94,2.16,2.25,4523705.37,
2022-04-11,2.25,2.81,1.99,2.09,11648820.91,
2022-04-18,2.1,2.22,1.97,1.97,3274946.83,
2022-04-25,1.98,2.01,1.62,1.7,3170483.51,
2022-05-02,1.69,1.77,1.49,1.49,2371347.92,
2022-05-09,1.5,1.51,0.97,1.1,6264521.01,
2022-05-16,1.1,1.11,1.03,1.06,493810.51,
