index,Open,High,Low,Close,Volume,Adj Close
2021-08-23,84.3028564453125,252.09390258789065,0.0,162.90826416015625,176078816.0,162.90826416015625
2021-08-30,162.98504638671875,187.2897186279297,121.3626937866211,139.337158203125,186143692.0,139.337158203125
2021-09-06,139.63055419921875,495.234375,137.7489776611328,427.9839477539063,518087559.0,427.9839477539063
2021-09-13,427.75921630859375,464.1847534179688,338.287109375,382.9023132324219,256489624.0,382.9023132324219
2021-09-20,383.1439514160156,387.65960693359375,258.51837158203125,302.296142578125,205253775.0,302.296142578125
2021-09-27,302.3724060058594,370.6997985839844,285.4908142089844,354.2307434082031,216514707.0,354.2307434082031
2021-10-04,353.5453186035156,354.5296630859375,276.5638732910156,278.00750732421875,160421231.0,278.00750732421875
2021-10-11,277.9410400390625,283.6253356933594,224.0010223388672,246.658432006836,137640800.0,246.658432006836
2021-10-18,246.3620147705078,432.7271728515625,236.10020446777344,408.7105407714844,231990267.0,408.7105407714844
2021-10-25,408.7928161621094,436.2890625,343.612060546875,371.8128051757813,188335815.0,371.8128051757813
2021-11-01,372.4069519042969,460.8941650390625,353.6595153808594,386.192626953125,56012447462.0,386.192626953125
2021-11-08,386.2,540.0,234.7,371.8,349999.453,
2021-11-15,371.5,439.0,303.0,382.5,276457.686,
2021-11-22,383.9,413.1,284.7,313.8,190859.265,
2021-11-29,313.2,329.9,204.0,220.6,251675.025,
2021-12-06,221.1,228.3,177.7,197.7,264306.299,
2021-12-13,197.4,219.3,171.9,183.5,143411.155,
2021-12-20,183.5,199.3,171.6,187.3,149376.961,
2021-12-27,187.3,240.0,180.2,207.0,300304.161,
2022-01-03,207.0,213.1,149.5,160.1,272452.459,
2022-01-10,160.1,180.0,144.7,149.9,271465.149,
2022-01-17,149.9,150.1,79.2,84.2,341221.179,
2022-01-24,84.2,87.2,67.1,75.3,271337.473,
2022-01-31,75.2,94.6,70.0,91.1,388471.246,
2022-02-07,91.0,116.0,82.3,82.6,455336.93,
2022-02-14,82.8,108.0,72.9,74.3,551597.105,
2022-02-21,74.3,79.5,54.5,61.6,478512.28,
2022-02-28,61.6,78.8,55.4,55.6,542740.372,
2022-03-07,55.5,57.4,44.7,45.2,378207.006,
2022-03-14,45.1,73.0,44.2,59.6,1138051.693,
2022-03-21,59.5,68.0,56.3,67.1,579637.051,
2022-03-28,67.2,95.9,63.5,84.8,1276953.193,
2022-04-04,84.6,89.0,64.0,64.5,666414.817,
2022-04-11,64.5,65.0,55.6,57.3,537699.008,
2022-04-18,57.2,63.0,51.1,51.3,438605.512,
2022-04-25,51.3,60.0,39.1,41.2,611959.546,
2022-05-02,41.2,44.6,32.1,32.6,579015.652,
2022-05-09,32.6,33.2,19.2,25.7,1393102.168,
2022-05-16,25.6,29.0,22.9,24.8,257972.888,
