index,Open,High,Low,Close,Volume,Adj Close
2017-11-06,0.6080160140991211,1.218209981918335,0.5197870135307312,0.5455189943313599,24812610.0,0.5455189943313599
2017-11-13,0.5742009878158569,1.0598700046539309,0.5549790263175964,0.8473979830741882,100179990.0,0.8473979830741882
2017-11-20,0.8322719931602478,0.9261059761047364,0.5132529735565186,0.6752020120620728,87297464.0,0.6752020120620728
2017-11-27,0.6683189868927002,0.7126190066337585,0.4153389930725097,0.5484730005264282,8713485.0,0.5484730005264282
2017-12-04,0.551567018032074,1.2852799892425537,0.4995459914207458,0.7673289775848389,25606640.0,0.7673289775848389
2017-12-11,0.7811769843101501,1.1981099843978882,0.7499340176582336,1.1338800191879272,193276694.0,1.1338800191879272
2017-12-18,1.1366300582885742,2.069420099258423,0.7433850169181824,1.957759976387024,646555562.0,1.957759976387024
2017-12-25,1.968600034713745,2.503570079803467,1.6021499633789062,2.339359998703003,49700740.0,2.339359998703003
2018-01-01,2.254650115966797,7.3608198165893555,1.9602199792861936,7.159709930419922,150616660.0,7.159709930419922
2018-01-08,7.132140159606934,8.54049015045166,5.253270149230957,5.780419826507568,136372000.0,5.780419826507568
2018-01-15,5.907320022583008,6.4391398429870605,2.903170108795166,4.511899948120117,59828150.0,4.511899948120117
2018-01-22,4.556920051574707,5.078879833221436,3.881850004196167,4.841460227966309,29464200.0,4.841460227966309
2018-01-29,4.797420024871826,4.860849857330322,2.369369983673096,2.854470014572144,29675280.0,2.854470014572144
2018-02-05,2.8197200298309326,3.1788899898529053,1.469059944152832,2.337019920349121,29453720.0,2.337019920349121
2018-02-12,2.321830034255981,3.632420063018799,2.253580093383789,3.096839904785156,34034200.0,3.096839904785156
2018-02-19,3.0817201137542725,3.374599933624268,2.383330106735229,2.880709886550904,28405060.0,2.880709886550904
2018-02-26,2.87076997756958,3.728729963302612,2.587670087814331,3.4935901165008545,33480770.0,3.4935901165008545
2018-03-05,3.479650020599365,4.23153018951416,2.4447100162506104,3.4574999809265137,61539810.0,3.4574999809265137
2018-03-12,3.441380023956299,3.5963399410247803,1.8582500219345093,2.3392200469970703,50775420.0,2.3392200469970703
2018-03-19,2.3331899642944336,3.148610115051269,2.319999933242798,2.937030076980591,76623320.0,2.937030076980591
2018-03-26,2.959830045700073,3.142729997634888,1.995669960975647,2.0384700298309326,77666480.0,2.0384700298309326
2018-04-02,2.053030014038086,2.122270107269287,1.6905200481414795,1.9816099405288696,57763130.0,1.9816099405288696
2018-04-09,1.9791899919509888,2.4460599422454834,1.800510048866272,2.424099922180176,61127480.0,2.424099922180176
2018-04-16,2.423779964447021,2.92549991607666,2.21685004234314,2.785840034484864,83241190.0,2.785840034484864
2018-04-23,2.791490077972412,4.35168981552124,2.603490114212036,4.302090167999268,131373800.0,4.302090167999268
2018-04-30,4.3105998039245605,4.317729949951172,3.5631699562072754,3.787669897079468,118126800.0,3.787669897079468
2018-05-07,3.784090042114258,5.05217981338501,3.5088000297546387,5.05217981338501,131785700.0,5.05217981338501
2018-05-14,5.04794979095459,5.4864702224731445,3.8237600326538086,4.530300140380859,94876770.0,4.530300140380859
2018-05-21,4.557859897613525,4.557859897613525,3.345989942550659,3.607889890670776,38725590.0,3.607889890670776
2018-05-28,3.611289978027344,4.258910179138184,3.139130115509033,4.095099925994873,27714760.0,4.095099925994873
2018-06-04,4.042099952697754,4.131720066070557,3.17002010345459,3.205310106277466,20650080.0,3.205310106277466
2018-06-11,3.1916000843048096,3.278130054473877,2.224210023880005,2.6589200496673584,20796890.0,2.6589200496673584
2018-06-18,2.650579929351806,3.011039972305298,1.811959981918335,2.005290031433105,16707750.0,2.005290031433105
2018-06-25,1.9984500408172607,2.2169198989868164,1.7493900060653689,2.160840034484864,10547380.0,2.160840034484864
2018-07-02,2.1620900630950928,2.568079948425293,2.09168004989624,2.499919891357422,16993340.0,2.499919891357422
2018-07-09,2.5033299922943115,2.868030071258545,2.210210084915161,2.5302999019622803,25024330.0,2.5302999019622803
2018-07-16,2.5314300060272217,2.912349939346313,2.185209989547729,2.461129903793335,13429430.0,2.461129903793335
2018-07-23,2.8,2.9999,2.3801,2.6263,4428229.33,
2018-07-30,2.6263,2.6325,1.8,1.8627,3369186.84,
2018-08-06,1.8698,1.9239,1.2083,1.6561,3271939.03,
2018-08-13,1.6561,1.72,1.2077,1.5059,4392537.71,
2018-08-20,1.5062,1.6998,1.315,1.534,4376381.83,
2018-08-27,1.534,2.0,1.4991,1.77,7680638.41,
2018-09-03,1.77,1.8366,1.201,1.2515,5771746.47,
2018-09-10,1.2628,1.2976,1.06,1.1841,4174855.37,
2018-09-17,1.1869,1.262,1.0388,1.2167,5659488.84,
2018-09-24,1.2167,1.362,1.0901,1.2029,6472252.29,
2018-10-01,1.2028,1.2179,1.1255,1.1862,4211063.53,
2018-10-08,1.1907,1.297,1.0456,1.128,4800452.89,
2018-10-15,1.1258,1.2821,1.1,1.1498,4122348.93,
2018-10-22,1.1478,1.2225,1.1027,1.1231,1844076.13,
2018-10-29,1.1231,1.3154,1.0266,1.1229,1906257.72,
2018-11-05,1.1177,1.17,1.06,1.0755,1279584.72,
2018-11-12,1.075,1.0754,0.739,0.7786,2080677.99,
2018-11-19,0.7793,0.7796,0.446,0.5003,6304096.12,
2018-11-26,0.5045,0.58,0.4377,0.5206,2570274.79,
2018-12-03,0.5206,0.538,0.361,0.4111,2917653.62,
2018-12-10,0.4117,0.455,0.3761,0.4049,2232698.81,
2018-12-17,0.4056,0.4836,0.4,0.4731,6104512.54,
2018-12-24,0.4742,0.5436,0.375,0.4127,4256845.32,
2018-12-31,0.413,0.4384,0.38,0.435,2156169.05,
2019-01-07,0.435,0.455,0.3528,0.3646,3368012.94,
2019-01-14,0.3653,0.4342,0.3551,0.3948,2712471.03,
2019-01-21,0.3942,0.5588,0.3856,0.421,8968241.35,
2019-01-28,0.4207,0.4602,0.3791,0.3937,3682680.99,
2019-02-04,0.3937,0.4488,0.36,0.4096,3075871.33,
2019-02-11,0.4096,0.455,0.3828,0.4237,2121426.52,
2019-02-18,0.4213,0.4708,0.4,0.4002,3641043.54,
2019-02-25,0.4015,0.4492,0.3985,0.4127,2134743.27,
2019-03-04,0.4145,0.6584,0.3915,0.5231,10073880.45,
2019-03-11,0.523,0.5999,0.4718,0.5762,7804141.61,
2019-03-18,0.5761,0.7564,0.5153,0.6301,7272809.14,
2019-03-25,0.6303,0.9306,0.6015,0.8413,11064057.49,
2019-04-01,0.8443,1.0299,0.8259,0.95,6045392.88,
2019-04-08,0.9499,0.97,0.7538,0.8138,3663019.03,
2019-04-15,0.8141,0.9299,0.8002,0.8341,6459227.07,
2019-04-22,0.8342,1.0034,0.6902,0.7221,9452773.09,
2019-04-29,0.7208,0.754,0.6485,0.6735,3211938.57,
2019-05-06,0.6734,0.729,0.576,0.6452,5722476.71,
2019-05-13,0.6452,0.8484,0.64,0.7078,9351251.6,
2019-05-20,0.7062,0.843,0.67,0.7683,7952689.93,
2019-05-27,0.7648,0.828,0.7271,0.7927,5644484.14,
2019-06-03,0.7934,0.9256,0.698,0.8942,6102987.58,
2019-06-10,0.896,1.1698,0.8603,0.9616,17267037.62,
2019-06-17,0.9606,1.0788,0.8914,0.9356,9405258.3,
2019-06-24,0.9348,1.023,0.7895,0.8073,5808756.18,
2019-07-01,0.8072,0.9999,0.801,0.9454,8085023.27,
2019-07-08,0.9453,0.999,0.6229,0.6286,4388610.26,
2019-07-15,0.6286,0.64,0.492,0.5942,3290798.59,
2019-07-22,0.5948,0.6069,0.5054,0.5332,1809286.18,
2019-07-29,0.5346,0.5819,0.4838,0.5501,1880449.21,
2019-08-05,0.5519,0.5598,0.415,0.4418,2574230.2,
2019-08-12,0.4419,0.4939,0.3732,0.4489,2931972.56,
2019-08-19,0.4489,0.5918,0.4105,0.4759,3651164.77,
2019-08-26,0.4736,0.532,0.422,0.4234,1763072.8,
2019-09-02,0.4251,0.48,0.4008,0.428,1034275.49,
2019-09-09,0.4237,0.4701,0.4006,0.4167,1490049.6,
2019-09-16,0.4167,0.48,0.4023,0.4129,1365485.22,
2019-09-23,0.4103,0.422,0.2534,0.3379,1160027.94,
2019-09-30,0.3379,0.3957,0.3227,0.3491,1566718.72,
