index,Open,High,Low,Close,Volume,Adj Close
2020-08-17,0.2332150042057037,0.5131160020828247,0.198864996433258,0.397273987531662,98220183.0,0.397273987531662
2020-08-24,0.3974519968032837,0.6562439799308777,0.3517599999904632,0.4984759986400604,309323734.0,0.4984759986400604
2020-08-31,0.498304009437561,0.5982679724693298,0.2551949918270111,0.3450520038604736,204665610.0,0.3450520038604736
2020-09-07,0.3448910117149353,0.3469409942626953,0.2481340020895004,0.3042559921741485,95092850.0,0.3042559921741485
2020-09-14,0.3042150139808655,0.31454598903656,0.1906889975070953,0.2219890058040619,64218479.0,0.2219890058040619
2020-09-21,0.2219890058040619,0.2254949957132339,0.168953999876976,0.1828259974718094,48943740.0,0.1828259974718094
2020-09-28,0.1828929930925369,0.1904229968786239,0.1341879963874817,0.1399589926004409,52644441.0,0.1399589926004409
2020-10-05,0.1399399936199188,0.147266998887062,0.1096919998526573,0.1333290040493011,49745162.0,0.1333290040493011
2020-10-12,0.1333920061588287,0.1782249957323074,0.1051449999213218,0.1096310019493103,50317507.0,0.1096310019493103
2020-10-19,0.1097960025072097,0.1128939986228942,0.0746119990944862,0.0752300024032592,38456707.0,0.0752300024032592
2020-10-26,0.0752300024032592,0.0848530009388923,0.0648690015077591,0.0740360021591186,29410075.0,0.0740360021591186
2020-11-02,0.0740389972925186,0.0850669965147972,0.0562629997730255,0.0778269991278648,24020663.0,0.0778269991278648
2020-11-09,0.0778269991278648,0.0868209972977638,0.0729750022292137,0.0733060017228126,20674520.0,0.0733060017228126
2020-11-16,0.0733060017228126,0.0828709974884986,0.0609170012176036,0.0729840025305748,22830154.0,0.0729840025305748
2020-11-23,0.0729840025305748,0.0826300010085105,0.065540999174118,0.0703269988298416,24182303.0,0.0703269988298416
2020-11-30,0.0703049972653389,0.1047469973564148,0.0651409998536109,0.0955779999494552,33851598.0,0.0955779999494552
2020-12-07,0.0955630019307136,0.0969920009374618,0.0714619979262352,0.0815009996294975,20208824.0,0.0815009996294975
2020-12-14,0.0815130025148391,0.0841490030288696,0.0714730024337768,0.0717329978942871,14504238.0,0.0717329978942871
2020-12-21,0.0717279985547065,0.0721459984779357,0.052556000649929,0.0568329989910125,10461549.0,0.0568329989910125
2020-12-28,0.0568690001964569,0.0731559991836547,0.0517680011689662,0.0723029971122741,12535548.0,0.0723029971122741
2021-01-04,0.072281002998352,0.0759809985756874,0.059918001294136,0.0600420013070106,14774000.0,0.0600420013070106
2021-01-11,0.0600170008838176,0.0714019984006881,0.0484610013663768,0.0665249973535537,14230465.0,0.0665249973535537
2021-01-18,0.0665360018610954,0.1184170022606849,0.0662140026688575,0.102522999048233,33800187.0,0.102522999048233
2021-01-25,0.1026870012283325,0.1532710045576095,0.0975489988923072,0.122468002140522,44100712.0,0.122468002140522
2021-02-01,0.1224569976329803,0.182104006409645,0.1108900010585784,0.1326999962329864,45808161.0,0.1326999962329864
2021-02-08,0.1327289938926696,0.2644929885864258,0.1308189928531646,0.2199790030717849,62875732.0,0.2199790030717849
2021-02-15,0.2188660055398941,0.3270440101623535,0.1924140006303787,0.2777900099754333,99113943.0,0.2777900099754333
2021-02-22,0.277222990989685,0.283372014760971,0.1715420037508011,0.2417570054531097,70542666.0,0.2417570054531097
2021-03-01,0.2416969984769821,0.3078579902648926,0.2368620038032531,0.2830849885940552,71554384.0,0.2830849885940552
2021-03-08,0.2818,0.7608,0.2818,0.736,354873675.18,
2021-03-15,0.7387,0.8876,0.5,0.525,303631949.97,
2021-03-22,0.5251,0.58,0.3703,0.4559,105094181.31,
2021-03-29,0.4573,0.5617,0.4398,0.4757,94831387.72,
2021-04-05,0.4758,0.5555,0.39,0.4941,104417047.61,
2021-04-12,0.4941,0.5018,0.328,0.3683,62266314.86,
2021-04-19,0.3681,0.3935,0.2309,0.2447,75657763.71,
2021-04-26,0.2448,0.44,0.2425,0.413,165013427.96,
2021-05-03,0.413,0.4299,0.3297,0.3372,62009906.05,
2021-05-10,0.3372,0.4451,0.25,0.2937,295436585.23,
2021-05-17,0.2937,0.2971,0.1428,0.1615,315801363.54,
2021-05-24,0.1615,0.21,0.1486,0.1744,202469617.44,
2021-05-31,0.1744,0.21,0.1544,0.1719,117362258.17,
2021-06-07,0.1711,0.1868,0.1374,0.1541,104236014.15,
2021-06-14,0.1542,0.1688,0.1253,0.1347,146637309.45,
2021-06-21,0.1349,0.1356,0.084,0.108,164330723.42,
2021-06-28,0.1081,0.1173,0.098,0.1055,104287708.62,
2021-07-05,0.1054,0.1215,0.1,0.1062,90490527.35,
2021-07-12,0.1062,0.16,0.0986,0.1115,347363861.01,
2021-07-19,0.1114,0.1346,0.0954,0.1293,296149212.1,
2021-07-26,0.1293,0.156,0.1196,0.1285,216459714.71,
2021-08-02,0.1285,0.2468,0.1243,0.168,782727599.72,
2021-08-09,0.1685,0.2677,0.1648,0.2127,665576881.24,
2021-08-16,0.2127,0.2362,0.1824,0.2126,163010162.23,
2021-08-23,0.2126,0.2874,0.1886,0.2251,315612627.01,
2021-08-30,0.2252,0.339,0.2008,0.2636,393032517.48,
2021-09-06,0.2636,0.2878,0.1884,0.2491,246038732.51,
2021-09-13,0.2492,0.4484,0.2156,0.2976,773381134.69,
2021-09-20,0.2976,0.2983,0.1951,0.2225,250967958.0,
2021-09-27,0.2224,0.2649,0.2041,0.2419,136415560.0,
2021-10-04,0.2419,0.259,0.2226,0.2279,137545883.0,
2021-10-11,0.2278,0.296,0.2082,0.2459,338081914.0,
2021-10-18,0.2463,0.268,0.2297,0.2418,125918734.0,
2021-10-25,0.2421,0.2483,0.2115,0.2274,66854073.0,
2021-11-01,0.2275,0.258,0.224,0.2408,94335310.0,
2021-11-08,0.2408,0.25,0.2182,0.234,96877187.0,
2021-11-15,0.2342,0.255,0.2029,0.2396,176326945.0,
2021-11-22,0.2397,0.277,0.2097,0.2269,186602949.0,
2021-11-29,0.227,0.3194,0.175,0.1815,381442316.92,
2021-12-06,0.182,0.1927,0.1527,0.1608,112910594.19,
2021-12-13,0.1608,0.1772,0.1357,0.1531,138308454.56,
2021-12-20,0.153,0.2088,0.1399,0.1619,175927085.0,
2021-12-27,0.1619,0.182,0.1452,0.1528,87167508.0,
2022-01-03,0.1528,0.1546,0.1224,0.1245,50954631.3,
2022-01-10,0.1246,0.1333,0.1126,0.1249,38162942.67,
2022-01-17,0.1249,0.1258,0.0783,0.0887,57775879.47,
2022-01-24,0.0888,0.1108,0.0768,0.0941,58279930.0,
2022-01-31,0.0942,0.1094,0.0902,0.1071,34299566.0,
2022-02-07,0.1073,0.128,0.0948,0.0948,137739865.0,
2022-02-14,0.0948,0.1115,0.0826,0.0854,110603494.0,
2022-02-21,0.0853,0.1014,0.0679,0.0769,105323014.85,
2022-02-28,0.0769,0.106,0.0736,0.0738,228359898.0,
2022-03-07,0.074,0.0781,0.0677,0.0693,64195656.0,
2022-03-14,0.0694,0.0958,0.0675,0.0751,183116903.0,
2022-03-21,0.0749,0.089,0.0732,0.0861,151294511.0,
2022-03-28,0.086,0.1113,0.0842,0.0997,296223626.0,
2022-04-04,0.0997,0.1408,0.0859,0.0942,630938828.0,
2022-04-11,0.0941,0.0959,0.0847,0.0876,90769669.0,
2022-04-18,0.0876,0.1212,0.0822,0.1136,605817374.0,
2022-04-25,0.1136,0.1274,0.0913,0.1007,537514249.0,
2022-05-02,0.1007,0.1028,0.0807,0.0826,111591754.0,
2022-05-09,0.0826,0.0831,0.0358,0.0506,137635547.0,
2022-05-16,0.0507,0.0549,0.0448,0.0512,29812499.0,
