index,Open,High,Low,Close,Volume,Adj Close
2018-03-05,2.6221299171447754,3.3536200523376465,1.2399699687957764,1.5972100496292114,433061292.0,1.5972100496292114
2018-03-12,1.5950499773025513,1.8643800020217896,1.0076899528503418,1.2757799625396729,766962288.0,1.2757799625396729
2018-03-19,1.2708699703216553,1.5083999633789062,1.1674599647521973,1.5083999633789062,193367700.0,1.5083999633789062
2018-03-26,1.4723299741744995,2.8577699661254883,1.4403300285339355,2.0704801082611084,518810288.0,2.0704801082611084
2018-04-02,2.0871400833129883,3.9951601028442383,2.0271201133728027,3.493230104446411,481054792.0,3.493230104446411
2018-04-09,3.501110076904297,5.111310005187988,3.211549997329712,4.508679866790772,716717196.0,4.508679866790772
2018-04-16,4.509439945220947,4.631649971008301,3.919480085372925,4.016109943389893,370039300.0,4.016109943389893
2018-04-23,4.018599987030029,9.365360260009766,4.003699779510498,9.248490333557127,1060352020.0,9.248490333557127
2018-04-30,9.236940383911133,11.176600456237791,7.151649951934815,9.33076000213623,1406397192.0,9.33076000213623
2018-05-07,9.325409889221191,9.66635036468506,5.8261799812316895,8.228540420532227,683600696.0,8.228540420532227
2018-05-14,8.200630187988281,8.411510467529297,6.572390079498291,7.939650058746338,447221204.0,7.939650058746338
2018-05-21,7.944739818572998,8.352149963378906,5.994770050048828,6.461999893188477,455713604.0,6.461999893188477
2018-05-28,6.4604902267456055,8.319930076599121,5.570779800415039,8.040120124816895,674574596.0,8.040120124816895
2018-06-04,8.335,8.642,6.401,6.86,6840838.805,
2018-06-11,6.858,7.08,5.45,6.149,18515853.488,
2018-06-18,6.149,6.85,4.126,5.08,23391221.975,
2018-06-25,5.083,5.864,4.54,5.092,27894970.192,
2018-07-02,5.098,5.647,4.27,4.53,19396767.195,
2018-07-09,4.526,4.53,3.14,3.443,24195264.067,
2018-07-16,3.444,4.074,3.191,3.243,17387718.184,
2018-07-23,3.243,3.644,2.92,3.21,18557871.474,
2018-07-30,3.202,3.216,2.143,2.277,23915078.161,
2018-08-06,2.282,2.37,1.352,1.498,29395019.962,
2018-08-13,1.497,2.88,1.033,2.359,89159296.718,
2018-08-20,2.353,2.703,1.938,2.385,141409623.809,
2018-08-27,2.385,2.88,2.3,2.505,112774104.211,
2018-09-03,2.505,2.515,1.71,1.843,83633904.08,
2018-09-10,1.842,1.943,1.565,1.828,53000119.281,
2018-09-17,1.828,2.265,1.631,2.079,66039677.596,
2018-09-24,2.08,2.111,1.749,2.006,48787713.708,
2018-10-01,2.006,2.032,1.865,1.938,20967858.139,
2018-10-08,1.937,2.165,1.7,1.806,33382103.045,
2018-10-15,1.803,2.17,1.751,1.845,16025464.899,
2018-10-22,1.843,1.87,1.702,1.775,11871021.424,
2018-10-29,1.775,1.797,1.596,1.733,9002350.831,
2018-11-05,1.733,1.763,1.605,1.643,6153390.231,
2018-11-12,1.644,1.658,1.262,1.357,13283438.446,
2018-11-19,1.355,1.358,0.778,0.875,35367888.011,
2018-11-26,0.878,0.925,0.71,0.821,28040600.851,
2018-12-03,0.821,0.827,0.512,0.564,21755413.307,
2018-12-10,0.564,0.58,0.43,0.455,10688156.168,
2018-12-17,0.456,0.8,0.453,0.741,66680821.334,
2018-12-24,0.741,0.824,0.5303,0.6108,44707579.171,
2018-12-31,0.6102,0.6555,0.55,0.6403,21070096.41,
2019-01-07,0.6406,0.7371,0.549,0.5638,43868332.89,
2019-01-14,0.5639,0.6472,0.5589,0.5883,26125734.51,
2019-01-21,0.5892,0.6364,0.5649,0.599,19455250.32,
2019-01-28,0.5989,0.5996,0.5211,0.5391,16778628.64,
2019-02-04,0.5385,0.6035,0.5036,0.5871,12057082.41,
2019-02-11,0.5873,0.7156,0.5588,0.6469,47856410.67,
2019-02-18,0.647,1.1981,0.6342,0.9784,109412924.422,
2019-02-25,0.9795,1.043,0.852,0.8763,53485433.78,
2019-03-04,0.8761,1.06,0.7656,0.9542,41929939.3,
2019-03-11,0.9559,1.1534,0.8752,1.1179,33820942.62,
2019-03-18,1.1181,1.4067,1.0459,1.2437,50503399.422,
2019-03-25,1.2455,1.3331,1.0989,1.3067,25061901.05,
