index,Open,High,Low,Close,Volume,Adj Close
2021-11-15,0.003798000048846,0.0077539999037981,0.0007099999929778,0.0017010000301524,22752252.0,0.0017010000301524
2021-11-22,0.001700000022538,0.1692889928817749,0.0014590000500902,0.0923900008201599,604275849.0,0.0923900008201599
2021-11-29,0.0925080031156539,0.1093809977173805,0.0375600010156631,0.0470919981598854,675998104.0,0.0470919981598854
2021-12-06,0.0470519997179508,0.1790149956941604,0.0369540005922317,0.1675300002098083,1775556182.0,0.1675300002098083
2021-12-13,0.1675760000944137,0.1728129982948303,0.0953769981861114,0.1119859963655471,1505797655.0,0.1119859963655471
2021-12-20,0.138,0.2,0.138,0.1482,1400119980.7,
2021-12-27,0.1484,0.1574,0.105,0.1208,1513758120.4,
2022-01-03,0.1208,0.1408,0.0853,0.0897,1894325093.7,
2022-01-10,0.0898,0.0917,0.0713,0.0799,1990375105.4,
2022-01-17,0.08,0.0807,0.0322,0.0375,3366020346.2,
2022-01-24,0.0375,0.0989,0.0305,0.0774,6636514717.5,
2022-01-31,0.0774,0.1146,0.07,0.0929,7968065823.3,
2022-02-07,0.093,0.1,0.0613,0.0626,7862699515.5,
2022-02-14,0.0626,0.075,0.0511,0.0531,4519109649.2,
2022-02-21,0.0532,0.0746,0.0405,0.0605,8287442391.6,
2022-02-28,0.0604,0.0764,0.0514,0.0524,5827122668.6,
2022-03-07,0.0523,0.068,0.05,0.0539,6158444869.0,
2022-03-14,0.0538,0.0698,0.052,0.0662,4753435299.6,
2022-03-21,0.0662,0.0861,0.0623,0.0803,6161064120.6,
2022-03-28,0.0804,0.0895,0.0636,0.0703,4827927023.6,
2022-04-04,0.0703,0.0745,0.0541,0.0565,3705907110.8,
2022-04-11,0.0566,0.0576,0.0486,0.0492,2490125047.5,
2022-04-18,0.0492,0.0575,0.0423,0.048,4281055874.4,
2022-04-25,0.048,0.0491,0.0322,0.0382,3867631238.8,
2022-05-02,0.0382,0.0455,0.0333,0.0349,4930555060.4,
2022-05-09,0.0349,0.0358,0.0103,0.0173,14756653668.0,
2022-05-16,0.0173,0.0173,0.0145,0.0154,2012013355.9,
