index,Open,High,Low,Close,Volume,Adj Close
2020-09-07,1.933326959609985,2.1338870525360107,1.832617998123169,1.911689043045044,229199.0,1.911689043045044
2020-09-14,1.914198994636536,2.258126974105835,1.1393489837646484,1.3707040548324585,2499808.0,1.3707040548324585
2020-09-21,1.3707040548324585,1.4856410026550293,1.087901949882507,1.3916740417480469,4076957.0,1.3916740417480469
2020-09-28,1.3961290121078491,1.441094994544983,1.0534319877624512,1.1118170022964478,3291616.0,1.1118170022964478
2020-10-05,1.1125359535217283,1.137112021446228,0.9716519713401794,1.0561350584030151,2660087.0,1.0561350584030151
2020-10-12,1.055613994598389,1.1261160373687744,1.0230350494384766,1.0498499870300293,3799163.0,1.0498499870300293
2020-10-19,1.051313042640686,1.1738489866256714,1.0480600595474243,1.1530430316925049,3377213.0,1.1530430316925049
2020-10-26,1.1530430316925049,1.172582983970642,1.0223499536514282,1.0288889408111572,2662962.0,1.0288889408111572
2020-11-02,1.0288889408111572,1.043429970741272,0.8346080183982849,0.867156982421875,2311152.0,0.867156982421875
2020-11-09,0.8671630024909973,0.9297500252723694,0.8006049990653992,0.8136619925498962,2690412.0,0.8136619925498962
2020-11-16,0.813664972782135,1.0947020053863523,0.6552500128746033,1.081961989402771,6261851.0,1.081961989402771
2020-11-23,1.0819339752197266,1.1716769933700562,1.0028949975967407,1.115887999534607,10970607.0,1.115887999534607
2020-11-30,1.1158850193023682,1.51556396484375,1.0641109943389893,1.4592820405960083,8600682.0,1.4592820405960083
2020-12-07,1.4593080282211304,1.561028003692627,1.2620970010757446,1.4989049434661863,14149519.0,1.4989049434661863
2020-12-14,1.498873949050903,1.5498509407043457,0.8941310048103333,1.0960049629211426,11196724.0,1.0960049629211426
2020-12-21,1.0960049629211426,1.1591639518737793,0.9063959717750548,0.9676039814949036,7941662.0,0.9676039814949036
2020-12-28,0.9675350189208984,1.3062939643859863,0.959764003753662,1.273771047592163,9117836.0,1.273771047592163
2021-01-04,1.273774027824402,2.1737520694732666,1.2649600505828855,2.045348882675171,15896072.0,2.045348882675171
2021-01-11,2.045351982116699,5.32044792175293,1.7067290544509888,5.284764766693115,38839087.0,5.284764766693115
2021-01-18,5.284782886505127,7.440219879150391,4.323025226593018,7.080211162567139,56593254.0,7.080211162567139
