index,Open,High,Low,Close,Volume,Adj Close
2020-09-28,0.2852550148963928,0.9089810252189636,0.0014759999467059,0.613099992275238,40770503.0,0.613099992275238
2020-10-05,0.613099992275238,0.6257830262184143,0.2996180057525635,0.3860979974269867,12858341.0,0.3860979974269867
2020-10-12,0.3853740096092224,0.4296810030937195,0.2755270004272461,0.2912999987602234,885593.0,0.2912999987602234
2020-10-19,0.2912999987602234,0.3072830140590668,0.2189120054244995,0.2561489939689636,1553805.0,0.2561489939689636
2020-10-26,0.2561500072479248,0.2606920003890991,0.0998599976301193,0.1445810049772262,3492261.0,0.1445810049772262
2020-11-02,0.1445869952440261,0.2003690004348755,0.1242740005254745,0.1881610006093979,1873443.0,0.1881610006093979
2020-11-09,0.18817700445652,0.2771610021591186,0.1761340051889419,0.2452419996261596,2005230.0,0.2452419996261596
2020-11-16,0.2452539950609207,0.3078980147838592,0.1839810013771057,0.2921540141105652,2957107.0,0.2921540141105652
2020-11-23,0.292138010263443,0.3219510018825531,0.1743229925632476,0.2668910026550293,5290020.0,0.2668910026550293
2020-11-30,0.2668919861316681,0.5041229724884033,0.2347780019044876,0.3836840093135834,13429144.0,0.3836840093135834
2020-12-07,0.3836930096149444,0.6266639828681946,0.3189170062541961,0.5583639740943909,10884340.0,0.5583639740943909
2020-12-14,0.558372974395752,0.6382489800453186,0.3795689940452575,0.4340580105781555,19830263.0,0.4340580105781555
2020-12-21,0.4340589940547943,0.4772109985351562,0.3074020147323608,0.4087949991226196,8657645.0,0.4087949991226196
2020-12-28,0.4088009893894195,0.9556009769439696,0.4088009893894195,0.8663020133972168,27903462.0,0.8663020133972168
2021-01-04,0.8657180070877075,1.0703669786453247,0.6882410049438477,1.008841037750244,22365671.0,1.008841037750244
2021-01-11,1.0088520050048828,1.4750100374221802,0.7597100138664246,1.3411469459533691,78376429.0,1.3411469459533691
2021-01-18,1.3434189558029177,1.7190560102462769,1.0320390462875366,1.3252400159835815,278309321.0,1.3252400159835815
2021-01-25,1.3239599466323853,1.5125329494476318,0.9764909744262696,1.4962509870529177,170150067.0,1.4962509870529177
2021-02-01,1.497109055519104,2.565030097961426,1.3852139711380005,2.2733190059661865,290250619.0,2.2733190059661865
2021-02-08,2.274977922439575,5.562582969665527,2.1447339057922363,5.140257835388184,431996625.0,5.140257835388184
2021-02-15,5.150603771209717,7.508319854736328,4.404581069946289,5.479917049407959,572307596.0,5.479917049407959
2021-02-22,5.477745056152344,5.533524036407471,3.13852596282959,3.889446973800659,443921731.0,3.889446973800659
2021-03-01,3.902364015579224,5.063745021820068,3.7806670665740967,4.188673973083496,499227698.0,4.188673973083496
2021-03-08,4.1923041343688965,5.611917972564697,3.6727259159088135,5.253382205963135,466984577.0,5.253382205963135
2021-03-15,5.206739902496338,5.6331939697265625,4.365691184997559,4.382277011871338,607498813.0,4.382277011871338
2021-03-22,4.380137920379639,4.458889961242676,3.219213962554932,4.051637172698975,421691226.0,4.051637172698975
2021-03-29,4.052073955535889,4.517356872558594,3.652934074401856,4.210978984832764,385510634.0,4.210978984832764
2021-04-05,4.20839786529541,4.633777141571045,3.540757894515991,4.397550106048584,330320153.0,4.397550106048584
2021-04-12,4.394629955291748,4.487339973449707,2.9583868980407715,3.2340340614318848,192131019.0,3.2340340614318848
2021-04-19,3.235374927520752,3.2501559257507324,2.243458032608032,2.4743189811706543,156349064.0,2.4743189811706543
2021-04-26,2.4744839668273926,3.914249897003174,2.472976922988892,3.646562099456787,300658029.0,3.646562099456787
2021-05-03,3.6525490283966064,3.889230966567993,3.011483907699585,3.337392091751098,366795059.0,3.337392091751098
2021-05-10,3.33280611038208,3.563638925552368,2.606419086456299,3.0002670288085938,383084862.0,3.0002670288085938
2021-05-17,3.218,3.99,1.3,1.582,18177200.64,
2021-05-24,1.571,2.647,1.529,1.698,14036860.25,
2021-05-31,1.698,2.06,1.576,1.742,7573566.26,
2021-06-07,1.742,1.85,1.25,1.389,6228487.06,
2021-06-14,1.385,1.703,1.179,1.571,28349881.28,
2021-06-21,1.571,1.613,0.88,1.003,13648576.28,
2021-06-28,1.003,1.501,0.971,1.361,22446135.76,
2021-07-05,1.362,1.455,1.12,1.172,12581482.08,
2021-07-12,1.17,1.186,0.938,0.968,7529723.57,
2021-07-19,0.968,0.996,0.8,0.99,8615070.09,
2021-07-26,0.99,1.26,0.95,1.136,14644017.91,
2021-08-02,1.134,1.933,1.108,1.475,46331028.03,
2021-08-09,1.474,1.65,1.39,1.568,16797347.92,
2021-08-16,1.572,2.49,1.568,1.856,53831838.86,
2021-08-23,1.857,2.33,1.683,1.863,24386333.99,
2021-08-30,1.863,2.232,1.761,2.065,20522520.79,
2021-09-06,2.064,2.285,1.38,1.855,16288345.84,
2021-09-13,1.856,1.949,1.62,1.737,12311341.2,
2021-09-20,1.738,1.739,1.355,1.5,13030435.55,
2021-09-27,1.499,1.986,1.41,1.847,12312123.9,
