index,Open,High,Low,Close,Volume,Adj Close
2021-02-22,383.3727722167969,652.8935546875,265.77056884765625,510.3121032714844,7083512.0,510.3121032714844
2021-03-01,510.8954162597656,611.0897216796875,218.22677612304688,218.57003784179688,14327307.0,218.57003784179688
2021-03-08,218.56982421875,301.6024475097656,185.026611328125,254.3408203125,12599814.0,254.3408203125
2021-03-15,254.244384765625,260.6105651855469,162.42771911621094,173.17457580566406,6265626.0,173.17457580566406
2021-03-22,173.53623962402344,209.7660217285156,129.79986572265625,182.9630279541016,3471065.0,182.9630279541016
2021-03-29,182.9603576660156,203.6355438232422,146.2378692626953,163.32740783691406,3075522.0,163.32740783691406
2021-04-05,163.271240234375,195.6497039794922,123.17930603027344,168.05551147460938,2821612.0,168.05551147460938
2021-04-12,168.04759216308594,189.46856689453125,132.78501892089844,161.88134765625,3312530.0,161.88134765625
2021-04-19,161.9990234375,246.91168212890625,138.18202209472656,241.89132690429688,3549944.0,241.89132690429688
2021-04-26,242.0375823974609,1669.32421875,242.0375823974609,1105.1204833984375,99562502.0,1105.1204833984375
2021-05-03,1124.1251220703125,1291.1331787109375,491.462646484375,875.3710327148438,49564361.0,875.3710327148438
2021-05-10,876.3220825195312,1274.7969970703125,666.8257446289062,758.1661987304688,65404393.0,758.1661987304688
2021-05-17,758.187255859375,1310.08154296875,399.6828308105469,522.3001098632812,78195430.0,522.3001098632812
2021-05-24,522.1638793945312,1055.5323486328125,522.1638793945312,781.054931640625,55368294.0,781.054931640625
2021-05-31,781.1156005859375,829.75146484375,618.1954345703125,629.3991088867188,48535940.0,629.3991088867188
2021-06-07,629.4166870117188,667.7974243164062,411.61761474609375,506.2848815917969,33709447.0,506.2848815917969
2021-06-14,506.3529968261719,735.7894287109375,482.0531005859375,619.9336547851562,139735058.0,619.9336547851562
2021-06-21,619.9107055664062,623.162841796875,358.59576416015625,427.6139831542969,112870837.0,427.6139831542969
2021-06-28,427.6593017578125,518.1376342773438,425.4882507324219,466.9270935058594,87034411.0,466.9270935058594
2021-07-05,466.98248291015625,537.1109008789062,437.8189392089844,444.42724609375,77125225.0,444.42724609375
2021-07-12,444.407470703125,452.943603515625,273.1605834960937,277.0533142089844,66099183.0,277.0533142089844
2021-07-19,276.9819641113281,377.1810302734375,208.59873962402344,317.931884765625,87267571.0,317.931884765625
2021-07-26,317.9332275390625,387.1917724609375,311.78924560546875,339.94537353515625,66139784.0,339.94537353515625
2021-08-02,339.8178405761719,476.2202453613281,303.7182312011719,406.6926879882813,78279416.0,406.6926879882813
2021-08-09,638.3,890.0,638.3,712.1,44368.647,
2021-08-16,712.1,790.0,586.3,724.5,43577.116,
2021-08-23,722.9,757.0,586.5,606.7,27784.304,
2021-08-30,606.7,641.8,556.0,597.8,30287.684,
2021-09-06,598.4,606.6,419.5,443.5,26773.774,
2021-09-13,443.9,613.4,403.0,449.7,65787.458,
2021-09-20,451.0,451.7,327.8,358.8,52264.107,
2021-09-27,357.1,558.9,330.4,422.8,96183.425,
2021-10-04,423.4,444.3,394.1,396.4,27626.835,
2021-10-11,396.4,472.5,368.6,400.0,34917.304,
2021-10-18,398.9,439.7,389.0,397.8,21713.043,
2021-10-25,397.0,535.8,390.9,408.7,74319.987,
2021-11-01,409.2,467.6,393.4,416.1,34421.607,
2021-11-08,416.6,438.7,381.2,392.6,27157.064,
2021-11-15,392.6,398.9,333.9,351.0,22575.237,
2021-11-22,350.9,355.0,302.2,324.2,26778.887,
2021-11-29,324.2,350.0,244.0,273.2,28460.941,
2021-12-06,273.2,312.9,239.6,245.9,61255.993,
2021-12-13,245.8,259.7,211.9,235.3,34933.714,
2021-12-20,234.6,300.0,217.9,272.3,56976.109,
2021-12-27,272.5,570.0,251.0,331.3,566367.031,
2022-01-03,331.3,362.8,264.3,278.5,84715.876,
2022-01-10,278.4,324.9,251.2,288.0,75532.539,
2022-01-17,288.0,291.7,163.0,186.5,51518.734,
2022-01-24,186.5,190.0,156.7,173.0,31406.884,
2022-01-31,173.0,249.4,166.1,201.2,75671.123,
2022-02-07,201.3,239.1,185.8,194.6,49423.525,
2022-02-14,195.0,227.0,170.2,178.7,36553.962,
2022-02-21,178.8,185.0,140.0,157.1,32015.862,
2022-02-28,156.7,192.0,154.6,157.8,46444.602,
2022-03-07,157.7,201.1,150.1,171.5,76351.189,
2022-03-14,171.5,318.0,166.2,227.9,286834.235,
2022-03-21,228.1,239.5,207.5,232.1,74340.724,
2022-03-28,232.1,271.0,214.5,243.6,79740.195,
2022-04-04,243.6,257.0,214.4,217.4,44129.842,
2022-04-11,217.0,217.7,187.8,192.2,37674.498,
2022-04-18,192.1,200.6,168.7,170.7,25018.965,
2022-04-25,170.8,213.7,154.0,176.7,187772.454,
2022-05-02,176.4,186.3,126.8,129.8,62144.767,
2022-05-09,129.7,131.4,55.4,85.2,110386.259,
2022-05-16,85.3,92.4,75.4,84.0,19113.033,
