index,Open,High,Low,Close,Volume,Adj Close
2021-11-29,2.5,35.993,2.5,5.836,41406070.25,
2021-12-06,5.833,6.453,4.521,4.76,12115274.1,
2021-12-13,4.76,5.049,3.596,3.628,2839685.74,
2021-12-20,3.628,4.8,3.36,4.307,4528551.38,
2021-12-27,4.304,4.528,3.465,3.564,2253731.79,
2022-01-03,3.553,3.639,2.751,2.823,2026304.49,
2022-01-10,2.821,4.594,2.58,3.303,15830228.21,
2022-01-17,3.308,3.954,2.451,2.649,6600727.36,
2022-01-24,2.649,2.8,2.398,2.693,2952375.49,
2022-01-31,2.694,2.82,2.501,2.784,1348575.92,
2022-02-07,2.788,3.241,2.7,2.754,3551016.04,
2022-02-14,2.753,3.126,2.41,2.5,2273739.28,
2022-02-21,2.501,4.697,2.009,3.224,14046835.78,
2022-02-28,3.229,4.22,2.838,3.369,30320437.22,
2022-03-07,3.372,8.75,3.136,5.547,54721610.33,
2022-03-14,5.549,7.466,4.918,6.238,27499006.92,
2022-03-21,6.255,7.438,6.13,6.324,10181678.05,
2022-03-28,6.324,6.85,5.892,6.175,4929593.92,
2022-04-04,6.171,6.45,5.23,5.32,7907831.49,
2022-04-11,5.32,5.585,4.706,4.793,2660395.82,
2022-04-18,4.788,5.676,4.469,4.57,6088330.84,
2022-04-25,4.568,4.642,3.421,3.533,4345435.65,
2022-05-02,3.533,4.36,3.21,3.223,8433722.16,
2022-05-09,3.223,3.257,1.268,1.844,7234408.7,
2022-05-16,1.841,1.875,1.694,1.842,472443.85,
