index,Open,High,Low,Close,Volume,Adj Close
2020-04-06,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.8825070261955261,169963617.0,0.8825070261955261
2020-04-13,0.8907600045204163,0.8916029930114746,0.5984870195388794,0.6069689989089966,98322797.0,0.6069689989089966
2020-04-20,0.6129480004310608,0.7069640159606934,0.5085489749908447,0.6355059742927551,75064649.0,0.6355059742927551
2020-04-27,0.6357139945030212,0.800815999507904,0.561028003692627,0.6795349717140198,39629143.0,0.6795349717140198
2020-05-04,0.6796249747276306,0.7058119773864746,0.5130810141563416,0.5370339751243591,19268839.0,0.5370339751243591
2020-05-11,0.5362550020217896,0.6401960253715515,0.5051940083503723,0.6129890084266663,15758356.0,0.6129890084266663
2020-05-18,0.6126819849014282,0.6764320135116577,0.5433459877967834,0.5490530133247375,19697324.0,0.5490530133247375
2020-05-25,0.5485699772834778,0.6501380205154419,0.5380640029907227,0.5700219869613647,18807900.0,0.5700219869613647
2020-06-01,0.5734720230102539,0.6982790231704712,0.5522940158843994,0.6165779829025269,11877653.0,0.6165779829025269
2020-06-08,0.6150779724121094,0.679000973701477,0.569920003414154,0.5870770215988159,7225481.0,0.5870770215988159
2020-06-15,0.5883730053901672,0.8363980054855347,0.5472869873046875,0.6731489896774292,14147524.0,0.6731489896774292
2020-06-22,0.6725770235061646,0.8439769744873047,0.6458770036697388,0.7984949946403503,14227035.0,0.7984949946403503
2020-06-29,0.7984949946403503,1.0291759967803955,0.6426349878311157,0.6916639804840088,16145755.0,0.6916639804840088
2020-07-06,0.6916639804840088,1.130977988243103,0.6865800023078918,1.0167160034179688,16048041.0,1.0167160034179688
2020-07-13,1.0167160034179688,1.3968349695205688,0.8018839955329895,0.9203490018844604,31220453.0,0.9203490018844604
2020-07-20,0.92051500082016,1.6246479749679563,0.8518779873847961,1.5651099681854248,38034970.0,1.5651099681854248
2020-07-27,1.5650980472564695,2.095622062683105,1.411972999572754,1.7428100109100342,74731416.0,1.7428100109100342
2020-08-03,1.7322900295257568,2.7068231105804443,1.6687259674072266,2.6652278900146484,58976190.0,2.6652278900146484
2020-08-10,2.85,4.1387,2.8433,3.3885,8187688.49,
2020-08-17,3.3885,3.7092,2.7431,3.25,9652951.03,
2020-08-24,3.2658,4.7117,3.0001,4.4309,12907851.82,
2020-08-31,4.4127,4.9475,2.0926,3.0941,17419598.03,
2020-09-07,3.0785,3.8838,2.38,3.2603,20768444.34,
2020-09-14,3.2656,3.5393,2.36,2.8628,21784849.67,
2020-09-21,2.8628,3.2766,2.4689,3.1578,17519195.44,
2020-09-28,3.1557,3.2109,2.42,2.5202,8453746.68,
2020-10-05,2.5181,2.683,2.0123,2.4227,11599981.78,
2020-10-12,2.4228,2.7044,2.1071,2.215,8494533.99,
2020-10-19,2.2137,2.2148,1.76,1.7926,11363839.24,
2020-10-26,1.7925,1.8685,1.3163,1.608,12415495.45,
2020-11-02,1.6076,2.4975,1.2733,2.1558,23519422.82,
2020-11-09,2.1515,2.3257,1.825,2.0407,14691581.95,
2020-11-16,2.039,2.51,1.9858,2.1514,15950422.78,
2020-11-23,2.161,2.49,1.7212,1.9153,20076252.86,
2020-11-30,1.9184,2.2279,1.7956,1.8505,12222320.62,
2020-12-07,1.8515,1.899,1.4328,1.5701,11016590.41,
2020-12-14,1.5651,1.8064,1.521,1.5635,14519422.07,
2020-12-21,1.5605,1.62,1.0301,1.3037,13912383.89,
2020-12-28,1.3041,2.38,1.2867,2.1779,29363801.01,
2021-01-04,2.1789,3.8,1.86,3.449,99382756.33,
2021-01-11,3.4455,3.9876,2.5795,3.8268,49262931.16,
2021-01-18,3.8243,4.17,2.5295,3.6278,31381409.78,
2021-01-25,3.6287,4.805,3.4398,4.2525,30332723.44,
2021-02-01,4.2568,7.1438,4.1075,6.6976,31349616.82,
2021-02-08,6.6931,9.93,6.4554,8.7158,30881627.57,
2021-02-15,8.7234,11.85,7.5182,11.0753,27025531.09,
2021-02-22,11.0738,18.2052,9.1,13.0887,80809231.34,
2021-03-01,13.08,15.5469,11.9,13.8174,23811858.4,
2021-03-08,13.8174,16.5,12.996,14.4605,18841797.78,
2021-03-15,14.461,14.9793,13.0326,14.3372,11849108.36,
2021-03-22,14.3372,19.38,12.3043,18.0645,25943984.75,
