index,Open,High,Low,Close,Volume,Adj Close
2020-08-24,3.399935007095337,5.195953845977783,0.6965579986572266,3.1422810554504395,128135783.0,3.1422810554504395
2020-08-31,6.08,15.97,1.13,3.171,189343459.717,
2020-09-07,3.176,3.38,2.028,2.329,250138983.098,
2020-09-14,2.328,2.664,1.319,1.642,207986145.392,
2020-09-21,1.644,1.75,1.215,1.369,104222254.8,
2020-09-28,1.369,1.394,0.856,0.877,61116736.01,
2020-10-05,0.878,0.951,0.551,0.76,178081211.786,
2020-10-12,0.76,0.801,0.64,0.714,51203801.621,
2020-10-19,0.713,0.73,0.61,0.623,34092946.149,
2020-10-26,0.623,0.716,0.583,0.607,53367860.506,
2020-11-02,0.608,0.71,0.472,0.642,56883491.665,
2020-11-09,0.641,1.45,0.582,1.255,123316544.733,
2020-11-16,1.255,1.797,1.063,1.622,162222841.935,
2020-11-23,1.621,1.68,0.929,1.428,127095039.654,
2020-11-30,1.429,2.379,1.411,2.185,163424983.455,
2020-12-07,2.187,2.496,1.889,2.391,103305104.704,
2020-12-14,2.391,3.084,2.248,2.703,96381896.955,
2020-12-21,2.7,2.784,1.1,2.629,108498535.052,
2020-12-28,2.624,3.588,2.368,3.445,94948625.308,
2021-01-04,3.448,5.035,3.111,4.391,110110207.79,
2021-01-11,4.391,7.798,3.18,7.043,104375977.81,
2021-01-18,7.055,8.488,5.218,8.321,70557542.5,
2021-01-25,8.329,11.3,6.786,10.121,102851255.63,
2021-02-01,10.133,16.601,9.74,13.156,74660015.359,
2021-02-08,13.158,17.592,12.62,14.923,43900871.197,
2021-02-15,14.94,19.769,12.714,17.327,59799346.396,
2021-02-22,17.316,17.7,11.6,15.082,60973104.427,
2021-03-01,15.06,20.73,14.961,17.956,49947340.493,
2021-03-08,17.96,23.43,16.68,20.642,45174265.567,
2021-03-15,20.643,21.898,18.34,18.848,19323865.609,
2021-03-22,18.838,19.975,14.078,15.272,20945084.68,
2021-03-29,15.272,16.585,14.072,15.243,25420123.39,
2021-04-05,15.245,15.919,13.5,14.176,20830634.572,
2021-04-12,14.181,18.346,9.998,14.015,52191017.815,
2021-04-19,14.004,14.428,10.139,10.964,45708150.118,
2021-04-26,10.975,15.17,10.877,13.898,30682819.891,
2021-05-03,13.893,17.81,12.501,15.506,50724651.136,
2021-05-10,15.527,19.04,12.8,16.564,74670957.825,
2021-05-17,16.552,22.537,6.294,9.013,150567241.955,
2021-05-24,9.013,13.599,8.911,10.837,75468955.058,
2021-05-31,10.834,13.514,9.991,11.537,32804649.859,
2021-06-07,11.541,11.833,7.634,8.632,32704167.701,
2021-06-14,8.632,9.652,7.318,8.416,31711709.619,
2021-06-21,8.421,8.517,5.966,7.141,50540609.738,
2021-06-28,7.141,8.451,6.971,7.934,25126270.156,
2021-07-05,7.933,9.726,7.219,8.15,37562883.262,
2021-07-12,8.155,8.276,6.296,7.082,34763887.897,
2021-07-19,7.085,8.628,6.019,8.331,45422274.381,
2021-07-26,8.325,9.627,7.813,8.485,45050764.462,
2021-08-02,8.485,10.689,7.871,9.391,33068765.95,
2021-08-09,9.388,12.869,9.04,12.613,41754917.06,
2021-08-16,12.609,14.85,11.922,13.764,49660398.005,
2021-08-23,13.766,14.203,11.136,11.595,28493031.487,
2021-08-30,11.6,14.294,10.978,14.276,37842943.793,
2021-09-06,14.278,14.307,9.343,11.865,39322672.297,
2021-09-13,11.872,16.2,10.026,12.052,77860024.052,
2021-09-20,12.044,12.102,8.5,11.391,60528356.563,
2021-09-27,11.395,11.966,9.229,10.821,39183250.7,
2021-10-04,10.823,11.521,9.882,10.254,27458756.5,
2021-10-11,10.25,12.0,9.657,11.136,31502061.9,
2021-10-18,11.139,11.715,10.228,10.534,25428008.2,
2021-10-25,10.533,12.25,10.073,10.901,35640231.4,
2021-11-01,10.885,13.48,10.541,12.097,40367808.4,
2021-11-08,12.093,12.442,10.412,11.049,20169407.5,
2021-11-15,11.049,11.219,8.596,8.733,33169247.9,
2021-11-22,8.738,8.773,6.644,7.941,48101435.455,
2021-11-29,7.945,8.316,4.332,5.276,61294049.892,
2021-12-06,5.276,6.91,4.793,5.579,68863619.0,
2021-12-13,5.58,6.374,5.27,5.337,86315408.8,
2021-12-20,5.337,8.17,5.08,7.916,70638462.2,
2021-12-27,7.926,10.684,7.612,8.929,113118386.9,
2022-01-03,8.929,9.449,6.301,6.929,78821808.0,
2022-01-10,6.929,7.55,6.2,6.971,45497970.7,
2022-01-17,6.972,6.983,3.98,4.655,52899030.923,
2022-01-24,4.654,4.818,3.792,4.086,51690756.2,
2022-01-31,4.087,4.9,3.868,4.804,38581784.0,
2022-02-07,4.803,5.086,3.977,4.034,36803054.5,
2022-02-14,4.031,4.448,3.555,3.634,24272369.6,
2022-02-21,3.635,3.804,2.753,3.122,43367158.031,
2022-02-28,3.123,3.631,2.892,2.903,37478465.6,
2022-03-07,2.902,3.241,2.754,2.788,32984806.8,
2022-03-14,2.788,3.504,2.761,3.238,36019486.0,
2022-03-21,3.239,4.0,3.166,3.988,46065738.4,
2022-03-28,3.989,5.025,3.738,4.448,86085883.3,
2022-04-04,4.447,4.475,3.353,3.399,32576982.7,
2022-04-11,3.399,3.54,3.072,3.193,26319290.1,
2022-04-18,3.191,3.714,3.022,3.364,45706424.2,
2022-04-25,3.364,3.38,2.24,2.389,50422604.761,
2022-05-02,2.389,2.651,2.06,2.109,44501502.85,
2022-05-09,2.112,2.176,1.082,1.398,132193692.596,
2022-05-16,1.397,1.499,1.226,1.428,16451709.5,
