index,Open,High,Low,Close,Volume,Adj Close
2021-04-05,0.1,10.0,0.1,2.3032,488907214.37,
2021-04-12,2.3045,3.4815,1.688,2.9251,280721587.11,
2021-04-19,2.9334,3.7941,1.78,2.295,333198647.97,
2021-04-26,2.295,4.6519,2.2714,4.4668,225277402.66,
2021-05-03,4.4624,4.99,3.38,3.5328,203761330.07,
2021-05-10,3.5328,3.88,2.8,2.9481,100516171.22,
2021-05-17,2.9499,3.1766,1.002,1.2806,100720610.71,
2021-05-24,1.2802,1.95,1.1986,1.5337,55081458.66,
2021-05-31,1.5302,2.879,1.4361,2.3897,140219204.55,
2021-06-07,2.3895,2.5282,1.7866,2.0682,60062241.41,
2021-06-14,2.0682,2.0989,1.5897,1.7025,30187493.47,
2021-06-21,1.7034,1.7236,1.1517,1.3794,37748944.05,
2021-06-28,1.3808,1.5001,1.27,1.4217,19978462.88,
2021-07-05,1.4217,1.5859,1.3,1.403,22809178.07,
2021-07-12,1.4041,1.89,1.2825,1.5241,95346200.98,
2021-07-19,1.5256,1.7296,1.2,1.624,70387943.57,
2021-07-26,1.6237,1.7198,1.4888,1.572,45929430.17,
2021-08-02,1.5729,1.9976,1.492,1.799,60811489.32,
2021-08-09,1.7989,2.2174,1.7515,2.0333,56947943.68,
2021-08-16,2.033,2.5199,2.0003,2.2729,69148971.98,
2021-08-23,2.2733,3.464,2.068,2.878,136578574.68,
2021-08-30,2.877,2.95,2.515,2.733,48959652.07,
2021-09-06,2.734,2.832,1.85,2.166,54028936.88,
2021-09-13,2.165,2.448,1.951,2.184,33657804.6,
2021-09-20,2.187,2.22,1.582,1.713,35907616.96,
2021-09-27,1.713,2.049,1.595,1.943,24279935.6,
2021-10-04,1.944,2.009,1.78,1.858,27549489.9,
2021-10-11,1.859,2.34,1.73,2.068,41632335.5,
2021-10-18,2.07,2.222,1.955,2.023,29435533.4,
2021-10-25,2.025,2.071,1.776,1.915,22194273.2,
2021-11-01,1.915,2.35,1.88,2.001,39156492.6,
2021-11-08,2.002,2.096,1.814,1.904,22073013.1,
2021-11-15,1.907,1.943,1.502,1.762,33473355.08,
2021-11-22,1.763,1.819,1.51,1.583,24876126.5,
2021-11-29,1.584,1.98,1.271,1.353,44128819.27,
2021-12-06,1.352,1.59,1.277,1.326,17727593.4,
2021-12-13,1.325,1.58,1.161,1.219,20344914.76,
2021-12-20,1.219,1.371,1.16,1.317,15716228.2,
2021-12-27,1.316,1.42,1.213,1.266,16104920.3,
2022-01-03,1.266,1.283,1.02,1.065,14137176.86,
2022-01-10,1.064,1.16,0.966,1.056,12028799.47,
2022-01-17,1.058,1.058,0.651,0.731,17362370.87,
2022-01-24,0.731,0.825,0.634,0.732,15022328.4,
2022-01-31,0.731,0.845,0.686,0.816,18694294.7,
2022-02-07,0.816,0.885,0.72,0.747,17564413.2,
2022-02-14,0.747,0.848,0.683,0.7,30711730.1,
2022-02-21,0.7,0.798,0.588,0.648,29589410.9,
2022-02-28,0.648,0.76,0.635,0.66,25415269.2,
2022-03-07,0.66,0.698,0.589,0.605,20637085.9,
2022-03-14,0.605,0.671,0.599,0.64,16557368.8,
2022-03-21,0.64,0.76,0.629,0.745,28063081.7,
2022-03-28,0.745,1.2,0.689,0.954,80928473.3,
2022-04-04,0.954,0.962,0.783,0.85,44731813.3,
2022-04-11,0.851,0.855,0.736,0.747,16456030.8,
2022-04-18,0.747,0.769,0.689,0.696,12258889.8,
2022-04-25,0.697,0.698,0.575,0.597,12361119.7,
2022-05-02,0.597,0.63,0.54,0.542,11161322.3,
2022-05-09,0.542,0.553,0.25,0.357,30001459.62,
2022-05-16,0.358,0.358,0.312,0.354,3197950.6,
