index,Open,High,Low,Close,Volume,Adj Close
2021-04-05,1.6767280101776123,7.1884870529174805,1.5829830169677734,6.783545017242432,76144356.0,6.783545017242432
2021-04-12,0.1,5.95,0.1,0.3597,2282193662.72,
2021-04-19,0.3595,0.415,0.196,0.2439,763316821.35,
2021-04-26,0.2439,0.8786,0.2404,0.7549,2621618211.76,
2021-05-03,0.7549,0.869,0.46,0.6238,2379918610.91,
2021-05-10,0.6243,0.69,0.326,0.3643,1384824523.16,
2021-05-17,0.3646,0.419,0.1121,0.1382,1167821330.68,
2021-05-24,0.1381,0.2745,0.1357,0.1896,1371054005.07,
2021-05-31,0.1898,0.2173,0.1666,0.1751,671171462.35,
2021-06-07,0.175,0.1825,0.1269,0.1475,759828842.6,
2021-06-14,0.1474,0.1575,0.1102,0.1215,564588581.99,
2021-06-21,0.1216,0.1226,0.0663,0.0755,929812667.3,
2021-06-28,0.0756,0.0974,0.0701,0.0888,909083964.3,
2021-07-05,0.0888,0.1349,0.079,0.1302,2182121147.36,
2021-07-12,0.1303,0.3313,0.1105,0.1977,8302632241.9,
2021-07-19,0.1977,0.3743,0.1291,0.3683,9386775351.51,
2021-07-26,0.3681,0.3693,0.2506,0.2837,5997986606.12,
2021-08-02,0.284,0.31,0.2518,0.2687,2534395859.6,
2021-08-09,0.2687,0.3435,0.2556,0.3202,3179796258.86,
2021-08-16,0.32,0.3398,0.238,0.2865,2779610487.94,
2021-08-23,0.2865,0.4065,0.2564,0.3688,4641778502.07,
2021-08-30,0.3688,0.4145,0.3082,0.3354,2394265530.05,
2021-09-06,0.3352,0.3581,0.1861,0.2213,2639345930.42,
2021-09-13,0.2211,0.2416,0.1829,0.213,1426846773.0,
2021-09-20,0.2131,0.2144,0.1436,0.1618,1742104721.94,
2021-09-27,0.1616,0.218,0.1501,0.2012,1616516801.0,
2021-10-04,0.2012,0.231,0.1817,0.1935,1542778006.0,
2021-10-11,0.1934,0.2095,0.1739,0.19,965233012.0,
2021-10-18,0.1901,0.2034,0.1801,0.1844,711413991.0,
2021-10-25,0.1844,0.3333,0.1582,0.242,3808289644.0,
2021-11-01,0.2418,0.326,0.2266,0.2929,2993560907.0,
2021-11-08,0.2929,0.3,0.2225,0.2575,1464809573.0,
2021-11-15,0.2574,0.4662,0.2084,0.3399,4374998831.91,
2021-11-22,0.3399,0.57,0.317,0.4131,5019766223.26,
2021-11-29,0.4129,0.485,0.1962,0.2633,3124902875.0,
2021-12-06,0.2633,0.28,0.2198,0.2435,1757563006.0,
2021-12-13,0.2435,0.2486,0.1993,0.2058,980741259.0,
2021-12-20,0.2056,0.2547,0.1878,0.2502,1075122374.0,
2021-12-27,0.2504,0.2649,0.2043,0.219,946231810.0,
2022-01-03,0.2188,0.224,0.158,0.1691,1046101107.0,
2022-01-10,0.169,0.191,0.152,0.1806,815127367.0,
2022-01-17,0.1804,0.1818,0.0963,0.1081,1239813829.42,
2022-01-24,0.108,0.1203,0.0897,0.1069,1122166246.13,
2022-01-31,0.1069,0.1439,0.1017,0.14,1448411955.0,
2022-02-07,0.14,0.1645,0.1221,0.1227,2085427754.0,
2022-02-14,0.1227,0.1437,0.1075,0.1126,1333240036.0,
2022-02-21,0.1126,0.1227,0.085,0.1,1634169969.0,
2022-02-28,0.1,0.1182,0.0942,0.0967,1161233905.0,
2022-03-07,0.0967,0.1041,0.0891,0.0905,919741060.0,
2022-03-14,0.0904,0.1079,0.0887,0.1004,1271762063.0,
2022-03-21,0.1004,0.1274,0.097,0.1252,1944719870.0,
2022-03-28,0.1252,0.1483,0.1151,0.1359,2588685683.0,
2022-04-04,0.1359,0.1379,0.1055,0.1061,1194683563.0,
2022-04-11,0.1061,0.1067,0.0948,0.0967,914560190.0,
2022-04-18,0.0967,0.1048,0.09,0.0941,1041825715.0,
2022-04-25,0.0941,0.0966,0.07,0.0771,1477365049.88,
2022-05-02,0.0771,0.0838,0.0662,0.0675,1453209415.04,
2022-05-09,0.0676,0.0694,0.0235,0.0361,3582840123.81,
2022-05-16,0.0362,0.0383,0.0313,0.0369,629406644.0,
