index,Open,High,Low,Close,Volume,Adj Close
2021-02-08,214.29042053222656,437.4127197265625,198.4498291015625,361.6123352050781,153676428.0,361.6123352050781
2021-02-15,361.6097717285156,425.0341491699219,252.3023376464844,403.3820190429688,83352879.0,403.3820190429688
2021-02-22,403.363037109375,407.1258544921875,181.04405212402344,196.1606903076172,45230901.0,196.1606903076172
2021-03-01,196.3524780273437,221.9337921142578,172.52450561523438,181.81539916992188,32002883.0,181.81539916992188
2021-03-08,181.8358764648437,200.5657501220703,123.7066879272461,189.53823852539065,59734697.0,189.53823852539065
2021-03-15,189.0894775390625,192.7035675048828,159.51731872558594,159.51731872558594,42897373.0,159.51731872558594
2021-03-22,159.69793701171875,174.2387237548828,131.61520385742188,162.46743774414062,38550695.0,162.46743774414062
2021-03-29,162.45176696777344,175.70269775390625,76.64421844482422,118.63480377197266,113430447.0,118.63480377197266
2021-04-05,118.65894317626952,163.33668518066406,112.30050659179688,126.03328704833984,74292201.0,126.03328704833984
2021-04-12,125.86964416503906,132.28536987304688,87.40109252929688,106.05687713623048,49559237.0,106.05687713623048
2021-04-19,105.66706085205078,136.3645477294922,94.63311004638672,97.45703887939452,59503619.0,97.45703887939452
2021-04-26,97.55947875976562,137.6265869140625,97.41546630859376,125.57101440429688,45850466.0,125.57101440429688
2021-05-03,125.6733856201172,146.0770721435547,124.26268768310548,129.9615478515625,57024086.0,129.9615478515625
2021-05-10,130.00852966308594,133.62037658691406,85.63690948486328,91.08332061767578,47766402.0,91.08332061767578
2021-05-17,91.05201721191406,92.34029388427734,30.07743263244629,36.55731201171875,45582235.0,36.55731201171875
2021-05-24,36.566551208496094,53.2423095703125,36.34528350830078,48.05609893798828,20498572.0,48.05609893798828
2021-05-31,47.9870719909668,86.92593383789062,46.16010284423828,75.2439193725586,38127655.0,75.2439193725586
2021-06-07,71.89,87.55,49.9,57.55,527664.5,
2021-06-14,57.59,72.2,44.02,47.1,443202.21,
2021-06-21,47.03,49.0,34.1,40.65,542592.96,
2021-06-28,40.65,45.9,36.43,39.04,128778.38,
2021-07-05,39.04,41.31,33.57,34.93,137527.02,
2021-07-12,34.96,35.99,29.03,30.8,152006.65,
2021-07-19,30.78,38.85,26.08,32.63,228863.42,
2021-07-26,32.63,38.56,31.55,34.7,156700.13,
2021-08-02,34.65,83.71,30.24,59.26,3010186.25,
2021-08-09,59.26,62.87,49.01,53.37,971948.89,
2021-08-16,53.47,56.96,44.55,49.28,323270.67,
2021-08-23,49.34,95.7,46.73,70.0,2457364.88,
2021-08-30,70.0,87.98,63.67,76.28,792074.69,
2021-09-06,76.27,76.28,54.4,62.83,340538.37,
2021-09-13,62.83,98.43,54.96,66.99,1091734.67,
2021-09-20,67.18,68.26,50.15,57.1,453751.8,
2021-09-27,56.95,73.8,55.53,68.04,536609.69,
2021-10-04,68.1,72.87,63.66,64.74,305238.0,
2021-10-11,64.7,84.45,58.82,73.66,560576.61,
2021-10-18,73.7,77.83,64.65,68.38,258557.78,
2021-10-25,68.38,73.89,57.61,60.31,295208.89,
2021-11-01,60.31,63.96,55.19,57.27,309453.33,
2021-11-08,57.4,59.7,50.84,54.81,281628.13,
2021-11-15,54.88,57.0,46.2,50.72,238908.23,
2021-11-22,50.72,53.62,42.0,45.28,264654.97,
2021-11-29,45.28,52.35,33.69,36.55,338426.09,
2021-12-06,36.67,49.5,32.7,40.14,942793.18,
2021-12-13,40.05,42.75,32.23,38.01,288674.08,
2021-12-20,38.01,46.72,35.28,41.44,170354.18,
2021-12-27,41.55,42.65,35.33,36.47,162657.43,
2022-01-03,36.45,36.61,27.05,28.17,149870.47,
2022-01-10,28.18,37.0,25.13,32.26,952651.84,
2022-01-17,32.29,34.6,19.21,21.75,407635.89,
2022-01-24,21.66,23.44,18.38,20.96,219161.9,
2022-01-31,20.93,25.2,20.19,24.39,321646.13,
2022-02-07,24.39,27.02,22.53,23.33,198820.14,
2022-02-14,23.33,51.77,22.58,36.2,4139251.08,
2022-02-21,36.22,45.76,26.47,36.27,1781602.7,
2022-02-28,36.26,68.4,35.77,47.27,4009969.82,
2022-03-07,47.34,56.0,42.16,45.34,1697327.06,
2022-03-14,45.34,51.66,44.35,44.98,656703.6,
2022-03-21,44.95,49.75,42.68,46.69,625363.83,
2022-03-28,46.68,58.5,45.0,47.04,880835.7,
2022-04-04,47.03,50.25,42.05,42.88,455968.62,
2022-04-11,42.93,46.0,38.11,40.13,271013.79,
2022-04-18,40.1,54.5,40.0,46.26,689289.27,
2022-04-25,46.29,56.24,44.37,53.75,789679.49,
2022-05-02,53.75,58.7,47.57,50.96,500741.56,
2022-05-09,50.96,51.23,28.98,39.54,476728.97,
2022-05-16,39.53,40.24,36.51,38.6,57826.08,
