index,Open,High,Low,Close,Volume,Adj Close
2021-03-29,2.227541923522949,2.491663932800293,0.0,2.2105000019073486,85956880.0,2.2105000019073486
2021-04-05,2.2086780071258545,2.268271923065185,1.2621270418167114,1.307134032249451,365884616.0,1.307134032249451
2021-04-12,1.3068560361862185,1.531512975692749,1.083274006843567,1.1294649839401243,104381253.0,1.1294649839401243
2021-04-19,1.1267950534820557,1.4927740097045898,1.0319429636001587,1.4563499689102173,97740753.0,1.4563499689102173
2021-04-26,1.456982970237732,1.5833909511566162,1.2575559616088867,1.4216909408569336,118733592.0,1.4216909408569336
2021-05-03,1.4091370105743408,1.8274489641189573,1.4091370105743408,1.6886579990386963,83633679.0,1.6886579990386963
2021-05-10,1.6839779615402222,1.786234974861145,1.4870020151138306,1.5508990287780762,47468099.0,1.5508990287780762
2021-05-17,1.550449013710022,1.556488037109375,0.7796970009803772,0.874301016330719,211576736.0,0.874301016330719
2021-05-24,0.875881016254425,1.0224260091781616,0.8043540120124817,0.8426330089569092,98708315.0,0.8426330089569092
2021-05-31,0.8432959914207458,0.9258450269699096,0.8240129947662354,0.8454279899597168,76094018.0,0.8454279899597168
2021-06-07,0.8453800082206726,0.8660119771957397,0.7327929735183716,0.7668079733848572,45226730.0,0.7668079733848572
2021-06-14,0.7673550248146057,0.7964820265769958,0.6848739981651306,0.7024989724159241,35371419.0,0.7024989724159241
2021-06-21,0.7025150060653687,0.7037400007247925,0.5806769728660583,0.5888969898223877,28616419.0,0.5888969898223877
2021-06-28,0.5899779796600342,0.6348279714584351,0.5823820233345032,0.6089829802513123,20051627.0,0.6089829802513123
2021-07-05,0.6090360283851624,0.6252580285072327,0.5863289833068848,0.6126459836959839,11260550.0,0.6126459836959839
2021-07-12,0.6126390099525452,0.620058000087738,0.5503159761428833,0.5732870101928711,10725835.0,0.5732870101928711
2021-07-19,0.5729209780693054,0.5860850214958191,0.5547429919242859,0.5683500170707703,10123434.0,0.5683500170707703
2021-07-26,0.5681530237197876,0.6316620111465454,0.5675579905509949,0.6061080098152161,58134634.0,0.6061080098152161
2021-08-02,0.6057310104370117,0.6333280205726624,0.5635240077972412,0.6173670291900635,32995050.0,0.6173670291900635
2021-08-09,0.6177970170974731,0.8247770071029663,0.5819900035858154,0.6681699752807617,154185026.0,0.6681699752807617
2021-08-16,0.6681889891624451,0.7020360231399536,0.6374940276145935,0.6655619740486145,42271728.0,0.6655619740486145
2021-08-23,0.6822,1.1,0.6822,0.7949,303082878.0,
2021-08-30,0.7951,0.8828,0.7569,0.7715,77133944.0,
2021-09-06,0.7724,0.7975,0.5853,0.632,55442108.0,
2021-09-13,0.632,0.7329,0.5945,0.6334,86849102.0,
2021-09-20,0.6326,0.9035,0.5742,0.5804,131680769.0,
2021-09-27,0.581,0.6335,0.5772,0.6144,35628828.0,
2021-10-04,0.6148,0.7524,0.6011,0.7218,62545647.0,
2021-10-11,0.7207,0.9181,0.7201,0.8315,70380213.0,
2021-10-18,0.8319,0.98,0.7927,0.8971,29058857.0,
2021-10-25,0.8966,0.9224,0.8651,0.8921,19481980.0,
2021-11-01,0.8923,1.172,0.8813,1.1117,44590318.0,
2021-11-08,1.112,1.3545,1.0954,1.2394,39571584.0,
2021-11-15,1.2394,1.358,0.9691,1.1109,40886935.0,
2021-11-22,1.111,1.156,0.9031,0.931,17709842.0,
2021-11-29,0.931,1.5209,0.9247,1.0137,76691725.0,
2021-12-06,1.0153,1.0865,1.0001,1.021,16605761.0,
2021-12-13,1.0224,1.0463,0.8974,0.9115,8533445.0,
2021-12-20,0.9116,1.09,0.8845,1.0453,13430882.0,
2021-12-27,1.0453,1.12,0.9907,0.9972,7127555.0,
2022-01-03,0.9953,1.0,0.841,0.8489,8202839.0,
2022-01-10,0.8487,1.2717,0.8257,1.2154,39500116.0,
2022-01-17,1.2162,1.2223,0.7199,0.7495,22357197.0,
2022-01-24,0.749,0.8359,0.6589,0.6812,21102942.0,
2022-01-31,0.6812,0.7502,0.6701,0.7304,10999734.0,
2022-02-07,0.7305,0.8185,0.6782,0.6804,25975805.0,
2022-02-14,0.6824,0.7065,0.6298,0.63,11341498.0,
2022-02-21,0.6311,0.6515,0.5677,0.572,20648930.0,
2022-02-28,0.5723,0.6181,0.5577,0.5618,13745818.0,
2022-03-07,0.561,0.6888,0.5272,0.5422,21758251.0,
2022-03-14,0.5423,0.5641,0.5335,0.5445,10463778.0,
2022-03-21,0.5434,0.5764,0.5388,0.5712,16852214.0,
2022-03-28,0.5706,0.63,0.5553,0.6188,52010850.0,
2022-04-04,0.6188,0.6188,0.5275,0.5337,27714007.0,
2022-04-11,0.534,0.5987,0.5101,0.5609,43734592.0,
2022-04-18,0.5606,0.5658,0.5001,0.5007,12693450.0,
2022-04-25,0.501,0.519,0.391,0.3992,29839099.0,
2022-05-02,0.4,0.4015,0.3523,0.3543,23260882.0,
2022-05-09,0.3544,0.3575,0.2632,0.278,34326737.0,
2022-05-16,0.278,0.278,0.2659,0.2682,3880672.0,
