index,Open,High,Low,Close,Volume,Adj Close
2021-01-18,0.2466,0.385,0.2014,0.2514,125585979.04,
2021-01-25,0.2513,0.27,0.2058,0.2493,51777422.15,
2021-02-01,0.2489,0.3599,0.2206,0.3128,100857074.31,
2021-02-08,0.3128,0.6335,0.3115,0.4958,100952204.4,
2021-02-15,0.4958,0.5399,0.3853,0.4202,80865640.49,
2021-02-22,0.4205,0.439,0.254,0.2731,64832688.33,
2021-03-01,0.2739,0.385,0.2739,0.3713,50785688.7,
2021-03-08,0.3707,0.4684,0.3304,0.4252,53903570.87,
2021-03-15,0.4252,0.483,0.3668,0.4156,53871315.55,
2021-03-22,0.415,0.45,0.3414,0.4216,100155036.77,
2021-03-29,0.4215,0.5387,0.4181,0.4854,85512605.2,
2021-04-05,0.4847,0.52,0.4007,0.4761,52620361.16,
2021-04-12,0.4762,0.4801,0.3462,0.3653,46124979.64,
2021-04-19,0.366,0.3772,0.2755,0.2942,52344183.15,
2021-04-26,0.2947,0.465,0.2936,0.4258,97341829.24,
2021-05-03,0.4257,0.52,0.3921,0.4467,144295601.74,
2021-05-10,0.4468,0.4591,0.32,0.3473,83773737.46,
2021-05-17,0.347,0.4779,0.2205,0.38,327869622.9,
2021-05-24,0.3801,0.4082,0.2732,0.3147,93585281.75,
2021-05-31,0.314,0.4023,0.2906,0.323,61245103.96,
2021-06-07,0.3225,0.3669,0.256,0.286,294749767.3,
2021-06-14,0.2858,0.3,0.2221,0.2395,63881673.46,
2021-06-21,0.2395,0.2406,0.1265,0.1416,68539970.28,
2021-06-28,0.1412,0.193,0.138,0.1576,104000541.65,
2021-07-05,0.1576,0.176,0.1381,0.1508,68668815.97,
2021-07-12,0.1508,0.1644,0.1313,0.1343,61800009.0,
2021-07-19,0.1343,0.1525,0.1134,0.1425,66935649.23,
2021-07-26,0.1424,0.1784,0.1317,0.1545,233854599.93,
2021-08-02,0.1543,1.0,0.1451,0.4522,1671575415.74,
2021-08-09,0.452,1.06,0.445,0.6515,995935946.63,
2021-08-16,0.6517,0.8057,0.6032,0.6314,354393544.04,
2021-08-23,0.6311,0.67,0.5142,0.5968,197099540.71,
2021-08-30,0.5974,0.6496,0.52,0.6132,165739264.4,
2021-09-06,0.6132,0.72,0.3993,0.5026,210026151.39,
2021-09-13,0.5026,0.668,0.4261,0.5446,238646703.0,
2021-09-20,0.5446,0.5449,0.4,0.4357,139623451.0,
2021-09-27,0.4351,0.5171,0.4,0.4942,71908569.0,
2021-10-04,0.4945,0.5593,0.4313,0.4376,99013654.0,
2021-10-11,0.4374,0.67,0.4067,0.5769,185931609.0,
2021-10-18,0.5769,0.649,0.4846,0.5023,147672898.0,
2021-10-25,0.5016,0.734,0.4998,0.5944,171162844.0,
2021-11-01,0.594,0.6998,0.5757,0.6086,73941428.0,
2021-11-08,0.6095,0.7137,0.5458,0.5523,76565206.0,
2021-11-15,0.5525,0.5632,0.4115,0.5018,70728857.0,
2021-11-22,0.5018,0.5037,0.4039,0.4447,55163953.0,
2021-11-29,0.4449,0.4776,0.2404,0.3147,66193015.22,
2021-12-06,0.3155,0.3454,0.2706,0.2996,68555482.0,
2021-12-13,0.3001,0.5555,0.25,0.3679,514744047.0,
2021-12-20,0.3679,0.44,0.3021,0.3521,219443271.0,
2021-12-27,0.3521,0.3872,0.3092,0.3226,86445245.0,
2022-01-03,0.3229,0.3327,0.2442,0.2626,104852362.0,
2022-01-10,0.2622,0.2873,0.2307,0.2694,62763691.0,
2022-01-17,0.2694,0.32,0.156,0.19,96793545.11,
2022-01-24,0.1896,0.222,0.152,0.1886,55328075.0,
2022-01-31,0.1885,0.2356,0.1789,0.2305,40893963.0,
2022-02-07,0.23,0.2831,0.208,0.2161,90030363.0,
2022-02-14,0.216,0.2468,0.1751,0.1811,67443000.0,
2022-02-21,0.1812,0.2013,0.15,0.1679,49372220.0,
2022-02-28,0.1682,0.2209,0.1658,0.1778,84172574.0,
2022-03-07,0.1778,0.217,0.1597,0.163,82961879.0,
2022-03-14,0.163,0.237,0.162,0.1978,249257412.0,
2022-03-21,0.198,0.2204,0.1949,0.2195,47798420.0,
2022-03-28,0.2197,0.2927,0.2179,0.2422,105415845.0,
2022-04-04,0.242,0.3175,0.202,0.2114,175479015.0,
2022-04-11,0.2114,0.214,0.1845,0.1934,71136130.0,
2022-04-18,0.1931,0.22,0.1812,0.1933,97988916.0,
2022-04-25,0.1933,0.2072,0.1614,0.17,63340969.0,
2022-05-02,0.1701,0.1798,0.1364,0.1379,38088639.62,
2022-05-09,0.1377,0.1397,0.0663,0.0921,67667933.78,
2022-05-16,0.0923,0.111,0.0796,0.0983,109193669.0,
2022-05-23,0.0977,0.1133,0.0784,0.1011,111184565.0,
2022-05-30,0.1013,0.1057,0.0833,0.089,43032875.0,
2022-06-06,0.0888,0.1142,0.0702,0.0704,70523712.0,
2022-06-13,0.0703,0.0719,0.0482,0.0563,62794823.0,
2022-06-20,0.0563,0.1037,0.0532,0.0722,452308895.0,
2022-06-27,0.072,0.0775,0.0653,0.0688,29196641.0,
