index,Open,High,Low,Close,Volume,Adj Close
2020-05-25,1.1625230312347412,1.5616379976272583,1.1625230312347412,1.39491605758667,1039464.0,1.39491605758667
2020-06-01,1.422652006149292,1.6029930114746094,1.3621209859848022,1.4850540161132812,1044359.0,1.4850540161132812
2020-06-08,1.4572230577468872,1.6134990453720093,1.2564769983291626,1.3534480333328247,1278689.0,1.3534480333328247
2020-06-15,1.3506020307540894,1.679906964302063,1.25757098197937,1.673166036605835,1329561.0,1.673166036605835
2020-06-22,1.667999029159546,2.599000930786133,1.5222699642181396,1.907034993171692,3003292.0,1.907034993171692
2020-06-29,1.907034993171692,2.2742578983306885,1.782999038696289,2.264127016067505,1419322.0,2.264127016067505
2020-07-06,2.2679190635681152,2.383266925811768,1.9788429737091064,2.067363977432251,1351740.0,2.067363977432251
2020-07-13,2.067363977432251,2.3200509548187256,1.5917949676513672,1.8632140159606927,5005397.0,1.8632140159606927
2020-07-20,1.8628560304641724,5.158566951751709,1.8628560304641724,4.194580078125,8730860.0,4.194580078125
2020-07-27,4.19460391998291,4.8653740882873535,3.824682950973511,4.500927925109863,11681257.0,4.500927925109863
2020-08-03,4.490677833557129,4.87596321105957,4.251099109649658,4.542677879333496,12081369.0,4.542677879333496
2020-08-10,4.542677879333496,7.538319110870361,4.542677879333496,7.209980010986328,20585880.0,7.209980010986328
2020-08-17,7.209980010986328,7.858612060546875,6.066598892211914,6.24135684967041,16788922.0,6.24135684967041
2020-08-24,6.241675853729248,16.110200881958008,6.211839199066162,15.795698165893556,60158722.0,15.795698165893556
2020-08-31,15.999276161193848,27.631404876708984,10.436559677124023,15.821955680847168,383729700.0,15.821955680847168
2020-09-07,15.83,20.315,15.108,17.186,1077714.216,
2020-09-14,17.149,17.952,11.35,13.136,1094097.248,
2020-09-21,13.154,13.222,8.787,9.939,567590.029,
2020-09-28,9.946,10.538,6.795,7.043,719771.002,
2020-10-05,7.045,13.195,5.855,8.769,3049015.785,
2020-10-12,8.781,10.483,7.301,9.184,1223980.793,
2020-10-19,9.184,10.4,7.729,7.82,878815.693,
2020-10-26,7.821,8.158,6.615,6.889,660439.115,
2020-11-02,6.89,8.3,6.311,7.204,383623.971,
2020-11-09,7.203,9.168,6.768,8.4,663793.65,
2020-11-16,8.4,8.913,7.5,8.144,492053.034,
2020-11-23,8.173,9.317,7.0,8.148,471368.948,
2020-11-30,8.125,8.34,7.303,7.951,324875.174,
2020-12-07,7.95,8.71,6.77,7.504,727458.288,
2020-12-14,7.485,11.28,7.249,7.767,2407921.419,
2020-12-21,7.72,12.79,7.5,7.884,3785867.93,
2020-12-28,7.885,8.671,7.5,8.38,788222.163,
2021-01-04,8.396,11.3,8.112,9.437,1426998.297,
2021-01-11,9.451,11.616,7.363,10.324,1280589.723,
