index,Open,High,Low,Close,Volume,Adj Close
2020-02-03,0.02,0.16488,0.02,0.0935,1459494967.9,
2020-02-10,0.0935,0.13,0.07961,0.09016,568397595.0,
2020-02-17,0.09001,0.0971,0.07529,0.08585,159583724.1,
2020-02-24,0.08582,0.08586,0.05579,0.06203,112203754.7,
2020-03-02,0.062,0.22989,0.0616,0.16115,1105098593.9,
2020-03-09,0.16114,0.212,0.05167,0.09398,1000249354.9,
2020-03-16,0.09398,0.12327,0.06192,0.08783,760307424.1,
2020-03-23,0.08777,0.10538,0.08453,0.0889,238300569.9,
2020-03-30,0.08934,0.15486,0.08855,0.128,553840961.1,
2020-04-06,0.128,0.16,0.11933,0.12928,421329545.1,
2020-04-13,0.12895,0.151,0.12022,0.1406,265464930.1,
2020-04-20,0.14062,0.14765,0.12491,0.14697,184013797.9,
2020-04-27,0.14698,0.15444,0.1325,0.138,191834830.1,
2020-05-04,0.138,0.1435,0.116,0.12635,112252973.9,
2020-05-11,0.12636,0.14066,0.11524,0.13273,79305279.9,
2020-05-18,0.13272,0.1414,0.12528,0.1265,87849856.6,
2020-05-25,0.12649,0.155,0.12365,0.13096,144120956.6,
2020-06-01,0.13094,0.13869,0.12886,0.13377,50499833.2,
2020-06-08,0.13378,0.1355,0.12267,0.12514,48881543.3,
2020-06-15,0.12514,0.135,0.11,0.12258,58397339.4,
2020-06-22,0.12298,0.1361,0.11502,0.1194,81423899.3,
2020-06-29,0.1194,0.149,0.11693,0.14067,123071391.8,
2020-07-06,0.1408,0.15138,0.13277,0.14128,98201237.1,
2020-07-13,0.14152,0.1449,0.1275,0.1381,71268588.8,
2020-07-20,0.13813,0.14288,0.1257,0.12964,65428623.1,
2020-07-27,0.12963,0.13549,0.11501,0.12191,70920446.9,
2020-08-03,0.12191,0.13102,0.1181,0.12882,71146055.0,
2020-08-10,0.12881,0.1936,0.11999,0.16266,357819217.5,
2020-08-17,0.16234,0.16401,0.1255,0.1351,119615335.5,
2020-08-24,0.13482,0.14599,0.12807,0.13535,63662203.6,
2020-08-31,0.13501,0.1385,0.091,0.1037,90297776.5,
2020-09-07,0.1037,0.125,0.095,0.10792,45062223.1,
2020-09-14,0.10802,0.11625,0.0885,0.0994,49902679.2,
2020-09-21,0.09924,0.10145,0.0855,0.0945,27550919.3,
2020-09-28,0.09415,0.10079,0.091,0.09445,27873110.1,
2020-10-05,0.09474,0.10612,0.08801,0.09878,31847547.8,
2020-10-12,0.09837,0.102,0.08937,0.09583,36928267.7,
2020-10-19,0.09583,0.10019,0.0876,0.08771,41700008.2,
2020-10-26,0.08786,0.09461,0.07621,0.07778,222053765.6,
2020-11-02,0.07778,0.0895,0.064,0.07932,66424846.9,
2020-11-09,0.07926,0.08215,0.07531,0.07705,24067380.0,
2020-11-16,0.07694,0.085,0.07519,0.07963,41295445.1,
2020-11-23,0.07982,0.09388,0.071,0.07845,78101398.5,
2020-11-30,0.07834,0.08295,0.0762,0.07929,29515506.6,
2020-12-07,0.07931,0.07995,0.06963,0.07495,28762096.5,
2020-12-14,0.07492,0.083,0.07303,0.07558,45735489.6,
2020-12-21,0.07547,0.07717,0.06232,0.06642,37393237.4,
2020-12-28,0.06651,0.07022,0.06244,0.06632,42751672.3,
2021-01-04,0.06643,0.0929,0.0641,0.08796,91817169.3,
2021-01-11,0.08796,0.0922,0.075,0.08806,78016755.6,
2021-01-18,0.08806,0.10935,0.08369,0.09299,77261570.1,
2021-01-25,0.093,0.129,0.08375,0.10439,148042696.2,
2021-02-01,0.10381,0.12785,0.09996,0.11647,75539254.0,
2021-02-08,0.11645,0.26872,0.115,0.22061,382325865.3,
2021-02-15,0.22062,0.395,0.17,0.36679,272691454.1,
2021-02-22,0.36679,0.37661,0.22844,0.24591,189195650.8,
2021-03-01,0.24602,0.3343,0.24,0.29088,110043033.3,
2021-03-08,0.29193,0.59399,0.29171,0.46845,291298224.9,
2021-03-15,0.46805,0.57889,0.40431,0.51162,133845362.1,
2021-03-22,0.51211,0.54,0.3987,0.46626,69644975.6,
2021-03-29,0.46627,6.6666,0.45891,3.99085,1057456202.2,
2021-04-05,3.99084,5.998,2.65,3.47482,485669781.6,
2021-04-12,3.47484,4.5755,2.7009,3.14466,197617903.8,
2021-04-19,3.14465,3.4,1.8,2.3714,105959270.62,
2021-04-26,2.3718,3.3,2.3618,2.7229,92188428.12,
2021-05-03,2.7201,2.888,2.1878,2.467,166567047.01,
2021-05-10,2.4669,2.5415,1.7607,2.1039,108456380.48,
2021-05-17,2.1041,2.1258,0.675,0.8757,145281539.22,
2021-05-24,0.8798,1.9499,0.825,1.3144,204342883.21,
2021-05-31,1.3167,2.3582,1.2601,1.7439,365890279.56,
2021-06-07,1.7422,2.0763,1.3,1.6398,180333380.17,
2021-06-14,1.6392,1.7,1.2937,1.4205,60803020.67,
2021-06-21,1.4182,1.4324,0.9034,1.1586,92954876.49,
2021-06-28,1.1588,1.32,1.082,1.1848,54192907.91,
2021-07-05,1.185,1.1953,1.021,1.123,44422322.11,
2021-07-12,1.124,1.14,0.9043,0.972,42135762.73,
2021-07-19,0.9717,1.0185,0.8069,0.9689,36536653.57,
2021-07-26,0.9668,1.28,0.958,1.0855,95396524.78,
2021-08-02,1.0855,1.27,1.03,1.1425,58807963.09,
2021-08-09,1.1438,1.59,1.111,1.5062,130684514.92,
2021-08-16,1.5062,1.566,1.29,1.4975,61877803.95,
2021-08-23,1.4975,1.75,1.4,1.485,80006006.58,
2021-08-30,1.485,1.6,1.369,1.574,74668829.49,
2021-09-06,1.573,1.598,1.05,1.199,79448999.44,
2021-09-13,1.199,1.388,1.087,1.214,72998472.9,
2021-09-20,1.213,1.364,0.958,1.043,108269386.53,
2021-09-27,1.042,1.175,0.985,1.13,44065350.3,
2021-10-04,1.13,1.31,1.085,1.227,74879845.2,
2021-10-11,1.227,1.419,1.12,1.274,77339558.4,
2021-10-18,1.275,1.387,1.242,1.308,51072281.2,
2021-10-25,1.308,1.549,1.256,1.431,82328388.1,
2021-11-01,1.433,2.1,1.386,1.572,166350073.93,
2021-11-08,1.572,1.752,1.455,1.545,65103936.1,
2021-11-15,1.547,1.575,1.172,1.299,51650766.7,
2021-11-22,1.299,1.317,1.08,1.178,76902883.5,
2021-11-29,1.179,1.87,1.015,1.167,232743236.9,
2021-12-06,1.166,1.35,1.082,1.167,53423806.0,
2021-12-13,1.167,1.18,1.035,1.085,27517226.7,
2021-12-20,1.084,1.349,1.015,1.291,29175132.8,
2021-12-27,1.291,1.4,1.133,1.21,23155936.4,
2022-01-03,1.21,1.249,0.999,1.027,25903803.3,
2022-01-10,1.027,1.14,0.944,1.087,21989777.8,
2022-01-17,1.088,1.09,0.684,0.798,32812502.27,
2022-01-24,0.798,0.853,0.684,0.786,22872337.4,
2022-01-31,0.786,1.206,0.761,0.978,84554769.0,
2022-02-07,0.978,1.04,0.867,0.882,27091710.7,
2022-02-14,0.88,0.941,0.646,0.649,43455998.37,
2022-02-21,0.649,0.688,0.502,0.558,68475134.42,
2022-02-28,0.558,0.736,0.555,0.61,55973151.9,
2022-03-07,0.611,0.65,0.557,0.562,31017762.3,
2022-03-14,0.562,0.595,0.529,0.557,49069164.6,
2022-03-21,0.558,0.688,0.547,0.686,72709923.0,
2022-03-28,0.686,0.76,0.595,0.691,91872378.3,
2022-04-04,0.691,0.828,0.625,0.646,93162381.8,
2022-04-11,0.648,0.651,0.569,0.58,22832800.6,
2022-04-18,0.581,0.66,0.558,0.589,29986856.4,
2022-04-25,0.59,0.59,0.485,0.513,20181026.02,
2022-05-02,0.513,0.576,0.44,0.446,26176021.9,
2022-05-09,0.446,0.451,0.162,0.284,77323117.52,
2022-05-16,0.283,0.285,0.229,0.264,24744733.4,
2022-05-23,0.265,0.28,0.223,0.242,25393495.4,
2022-05-30,0.243,0.319,0.241,0.253,34682557.9,
2022-06-06,0.253,0.267,0.2,0.2,28568977.7,
2022-06-13,0.201,0.203,0.167,0.193,46888596.7,
2022-06-20,0.192,0.247,0.184,0.221,64242841.9,
2022-06-27,0.222,0.232,0.22,0.225,3498257.8,
