index,Open,High,Low,Close,Volume,Adj Close
2021-07-05,2.8000000384054147e-05,2.8000000384054147e-05,2.499999936844688e-05,2.5999999706982635e-05,2295069.0,2.5999999706982635e-05
2021-07-12,2.5999999706982635e-05,2.8000000384054147e-05,2.200000017182901e-05,2.499999936844688e-05,3343169.0,2.499999936844688e-05
2021-07-19,2.499999936844688e-05,2.999999924213625e-05,1.700000029813964e-05,2.099999983329326e-05,18718722.0,2.099999983329326e-05
2021-07-26,2.099999983329326e-05,3.9999998989515007e-05,2.099999983329326e-05,3.300000025774352e-05,41516241.0,3.300000025774352e-05
2021-08-02,3.300000025774352e-05,8.499999967170879e-05,3.300000025774352e-05,5.199999941396527e-05,382731047.0,5.199999941396527e-05
2021-08-09,5.199999941396527e-05,5.700000110664405e-05,4.600000102072954e-05,5.099999907542952e-05,79479615.0,5.099999907542952e-05
2021-08-16,5.099999907542952e-05,9.600000339560212e-05,5.099999907542952e-05,8.299999899463728e-05,335915813.0,8.299999899463728e-05
2021-08-23,8.299999899463728e-05,0.0002419999946141,7.200000254670158e-05,0.0001590000028954,1327323908.0,0.0001590000028954
2021-08-30,0.00022961,0.00039178,0.00022961,0.00030531,2269407326677.0,
2021-09-06,0.00030547,0.000319,0.00019311,0.0002156,2270903513315.0,
2021-09-13,0.00021562,0.000267,0.00018421,0.00022831,2062693002325.0,
2021-09-20,0.00022825,0.00024555,0.00019,0.00022492,892139663845.0,
2021-09-27,0.00022516,0.000287,0.0002201,0.00024298,1453046354331.0,
2021-10-04,0.00024298,0.00024487,0.00021025,0.00021208,1081442261727.0,
2021-10-11,0.00021182,0.00025555,0.00019338,0.00020154,1472296393676.0,
2021-10-18,0.00020159,0.00020188,0.00017,0.00019219,1081915715569.0,
2021-10-25,0.00019219,0.0001994,0.000158,0.00018218,1217000995725.0,
2021-11-01,0.00018218,0.0002288,0.00017172,0.00019348,2105480476570.0,
2021-11-08,0.00019339,0.00021987,0.0001771,0.00020739,1320290962904.0,
2021-11-15,0.00020739,0.00020853,0.000157,0.00016807,948032066475.0,
2021-11-22,0.00016804,0.00016868,0.00013432,0.00015029,829082184107.0,
2021-11-29,0.00015015,0.00015409,8.3e-05,0.00012036,908652325544.0,
2021-12-06,0.00012043,0.000136,0.0001088,0.00011671,715787091990.0,
2021-12-13,0.00011661,0.000125,0.00010373,0.00010867,597514712474.0,
2021-12-20,0.00010867,0.00012747,9.948e-05,0.00012144,492495540399.0,
2021-12-27,0.00012144,0.000123,0.00010534,0.00011334,364048480282.0,
2022-01-03,0.00011334,0.00012111,9.3e-05,9.617e-05,483377276960.0,
2022-01-10,9.61e-05,0.00010436,8.551e-05,0.0001031,476489294645.0,
2022-01-17,0.00010306,0.00010371,6.428e-05,7.477e-05,555320534581.0,
2022-01-24,7.469e-05,7.74e-05,6.33e-05,7.524e-05,493799145512.0,
2022-01-31,7.528e-05,8.807e-05,7.2e-05,8.613e-05,420064338868.0,
2022-02-07,8.595e-05,0.00010175,7.977e-05,8.177e-05,665809205869.0,
2022-02-14,8.177e-05,8.846e-05,7.3e-05,7.437e-05,337566926489.0,
2022-02-21,7.445e-05,7.772e-05,6.195e-05,7.235e-05,424630974621.0,
2022-02-28,7.248e-05,8.012e-05,6.896e-05,6.99e-05,382155749812.0,
2022-03-07,6.991e-05,8.43e-05,6.683e-05,7.348e-05,1066651127406.0,
2022-03-14,7.349e-05,8.451e-05,7.136e-05,7.941e-05,820043084125.0,
2022-03-21,7.938e-05,0.00010487,7.842e-05,9.82e-05,798966120287.0,
2022-03-28,9.82e-05,0.00017231,8.888e-05,0.00011601,3080087950050.0,
2022-04-04,0.00011602,0.00012438,9.659e-05,0.00010025,1796041179781.0,
2022-04-11,0.00010025,0.00010087,8.589e-05,8.878e-05,630667989095.0,
2022-04-18,8.876e-05,0.0001015,8.361e-05,8.848e-05,824868801283.0,
2022-04-25,8.836e-05,8.872e-05,6.606e-05,7.344e-05,617720616561.0,
2022-05-02,7.357e-05,7.924e-05,6.713e-05,6.824e-05,458949128130.0,
2022-05-09,6.831e-05,6.913e-05,2.55e-05,4.308e-05,1421785270746.0,
2022-05-16,4.308e-05,4.899e-05,4.1e-05,4.743e-05,274452821929.0,
