index,Open,High,Low,Close,Volume,Adj Close
2020-07-27,610.0317993164062,1182.7647705078125,329.2464904785156,448.4581909179688,269936.0,448.4581909179688
2020-08-03,448.4540100097656,487.7492980957031,96.28504180908205,133.28952026367188,1474452.0,133.28952026367188
2020-08-10,133.28952026367188,252.87159729003903,118.06784057617188,128.8571319580078,10227920.0,128.8571319580078
2020-08-17,128.8571319580078,1433.7740478515625,122.07752227783205,1254.4373779296875,58587362.0,1254.4373779296875
2020-08-24,1255.4539794921875,5922.1630859375,855.3431396484375,4646.34228515625,699932860.0,4646.34228515625
2020-08-31,3088.0,9865.0,2811.01,3871.57,129430.02249,
2020-09-07,3871.57,6930.0,2855.01,5539.56,127454.716781,
2020-09-14,5539.55,6550.0,3271.8,3538.79,105632.641107,
2020-09-21,3540.27,4090.0,2820.0,3536.78,69779.081474,
2020-09-28,3550.0,3676.79,1863.95,2135.77,49991.18744,
2020-10-05,2135.76,2585.0,1169.33,2192.94,173247.885297,
2020-10-12,2190.7,2548.41,1792.13,2080.79,103264.879909,
2020-10-19,2082.78,2096.58,1701.21,1736.13,59436.181104,
2020-10-26,1738.1,1812.0,1135.0,1302.87,92046.092477,
2020-11-02,1305.14,1940.0,970.0,1601.45,164043.010559,
2020-11-09,1600.7,1866.0,1405.0,1705.0,121707.167133,
2020-11-16,1705.3,2750.0,1654.3,2203.48,173802.218696,
2020-11-23,2203.48,2353.66,1512.0,1847.84,99911.084807,
2020-11-30,1851.62,2306.35,1550.0,1959.27,80989.671594,
2020-12-07,1960.43,2047.42,1640.16,1795.26,34002.737993,
2020-12-14,1795.6,1908.21,1660.0,1693.38,35728.982168,
2020-12-21,1692.47,1756.0,1157.26,1428.88,42482.503342,
2020-12-28,1430.99,1696.37,1324.72,1611.29,40820.718092,
2021-01-04,1612.26,2191.65,1455.0,1878.09,96830.754793,
2021-01-11,1877.89,2100.0,1444.0,1964.0,69891.465974,
2021-01-18,1962.24,2459.44,1566.31,1859.86,68717.139767,
2021-01-25,1862.28,1996.67,1620.57,1810.38,40240.805583,
2021-02-01,1810.05,2650.32,1755.0,2007.92,72863.035329,
2021-02-08,2006.23,3498.96,1940.99,3055.52,92887.557641,
2021-02-15,3055.14,3682.0,2587.0,3145.07,61240.461874,
2021-02-22,3145.25,3150.0,1803.52,1916.01,67508.864474,
2021-03-01,1916.9,2266.0,1911.17,2202.82,43330.754589,
2021-03-08,2200.42,2450.0,2017.11,2138.02,36714.400776,
2021-03-15,2142.17,2550.0,2031.11,2317.5,30299.515797,
2021-03-22,2316.85,2420.0,1971.5,2202.2,23445.116737,
2021-03-29,2201.87,2936.02,2188.0,2721.47,37221.304447,
2021-04-05,2721.32,3297.0,2650.07,2970.37,44533.589059,
2021-04-12,2975.47,3320.0,2000.0,2578.12,50182.679133,
2021-04-19,2573.49,2731.39,2000.0,2212.93,45365.837828,
2021-04-26,2214.65,2661.24,2194.66,2590.29,17675.718873,
2021-05-03,2590.07,2850.0,2406.96,2568.79,27783.401145,
2021-05-10,2570.13,3700.0,2366.47,2639.26,104702.997079,
2021-05-17,2636.0,2797.06,1169.85,1595.44,78944.614613,
2021-05-24,1592.95,2155.11,1535.91,1789.62,34766.237424,
2021-05-31,1786.45,1999.54,1735.57,1907.5,16107.473182,
2021-06-07,1905.51,1930.82,1563.43,1815.38,17720.870918,
2021-06-14,1816.61,1982.54,1647.16,1784.85,11579.321289,
2021-06-21,1786.42,1879.17,1330.1,1764.64,16578.331871,
2021-06-28,1767.45,2325.01,1729.3,2187.34,16792.627302,
2021-07-05,2186.82,2418.52,2021.0,2167.62,14097.323415,
2021-07-12,2168.32,2540.0,2032.69,2461.61,19444.348462,
2021-07-19,2460.12,2715.88,2223.17,2542.08,21498.038751,
2021-07-26,2541.42,3884.0,2421.42,3498.46,36661.131572,
2021-08-02,3497.07,4766.0,3467.0,4024.0,37788.841899,
2021-08-09,4021.94,4550.0,3887.97,4476.59,17522.634194,
2021-08-16,4476.59,4500.0,3652.65,4102.05,12823.058941,
