;open_time;Open;High;Low;Close;Volume;close_time
2021-09-11 19:59:59.999;1631397600000.0;45380.0;45382.47;45006.0;45088.95;1305;1631401199999.0
2021-09-11 20:59:59.999;1631401200000.0;45088.94;45221.84;44974.79;45173.69;1191;1631404799999.0
2021-09-11 21:59:59.999;1631404800000.0;45173.68;45297.28;44769.5;44953.98;1785;1631408399999.0
2021-09-11 22:59:59.999;1631408400000.0;44953.99;45014.79;44742.06;44949.97;1075;1631411999999.0
2021-09-11 23:59:59.999;1631412000000.0;44949.98;45319.39;44907.09;45304.4;898;1631415599999.0
2021-09-12 00:59:59.999;1631415600000.0;45304.4;45343.6;45198.93;45316.28;876;1631419199999.0
2021-09-12 01:59:59.999;1631419200000.0;45316.27;45500.0;45222.17;45334.11;898;1631422799999.0
2021-09-12 02:59:59.999;1631422800000.0;45334.1;45492.71;45236.0;45365.05;770;1631426399999.0
2021-09-12 03:59:59.999;1631426400000.0;45365.06;45438.58;45112.93;45150.33;764;1631429999999.0
2021-09-12 04:59:59.999;1631430000000.0;45150.34;45383.77;45044.0;45357.02;1089;1631433599999.0
2021-09-12 05:59:59.999;1631433600000.0;45357.03;46155.0;45301.1;46119.31;2901;1631437199999.0
2021-09-12 06:59:59.999;1631437200000.0;46123.91;46200.0;45834.96;45857.81;1502;1631440799999.0
2021-09-12 07:59:59.999;1631440800000.0;45857.81;45984.97;45730.27;45944.77;1320;1631444399999.0
2021-09-12 08:59:59.999;1631444400000.0;45944.76;46085.91;45864.82;46085.9;1012;1631447999999.0
2021-09-12 09:59:59.999;1631448000000.0;46085.91;46161.51;45950.0;45995.06;1236;1631451599999.0
2021-09-12 10:59:59.999;1631451600000.0;45995.05;46270.56;45738.0;45924.35;1601;1631455199999.0
2021-09-12 11:59:59.999;1631455200000.0;45924.35;46019.07;45841.7;45870.32;1158;1631458799999.0
2021-09-12 12:59:59.999;1631458800000.0;45870.31;45970.0;45744.24;45886.99;1092;1631462399999.0
2021-09-12 13:59:59.999;1631462400000.0;45890.61;46146.89;45840.0;45881.19;1585;1631465999999.0
2021-09-12 14:59:59.999;1631466000000.0;45881.19;45978.21;45839.72;45930.95;715;1631469599999.0
2021-09-12 15:59:59.999;1631469600000.0;45930.94;45995.45;45802.89;45896.63;820;1631473199999.0
2021-09-12 16:59:59.999;1631473200000.0;45896.64;45964.03;45761.01;45902.87;664;1631476799999.0
2021-09-12 17:59:59.999;1631476800000.0;45902.87;46200.0;45000.68;45091.83;3229;1631480399999.0
2021-09-12 18:59:59.999;1631480400000.0;45089.99;45294.74;44900.0;45287.41;1793;1631483999999.0
2021-09-12 19:59:59.999;1631484000000.0;45287.4;45786.78;45264.8;45786.78;1341;1631487599999.0
2021-09-12 20:59:59.999;1631487600000.0;45786.78;46460.0;45786.78;46025.24;1960;1631491199999.0
2021-09-12 21:59:59.999;1631491200000.0;46025.23;46285.71;45932.2;46046.28;1324;1631494799999.0
2021-09-12 22:59:59.999;1631494800000.0;46046.28;46100.0;45101.78;45177.19;2071;1631498399999.0
2021-09-12 23:59:59.999;1631498400000.0;45177.19;45273.5;44817.41;44960.37;2346;1631501999999.0
2021-09-13 00:59:59.999;1631502000000.0;44960.37;45134.35;44555.0;44617.79;1979;1631505599999.0
2021-09-13 01:59:59.999;1631505600000.0;44614.68;44765.0;44480.0;44711.0;3001;1631509199999.0
2021-09-13 02:59:59.999;1631509200000.0;44711.0;44974.19;44315.0;44745.14;3231;1631512799999.0
2021-09-13 03:59:59.999;1631512800000.0;44745.14;44906.68;44594.74;44813.5;1743;1631516399999.0
2021-09-13 04:59:59.999;1631516400000.0;44813.5;44893.1;44174.0;44470.63;3013;1631519999999.0
2021-09-13 05:59:59.999;1631520000000.0;44470.62;44561.53;44164.2;44395.0;2301;1631523599999.0
2021-09-13 06:59:59.999;1631523600000.0;44395.0;44654.87;44344.67;44509.87;1640;1631527199999.0
2021-09-13 07:59:59.999;1631527200000.0;44509.87;44770.93;44468.58;44691.66;1253;1631530799999.0
2021-09-13 08:59:59.999;1631530800000.0;44691.66;44915.0;44170.01;44859.24;2698;1631534399999.0
2021-09-13 09:59:59.999;1631534400000.0;44859.24;45006.0;44500.0;44629.42;2336;1631537999999.0
2021-09-13 10:59:59.999;1631538000000.0;44629.42;46880.0;44565.86;46140.01;8396;1631541599999.0
2021-09-13 11:59:59.999;1631541600000.0;46140.01;46249.37;43370.0;43933.32;13849;1631545199999.0
2021-09-13 12:59:59.999;1631545200000.0;43933.32;44533.33;43858.0;44361.31;3028;1631548799999.0
2021-09-13 13:59:59.999;1631548800000.0;44361.97;44454.91;44167.01;44434.98;1704;1631552399999.0
2021-09-13 14:59:59.999;1631552400000.0;44434.97;44561.52;44310.01;44461.74;1345;1631555999999.0
2021-09-13 15:59:59.999;1631556000000.0;44461.74;44740.45;44304.48;44705.37;1370;1631559599999.0
2021-09-13 16:59:59.999;1631559600000.0;44707.85;44813.55;44605.2;44741.66;1251;1631563199999.0
2021-09-13 17:59:59.999;1631563200000.0;44741.66;45260.0;44738.34;45168.52;1508;1631566799999.0
2021-09-13 18:59:59.999;1631566800000.0;45174.25;45500.0;44910.93;45100.89;1645;1631570399999.0
2021-09-13 19:59:59.999;1631570400000.0;45100.88;45222.22;44931.71;45055.36;1202;1631573999999.0
2021-09-13 20:59:59.999;1631574000000.0;45055.36;45131.0;44784.03;44940.73;1186;1631577599999.0
2021-09-13 21:59:59.999;1631577600000.0;44940.72;45300.0;44594.44;45168.69;1879;1631581199999.0
2021-09-13 22:59:59.999;1631581200000.0;45168.7;45363.93;45088.7;45132.78;960;1631584799999.0
2021-09-13 23:59:59.999;1631584800000.0;45132.82;45185.45;44976.84;45024.31;1059;1631588399999.0
2021-09-14 00:59:59.999;1631588400000.0;45024.3;45289.46;45010.0;45186.85;978;1631591999999.0
2021-09-14 01:59:59.999;1631592000000.0;45186.85;45320.0;45059.61;45083.6;965;1631595599999.0
2021-09-14 02:59:59.999;1631595600000.0;45083.6;45256.04;45050.1;45237.46;822;1631599199999.0
2021-09-14 03:59:59.999;1631599200000.0;45237.47;45712.76;45148.56;45603.52;2069;1631602799999.0
2021-09-14 04:59:59.999;1631602800000.0;45603.53;45881.6;45603.52;45720.02;2060;1631606399999.0
2021-09-14 05:59:59.999;1631606400000.0;45720.03;46048.49;45678.01;45961.72;2022;1631609999999.0
2021-09-14 06:59:59.999;1631610000000.0;45961.71;46178.43;45729.52;45836.71;1806;1631613599999.0
2021-09-14 07:59:59.999;1631613600000.0;45836.71;46074.83;45800.22;46027.93;1164;1631617199999.0
2021-09-14 08:59:59.999;1631617200000.0;46027.93;46141.78;45860.02;45973.8;1098;1631620799999.0
2021-09-14 09:59:59.999;1631620800000.0;45973.79;46600.0;45756.16;46532.99;3811;1631624399999.0
2021-09-14 10:59:59.999;1631624400000.0;46533.0;46750.0;46319.24;46419.24;3593;1631627999999.0
2021-09-14 11:59:59.999;1631628000000.0;46419.34;46577.19;46052.15;46564.5;2480;1631631599999.0
2021-09-14 12:59:59.999;1631631600000.0;46564.49;46950.0;46557.12;46754.42;4154;1631635199999.0
2021-09-14 13:59:59.999;1631635200000.0;46754.43;46888.88;46512.95;46587.81;1704;1631638799999.0
2021-09-14 14:59:59.999;1631638800000.0;46587.81;46793.71;46444.44;46739.74;1506;1631642399999.0
2021-09-14 15:59:59.999;1631642400000.0;46739.75;46739.75;46331.01;46507.9;2023;1631645999999.0
2021-09-14 16:59:59.999;1631646000000.0;46507.9;46650.01;46431.08;46474.89;1175;1631649599999.0
2021-09-14 17:59:59.999;1631649600000.0;46474.89;46964.9;46455.66;46792.97;1877;1631653199999.0
2021-09-14 18:59:59.999;1631653200000.0;46793.49;46839.47;46376.99;46628.94;1218;1631656799999.0
2021-09-14 19:59:59.999;1631656800000.0;46628.95;47249.45;46574.13;47182.69;2985;1631660399999.0
2021-09-14 20:59:59.999;1631660400000.0;47182.68;47250.0;46883.52;47111.52;1439;1631663999999.0
2021-09-14 21:59:59.999;1631664000000.0;47103.28;47369.17;46938.22;47155.08;2756;1631667599999.0
2021-09-14 22:59:59.999;1631667600000.0;47155.09;47470.0;46978.29;47050.73;1763;1631671199999.0
2021-09-14 23:59:59.999;1631671200000.0;47050.73;47213.62;46972.58;47175.98;1006;1631674799999.0
2021-09-15 00:59:59.999;1631674800000.0;47175.99;47200.0;46950.0;47075.48;1384;1631678399999.0
2021-09-15 01:59:59.999;1631678400000.0;47075.47;47124.95;46831.78;46867.71;1200;1631681999999.0
2021-09-15 02:59:59.999;1631682000000.0;46867.71;47099.98;46788.0;46893.37;1331;1631685599999.0
2021-09-15 03:59:59.999;1631685600000.0;46893.37;47031.87;46682.32;46914.99;1461;1631689199999.0
2021-09-15 04:59:59.999;1631689200000.0;46915.0;47221.54;46862.4;47172.84;1213;1631692799999.0
2021-09-15 05:59:59.999;1631692800000.0;47172.84;47317.7;47013.0;47055.86;1801;1631696399999.0
2021-09-15 06:59:59.999;1631696400000.0;47055.87;47289.14;47043.07;47124.38;1522;1631699999999.0
2021-09-15 07:59:59.999;1631700000000.0;47124.39;47699.0;47114.76;47605.35;2974;1631703599999.0
2021-09-15 08:59:59.999;1631703600000.0;47605.34;47653.99;47331.53;47560.74;2010;1631707199999.0
2021-09-15 09:59:59.999;1631707200000.0;47560.74;47664.98;47282.79;47397.8;1983;1631710799999.0
2021-09-15 10:59:59.999;1631710800000.0;47397.79;47839.0;47333.16;47730.61;2156;1631714399999.0
2021-09-15 11:59:59.999;1631714400000.0;47730.61;47895.0;47621.69;47860.32;2152;1631717999999.0
2021-09-15 12:59:59.999;1631718000000.0;47860.31;48370.31;47807.81;48288.0;4579;1631721599999.0
2021-09-15 13:59:59.999;1631721600000.0;48287.99;48429.87;48050.0;48056.51;2397;1631725199999.0
2021-09-15 14:59:59.999;1631725200000.0;48056.5;48257.44;47951.01;47980.67;1628;1631728799999.0
2021-09-15 15:59:59.999;1631728800000.0;47982.53;48072.65;47835.36;48029.34;1675;1631732399999.0
2021-09-15 16:59:59.999;1631732400000.0;48027.85;48144.0;47943.08;48075.44;1155;1631735999999.0
2021-09-15 17:59:59.999;1631736000000.0;48075.44;48178.98;47900.0;47918.92;1123;1631739599999.0
2021-09-15 18:59:59.999;1631739600000.0;47918.92;48250.01;47910.97;48167.62;1229;1631743199999.0
2021-09-15 19:59:59.999;1631743200000.0;48167.61;48299.99;47983.31;48278.39;741;1631746799999.0
2021-09-15 20:59:59.999;1631746800000.0;48278.38;48500.0;48009.48;48121.41;1953;1631750399999.0
2021-09-15 21:59:59.999;1631750400000.0;48121.4;48192.06;47841.5;47893.46;1520;1631753999999.0
2021-09-15 22:59:59.999;1631754000000.0;47893.46;48077.51;47830.07;47970.16;1121;1631757599999.0
2021-09-15 23:59:59.999;1631757600000.0;47970.16;48088.0;47712.01;47915.97;1144;1631761199999.0
2021-09-16 00:59:59.999;1631761200000.0;47915.98;47941.05;47337.58;47615.08;2620;1631764799999.0
2021-09-16 01:59:59.999;1631764800000.0;47615.07;48557.0;47583.11;48286.99;3264;1631768399999.0
2021-09-16 02:59:59.999;1631768400000.0;48287.0;48374.08;48176.29;48261.89;1252;1631771999999.0
2021-09-16 03:59:59.999;1631772000000.0;48261.9;48444.0;48251.67;48356.7;1312;1631775599999.0
2021-09-16 04:59:59.999;1631775600000.0;48356.69;48500.0;48327.54;48343.52;1446;1631779199999.0
2021-09-16 05:59:59.999;1631779200000.0;48343.52;48356.01;48014.61;48083.19;1722;1631782799999.0
2021-09-16 06:59:59.999;1631782800000.0;48083.19;48276.41;47839.24;47905.98;1401;1631786399999.0
2021-09-16 07:59:59.999;1631786400000.0;47905.98;48050.0;47623.0;47822.45;1787;1631789999999.0
2021-09-16 08:59:59.999;1631790000000.0;47822.44;48045.77;47734.55;47895.01;1315;1631793599999.0
2021-09-16 09:59:59.999;1631793600000.0;47895.01;48165.0;47743.52;48037.0;1834;1631797199999.0
2021-09-16 10:59:59.999;1631797200000.0;48037.0;48097.03;47449.05;47454.55;2462;1631800799999.0
2021-09-16 11:59:59.999;1631800800000.0;47458.7;47715.0;47211.35;47588.84;2860;1631804399999.0
2021-09-16 12:59:59.999;1631804400000.0;47588.83;48226.38;47416.7;48020.24;2544;1631807999999.0
2021-09-16 13:59:59.999;1631808000000.0;48020.24;48166.66;47916.39;47950.0;1481;1631811599999.0
