;sma1;sma2;output
0;1;5;"Start                     2018-04-22 20:59...
End                       2021-10-24 20:59...
Duration                   1281 days 00:00:00
Exposure Time [%]                   92.391304
Equity Final [$]              717123810.20453
Equity Peak [$]               717123810.20453
Return [%]                          617.12381
Buy & Hold Return [%]              651.420455
Return (Ann.) [%]                 4880.103632
Volatility (Ann.) [%]            400723.69079
Sharpe Ratio                         0.012178
Sortino Ratio                       29.857346
Calmar Ratio                        69.612582
Max. Drawdown [%]                  -70.103759
Avg. Drawdown [%]                   -29.02852
Max. Drawdown Duration      420 days 00:00:00
Avg. Drawdown Duration      103 days 00:00:00
# Trades                                   38
Win Rate [%]                        34.210526
Best Trade [%]                     410.259394
Worst Trade [%]                    -45.276257
Avg. Trade [%]                        5.32116
Max. Trade Duration         140 days 00:00:00
Avg. Trade Duration          32 days 00:00:00
Profit Factor                        3.049742
Expectancy [%]                      18.560907
SQN                                  1.058766
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
1;1;6;"Start                     2018-04-22 20:59...
End                       2021-10-24 20:59...
Duration                   1281 days 00:00:00
Exposure Time [%]                   92.391304
Equity Final [$]              743961261.69377
Equity Peak [$]               899056175.71777
Return [%]                         643.961262
Buy & Hold Return [%]              651.420455
Return (Ann.) [%]                 5256.616873
Volatility (Ann.) [%]           410250.520892
Sharpe Ratio                         0.012813
Sortino Ratio                       32.503919
Calmar Ratio                        71.121244
Max. Drawdown [%]                  -73.910642
Avg. Drawdown [%]                  -28.508118
Max. Drawdown Duration      427 days 00:00:00
Avg. Drawdown Duration       87 days 00:00:00
# Trades                                   36
Win Rate [%]                        38.888889
Best Trade [%]                     428.969697
Worst Trade [%]                    -45.276257
Avg. Trade [%]                       5.732799
Max. Trade Duration         133 days 00:00:00
Avg. Trade Duration          33 days 00:00:00
Profit Factor                        3.136254
Expectancy [%]                      19.362894
SQN                                  0.997469
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
2;1;7;"Start                     2018-04-22 20:59...
End                       2021-10-24 20:59...
Duration                   1281 days 00:00:00
Exposure Time [%]                   92.391304
Equity Final [$]            1951880286.460189
Equity Peak [$]             2359275049.955989
Return [%]                        1851.880286
Buy & Hold Return [%]              651.420455
Return (Ann.) [%]                36196.634497
Volatility (Ann.) [%]          2059396.401234
Sharpe Ratio                         0.017576
Sortino Ratio                      242.728905
Calmar Ratio                       568.691685
Max. Drawdown [%]                   -63.64896
Avg. Drawdown [%]                  -22.953208
Max. Drawdown Duration      420 days 00:00:00
Avg. Drawdown Duration       80 days 00:00:00
# Trades                                   30
Win Rate [%]                        36.666667
Best Trade [%]                     647.618721
Worst Trade [%]                    -45.276257
Avg. Trade [%]                      10.411702
Max. Trade Duration         154 days 00:00:00
Avg. Trade Duration          40 days 00:00:00
Profit Factor                        4.993542
Expectancy [%]                      31.768918
SQN                                  1.045012
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
3;1;8;"Start                     2018-04-22 20:59...
End                       2021-10-24 20:59...
Duration                   1281 days 00:00:00
Exposure Time [%]                   92.391304
Equity Final [$]             1817497841.60525
Equity Peak [$]              2346939376.99315
Return [%]                        1717.497842
Buy & Hold Return [%]              651.420455
Return (Ann.) [%]                31407.424696
Volatility (Ann.) [%]          1691582.013646
Sharpe Ratio                         0.018567
Sortino Ratio                      215.252599
Calmar Ratio                       512.321356
Max. Drawdown [%]                  -61.304149
Avg. Drawdown [%]                  -21.617422
Max. Drawdown Duration      392 days 00:00:00
Avg. Drawdown Duration       76 days 00:00:00
# Trades                                   28
Win Rate [%]                        39.285714
Best Trade [%]                     647.618721
Worst Trade [%]                    -45.276257
Avg. Trade [%]                      10.912683
Max. Trade Duration         154 days 00:00:00
Avg. Trade Duration          43 days 00:00:00
Profit Factor                        5.020466
Expectancy [%]                      33.649493
SQN                                   0.98794
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
4;1;9;"Start                     2018-04-22 20:59...
End                       2021-10-24 20:59...
Duration                   1281 days 00:00:00
Exposure Time [%]                   92.391304
Equity Final [$]              797663154.36763
Equity Peak [$]              1217865930.81693
Return [%]                         697.663154
Buy & Hold Return [%]              651.420455
Return (Ann.) [%]                 6050.854926
Volatility (Ann.) [%]           341920.464173
Sharpe Ratio                         0.017697
Sortino Ratio                       40.458565
Calmar Ratio                         97.83157
Max. Drawdown [%]                  -61.849717
Avg. Drawdown [%]                  -27.251695
Max. Drawdown Duration      420 days 00:00:00
Avg. Drawdown Duration       95 days 00:00:00
# Trades                                   30
Win Rate [%]                        33.333333
Best Trade [%]                     647.618721
Worst Trade [%]                    -45.276257
Avg. Trade [%]                       7.166896
Max. Trade Duration         154 days 00:00:00
Avg. Trade Duration          40 days 00:00:00
Profit Factor                        4.085996
Expectancy [%]                      26.874083
SQN                                  0.783596
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
5;1;10;"Start                     2018-04-22 20:59...
End                       2021-10-24 20:59...
Duration                   1281 days 00:00:00
Exposure Time [%]                    78.26087
Equity Final [$]              879396017.81642
Equity Peak [$]              1291102580.16132
Return [%]                         779.396018
Buy & Hold Return [%]              651.420455
Return (Ann.) [%]                 7364.052353
Volatility (Ann.) [%]           340072.095307
Sharpe Ratio                         0.021654
Sortino Ratio                        52.35576
Calmar Ratio                       117.077655
Max. Drawdown [%]                  -62.898871
Avg. Drawdown [%]                  -33.172893
Max. Drawdown Duration      371 days 00:00:00
Avg. Drawdown Duration      121 days 00:00:00
# Trades                                   26
Win Rate [%]                        34.615385
Best Trade [%]                     647.618721
Worst Trade [%]                    -45.276257
Avg. Trade [%]                       8.721338
Max. Trade Duration         154 days 00:00:00
Avg. Trade Duration          39 days 00:00:00
Profit Factor                        4.724723
Expectancy [%]                      30.821515
SQN                                  0.820805
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
6;1;11;"Start                     2018-04-22 20:59...
End                       2021-10-24 20:59...
Duration                   1281 days 00:00:00
Exposure Time [%]                   76.630435
Equity Final [$]             2821600044.80379
Equity Peak [$]              4373975445.10359
Return [%]                        2721.600045
Buy & Hold Return [%]              651.420455
Return (Ann.) [%]                75294.822781
Volatility (Ann.) [%]          3063328.350921
Sharpe Ratio                         0.024579
Sortino Ratio                      609.898173
Calmar Ratio                      1262.971872
Max. Drawdown [%]                  -59.617181
Avg. Drawdown [%]                  -22.777713
Max. Drawdown Duration      371 days 00:00:00
Avg. Drawdown Duration       93 days 00:00:00
# Trades                                   20
Win Rate [%]                             45.0
Best Trade [%]                     924.220804
Worst Trade [%]                    -21.604033
Avg. Trade [%]                      18.174772
Max. Trade Duration         168 days 00:00:00
Avg. Trade Duration          49 days 00:00:00
Profit Factor                        9.563658
Expectancy [%]                      56.895379
SQN                                  0.846799
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
7;1;12;"Start                     2018-04-22 20:59...
End                       2021-10-24 20:59...
Duration                   1281 days 00:00:00
Exposure Time [%]                   76.630435
Equity Final [$]            1043290556.241319
Equity Peak [$]              1663748577.47832
Return [%]                         943.290556
Buy & Hold Return [%]              651.420455
Return (Ann.) [%]                 10376.25639
Volatility (Ann.) [%]           478106.497494
Sharpe Ratio                         0.021703
Sortino Ratio                       73.368019
Calmar Ratio                       142.836665
Max. Drawdown [%]                  -72.644208
Avg. Drawdown [%]                  -24.354896
Max. Drawdown Duration      245 days 00:00:00
Avg. Drawdown Duration       75 days 00:00:00
# Trades                                   18
Win Rate [%]                        38.888889
Best Trade [%]                     647.618721
Worst Trade [%]                    -45.276257
Avg. Trade [%]                      13.914254
Max. Trade Duration         154 days 00:00:00
Avg. Trade Duration          55 days 00:00:00
Profit Factor                        5.911971
Expectancy [%]                      43.395282
SQN                                  0.778151
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
8;1;13;"Start                     2018-04-22 20:59...
End                       2021-10-24 20:59...
Duration                   1281 days 00:00:00
Exposure Time [%]                   76.630435
Equity Final [$]              454128552.07189
Equity Peak [$]              2290294216.43979
Return [%]                         354.128552
Buy & Hold Return [%]              651.420455
Return (Ann.) [%]                 1912.068416
Volatility (Ann.) [%]           100371.452096
Sharpe Ratio                          0.01905
Sortino Ratio                       12.171197
Calmar Ratio                        23.849696
Max. Drawdown [%]                  -80.171606
Avg. Drawdown [%]                  -24.983526
Max. Drawdown Duration      252 days 00:00:00
Avg. Drawdown Duration       75 days 00:00:00
# Trades                                   16
Win Rate [%]                            31.25
Best Trade [%]                     800.089084
Worst Trade [%]                    -51.921189
Avg. Trade [%]                        9.91923
Max. Trade Duration         182 days 00:00:00
Avg. Trade Duration          62 days 00:00:00
Profit Factor                         5.28133
Expectancy [%]                      52.739397
SQN                                  0.260639
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
9;1;14;"Start                     2018-04-22 20:59...
End                       2021-10-24 20:59...
Duration                   1281 days 00:00:00
Exposure Time [%]                   75.543478
Equity Final [$]              443036354.45077
Equity Peak [$]              2191697403.87787
Return [%]                         343.036354
Buy & Hold Return [%]              651.420455
Return (Ann.) [%]                 1815.750543
Volatility (Ann.) [%]           104596.386617
Sharpe Ratio                          0.01736
Sortino Ratio                       11.204693
Calmar Ratio                        22.648299
Max. Drawdown [%]                  -80.171606
Avg. Drawdown [%]                   -27.32252
Max. Drawdown Duration      252 days 00:00:00
Avg. Drawdown Duration       79 days 00:00:00
# Trades                                   13
Win Rate [%]                        38.461538
Best Trade [%]                     800.089084
Worst Trade [%]                    -57.489747
Avg. Trade [%]                      11.964969
Max. Trade Duration         182 days 00:00:00
Avg. Trade Duration          75 days 00:00:00
Profit Factor                        5.508332
Expectancy [%]                       65.42369
SQN                                  0.253665
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
10;1;15;"Start                     2018-04-22 20:59...
End                       2021-10-24 20:59...
Duration                   1281 days 00:00:00
Exposure Time [%]                        75.0
Equity Final [$]              413269436.51876
Equity Peak [$]              2166194394.15426
Return [%]                         313.269437
Buy & Hold Return [%]              651.420455
Return (Ann.) [%]                 1568.857652
Volatility (Ann.) [%]            98269.835363
Sharpe Ratio                         0.015965
Sortino Ratio                        9.523458
Calmar Ratio                        19.387314
Max. Drawdown [%]                  -80.921868
Avg. Drawdown [%]                  -27.390725
Max. Drawdown Duration      252 days 00:00:00
Avg. Drawdown Duration       79 days 00:00:00
# Trades                                   13
Win Rate [%]                        38.461538
Best Trade [%]                     816.809429
Worst Trade [%]                    -60.674824
Avg. Trade [%]                      11.532789
Max. Trade Duration         217 days 00:00:00
Avg. Trade Duration          74 days 00:00:00
Profit Factor                        5.695206
Expectancy [%]                      66.818786
SQN                                   0.22653
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
11;1;16;"Start                     2018-04-22 20:59...
End                       2021-10-24 20:59...
Duration                   1281 days 00:00:00
Exposure Time [%]                        75.0
Equity Final [$]              683257279.89393
Equity Peak [$]              3581363532.85403
Return [%]                          583.25728
Buy & Hold Return [%]              651.420455
Return (Ann.) [%]                 4424.401973
Volatility (Ann.) [%]           234706.514918
Sharpe Ratio                         0.018851
Sortino Ratio                       27.781405
Calmar Ratio                        54.674986
Max. Drawdown [%]                  -80.921868
Avg. Drawdown [%]                  -22.027769
Max. Drawdown Duration      196 days 00:00:00
Avg. Drawdown Duration       60 days 00:00:00
# Trades                                   11
Win Rate [%]                        45.454545
Best Trade [%]                     816.809429
Worst Trade [%]                    -60.674824
Avg. Trade [%]                      19.088904
Max. Trade Duration         217 days 00:00:00
Avg. Trade Duration          88 days 00:00:00
Profit Factor                        7.415448
Expectancy [%]                      83.166104
SQN                                  0.254478
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
