;sma1;sma2;output
0;1;2;"Start                     2018-04-22 20:59...
End                       2021-10-31 20:59...
Duration                   1288 days 00:00:00
Exposure Time [%]                     71.8919
Equity Final [$]                  5.18201e+08
Equity Peak [$]                   5.93752e+08
Return [%]                            418.201
Buy & Hold Return [%]                 661.719
Return (Ann.) [%]                     2468.53
Volatility (Ann.) [%]                   24831
Sharpe Ratio                        0.0994134
Sortino Ratio                         20.8753
Calmar Ratio                          33.4805
Max. Drawdown [%]                    -73.7306
Avg. Drawdown [%]                    -29.8396
Max. Drawdown Duration      735 days 00:00:00
Avg. Drawdown Duration      172 days 00:00:00
# Trades                                   44
Win Rate [%]                          29.5455
Best Trade [%]                        110.046
Worst Trade [%]                       -27.495
Avg. Trade [%]                        3.78109
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          15 days 00:00:00
Profit Factor                         2.33896
Expectancy [%]                        7.79972
SQN                                   1.24763
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
1;1;3;"Start                     2018-04-22 20:59...
End                       2021-10-31 20:59...
Duration                   1288 days 00:00:00
Exposure Time [%]                      67.027
Equity Final [$]                  9.02121e+08
Equity Peak [$]                   1.03365e+09
Return [%]                            802.121
Buy & Hold Return [%]                 661.719
Return (Ann.) [%]                     7568.52
Volatility (Ann.) [%]                 95096.5
Sharpe Ratio                        0.0795878
Sortino Ratio                          63.024
Calmar Ratio                          104.993
Max. Drawdown [%]                    -72.0858
Avg. Drawdown [%]                    -25.4805
Max. Drawdown Duration      728 days 00:00:00
Avg. Drawdown Duration      150 days 00:00:00
# Trades                                   32
Win Rate [%]                            31.25
Best Trade [%]                        172.222
Worst Trade [%]                       -27.495
Avg. Trade [%]                        7.07461
Max. Trade Duration          77 days 00:00:00
Avg. Trade Duration          21 days 00:00:00
Profit Factor                         2.96019
Expectancy [%]                        13.4075
SQN                                   1.40592
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
2;1;4;"Start                     2018-04-22 20:59...
End                       2021-10-31 20:59...
Duration                   1288 days 00:00:00
Exposure Time [%]                     63.7838
Equity Final [$]                  6.80634e+08
Equity Peak [$]                   7.67692e+08
Return [%]                            580.634
Buy & Hold Return [%]                 661.719
Return (Ann.) [%]                     4298.62
Volatility (Ann.) [%]                   56291
Sharpe Ratio                        0.0763642
Sortino Ratio                          34.824
Calmar Ratio                          62.7028
Max. Drawdown [%]                    -68.5554
Avg. Drawdown [%]                    -21.9453
Max. Drawdown Duration      679 days 00:00:00
Avg. Drawdown Duration      131 days 00:00:00
# Trades                                   24
Win Rate [%]                             37.5
Best Trade [%]                         145.66
Worst Trade [%]                       -27.495
Avg. Trade [%]                        8.31902
Max. Trade Duration          77 days 00:00:00
Avg. Trade Duration          28 days 00:00:00
Profit Factor                         3.03593
Expectancy [%]                        14.4959
SQN                                   1.45339
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
3;1;5;"Start                     2018-04-22 20:59...
End                       2021-10-31 20:59...
Duration                   1288 days 00:00:00
Exposure Time [%]                     59.4595
Equity Final [$]                  1.60851e+09
Equity Peak [$]                   1.81425e+09
Return [%]                            1508.51
Buy & Hold Return [%]                 661.719
Return (Ann.) [%]                     23901.7
Volatility (Ann.) [%]                  578875
Sharpe Ratio                        0.0412899
Sortino Ratio                         203.479
Calmar Ratio                          396.362
Max. Drawdown [%]                    -60.3027
Avg. Drawdown [%]                    -23.6674
Max. Drawdown Duration      679 days 00:00:00
Avg. Drawdown Duration      143 days 00:00:00
# Trades                                   19
Win Rate [%]                          31.5789
Best Trade [%]                        410.259
Worst Trade [%]                      -24.0392
Avg. Trade [%]                        15.7433
Max. Trade Duration         140 days 00:00:00
Avg. Trade Duration          34 days 00:00:00
Profit Factor                          5.8839
Expectancy [%]                        38.6326
SQN                                   1.43183
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
4;1;6;"Start                     2018-04-22 20:59...
End                       2021-10-31 20:59...
Duration                   1288 days 00:00:00
Exposure Time [%]                          60
Equity Final [$]                  1.65783e+09
Equity Peak [$]                   2.11314e+09
Return [%]                            1557.83
Buy & Hold Return [%]                 661.719
Return (Ann.) [%]                     25375.3
Volatility (Ann.) [%]                  621391
Sharpe Ratio                        0.0408363
Sortino Ratio                         216.174
Calmar Ratio                          419.817
Max. Drawdown [%]                    -60.4438
Avg. Drawdown [%]                    -27.1393
Max. Drawdown Duration      420 days 00:00:00
Avg. Drawdown Duration      126 days 00:00:00
# Trades                                   18
Win Rate [%]                          33.3333
Best Trade [%]                         428.97
Worst Trade [%]                      -24.0392
Avg. Trade [%]                        16.8832
Max. Trade Duration         133 days 00:00:00
Avg. Trade Duration          37 days 00:00:00
Profit Factor                         6.59428
Expectancy [%]                        40.1676
SQN                                   1.50633
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
5;1;7;"Start                     2018-04-22 20:59...
End                       2021-10-31 20:59...
Duration                   1288 days 00:00:00
Exposure Time [%]                     56.2162
Equity Final [$]                  2.98745e+09
Equity Peak [$]                   3.80792e+09
Return [%]                            2887.45
Buy & Hold Return [%]                 661.719
Return (Ann.) [%]                     81319.6
Volatility (Ann.) [%]             2.05487e+06
Sharpe Ratio                        0.0395741
Sortino Ratio                         713.369
Calmar Ratio                          1507.51
Max. Drawdown [%]                     -53.943
Avg. Drawdown [%]                     -24.424
Max. Drawdown Duration      420 days 00:00:00
Avg. Drawdown Duration      124 days 00:00:00
# Trades                                   15
Win Rate [%]                          33.3333
Best Trade [%]                        647.619
Worst Trade [%]                      -24.0392
Avg. Trade [%]                        25.4161
Max. Trade Duration         154 days 00:00:00
Avg. Trade Duration          42 days 00:00:00
Profit Factor                         11.3386
Expectancy [%]                        62.9458
SQN                                   1.49526
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
6;1;8;"Start                     2018-04-22 20:59...
End                       2021-10-31 20:59...
Duration                   1288 days 00:00:00
Exposure Time [%]                     54.5946
Equity Final [$]                  2.87075e+09
Equity Peak [$]                    3.7869e+09
Return [%]                            2770.75
Buy & Hold Return [%]                 661.719
Return (Ann.) [%]                     75163.9
Volatility (Ann.) [%]             1.78486e+06
Sharpe Ratio                         0.042112
Sortino Ratio                         686.747
Calmar Ratio                          1710.24
Max. Drawdown [%]                    -43.9493
Avg. Drawdown [%]                    -24.9542
Max. Drawdown Duration      420 days 00:00:00
Avg. Drawdown Duration      126 days 00:00:00
# Trades                                   14
Win Rate [%]                          35.7143
Best Trade [%]                        647.619
Worst Trade [%]                      -22.9498
Avg. Trade [%]                        27.0991
Max. Trade Duration         154 days 00:00:00
Avg. Trade Duration          44 days 00:00:00
Profit Factor                         11.7416
Expectancy [%]                        66.7668
SQN                                   1.48596
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
7;1;9;"Start                     2018-04-22 20:59...
End                       2021-10-31 20:59...
Duration                   1288 days 00:00:00
Exposure Time [%]                     54.0541
Equity Final [$]                  1.85364e+09
Equity Peak [$]                    2.4452e+09
Return [%]                            1753.64
Buy & Hold Return [%]                 661.719
Return (Ann.) [%]                     31652.7
Volatility (Ann.) [%]                  719486
Sharpe Ratio                        0.0439935
Sortino Ratio                         287.521
Calmar Ratio                          655.411
Max. Drawdown [%]                    -48.2945
Avg. Drawdown [%]                    -26.0712
Max. Drawdown Duration      420 days 00:00:00
Avg. Drawdown Duration      127 days 00:00:00
# Trades                                   15
Win Rate [%]                          33.3333
Best Trade [%]                        647.619
Worst Trade [%]                      -22.9498
Avg. Trade [%]                        21.4885
Max. Trade Duration         154 days 00:00:00
Avg. Trade Duration          40 days 00:00:00
Profit Factor                         9.04264
Expectancy [%]                        55.9682
SQN                                   1.33943
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
8;1;10;"Start                     2018-04-22 20:59...
End                       2021-10-31 20:59...
Duration                   1288 days 00:00:00
Exposure Time [%]                      52.973
Equity Final [$]                  2.93103e+09
Equity Peak [$]                   3.78911e+09
Return [%]                            2831.03
Buy & Hold Return [%]                 661.719
Return (Ann.) [%]                     78313.4
Volatility (Ann.) [%]              1.6256e+06
Sharpe Ratio                        0.0481751
Sortino Ratio                          758.39
Calmar Ratio                          1621.58
Max. Drawdown [%]                    -48.2945
Avg. Drawdown [%]                    -22.9057
Max. Drawdown Duration      364 days 00:00:00
Avg. Drawdown Duration       94 days 00:00:00
# Trades                                   13
Win Rate [%]                          38.4615
Best Trade [%]                        647.619
Worst Trade [%]                      -20.2509
Avg. Trade [%]                        29.6724
Max. Trade Duration         154 days 00:00:00
Avg. Trade Duration          46 days 00:00:00
Profit Factor                         13.8239
Expectancy [%]                        68.2953
SQN                                   1.38799
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
9;1;11;"Start                     2018-04-22 20:59...
End                       2021-10-31 20:59...
Duration                   1288 days 00:00:00
Exposure Time [%]                     50.8108
Equity Final [$]                  4.59863e+09
Equity Peak [$]                    6.1133e+09
Return [%]                            4498.63
Buy & Hold Return [%]                 661.719
Return (Ann.) [%]                      190587
Volatility (Ann.) [%]             4.52791e+06
Sharpe Ratio                        0.0420917
Sortino Ratio                         1864.05
Calmar Ratio                          3946.35
Max. Drawdown [%]                    -48.2945
Avg. Drawdown [%]                    -20.1962
Max. Drawdown Duration      371 days 00:00:00
Avg. Drawdown Duration       83 days 00:00:00
# Trades                                   10
Win Rate [%]                               50
Best Trade [%]                        924.221
Worst Trade [%]                      -20.2509
Avg. Trade [%]                        46.6435
Max. Trade Duration         168 days 00:00:00
Avg. Trade Duration          59 days 00:00:00
Profit Factor                         26.5364
Expectancy [%]                        116.923
SQN                                   1.36461
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
