;sma1;sma2;output
0;1;2;"Start                     2019-05-05 20:59...
End                       2021-10-31 20:59...
Duration                    910 days 00:00:00
Exposure Time [%]                   72.519084
Equity Final [$]               1280442984.642
Equity Peak [$]                1348274080.982
Return [%]                        1180.442985
Buy & Hold Return [%]               646.53711
Return (Ann.) [%]               121628.718264
Volatility (Ann.) [%]          1458286.985138
Sharpe Ratio                         0.083405
Sortino Ratio                     1131.157855
Calmar Ratio                      2935.685399
Max. Drawdown [%]                  -41.431115
Avg. Drawdown [%]                  -15.366997
Max. Drawdown Duration      210 days 00:00:00
Avg. Drawdown Duration       78 days 00:00:00
# Trades                                   29
Win Rate [%]                        55.172414
Best Trade [%]                      95.135689
Worst Trade [%]                    -30.383174
Avg. Trade [%]                       9.190495
Max. Trade Duration          42 days 00:00:00
Avg. Trade Duration          16 days 00:00:00
Profit Factor                        3.892567
Expectancy [%]                      12.452907
SQN                                   2.04406
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
1;1;3;"Start                     2019-05-05 20:59...
End                       2021-10-31 20:59...
Duration                    910 days 00:00:00
Exposure Time [%]                   63.358779
Equity Final [$]                613833825.991
Equity Peak [$]                 701094516.851
Return [%]                         513.833826
Buy & Hold Return [%]               646.53711
Return (Ann.) [%]                15593.293912
Volatility (Ann.) [%]             182909.3572
Sharpe Ratio                         0.085251
Sortino Ratio                      134.049387
Calmar Ratio                       342.504446
Max. Drawdown [%]                  -45.527274
Avg. Drawdown [%]                  -26.145706
Max. Drawdown Duration      280 days 00:00:00
Avg. Drawdown Duration      123 days 00:00:00
# Trades                                   21
Win Rate [%]                        57.142857
Best Trade [%]                     214.635928
Worst Trade [%]                    -30.383174
Avg. Trade [%]                       9.025034
Max. Trade Duration          63 days 00:00:00
Avg. Trade Duration          21 days 00:00:00
Profit Factor                        5.101353
Expectancy [%]                      14.658096
SQN                                  1.192927
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
2;1;4;"Start                     2019-05-05 20:59...
End                       2021-10-31 20:59...
Duration                    910 days 00:00:00
Exposure Time [%]                   65.648855
Equity Final [$]                400693052.716
Equity Peak [$]                 434334354.486
Return [%]                         300.693053
Buy & Hold Return [%]               646.53711
Return (Ann.) [%]                 4681.786317
Volatility (Ann.) [%]           167141.304476
Sharpe Ratio                         0.028011
Sortino Ratio                       31.447443
Calmar Ratio                        69.463222
Max. Drawdown [%]                  -67.399498
Avg. Drawdown [%]                  -42.308497
Max. Drawdown Duration      343 days 00:00:00
Avg. Drawdown Duration      191 days 00:00:00
# Trades                                   19
Win Rate [%]                        42.105263
Best Trade [%]                     214.635928
Worst Trade [%]                    -49.540847
Avg. Trade [%]                       7.283145
Max. Trade Duration          63 days 00:00:00
Avg. Trade Duration          25 days 00:00:00
Profit Factor                        3.639669
Expectancy [%]                      19.002838
SQN                                  0.772118
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
3;1;5;"Start                     2019-05-05 20:59...
End                       2021-10-31 20:59...
Duration                    910 days 00:00:00
Exposure Time [%]                   64.122137
Equity Final [$]                 278979437.35
Equity Peak [$]                  361762312.49
Return [%]                         178.979437
Buy & Hold Return [%]               646.53711
Return (Ann.) [%]                  1643.73216
Volatility (Ann.) [%]            70293.293599
Sharpe Ratio                         0.023384
Sortino Ratio                       10.755335
Calmar Ratio                        23.700576
Max. Drawdown [%]                    -69.3541
Avg. Drawdown [%]                  -46.940429
Max. Drawdown Duration      336 days 00:00:00
Avg. Drawdown Duration      189 days 00:00:00
# Trades                                   15
Win Rate [%]                             40.0
Best Trade [%]                     216.292231
Worst Trade [%]                    -49.540847
Avg. Trade [%]                       6.706429
Max. Trade Duration          70 days 00:00:00
Avg. Trade Duration          33 days 00:00:00
Profit Factor                        3.012186
Expectancy [%]                      21.504003
SQN                                  0.552426
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
4;1;6;"Start                     2019-05-05 20:59...
End                       2021-10-31 20:59...
Duration                    910 days 00:00:00
Exposure Time [%]                   65.648855
Equity Final [$]                256812495.074
Equity Peak [$]                 333017669.924
Return [%]                         156.812495
Buy & Hold Return [%]               646.53711
Return (Ann.) [%]                 1284.512583
Volatility (Ann.) [%]            55164.815781
Sharpe Ratio                         0.023285
Sortino Ratio                        8.399281
Calmar Ratio                        18.507099
Max. Drawdown [%]                  -69.406479
Avg. Drawdown [%]                  -48.192387
Max. Drawdown Duration      329 days 00:00:00
Avg. Drawdown Duration      188 days 00:00:00
# Trades                                   14
Win Rate [%]                        42.857143
Best Trade [%]                      231.48688
Worst Trade [%]                    -49.540847
Avg. Trade [%]                       6.570232
Max. Trade Duration          84 days 00:00:00
Avg. Trade Duration          36 days 00:00:00
Profit Factor                        2.846385
Expectancy [%]                      23.361751
SQN                                  0.498996
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
5;1;7;"Start                     2019-05-05 20:59...
End                       2021-10-31 20:59...
Duration                    910 days 00:00:00
Exposure Time [%]                   65.648855
Equity Final [$]                230221672.381
Equity Peak [$]                 314565227.471
Return [%]                         130.221672
Buy & Hold Return [%]               646.53711
Return (Ann.) [%]                   921.01781
Volatility (Ann.) [%]            40930.122978
Sharpe Ratio                         0.022502
Sortino Ratio                        6.021085
Calmar Ratio                        13.269911
Max. Drawdown [%]                  -69.406478
Avg. Drawdown [%]                  -48.231913
Max. Drawdown Duration      336 days 00:00:00
Avg. Drawdown Duration      189 days 00:00:00
# Trades                                   14
Win Rate [%]                        42.857143
Best Trade [%]                      231.48688
Worst Trade [%]                    -49.540847
Avg. Trade [%]                        6.13719
Max. Trade Duration          84 days 00:00:00
Avg. Trade Duration          36 days 00:00:00
Profit Factor                        2.811726
Expectancy [%]                      22.923216
SQN                                  0.477603
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
6;1;8;"Start                     2019-05-05 20:59...
End                       2021-10-31 20:59...
Duration                    910 days 00:00:00
Exposure Time [%]                   66.412214
Equity Final [$]                334111334.232
Equity Peak [$]                 455812288.212
Return [%]                         234.111334
Buy & Hold Return [%]               646.53711
Return (Ann.) [%]                 2782.019262
Volatility (Ann.) [%]           107083.715224
Sharpe Ratio                          0.02598
Sortino Ratio                       18.755131
Calmar Ratio                        40.588415
Max. Drawdown [%]                  -68.542201
Avg. Drawdown [%]                  -37.749294
Max. Drawdown Duration      273 days 00:00:00
Avg. Drawdown Duration      125 days 00:00:00
# Trades                                   13
Win Rate [%]                        46.153846
Best Trade [%]                     220.528211
Worst Trade [%]                    -49.540847
Avg. Trade [%]                       9.723417
Max. Trade Duration         112 days 00:00:00
Avg. Trade Duration          40 days 00:00:00
Profit Factor                        3.335016
Expectancy [%]                      26.498247
SQN                                  0.646973
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
7;1;9;"Start                     2019-05-05 20:59...
End                       2021-10-31 20:59...
Duration                    910 days 00:00:00
Exposure Time [%]                    62.59542
Equity Final [$]                352284540.541
Equity Peak [$]                 455081310.541
Return [%]                         252.284541
Buy & Hold Return [%]               646.53711
Return (Ann.) [%]                 3240.315358
Volatility (Ann.) [%]           115142.808142
Sharpe Ratio                         0.028142
Sortino Ratio                       22.105646
Calmar Ratio                        47.274748
Max. Drawdown [%]                  -68.542202
Avg. Drawdown [%]                  -36.988194
Max. Drawdown Duration      280 days 00:00:00
Avg. Drawdown Duration      126 days 00:00:00
# Trades                                   12
Win Rate [%]                        41.666667
Best Trade [%]                     220.528211
Worst Trade [%]                    -49.540847
Avg. Trade [%]                      11.064295
Max. Trade Duration         112 days 00:00:00
Avg. Trade Duration          41 days 00:00:00
Profit Factor                        3.558789
Expectancy [%]                      28.774632
SQN                                  0.664314
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
8;1;10;"Start                     2019-05-05 20:59...
End                       2021-10-31 20:59...
Duration                    910 days 00:00:00
Exposure Time [%]                   61.832061
Equity Final [$]                463853843.948
Equity Peak [$]                 599206583.948
Return [%]                         363.853844
Buy & Hold Return [%]               646.53711
Return (Ann.) [%]                 7089.701593
Volatility (Ann.) [%]           225755.444129
Sharpe Ratio                         0.031404
Sortino Ratio                       49.982116
Calmar Ratio                       118.874024
Max. Drawdown [%]                  -59.640461
Avg. Drawdown [%]                  -35.258208
Max. Drawdown Duration      280 days 00:00:00
Avg. Drawdown Duration      125 days 00:00:00
# Trades                                   11
Win Rate [%]                        45.454545
Best Trade [%]                     220.528211
Worst Trade [%]                    -49.540847
Avg. Trade [%]                      14.968828
Max. Trade Duration         112 days 00:00:00
Avg. Trade Duration          45 days 00:00:00
Profit Factor                        4.294207
Expectancy [%]                      33.824338
SQN                                  0.857645
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
9;2;3;"Start                     2019-05-05 20:59...
End                       2021-10-31 20:59...
Duration                    910 days 00:00:00
Exposure Time [%]                   70.992366
Equity Final [$]                 221713330.41
Equity Peak [$]                 337431726.507
Return [%]                          121.71333
Buy & Hold Return [%]               646.53711
Return (Ann.) [%]                  819.317904
Volatility (Ann.) [%]            20124.220701
Sharpe Ratio                         0.040713
Sortino Ratio                        5.497172
Calmar Ratio                        10.244728
Max. Drawdown [%]                  -79.974588
Avg. Drawdown [%]                  -30.150737
Max. Drawdown Duration      392 days 00:00:00
Avg. Drawdown Duration      122 days 00:00:00
# Trades                                   23
Win Rate [%]                        52.173913
Best Trade [%]                     214.635928
Worst Trade [%]                    -59.428114
Avg. Trade [%]                       3.522422
Max. Trade Duration          63 days 00:00:00
Avg. Trade Duration          22 days 00:00:00
Profit Factor                        2.428987
Expectancy [%]                      11.231293
SQN                                  0.441036
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
