;sma1;sma2;output
0;3;1;"Start                     2018-11-18 20:59...
End                       2019-11-27 22:59...
Duration                    374 days 02:00:00
Exposure Time [%]                   67.272727
Equity Final [$]                 131009898.78
Equity Peak [$]                  309490101.66
Return [%]                          31.009899
Buy & Hold Return [%]              -25.816564
Return (Ann.) [%]                  500.444315
Volatility (Ann.) [%]            49158.261293
Sharpe Ratio                          0.01018
Sortino Ratio                        3.357883
Calmar Ratio                         8.673449
Max. Drawdown [%]                  -57.698418
Avg. Drawdown [%]                  -30.315392
Max. Drawdown Duration      158 days 00:00:00
Avg. Drawdown Duration       72 days 00:00:00
# Trades                                   10
Win Rate [%]                             70.0
Best Trade [%]                      88.576335
Worst Trade [%]                    -39.168087
Avg. Trade [%]                       2.737836
Max. Trade Duration         154 days 00:00:00
Avg. Trade Duration          25 days 00:00:00
Profit Factor                        1.928575
Expectancy [%]                       7.373389
SQN                                  0.173369
_strategy                                HiLo
_equity_curve                             ...
_trades                        Size  Entry...
dtype: object"
1;3;2;"Start                     2018-11-18 20:59...
End                       2019-11-27 22:59...
Duration                    374 days 02:00:00
Exposure Time [%]                   30.909091
Equity Final [$]                 137595200.74
Equity Peak [$]                  206458465.96
Return [%]                          37.595201
Buy & Hold Return [%]              -25.816564
Return (Ann.) [%]                  731.422567
Volatility (Ann.) [%]            19321.416165
Sharpe Ratio                         0.037856
Sortino Ratio                        8.618408
Calmar Ratio                        21.898439
Max. Drawdown [%]                  -33.400672
Avg. Drawdown [%]                  -33.400672
Max. Drawdown Duration      235 days 00:00:00
Avg. Drawdown Duration      235 days 00:00:00
# Trades                                   10
Win Rate [%]                             60.0
Best Trade [%]                      88.576335
Worst Trade [%]                    -30.530365
Avg. Trade [%]                       3.242934
Max. Trade Duration          18 days 00:00:00
Avg. Trade Duration          10 days 00:00:00
Profit Factor                        2.074223
Expectancy [%]                       6.696213
SQN                                  0.286397
_strategy                                HiLo
_equity_curve                             ...
_trades                        Size  Entry...
dtype: object"
2;3;3;"Start                     2018-11-18 20:59...
End                       2019-11-27 22:59...
Duration                    374 days 02:00:00
Exposure Time [%]                        40.0
Equity Final [$]                  101649352.2
Equity Peak [$]                  222928137.93
Return [%]                           1.649352
Buy & Hold Return [%]              -25.816564
Return (Ann.) [%]                   11.467641
Volatility (Ann.) [%]             4597.468512
Sharpe Ratio                         0.002494
Sortino Ratio                        0.091579
Calmar Ratio                          0.21067
Max. Drawdown [%]                  -54.434202
Avg. Drawdown [%]                  -36.979893
Max. Drawdown Duration      158 days 00:00:00
Avg. Drawdown Duration      118 days 00:00:00
# Trades                                   10
Win Rate [%]                             60.0
Best Trade [%]                      88.576335
Worst Trade [%]                    -34.473985
Avg. Trade [%]                       0.163722
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          13 days 00:00:00
Profit Factor                        1.512126
Expectancy [%]                        4.37904
SQN                                  0.011652
_strategy                                HiLo
_equity_curve                             ...
_trades                        Size  Entry...
dtype: object"
3;3;4;"Start                     2018-11-18 20:59...
End                       2019-11-27 22:59...
Duration                    374 days 02:00:00
Exposure Time [%]                   41.818182
Equity Final [$]                 141119294.93
Equity Peak [$]                  309490101.66
Return [%]                          41.119295
Buy & Hold Return [%]              -25.816564
Return (Ann.) [%]                  883.353645
Volatility (Ann.) [%]             47108.74692
Sharpe Ratio                         0.018751
Sortino Ratio                        7.054349
Calmar Ratio                        16.227913
Max. Drawdown [%]                  -54.434211
Avg. Drawdown [%]                  -29.227323
Max. Drawdown Duration      158 days 00:00:00
Avg. Drawdown Duration       72 days 00:00:00
# Trades                                   10
Win Rate [%]                             70.0
Best Trade [%]                      88.576335
Worst Trade [%]                    -34.473985
Avg. Trade [%]                        3.50436
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          15 days 00:00:00
Profit Factor                        2.049747
Expectancy [%]                       7.842799
SQN                                  0.238945
_strategy                                HiLo
_equity_curve                             ...
_trades                        Size  Entry...
dtype: object"
4;3;5;"Start                     2018-11-18 20:59...
End                       2019-11-27 22:59...
Duration                    374 days 02:00:00
Exposure Time [%]                   41.818182
Equity Final [$]                 141119294.93
Equity Peak [$]                  309490101.66
Return [%]                          41.119295
Buy & Hold Return [%]              -25.816564
Return (Ann.) [%]                  883.353645
Volatility (Ann.) [%]             47108.74692
Sharpe Ratio                         0.018751
Sortino Ratio                        7.054349
Calmar Ratio                        16.227913
Max. Drawdown [%]                  -54.434211
Avg. Drawdown [%]                  -29.227323
Max. Drawdown Duration      158 days 00:00:00
Avg. Drawdown Duration       72 days 00:00:00
# Trades                                   10
Win Rate [%]                             70.0
Best Trade [%]                      88.576335
Worst Trade [%]                    -34.473985
Avg. Trade [%]                        3.50436
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          15 days 00:00:00
Profit Factor                        2.049747
Expectancy [%]                       7.842799
SQN                                  0.238945
_strategy                                HiLo
_equity_curve                             ...
_trades                        Size  Entry...
dtype: object"
5;3;6;"Start                     2018-11-18 20:59...
End                       2019-11-27 22:59...
Duration                    374 days 02:00:00
Exposure Time [%]                   41.818182
Equity Final [$]                 141119294.93
Equity Peak [$]                  309490101.66
Return [%]                          41.119295
Buy & Hold Return [%]              -25.816564
Return (Ann.) [%]                  883.353645
Volatility (Ann.) [%]             47108.74692
Sharpe Ratio                         0.018751
Sortino Ratio                        7.054349
Calmar Ratio                        16.227913
Max. Drawdown [%]                  -54.434211
Avg. Drawdown [%]                  -29.227323
Max. Drawdown Duration      158 days 00:00:00
Avg. Drawdown Duration       72 days 00:00:00
# Trades                                   10
Win Rate [%]                             70.0
Best Trade [%]                      88.576335
Worst Trade [%]                    -34.473985
Avg. Trade [%]                        3.50436
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          15 days 00:00:00
Profit Factor                        2.049747
Expectancy [%]                       7.842799
SQN                                  0.238945
_strategy                                HiLo
_equity_curve                             ...
_trades                        Size  Entry...
dtype: object"
6;3;7;"Start                     2018-11-18 20:59...
End                       2019-11-27 22:59...
Duration                    374 days 02:00:00
Exposure Time [%]                   41.818182
Equity Final [$]                 141119294.93
Equity Peak [$]                  309490101.66
Return [%]                          41.119295
Buy & Hold Return [%]              -25.816564
Return (Ann.) [%]                  883.353645
Volatility (Ann.) [%]             47108.74692
Sharpe Ratio                         0.018751
Sortino Ratio                        7.054349
Calmar Ratio                        16.227913
Max. Drawdown [%]                  -54.434211
Avg. Drawdown [%]                  -29.227323
Max. Drawdown Duration      158 days 00:00:00
Avg. Drawdown Duration       72 days 00:00:00
# Trades                                   10
Win Rate [%]                             70.0
Best Trade [%]                      88.576335
Worst Trade [%]                    -34.473985
Avg. Trade [%]                        3.50436
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          15 days 00:00:00
Profit Factor                        2.049747
Expectancy [%]                       7.842799
SQN                                  0.238945
_strategy                                HiLo
_equity_curve                             ...
_trades                        Size  Entry...
dtype: object"
7;3;8;"Start                     2018-11-18 20:59...
End                       2019-11-27 22:59...
Duration                    374 days 02:00:00
Exposure Time [%]                   41.818182
Equity Final [$]                 141119294.93
Equity Peak [$]                  309490101.66
Return [%]                          41.119295
Buy & Hold Return [%]              -25.816564
Return (Ann.) [%]                  883.353645
Volatility (Ann.) [%]             47108.74692
Sharpe Ratio                         0.018751
Sortino Ratio                        7.054349
Calmar Ratio                        16.227913
Max. Drawdown [%]                  -54.434211
Avg. Drawdown [%]                  -29.227323
Max. Drawdown Duration      158 days 00:00:00
Avg. Drawdown Duration       72 days 00:00:00
# Trades                                   10
Win Rate [%]                             70.0
Best Trade [%]                      88.576335
Worst Trade [%]                    -34.473985
Avg. Trade [%]                        3.50436
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          15 days 00:00:00
Profit Factor                        2.049747
Expectancy [%]                       7.842799
SQN                                  0.238945
_strategy                                HiLo
_equity_curve                             ...
_trades                        Size  Entry...
dtype: object"
8;3;9;"Start                     2018-11-18 20:59...
End                       2019-11-27 22:59...
Duration                    374 days 02:00:00
Exposure Time [%]                   41.818182
Equity Final [$]                 141119294.93
Equity Peak [$]                  309490101.66
Return [%]                          41.119295
Buy & Hold Return [%]              -25.816564
Return (Ann.) [%]                  883.353645
Volatility (Ann.) [%]             47108.74692
Sharpe Ratio                         0.018751
Sortino Ratio                        7.054349
Calmar Ratio                        16.227913
Max. Drawdown [%]                  -54.434211
Avg. Drawdown [%]                  -29.227323
Max. Drawdown Duration      158 days 00:00:00
Avg. Drawdown Duration       72 days 00:00:00
# Trades                                   10
Win Rate [%]                             70.0
Best Trade [%]                      88.576335
Worst Trade [%]                    -34.473985
Avg. Trade [%]                        3.50436
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          15 days 00:00:00
Profit Factor                        2.049747
Expectancy [%]                       7.842799
SQN                                  0.238945
_strategy                                HiLo
_equity_curve                             ...
_trades                        Size  Entry...
dtype: object"
9;3;10;"Start                     2018-11-18 20:59...
End                       2019-11-27 22:59...
Duration                    374 days 02:00:00
Exposure Time [%]                   41.818182
Equity Final [$]                 141119294.93
Equity Peak [$]                  309490101.66
Return [%]                          41.119295
Buy & Hold Return [%]              -25.816564
Return (Ann.) [%]                  883.353645
Volatility (Ann.) [%]             47108.74692
Sharpe Ratio                         0.018751
Sortino Ratio                        7.054349
Calmar Ratio                        16.227913
Max. Drawdown [%]                  -54.434211
Avg. Drawdown [%]                  -29.227323
Max. Drawdown Duration      158 days 00:00:00
Avg. Drawdown Duration       72 days 00:00:00
# Trades                                   10
Win Rate [%]                             70.0
Best Trade [%]                      88.576335
Worst Trade [%]                    -34.473985
Avg. Trade [%]                        3.50436
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          15 days 00:00:00
Profit Factor                        2.049747
Expectancy [%]                       7.842799
SQN                                  0.238945
_strategy                                HiLo
_equity_curve                             ...
_trades                        Size  Entry...
dtype: object"
