;sma1;sma2;output
0;1;2;"Start                     2019-09-22 20:59...
End                       2021-10-31 20:59...
Duration                    770 days 00:00:00
Exposure Time [%]                   74.774775
Equity Final [$]               335558310.8922
Equity Peak [$]                360988869.9022
Return [%]                         235.558311
Buy & Hold Return [%]              -35.859431
Return (Ann.) [%]                 5256.446302
Volatility (Ann.) [%]           185120.427341
Sharpe Ratio                         0.028395
Sortino Ratio                       37.613249
Calmar Ratio                       113.861158
Max. Drawdown [%]                  -46.165403
Avg. Drawdown [%]                  -28.260537
Max. Drawdown Duration      469 days 00:00:00
Avg. Drawdown Duration      142 days 00:00:00
# Trades                                   27
Win Rate [%]                        40.740741
Best Trade [%]                      96.809717
Worst Trade [%]                    -39.150685
Avg. Trade [%]                       4.319242
Max. Trade Duration          35 days 00:00:00
Avg. Trade Duration          15 days 00:00:00
Profit Factor                        2.425504
Expectancy [%]                       6.831775
SQN                                  1.362231
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
1;1;3;"Start                     2019-09-22 20:59...
End                       2021-10-31 20:59...
Duration                    770 days 00:00:00
Exposure Time [%]                   64.864865
Equity Final [$]                126961806.314
Equity Peak [$]                251390357.2019
Return [%]                          26.961806
Buy & Hold Return [%]              -35.859431
Return (Ann.) [%]                   119.23355
Volatility (Ann.) [%]             6233.944011
Sharpe Ratio                         0.019127
Sortino Ratio                        0.799502
Calmar Ratio                         1.935835
Max. Drawdown [%]                  -61.592814
Avg. Drawdown [%]                  -24.113971
Max. Drawdown Duration      252 days 00:00:00
Avg. Drawdown Duration      103 days 00:00:00
# Trades                                   18
Win Rate [%]                        55.555556
Best Trade [%]                      34.133333
Worst Trade [%]                    -37.978218
Avg. Trade [%]                       1.335034
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          21 days 00:00:00
Profit Factor                        1.516258
Expectancy [%]                       4.184575
SQN                                  0.207975
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
2;1;5;"Start                     2019-09-22 20:59...
End                       2021-10-31 20:59...
Duration                    770 days 00:00:00
Exposure Time [%]                   63.963964
Equity Final [$]               178391138.7434
Equity Peak [$]                392911719.6788
Return [%]                          78.391139
Buy & Hold Return [%]              -35.859431
Return (Ann.) [%]                  570.791893
Volatility (Ann.) [%]             79413.30492
Sharpe Ratio                         0.007188
Sortino Ratio                        3.103926
Calmar Ratio                         7.654416
Max. Drawdown [%]                  -74.570274
Avg. Drawdown [%]                  -33.666041
Max. Drawdown Duration      266 days 00:00:00
Avg. Drawdown Duration      103 days 00:00:00
# Trades                                   13
Win Rate [%]                        69.230769
Best Trade [%]                      74.979757
Worst Trade [%]                    -61.820283
Avg. Trade [%]                       4.552978
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          32 days 00:00:00
Profit Factor                        2.276613
Expectancy [%]                      11.354361
SQN                                    0.3504
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
3;1;6;"Start                     2019-09-22 20:59...
End                       2021-10-31 20:59...
Duration                    770 days 00:00:00
Exposure Time [%]                   62.162162
Equity Final [$]               110842932.2015
Equity Peak [$]                281791929.4175
Return [%]                          10.842932
Buy & Hold Return [%]              -35.859431
Return (Ann.) [%]                   40.285509
Volatility (Ann.) [%]            19131.303418
Sharpe Ratio                         0.002106
Sortino Ratio                         0.21189
Calmar Ratio                         0.540235
Max. Drawdown [%]                  -74.570274
Avg. Drawdown [%]                  -42.281705
Max. Drawdown Duration      399 days 00:00:00
Avg. Drawdown Duration      142 days 00:00:00
# Trades                                   12
Win Rate [%]                        66.666667
Best Trade [%]                      74.979757
Worst Trade [%]                    -61.820283
Avg. Trade [%]                       0.861557
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          34 days 00:00:00
Profit Factor                        1.783243
Expectancy [%]                        7.12757
SQN                                  0.068213
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
4;2;3;"Start                     2019-09-22 20:59...
End                       2021-10-31 20:59...
Duration                    770 days 00:00:00
Exposure Time [%]                   66.666667
Equity Final [$]               123325489.9005
Equity Peak [$]                522425343.8832
Return [%]                           23.32549
Buy & Hold Return [%]              -35.859431
Return (Ann.) [%]                   99.254445
Volatility (Ann.) [%]             9122.965883
Sharpe Ratio                          0.01088
Sortino Ratio                        0.575082
Calmar Ratio                         1.178551
Max. Drawdown [%]                  -84.217343
Avg. Drawdown [%]                   -22.31653
Max. Drawdown Duration      224 days 00:00:00
Avg. Drawdown Duration       66 days 00:00:00
# Trades                                   20
Win Rate [%]                             60.0
Best Trade [%]                      53.035936
Worst Trade [%]                    -62.865265
Avg. Trade [%]                       1.053798
Max. Trade Duration          35 days 00:00:00
Avg. Trade Duration          19 days 00:00:00
Profit Factor                        1.670395
Expectancy [%]                       5.199697
SQN                                  0.070299
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
5;2;4;"Start                     2019-09-22 20:59...
End                       2021-10-31 20:59...
Duration                    770 days 00:00:00
Exposure Time [%]                   65.765766
Equity Final [$]               127536098.1445
Equity Peak [$]                373290613.4992
Return [%]                          27.536098
Buy & Hold Return [%]              -35.859431
Return (Ann.) [%]                  122.511351
Volatility (Ann.) [%]            15650.236384
Sharpe Ratio                         0.007828
Sortino Ratio                        0.662213
Calmar Ratio                         1.552726
Max. Drawdown [%]                  -78.900796
Avg. Drawdown [%]                  -33.253237
Max. Drawdown Duration      203 days 00:00:00
Avg. Drawdown Duration      100 days 00:00:00
# Trades                                   17
Win Rate [%]                        64.705882
Best Trade [%]                       81.67108
Worst Trade [%]                    -62.865265
Avg. Trade [%]                       1.441045
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          24 days 00:00:00
Profit Factor                        1.749453
Expectancy [%]                       6.983843
SQN                                   0.12994
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
6;4;1;"Start                     2019-09-22 20:59...
End                       2021-10-31 20:59...
Duration                    770 days 00:00:00
Exposure Time [%]                   54.954955
Equity Final [$]                156328110.095
Equity Peak [$]                209649429.3515
Return [%]                           56.32811
Buy & Hold Return [%]              -35.859431
Return (Ann.) [%]                  334.560102
Volatility (Ann.) [%]             6196.495884
Sharpe Ratio                         0.053992
Sortino Ratio                        2.343858
Calmar Ratio                         4.159578
Max. Drawdown [%]                  -80.431256
Avg. Drawdown [%]                  -31.320702
Max. Drawdown Duration      434 days 00:00:00
Avg. Drawdown Duration      158 days 00:00:00
# Trades                                   15
Win Rate [%]                        66.666667
Best Trade [%]                       79.21147
Worst Trade [%]                    -64.049587
Avg. Trade [%]                       3.023383
Max. Trade Duration          77 days 00:00:00
Avg. Trade Duration          22 days 00:00:00
Profit Factor                        2.115206
Expectancy [%]                       9.984464
SQN                                  0.405349
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
7;4;3;"Start                     2019-09-22 20:59...
End                       2021-10-31 20:59...
Duration                    770 days 00:00:00
Exposure Time [%]                   58.558559
Equity Final [$]               121070001.9451
Equity Peak [$]                138651738.3132
Return [%]                          21.070002
Buy & Hold Return [%]              -35.859431
Return (Ann.) [%]                   87.520224
Volatility (Ann.) [%]             2426.423815
Sharpe Ratio                          0.03607
Sortino Ratio                        0.634657
Calmar Ratio                         1.394762
Max. Drawdown [%]                  -62.749196
Avg. Drawdown [%]                  -34.512661
Max. Drawdown Duration      609 days 00:00:00
Avg. Drawdown Duration      322 days 00:00:00
# Trades                                   17
Win Rate [%]                        52.941176
Best Trade [%]                      56.592512
Worst Trade [%]                    -55.069719
Avg. Trade [%]                       1.131047
Max. Trade Duration          84 days 00:00:00
Avg. Trade Duration          20 days 00:00:00
Profit Factor                        1.696555
Expectancy [%]                       6.453689
SQN                                  0.166175
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
8;4;5;"Start                     2019-09-22 20:59...
End                       2021-10-31 20:59...
Duration                    770 days 00:00:00
Exposure Time [%]                   62.162162
Equity Final [$]               429783958.9887
Equity Peak [$]                461805458.6736
Return [%]                         329.783959
Buy & Hold Return [%]              -35.859431
Return (Ann.) [%]                11986.741199
Volatility (Ann.) [%]          1426029.159502
Sharpe Ratio                         0.008406
Sortino Ratio                       71.395412
Calmar Ratio                       224.358913
Max. Drawdown [%]                  -53.426633
Avg. Drawdown [%]                    -27.8676
Max. Drawdown Duration      455 days 00:00:00
Avg. Drawdown Duration      114 days 00:00:00
# Trades                                   13
Win Rate [%]                        46.153846
Best Trade [%]                     281.258513
Worst Trade [%]                    -27.643836
Avg. Trade [%]                      11.869463
Max. Trade Duration          56 days 00:00:00
Avg. Trade Duration          31 days 00:00:00
Profit Factor                        4.076868
Expectancy [%]                      25.525162
SQN                                  1.214467
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
9;5;2;"Start                     2019-09-22 20:59...
End                       2021-10-31 20:59...
Duration                    770 days 00:00:00
Exposure Time [%]                   53.153153
Equity Final [$]               176064685.4147
Equity Peak [$]                215296322.6798
Return [%]                          76.064685
Buy & Hold Return [%]              -35.859431
Return (Ann.) [%]                   542.45276
Volatility (Ann.) [%]             5243.319493
Sharpe Ratio                         0.103456
Sortino Ratio                        4.290536
Calmar Ratio                         8.618092
Max. Drawdown [%]                  -62.943486
Avg. Drawdown [%]                  -29.139789
Max. Drawdown Duration      427 days 00:00:00
Avg. Drawdown Duration      153 days 00:00:00
# Trades                                   11
Win Rate [%]                        63.636364
Best Trade [%]                      45.748988
Worst Trade [%]                    -51.798933
Avg. Trade [%]                       5.277083
Max. Trade Duration          70 days 00:00:00
Avg. Trade Duration          31 days 00:00:00
Profit Factor                        2.282583
Expectancy [%]                       9.788577
SQN                                  0.656046
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
