;sma1;sma2;output
0;1;2;"Start                     2017-11-12 20:59...
End                       2021-10-24 20:59...
Duration                   1442 days 00:00:00
Exposure Time [%]                   96.618357
Equity Final [$]               113753149.5132
Equity Peak [$]                182337418.0132
Return [%]                           13.75315
Buy & Hold Return [%]            31551.006711
Return (Ann.) [%]                   25.510332
Volatility (Ann.) [%]           126867.016226
Sharpe Ratio                         0.000201
Sortino Ratio                        0.138286
Calmar Ratio                         0.274126
Max. Drawdown [%]                  -93.060708
Avg. Drawdown [%]                   -29.59508
Max. Drawdown Duration     1260 days 00:00:00
Avg. Drawdown Duration      273 days 00:00:00
# Trades                                  102
Win Rate [%]                        30.392157
Best Trade [%]                      373.99496
Worst Trade [%]                    -64.700669
Avg. Trade [%]                       0.126417
Max. Trade Duration          77 days 00:00:00
Avg. Trade Duration          14 days 00:00:00
Profit Factor                         1.71803
Expectancy [%]                       4.939635
SQN                                  0.125178
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
1;1;3;"Start                     2017-11-12 20:59...
End                       2021-10-24 20:59...
Duration                   1442 days 00:00:00
Exposure Time [%]                    94.68599
Equity Final [$]            1604175776.191899
Equity Peak [$]               1879678382.9719
Return [%]                        1504.175776
Buy & Hold Return [%]            31551.006711
Return (Ann.) [%]                13241.440412
Volatility (Ann.) [%]          1992414.137819
Sharpe Ratio                         0.006646
Sortino Ratio                        92.17529
Calmar Ratio                       145.612267
Max. Drawdown [%]                  -90.936297
Avg. Drawdown [%]                  -33.301979
Max. Drawdown Duration      770 days 00:00:00
Avg. Drawdown Duration      164 days 00:00:00
# Trades                                   60
Win Rate [%]                        41.666667
Best Trade [%]                      373.99496
Worst Trade [%]                    -56.629858
Avg. Trade [%]                       4.733962
Max. Trade Duration         105 days 00:00:00
Avg. Trade Duration          23 days 00:00:00
Profit Factor                        2.964067
Expectancy [%]                      12.919625
SQN                                  1.399725
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
2;1;4;"Start                     2017-11-12 20:59...
End                       2021-10-24 20:59...
Duration                   1442 days 00:00:00
Exposure Time [%]                    94.68599
Equity Final [$]               760404342.8048
Equity Peak [$]                890996862.1648
Return [%]                         660.404343
Buy & Hold Return [%]            31551.006711
Return (Ann.) [%]                 3477.113568
Volatility (Ann.) [%]           598001.997605
Sharpe Ratio                         0.005815
Sortino Ratio                       23.085933
Calmar Ratio                        39.761334
Max. Drawdown [%]                   -87.44962
Avg. Drawdown [%]                  -34.985853
Max. Drawdown Duration     1113 days 00:00:00
Avg. Drawdown Duration      269 days 00:00:00
# Trades                                   56
Win Rate [%]                        35.714286
Best Trade [%]                    1173.790806
Worst Trade [%]                    -56.629858
Avg. Trade [%]                       3.689061
Max. Trade Duration         112 days 00:00:00
Avg. Trade Duration          25 days 00:00:00
Profit Factor                        4.453972
Expectancy [%]                      23.543664
SQN                                  1.091587
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
3;1;5;"Start                     2017-11-12 20:59...
End                       2021-10-24 20:59...
Duration                   1442 days 00:00:00
Exposure Time [%]                   94.202899
Equity Final [$]              1514225216.5182
Equity Peak [$]               1736648936.5182
Return [%]                        1414.225217
Buy & Hold Return [%]            31551.006711
Return (Ann.) [%]                11950.697613
Volatility (Ann.) [%]           1888703.34194
Sharpe Ratio                         0.006327
Sortino Ratio                       80.273799
Calmar Ratio                       143.391351
Max. Drawdown [%]                  -83.343225
Avg. Drawdown [%]                  -32.277196
Max. Drawdown Duration     1106 days 00:00:00
Avg. Drawdown Duration      223 days 00:00:00
# Trades                                   46
Win Rate [%]                        34.782609
Best Trade [%]                    1545.893573
Worst Trade [%]                    -56.629858
Avg. Trade [%]                        6.08557
Max. Trade Duration         147 days 00:00:00
Avg. Trade Duration          30 days 00:00:00
Profit Factor                        6.006635
Expectancy [%]                      37.881881
SQN                                  1.163265
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
4;1;6;"Start                     2017-11-12 20:59...
End                       2021-10-24 20:59...
Duration                   1442 days 00:00:00
Exposure Time [%]                   93.719807
Equity Final [$]                397418538.402
Equity Peak [$]                1280570137.322
Return [%]                         297.418538
Buy & Hold Return [%]            31551.006711
Return (Ann.) [%]                 1039.318735
Volatility (Ann.) [%]           246338.855248
Sharpe Ratio                         0.004219
Sortino Ratio                        5.918573
Calmar Ratio                        12.111678
Max. Drawdown [%]                  -85.811288
Avg. Drawdown [%]                  -50.943855
Max. Drawdown Duration     1099 days 00:00:00
Avg. Drawdown Duration      333 days 00:00:00
# Trades                                   40
Win Rate [%]                             35.0
Best Trade [%]                     768.224489
Worst Trade [%]                    -56.629858
Avg. Trade [%]                       3.509737
Max. Trade Duration         182 days 00:00:00
Avg. Trade Duration          34 days 00:00:00
Profit Factor                        3.562982
Expectancy [%]                      22.234934
SQN                                  0.608172
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
5;1;7;"Start                     2017-11-12 20:59...
End                       2021-10-24 20:59...
Duration                   1442 days 00:00:00
Exposure Time [%]                   93.719807
Equity Final [$]              1557944455.2795
Equity Peak [$]               5020040399.9295
Return [%]                        1457.944455
Buy & Hold Return [%]            31551.006711
Return (Ann.) [%]                12570.945678
Volatility (Ann.) [%]          2523485.190713
Sharpe Ratio                         0.004982
Sortino Ratio                       73.899046
Calmar Ratio                       155.772103
Max. Drawdown [%]                  -80.700879
Avg. Drawdown [%]                  -26.330598
Max. Drawdown Duration      364 days 00:00:00
Avg. Drawdown Duration       98 days 00:00:00
# Trades                                   28
Win Rate [%]                        46.428571
Best Trade [%]                     768.224489
Worst Trade [%]                    -54.161161
Avg. Trade [%]                       10.30397
Max. Trade Duration         182 days 00:00:00
Avg. Trade Duration          49 days 00:00:00
Profit Factor                        5.480528
Expectancy [%]                      36.890759
SQN                                  0.764912
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
6;1;8;"Start                     2017-11-12 20:59...
End                       2021-10-24 20:59...
Duration                   1442 days 00:00:00
Exposure Time [%]                   93.719807
Equity Final [$]            2025331614.303101
Equity Peak [$]             6824075973.933101
Return [%]                        1925.331614
Buy & Hold Return [%]            31551.006711
Return (Ann.) [%]                20024.499169
Volatility (Ann.) [%]          3831222.429167
Sharpe Ratio                         0.005227
Sortino Ratio                      122.203692
Calmar Ratio                       248.132354
Max. Drawdown [%]                  -80.700879
Avg. Drawdown [%]                  -31.774162
Max. Drawdown Duration      364 days 00:00:00
Avg. Drawdown Duration      106 days 00:00:00
# Trades                                   24
Win Rate [%]                             37.5
Best Trade [%]                     659.957094
Worst Trade [%]                    -54.161161
Avg. Trade [%]                      13.354128
Max. Trade Duration         189 days 00:00:00
Avg. Trade Duration          57 days 00:00:00
Profit Factor                        6.268975
Expectancy [%]                      42.865842
SQN                                  0.752572
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
7;1;9;"Start                     2017-11-12 20:59...
End                       2021-10-24 20:59...
Duration                   1442 days 00:00:00
Exposure Time [%]                   93.719807
Equity Final [$]             825861821.146001
Equity Peak [$]                4776361267.376
Return [%]                         725.861821
Buy & Hold Return [%]            31551.006711
Return (Ann.) [%]                 4037.795934
Volatility (Ann.) [%]           877914.001385
Sharpe Ratio                         0.004599
Sortino Ratio                       23.947978
Calmar Ratio                        48.819073
Max. Drawdown [%]                  -82.709394
Avg. Drawdown [%]                   -31.99963
Max. Drawdown Duration      378 days 00:00:00
Avg. Drawdown Duration      107 days 00:00:00
# Trades                                   28
Win Rate [%]                        32.142857
Best Trade [%]                     659.957094
Worst Trade [%]                    -54.161161
Avg. Trade [%]                        7.83176
Max. Trade Duration         175 days 00:00:00
Avg. Trade Duration          49 days 00:00:00
Profit Factor                        4.623403
Expectancy [%]                      33.420149
SQN                                  0.402983
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
8;1;10;"Start                     2017-11-12 20:59...
End                       2021-10-24 20:59...
Duration                   1442 days 00:00:00
Exposure Time [%]                   93.719807
Equity Final [$]                620246479.979
Equity Peak [$]                3587187988.639
Return [%]                          520.24648
Buy & Hold Return [%]            31551.006711
Return (Ann.) [%]                  2397.56486
Volatility (Ann.) [%]           521077.048016
Sharpe Ratio                         0.004601
Sortino Ratio                       14.303962
Calmar Ratio                        28.987817
Max. Drawdown [%]                  -82.709396
Avg. Drawdown [%]                  -35.119058
Max. Drawdown Duration      490 days 00:00:00
Avg. Drawdown Duration      141 days 00:00:00
# Trades                                   26
Win Rate [%]                        30.769231
Best Trade [%]                     659.957094
Worst Trade [%]                    -54.161161
Avg. Trade [%]                       7.271225
Max. Trade Duration         175 days 00:00:00
Avg. Trade Duration          52 days 00:00:00
Profit Factor                        4.714212
Expectancy [%]                      34.785521
SQN                                   0.38044
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
9;1;11;"Start                     2017-11-12 20:59...
End                       2021-10-24 20:59...
Duration                   1442 days 00:00:00
Exposure Time [%]                   93.719807
Equity Final [$]                517836295.038
Equity Peak [$]                2994899600.968
Return [%]                         417.836295
Buy & Hold Return [%]            31551.006711
Return (Ann.) [%]                 1716.874444
Volatility (Ann.) [%]           331841.209023
Sharpe Ratio                         0.005174
Sortino Ratio                       10.537443
Calmar Ratio                        20.757914
Max. Drawdown [%]                  -82.709394
Avg. Drawdown [%]                  -36.869179
Max. Drawdown Duration      490 days 00:00:00
Avg. Drawdown Duration      159 days 00:00:00
# Trades                                   28
Win Rate [%]                        28.571429
Best Trade [%]                     659.957094
Worst Trade [%]                    -38.240977
Avg. Trade [%]                       6.049073
Max. Trade Duration         175 days 00:00:00
Avg. Trade Duration          49 days 00:00:00
Profit Factor                        4.269226
Expectancy [%]                      31.346343
SQN                                  0.366097
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
