;sma1;sma2;output
0;1;2;"Start                     2017-11-12 20:59...
End                       2021-10-31 20:59...
Duration                   1449 days 00:00:00
Exposure Time [%]                     78.8462
Equity Final [$]                  3.45611e+09
Equity Peak [$]                   4.41961e+09
Return [%]                            3356.11
Buy & Hold Return [%]                 32477.2
Return (Ann.) [%]                       50010
Volatility (Ann.) [%]             6.63524e+06
Sharpe Ratio                       0.00753703
Sortino Ratio                         477.048
Calmar Ratio                          752.812
Max. Drawdown [%]                     -66.431
Avg. Drawdown [%]                    -23.7542
Max. Drawdown Duration      497 days 00:00:00
Avg. Drawdown Duration      119 days 00:00:00
# Trades                                   51
Win Rate [%]                          39.2157
Best Trade [%]                        373.995
Worst Trade [%]                      -25.4223
Avg. Trade [%]                        7.19348
Max. Trade Duration          77 days 00:00:00
Avg. Trade Duration          16 days 00:00:00
Profit Factor                         4.41318
Expectancy [%]                        14.1322
SQN                                   1.95407
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
1;1;3;"Start                     2017-11-12 20:59...
End                       2021-10-31 20:59...
Duration                   1449 days 00:00:00
Exposure Time [%]                     67.7885
Equity Final [$]                  4.92144e+09
Equity Peak [$]                   5.39821e+09
Return [%]                            4821.44
Buy & Hold Return [%]                 32477.2
Return (Ann.) [%]                     93074.3
Volatility (Ann.) [%]             3.47033e+06
Sharpe Ratio                          0.02682
Sortino Ratio                         1045.98
Calmar Ratio                          1442.05
Max. Drawdown [%]                    -64.5429
Avg. Drawdown [%]                    -18.8989
Max. Drawdown Duration      413 days 00:00:00
Avg. Drawdown Duration       96 days 00:00:00
# Trades                                   30
Win Rate [%]                          46.6667
Best Trade [%]                        373.995
Worst Trade [%]                      -20.6071
Avg. Trade [%]                        13.8684
Max. Trade Duration         105 days 00:00:00
Avg. Trade Duration          26 days 00:00:00
Profit Factor                         6.94963
Expectancy [%]                        27.1268
SQN                                   1.59187
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
2;1;4;"Start                     2017-11-12 20:59...
End                       2021-10-31 20:59...
Duration                   1449 days 00:00:00
Exposure Time [%]                     69.2308
Equity Final [$]                   2.9944e+09
Equity Peak [$]                   3.28448e+09
Return [%]                             2894.4
Buy & Hold Return [%]                 32477.2
Return (Ann.) [%]                     38861.8
Volatility (Ann.) [%]             1.61859e+06
Sharpe Ratio                        0.0240097
Sortino Ratio                         395.281
Calmar Ratio                          654.143
Max. Drawdown [%]                    -59.4087
Avg. Drawdown [%]                     -23.568
Max. Drawdown Duration      399 days 00:00:00
Avg. Drawdown Duration      118 days 00:00:00
# Trades                                   28
Win Rate [%]                          39.2857
Best Trade [%]                        1173.79
Worst Trade [%]                      -22.4625
Avg. Trade [%]                        12.9082
Max. Trade Duration         112 days 00:00:00
Avg. Trade Duration          29 days 00:00:00
Profit Factor                         10.9075
Expectancy [%]                        49.5927
SQN                                   1.12738
_strategy                            SmaCross
_equity_curve                             ...
_trades                          Size  Ent...
dtype: object"
3;1;5;"Start                     2017-11-12 20:59...
End                       2021-10-31 20:59...
Duration                   1449 days 00:00:00
Exposure Time [%]                     65.8654
Equity Final [$]                  4.43755e+09
Equity Peak [$]                   4.86744e+09
Return [%]                            4337.55
Buy & Hold Return [%]                 32477.2
Return (Ann.) [%]                     77599.7
Volatility (Ann.) [%]             3.10896e+06
Sharpe Ratio                          0.02496
Sortino Ratio                         802.557
Calmar Ratio                          1500.62
Max. Drawdown [%]                    -51.7116
Avg. Drawdown [%]                    -24.3653
Max. Drawdown Duration      448 days 00:00:00
Avg. Drawdown Duration      139 days 00:00:00
# Trades                                   23
Win Rate [%]                          39.1304
Best Trade [%]                        1545.89
Worst Trade [%]                      -20.6071
Avg. Trade [%]                        17.9275
Max. Trade Duration         147 days 00:00:00
Avg. Trade Duration          35 days 00:00:00
Profit Factor                         14.6761
Expectancy [%]                        77.4364
SQN                                   1.19279
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
4;1;6;"Start                     2017-11-12 20:59...
End                       2021-10-31 20:59...
Duration                   1449 days 00:00:00
Exposure Time [%]                     62.9808
Equity Final [$]                  2.70406e+09
Equity Peak [$]                   5.42721e+09
Return [%]                            2604.06
Buy & Hold Return [%]                 32477.2
Return (Ann.) [%]                     32477.2
Volatility (Ann.) [%]             1.65825e+06
Sharpe Ratio                        0.0195853
Sortino Ratio                         277.071
Calmar Ratio                          535.919
Max. Drawdown [%]                    -60.6008
Avg. Drawdown [%]                    -24.9426
Max. Drawdown Duration      371 days 00:00:00
Avg. Drawdown Duration      126 days 00:00:00
# Trades                                   20
Win Rate [%]                               45
Best Trade [%]                        768.224
Worst Trade [%]                      -20.6071
Avg. Trade [%]                        17.9236
Max. Trade Duration         182 days 00:00:00
Avg. Trade Duration          39 days 00:00:00
Profit Factor                          10.732
Expectancy [%]                        50.7568
SQN                                   1.34628
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
5;1;7;"Start                     2017-11-12 20:59...
End                       2021-10-31 20:59...
Duration                   1449 days 00:00:00
Exposure Time [%]                     60.5769
Equity Final [$]                  4.92861e+09
Equity Peak [$]                   9.89201e+09
Return [%]                            4828.61
Buy & Hold Return [%]                 32477.2
Return (Ann.) [%]                     93312.6
Volatility (Ann.) [%]             4.52228e+06
Sharpe Ratio                         0.020634
Sortino Ratio                         819.409
Calmar Ratio                          1539.79
Max. Drawdown [%]                    -60.6008
Avg. Drawdown [%]                    -18.5488
Max. Drawdown Duration      413 days 00:00:00
Avg. Drawdown Duration       93 days 00:00:00
# Trades                                   14
Win Rate [%]                          57.1429
Best Trade [%]                        768.224
Worst Trade [%]                       -22.176
Avg. Trade [%]                        32.1018
Max. Trade Duration         182 days 00:00:00
Avg. Trade Duration          56 days 00:00:00
Profit Factor                         19.9605
Expectancy [%]                        77.9923
SQN                                   1.38648
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
6;1;8;"Start                     2017-11-12 20:59...
End                       2021-10-31 20:59...
Duration                   1449 days 00:00:00
Exposure Time [%]                     59.1346
Equity Final [$]                  5.22491e+09
Equity Peak [$]                   1.06895e+10
Return [%]                            5124.91
Buy & Hold Return [%]                 32477.2
Return (Ann.) [%]                      103390
Volatility (Ann.) [%]             5.40619e+06
Sharpe Ratio                        0.0191244
Sortino Ratio                         911.338
Calmar Ratio                          1706.08
Max. Drawdown [%]                    -60.6008
Avg. Drawdown [%]                    -21.6349
Max. Drawdown Duration      448 days 00:00:00
Avg. Drawdown Duration      109 days 00:00:00
# Trades                                   12
Win Rate [%]                               50
Best Trade [%]                        659.957
Worst Trade [%]                       -22.176
Avg. Trade [%]                        39.0507
Max. Trade Duration         189 days 00:00:00
Avg. Trade Duration          65 days 00:00:00
Profit Factor                         26.4744
Expectancy [%]                         89.688
SQN                                   1.40151
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
7;1;9;"Start                     2017-11-12 20:59...
End                       2021-10-31 20:59...
Duration                   1449 days 00:00:00
Exposure Time [%]                     61.0577
Equity Final [$]                  3.50742e+09
Equity Peak [$]                   9.08012e+09
Return [%]                            3407.42
Buy & Hold Return [%]                 32477.2
Return (Ann.) [%]                     51322.8
Volatility (Ann.) [%]             2.77586e+06
Sharpe Ratio                         0.018489
Sortino Ratio                         443.726
Calmar Ratio                          830.973
Max. Drawdown [%]                    -61.7623
Avg. Drawdown [%]                    -21.7404
Max. Drawdown Duration      448 days 00:00:00
Avg. Drawdown Duration      111 days 00:00:00
# Trades                                   14
Win Rate [%]                          42.8571
Best Trade [%]                        659.957
Worst Trade [%]                       -22.176
Avg. Trade [%]                        28.9307
Max. Trade Duration         175 days 00:00:00
Avg. Trade Duration          57 days 00:00:00
Profit Factor                         17.7986
Expectancy [%]                        73.3811
SQN                                   1.09486
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
8;1;10;"Start                     2017-11-12 20:59...
End                       2021-10-31 20:59...
Duration                   1449 days 00:00:00
Exposure Time [%]                     60.0962
Equity Final [$]                  3.19204e+09
Equity Peak [$]                   8.26366e+09
Return [%]                            3092.04
Buy & Hold Return [%]                 32477.2
Return (Ann.) [%]                     43486.4
Volatility (Ann.) [%]             2.30854e+06
Sharpe Ratio                        0.0188371
Sortino Ratio                         379.164
Calmar Ratio                          704.093
Max. Drawdown [%]                    -61.7623
Avg. Drawdown [%]                    -21.4863
Max. Drawdown Duration      567 days 00:00:00
Avg. Drawdown Duration      120 days 00:00:00
# Trades                                   13
Win Rate [%]                          38.4615
Best Trade [%]                        659.957
Worst Trade [%]                       -25.566
Avg. Trade [%]                        30.5262
Max. Trade Duration         175 days 00:00:00
Avg. Trade Duration          61 days 00:00:00
Profit Factor                         22.4658
Expectancy [%]                        77.9946
SQN                                    1.0886
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
9;1;11;"Start                     2017-11-12 20:59...
End                       2021-10-31 20:59...
Duration                   1449 days 00:00:00
Exposure Time [%]                     60.5769
Equity Final [$]                   2.7534e+09
Equity Peak [$]                   7.12809e+09
Return [%]                             2653.4
Buy & Hold Return [%]                 32477.2
Return (Ann.) [%]                     33527.4
Volatility (Ann.) [%]             1.82438e+06
Sharpe Ratio                        0.0183774
Sortino Ratio                         289.403
Calmar Ratio                          542.845
Max. Drawdown [%]                    -61.7623
Avg. Drawdown [%]                    -24.9567
Max. Drawdown Duration      574 days 00:00:00
Avg. Drawdown Duration      138 days 00:00:00
# Trades                                   14
Win Rate [%]                          35.7143
Best Trade [%]                        659.957
Worst Trade [%]                       -25.566
Avg. Trade [%]                        26.7208
Max. Trade Duration         175 days 00:00:00
Avg. Trade Duration          56 days 00:00:00
Profit Factor                         17.3431
Expectancy [%]                         71.427
SQN                                   1.08158
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
