;sma1;sma2;output
0;1;2;"Start                     2017-08-20 20:59...
End                       2021-10-31 20:59...
Duration                   1533 days 00:00:00
Exposure Time [%]                     80.4545
Equity Final [$]                  6.06527e+08
Equity Peak [$]                   6.09746e+08
Return [%]                            506.527
Buy & Hold Return [%]                 1442.53
Return (Ann.) [%]                     1889.85
Volatility (Ann.) [%]                 8186.97
Sharpe Ratio                         0.230836
Sortino Ratio                         18.0379
Calmar Ratio                          23.8811
Max. Drawdown [%]                    -79.1358
Avg. Drawdown [%]                    -34.5471
Max. Drawdown Duration     1113 days 00:00:00
Avg. Drawdown Duration      356 days 00:00:00
# Trades                                   53
Win Rate [%]                          33.9623
Best Trade [%]                        67.5539
Worst Trade [%]                      -31.1446
Avg. Trade [%]                        3.39099
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          17 days 00:00:00
Profit Factor                         2.12454
Expectancy [%]                        5.37402
SQN                                   1.41173
_strategy                            SmaCross
_equity_curve                             ...
_trades                        Size  Entry...
dtype: object"
1;1;3;"Start                     2017-08-20 20:59...
End                       2021-10-31 20:59...
Duration                   1533 days 00:00:00
Exposure Time [%]                     72.2727
Equity Final [$]                  2.43015e+09
Equity Peak [$]                    2.6036e+09
Return [%]                            2330.15
Buy & Hold Return [%]                 1442.53
Return (Ann.) [%]                     19801.7
Volatility (Ann.) [%]                 66042.9
Sharpe Ratio                         0.299831
Sortino Ratio                         229.464
Calmar Ratio                          341.034
Max. Drawdown [%]                    -58.0638
Avg. Drawdown [%]                    -15.0051
Max. Drawdown Duration      553 days 00:00:00
Avg. Drawdown Duration      112 days 00:00:00
# Trades                                   33
Win Rate [%]                          39.3939
Best Trade [%]                        183.749
Worst Trade [%]                      -17.9422
Avg. Trade [%]                        10.1511
Max. Trade Duration         119 days 00:00:00
Avg. Trade Duration          27 days 00:00:00
Profit Factor                         5.63791
Expectancy [%]                        14.5982
SQN                                   1.67218
_strategy                            SmaCross
_equity_curve                             ...
_trades                        Size  Entry...
dtype: object"
2;1;4;"Start                     2017-08-20 20:59...
End                       2021-10-31 20:59...
Duration                   1533 days 00:00:00
Exposure Time [%]                     70.9091
Equity Final [$]                  2.13072e+09
Equity Peak [$]                   2.15439e+09
Return [%]                            2030.72
Buy & Hold Return [%]                 1442.53
Return (Ann.) [%]                     15900.9
Volatility (Ann.) [%]                 54618.2
Sharpe Ratio                         0.291129
Sortino Ratio                         180.075
Calmar Ratio                          260.283
Max. Drawdown [%]                     -61.091
Avg. Drawdown [%]                     -15.731
Max. Drawdown Duration      567 days 00:00:00
Avg. Drawdown Duration      114 days 00:00:00
# Trades                                   29
Win Rate [%]                          48.2759
Best Trade [%]                        183.749
Worst Trade [%]                      -17.9422
Avg. Trade [%]                        11.1249
Max. Trade Duration         119 days 00:00:00
Avg. Trade Duration          31 days 00:00:00
Profit Factor                         5.58682
Expectancy [%]                         15.951
SQN                                   1.81496
_strategy                            SmaCross
_equity_curve                             ...
_trades                        Size  Entry...
dtype: object"
3;1;5;"Start                     2017-08-20 20:59...
End                       2021-10-31 20:59...
Duration                   1533 days 00:00:00
Exposure Time [%]                     67.7273
Equity Final [$]                  1.39009e+09
Equity Peak [$]                   1.40553e+09
Return [%]                            1290.09
Buy & Hold Return [%]                 1442.53
Return (Ann.) [%]                     7777.92
Volatility (Ann.) [%]                 26201.9
Sharpe Ratio                         0.296846
Sortino Ratio                          86.702
Calmar Ratio                          111.028
Max. Drawdown [%]                    -70.0534
Avg. Drawdown [%]                    -17.7479
Max. Drawdown Duration     1043 days 00:00:00
Avg. Drawdown Duration      138 days 00:00:00
# Trades                                   29
Win Rate [%]                          41.3793
Best Trade [%]                        202.434
Worst Trade [%]                      -17.9422
Avg. Trade [%]                        9.50039
Max. Trade Duration         119 days 00:00:00
Avg. Trade Duration          29 days 00:00:00
Profit Factor                          4.2776
Expectancy [%]                        15.1071
SQN                                   1.69197
_strategy                            SmaCross
_equity_curve                             ...
_trades                        Size  Entry...
dtype: object"
4;1;6;"Start                     2017-08-20 20:59...
End                       2021-10-31 20:59...
Duration                   1533 days 00:00:00
Exposure Time [%]                     65.4545
Equity Final [$]                  1.76479e+09
Equity Peak [$]                    1.7844e+09
Return [%]                            1664.79
Buy & Hold Return [%]                 1442.53
Return (Ann.) [%]                     11605.1
Volatility (Ann.) [%]                 39672.1
Sharpe Ratio                         0.292526
Sortino Ratio                         129.055
Calmar Ratio                          184.293
Max. Drawdown [%]                    -62.9712
Avg. Drawdown [%]                    -13.7909
Max. Drawdown Duration      882 days 00:00:00
Avg. Drawdown Duration       98 days 00:00:00
# Trades                                   23
Win Rate [%]                          52.1739
Best Trade [%]                         191.08
Worst Trade [%]                      -17.9422
Avg. Trade [%]                        13.2933
Max. Trade Duration         119 days 00:00:00
Avg. Trade Duration          37 days 00:00:00
Profit Factor                         5.57244
Expectancy [%]                        19.7213
SQN                                   1.91135
_strategy                            SmaCross
_equity_curve                             ...
_trades                        Size  Entry...
dtype: object"
5;1;7;"Start                     2017-08-20 20:59...
End                       2021-10-31 20:59...
Duration                   1533 days 00:00:00
Exposure Time [%]                     56.3636
Equity Final [$]                  1.13484e+09
Equity Peak [$]                   1.14745e+09
Return [%]                            1034.84
Buy & Hold Return [%]                 1442.53
Return (Ann.) [%]                     5526.43
Volatility (Ann.) [%]                 12727.3
Sharpe Ratio                         0.434217
Sortino Ratio                         74.4426
Calmar Ratio                          109.747
Max. Drawdown [%]                    -50.3562
Avg. Drawdown [%]                    -12.1488
Max. Drawdown Duration      441 days 00:00:00
Avg. Drawdown Duration       73 days 00:00:00
# Trades                                   18
Win Rate [%]                          38.8889
Best Trade [%]                        393.886
Worst Trade [%]                      -17.9422
Avg. Trade [%]                        14.4482
Max. Trade Duration         189 days 00:00:00
Avg. Trade Duration          42 days 00:00:00
Profit Factor                         6.61519
Expectancy [%]                        31.1601
SQN                                   1.39158
_strategy                            SmaCross
_equity_curve                             ...
_trades                        Size  Entry...
dtype: object"
6;1;8;"Start                     2017-08-20 20:59...
End                       2021-10-31 20:59...
Duration                   1533 days 00:00:00
Exposure Time [%]                     55.9091
Equity Final [$]                  8.08618e+08
Equity Peak [$]                   8.17602e+08
Return [%]                            708.618
Buy & Hold Return [%]                 1442.53
Return (Ann.) [%]                     3106.48
Volatility (Ann.) [%]                 7432.86
Sharpe Ratio                         0.417939
Sortino Ratio                         40.2807
Calmar Ratio                          61.7178
Max. Drawdown [%]                    -50.3337
Avg. Drawdown [%]                    -14.8263
Max. Drawdown Duration      441 days 00:00:00
Avg. Drawdown Duration       96 days 00:00:00
# Trades                                   16
Win Rate [%]                            43.75
Best Trade [%]                        331.583
Worst Trade [%]                      -17.9422
Avg. Trade [%]                        13.9556
Max. Trade Duration         196 days 00:00:00
Avg. Trade Duration          47 days 00:00:00
Profit Factor                         5.77336
Expectancy [%]                        29.6929
SQN                                    1.3125
_strategy                            SmaCross
_equity_curve                             ...
_trades                        Size  Entry...
dtype: object"
7;1;9;"Start                     2017-08-20 20:59...
End                       2021-10-31 20:59...
Duration                   1533 days 00:00:00
Exposure Time [%]                     55.9091
Equity Final [$]                  7.07144e+08
Equity Peak [$]                      7.15e+08
Return [%]                            607.144
Buy & Hold Return [%]                 1442.53
Return (Ann.) [%]                     2466.91
Volatility (Ann.) [%]                 5946.77
Sharpe Ratio                         0.414832
Sortino Ratio                         31.9135
Calmar Ratio                          47.6731
Max. Drawdown [%]                    -51.7463
Avg. Drawdown [%]                    -15.6053
Max. Drawdown Duration      441 days 00:00:00
Avg. Drawdown Duration      105 days 00:00:00
# Trades                                   18
Win Rate [%]                          38.8889
Best Trade [%]                        331.583
Worst Trade [%]                      -17.9422
Avg. Trade [%]                        11.4798
Max. Trade Duration         196 days 00:00:00
Avg. Trade Duration          41 days 00:00:00
Profit Factor                         5.42169
Expectancy [%]                        25.4038
SQN                                   1.27815
_strategy                            SmaCross
_equity_curve                             ...
_trades                        Size  Entry...
dtype: object"
8;1;10;"Start                     2017-08-20 20:59...
End                       2021-10-31 20:59...
Duration                   1533 days 00:00:00
Exposure Time [%]                     54.5455
Equity Final [$]                  7.38905e+08
Equity Peak [$]                   7.47114e+08
Return [%]                            638.905
Buy & Hold Return [%]                 1442.53
Return (Ann.) [%]                     2661.01
Volatility (Ann.) [%]                 6326.93
Sharpe Ratio                         0.420584
Sortino Ratio                         34.6734
Calmar Ratio                          50.1878
Max. Drawdown [%]                     -53.021
Avg. Drawdown [%]                    -15.3929
Max. Drawdown Duration      441 days 00:00:00
Avg. Drawdown Duration      104 days 00:00:00
# Trades                                   16
Win Rate [%]                            43.75
Best Trade [%]                        331.583
Worst Trade [%]                      -22.0669
Avg. Trade [%]                         13.315
Max. Trade Duration         196 days 00:00:00
Avg. Trade Duration          46 days 00:00:00
Profit Factor                         5.67547
Expectancy [%]                        29.0645
SQN                                    1.2928
_strategy                            SmaCross
_equity_curve                             ...
_trades                        Size  Entry...
dtype: object"
9;1;11;"Start                     2017-08-20 20:59...
End                       2021-10-31 20:59...
Duration                   1533 days 00:00:00
Exposure Time [%]                     54.0909
Equity Final [$]                  8.15753e+08
Equity Peak [$]                   8.89058e+08
Return [%]                            715.753
Buy & Hold Return [%]                 1442.53
Return (Ann.) [%]                     3153.56
Volatility (Ann.) [%]                 7114.63
Sharpe Ratio                          0.44325
Sortino Ratio                         42.9359
Calmar Ratio                          70.7932
Max. Drawdown [%]                     -44.546
Avg. Drawdown [%]                     -15.915
Max. Drawdown Duration      392 days 00:00:00
Avg. Drawdown Duration      107 days 00:00:00
# Trades                                   16
Win Rate [%]                            43.75
Best Trade [%]                        331.583
Worst Trade [%]                      -17.9422
Avg. Trade [%]                        14.0178
Max. Trade Duration         196 days 00:00:00
Avg. Trade Duration          46 days 00:00:00
Profit Factor                         6.71386
Expectancy [%]                        29.3948
SQN                                   1.19225
_strategy                            SmaCross
_equity_curve                             ...
_trades                        Size  Entry...
dtype: object"
