;sma1;sma2;output
0;1;2;"Start                     2019-02-03 20:59...
End                       2021-10-31 20:59...
Duration                   1001 days 00:00:00
Exposure Time [%]                   64.583333
Equity Final [$]            1022228405.007163
Equity Peak [$]             1276126021.169349
Return [%]                         922.228405
Buy & Hold Return [%]              507.830343
Return (Ann.) [%]                36117.928728
Volatility (Ann.) [%]         21623245.487128
Sharpe Ratio                          0.00167
Sortino Ratio                      274.667429
Calmar Ratio                       547.728267
Max. Drawdown [%]                  -65.941327
Avg. Drawdown [%]                  -34.587835
Max. Drawdown Duration      623 days 00:00:00
Avg. Drawdown Duration      188 days 00:00:00
# Trades                                   32
Win Rate [%]                           46.875
Best Trade [%]                     202.593965
Worst Trade [%]                    -30.381584
Avg. Trade [%]                       7.417229
Max. Trade Duration          35 days 00:00:00
Avg. Trade Duration          14 days 00:00:00
Profit Factor                        3.702017
Expectancy [%]                      14.837608
SQN                                  0.944173
_strategy                            SmaCross
_equity_curve                             ...
_trades                               Size...
dtype: object"
1;1;3;"Start                     2019-02-03 20:59...
End                       2021-10-31 20:59...
Duration                   1001 days 00:00:00
Exposure Time [%]                   60.416667
Equity Final [$]             1566092831.25085
Equity Peak [$]             2420662708.857998
Return [%]                        1466.092831
Buy & Hold Return [%]              507.830343
Return (Ann.) [%]               106689.972037
Volatility (Ann.) [%]        1974799417.49643
Sharpe Ratio                         0.000054
Sortino Ratio                      877.992782
Calmar Ratio                      1845.597597
Max. Drawdown [%]                  -57.807819
Avg. Drawdown [%]                  -33.162763
Max. Drawdown Duration      441 days 00:00:00
Avg. Drawdown Duration      157 days 00:00:00
# Trades                                   27
Win Rate [%]                        37.037037
Best Trade [%]                     377.547865
Worst Trade [%]                    -30.381584
Avg. Trade [%]                       10.58347
Max. Trade Duration          42 days 00:00:00
Avg. Trade Duration          16 days 00:00:00
Profit Factor                        5.159768
Expectancy [%]                      23.631502
SQN                                  0.820597
_strategy                            SmaCross
_equity_curve                             ...
_trades                               Size...
dtype: object"
2;1;4;"Start                     2019-02-03 20:59...
End                       2021-10-31 20:59...
Duration                   1001 days 00:00:00
Exposure Time [%]                   60.416667
Equity Final [$]             452006317.645612
Equity Peak [$]              760225716.124976
Return [%]                         352.006318
Buy & Hold Return [%]              507.830343
Return (Ann.) [%]                 4477.299558
Volatility (Ann.) [%]         78101125.839835
Sharpe Ratio                         0.000057
Sortino Ratio                       32.681558
Calmar Ratio                        69.521233
Max. Drawdown [%]                  -64.401901
Avg. Drawdown [%]                  -33.238591
Max. Drawdown Duration      630 days 00:00:00
Avg. Drawdown Duration      191 days 00:00:00
# Trades                                   24
Win Rate [%]                             37.5
Best Trade [%]                      281.13331
Worst Trade [%]                     -25.38747
Avg. Trade [%]                       6.332278
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          19 days 00:00:00
Profit Factor                        3.498846
Expectancy [%]                       15.82134
SQN                                  0.788665
_strategy                            SmaCross
_equity_curve                             ...
_trades                               Size...
dtype: object"
3;1;5;"Start                     2019-02-03 20:59...
End                       2021-10-31 20:59...
Duration                   1001 days 00:00:00
Exposure Time [%]                   55.555556
Equity Final [$]            1481463319.334429
Equity Peak [$]             1864101777.666795
Return [%]                        1381.463319
Buy & Hold Return [%]              507.830343
Return (Ann.) [%]                92663.312172
Volatility (Ann.) [%]       1549017638.149589
Sharpe Ratio                          0.00006
Sortino Ratio                      703.339929
Calmar Ratio                      1609.641828
Max. Drawdown [%]                  -57.567659
Avg. Drawdown [%]                  -24.511861
Max. Drawdown Duration      623 days 00:00:00
Avg. Drawdown Duration      135 days 00:00:00
# Trades                                   15
Win Rate [%]                             40.0
Best Trade [%]                    1392.409779
Worst Trade [%]                    -30.381584
Avg. Trade [%]                      19.686746
Max. Trade Duration         105 days 00:00:00
Avg. Trade Duration          31 days 00:00:00
Profit Factor                       17.217979
Expectancy [%]                      94.412231
SQN                                  1.252315
_strategy                            SmaCross
_equity_curve                             ...
_trades                               Size...
dtype: object"
4;1;6;"Start                     2019-02-03 20:59...
End                       2021-10-31 20:59...
Duration                   1001 days 00:00:00
Exposure Time [%]                   53.472222
Equity Final [$]            1978951889.049505
Equity Peak [$]             2349677766.651127
Return [%]                        1878.951889
Buy & Hold Return [%]              507.830343
Return (Ann.) [%]               193142.747015
Volatility (Ann.) [%]       3187513396.790164
Sharpe Ratio                         0.000061
Sortino Ratio                     1469.138265
Calmar Ratio                      3527.981093
Max. Drawdown [%]                   -54.74597
Avg. Drawdown [%]                  -26.483887
Max. Drawdown Duration      441 days 00:00:00
Avg. Drawdown Duration      119 days 00:00:00
# Trades                                   13
Win Rate [%]                        46.153846
Best Trade [%]                    1392.409779
Worst Trade [%]                    -30.381584
Avg. Trade [%]                      25.813078
Max. Trade Duration         105 days 00:00:00
Avg. Trade Duration          35 days 00:00:00
Profit Factor                       18.431782
Expectancy [%]                     111.551087
SQN                                  1.375091
_strategy                            SmaCross
_equity_curve                             ...
_trades                               Size...
dtype: object"
5;1;7;"Start                     2019-02-03 20:59...
End                       2021-10-31 20:59...
Duration                   1001 days 00:00:00
Exposure Time [%]                   51.388889
Equity Final [$]            1906472535.791316
Equity Peak [$]             2436032487.499515
Return [%]                        1806.472536
Buy & Hold Return [%]              507.830343
Return (Ann.) [%]                175704.03273
Volatility (Ann.) [%]       3114590883.243563
Sharpe Ratio                         0.000056
Sortino Ratio                      1295.10872
Calmar Ratio                      3189.246956
Max. Drawdown [%]                  -55.092639
Avg. Drawdown [%]                  -36.068042
Max. Drawdown Duration      441 days 00:00:00
Avg. Drawdown Duration      175 days 00:00:00
# Trades                                   10
Win Rate [%]                             50.0
Best Trade [%]                    1245.844005
Worst Trade [%]                    -30.381584
Avg. Trade [%]                      33.815027
Max. Trade Duration         126 days 00:00:00
Avg. Trade Duration          45 days 00:00:00
Profit Factor                       18.935919
Expectancy [%]                     131.165891
SQN                                  1.333837
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
6;2;3;"Start                     2019-02-03 20:59...
End                       2021-10-31 20:59...
Duration                   1001 days 00:00:00
Exposure Time [%]                   63.194444
Equity Final [$]             794144026.233575
Equity Peak [$]             1824113185.979589
Return [%]                         694.144026
Buy & Hold Return [%]              507.830343
Return (Ann.) [%]                18998.298897
Volatility (Ann.) [%]        313489311.974348
Sharpe Ratio                         0.000061
Sortino Ratio                      143.928732
Calmar Ratio                       310.674263
Max. Drawdown [%]                  -61.151827
Avg. Drawdown [%]                  -33.505917
Max. Drawdown Duration      623 days 00:00:00
Avg. Drawdown Duration      189 days 00:00:00
# Trades                                   25
Win Rate [%]                             44.0
Best Trade [%]                     377.547865
Worst Trade [%]                    -30.381584
Avg. Trade [%]                       8.489749
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          19 days 00:00:00
Profit Factor                        4.310013
Expectancy [%]                      22.680227
SQN                                  0.506462
_strategy                            SmaCross
_equity_curve                             ...
_trades                               Size...
dtype: object"
7;2;4;"Start                     2019-02-03 20:59...
End                       2021-10-31 20:59...
Duration                   1001 days 00:00:00
Exposure Time [%]                   59.722222
Equity Final [$]            1140489445.960449
Equity Peak [$]             1469161363.742828
Return [%]                        1040.489446
Buy & Hold Return [%]              507.830343
Return (Ann.) [%]                47700.532504
Volatility (Ann.) [%]        694699495.615631
Sharpe Ratio                         0.000069
Sortino Ratio                      365.481758
Calmar Ratio                        892.47626
Max. Drawdown [%]                  -53.447396
Avg. Drawdown [%]                  -29.443683
Max. Drawdown Duration      623 days 00:00:00
Avg. Drawdown Duration      188 days 00:00:00
# Trades                                   21
Win Rate [%]                        52.380952
Best Trade [%]                      281.13331
Worst Trade [%]                    -26.188823
Avg. Trade [%]                       12.28912
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          22 days 00:00:00
Profit Factor                        5.297184
Expectancy [%]                      23.209036
SQN                                  1.153684
_strategy                            SmaCross
_equity_curve                             ...
_trades                               Size...
dtype: object"
8;2;5;"Start                     2019-02-03 20:59...
End                       2021-10-31 20:59...
Duration                   1001 days 00:00:00
Exposure Time [%]                   54.861111
Equity Final [$]            2491624673.833013
Equity Peak [$]             3212396150.147727
Return [%]                        2391.624674
Buy & Hold Return [%]              507.830343
Return (Ann.) [%]               346393.855288
Volatility (Ann.) [%]       5160043052.074869
Sharpe Ratio                         0.000067
Sortino Ratio                     2749.445948
Calmar Ratio                      7213.130372
Max. Drawdown [%]                  -48.022681
Avg. Drawdown [%]                  -24.862583
Max. Drawdown Duration      441 days 00:00:00
Avg. Drawdown Duration      118 days 00:00:00
# Trades                                   13
Win Rate [%]                        46.153846
Best Trade [%]                    1392.409779
Worst Trade [%]                    -30.381584
Avg. Trade [%]                      28.062431
Max. Trade Duration         105 days 00:00:00
Avg. Trade Duration          36 days 00:00:00
Profit Factor                       22.944072
Expectancy [%]                     113.150377
SQN                                  1.332512
_strategy                            SmaCross
_equity_curve                             ...
_trades                               Size...
dtype: object"
9;2;6;"Start                     2019-02-03 20:59...
End                       2021-10-31 20:59...
Duration                   1001 days 00:00:00
Exposure Time [%]                   53.472222
Equity Final [$]            2169157244.158346
Equity Peak [$]             2796646081.321409
Return [%]                        2069.157244
Buy & Hold Return [%]              507.830343
Return (Ann.) [%]               243752.146705
Volatility (Ann.) [%]       4051630716.685067
Sharpe Ratio                          0.00006
Sortino Ratio                      1844.36424
Calmar Ratio                      4362.782178
Max. Drawdown [%]                  -55.870804
Avg. Drawdown [%]                  -29.972737
Max. Drawdown Duration      441 days 00:00:00
Avg. Drawdown Duration      125 days 00:00:00
# Trades                                   11
Win Rate [%]                        54.545455
Best Trade [%]                    1526.006985
Worst Trade [%]                    -30.381584
Avg. Trade [%]                      32.275985
Max. Trade Duration         112 days 00:00:00
Avg. Trade Duration          42 days 00:00:00
Profit Factor                       28.128747
Expectancy [%]                     143.134992
SQN                                  1.322943
_strategy                            SmaCross
_equity_curve                             ...
_trades                               Size...
dtype: object"
