;sma1;sma2;output
0;1;3;"Start                     2019-08-04 20:59...
End                       2021-10-31 20:59...
Duration                    819 days 00:00:00
Exposure Time [%]                   65.254237
Equity Final [$]              150318475.56251
Equity Peak [$]                240748992.8849
Return [%]                          50.318476
Buy & Hold Return [%]                 4.10628
Return (Ann.) [%]                  252.807851
Volatility (Ann.) [%]             7788.206454
Sharpe Ratio                          0.03246
Sortino Ratio                         1.95716
Calmar Ratio                         4.349321
Max. Drawdown [%]                  -58.125826
Avg. Drawdown [%]                  -45.729746
Max. Drawdown Duration      490 days 00:00:00
Avg. Drawdown Duration      243 days 00:00:00
# Trades                                   18
Win Rate [%]                        33.333333
Best Trade [%]                     124.147891
Worst Trade [%]                     -33.72961
Avg. Trade [%]                       2.290198
Max. Trade Duration          56 days 00:00:00
Avg. Trade Duration          23 days 00:00:00
Profit Factor                        1.829435
Expectancy [%]                       7.251686
SQN                                  0.303019
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
1;1;4;"Start                     2019-08-04 20:59...
End                       2021-10-31 20:59...
Duration                    819 days 00:00:00
Exposure Time [%]                   62.711864
Equity Final [$]              136201988.08986
Equity Peak [$]               187436518.99258
Return [%]                          36.201988
Buy & Hold Return [%]                 4.10628
Return (Ann.) [%]                  160.051263
Volatility (Ann.) [%]             5686.373913
Sharpe Ratio                         0.028146
Sortino Ratio                         1.24886
Calmar Ratio                         2.622843
Max. Drawdown [%]                   -61.02206
Avg. Drawdown [%]                   -45.10493
Max. Drawdown Duration      504 days 00:00:00
Avg. Drawdown Duration      241 days 00:00:00
# Trades                                   17
Win Rate [%]                        29.411765
Best Trade [%]                     124.147891
Worst Trade [%]                    -20.293951
Avg. Trade [%]                        1.83408
Max. Trade Duration          56 days 00:00:00
Avg. Trade Duration          24 days 00:00:00
Profit Factor                        1.762335
Expectancy [%]                       6.522526
SQN                                  0.315684
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
2;1;5;"Start                     2019-08-04 20:59...
End                       2021-10-31 20:59...
Duration                    819 days 00:00:00
Exposure Time [%]                   51.694915
Equity Final [$]              228635925.12527
Equity Peak [$]               314640942.64379
Return [%]                         128.635925
Buy & Hold Return [%]                 4.10628
Return (Ann.) [%]                 1190.960586
Volatility (Ann.) [%]            23486.372072
Sharpe Ratio                         0.050709
Sortino Ratio                       10.079205
Calmar Ratio                        21.097183
Max. Drawdown [%]                  -56.451166
Avg. Drawdown [%]                  -25.188723
Max. Drawdown Duration      364 days 00:00:00
Avg. Drawdown Duration      121 days 00:00:00
# Trades                                   12
Win Rate [%]                        41.666667
Best Trade [%]                     109.416522
Worst Trade [%]                    -19.294377
Avg. Trade [%]                       7.134342
Max. Trade Duration          56 days 00:00:00
Avg. Trade Duration          29 days 00:00:00
Profit Factor                        2.759031
Expectancy [%]                      12.510222
SQN                                  0.962744
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
3;1;6;"Start                     2019-08-04 20:59...
End                       2021-10-31 20:59...
Duration                    819 days 00:00:00
Exposure Time [%]                   49.152542
Equity Final [$]              374093741.46755
Equity Peak [$]               524750049.38634
Return [%]                         274.093741
Buy & Hold Return [%]                 4.10628
Return (Ann.) [%]                  5820.45056
Volatility (Ann.) [%]           122343.871995
Sharpe Ratio                         0.047575
Sortino Ratio                       49.994475
Calmar Ratio                        105.64187
Max. Drawdown [%]                  -55.096058
Avg. Drawdown [%]                  -23.145015
Max. Drawdown Duration      357 days 00:00:00
Avg. Drawdown Duration      101 days 00:00:00
# Trades                                   10
Win Rate [%]                             40.0
Best Trade [%]                     371.391417
Worst Trade [%]                    -19.294377
Avg. Trade [%]                      13.683377
Max. Trade Duration         105 days 00:00:00
Avg. Trade Duration          34 days 00:00:00
Profit Factor                        6.017904
Expectancy [%]                      35.948179
SQN                                  1.035017
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
4;1;9;"Start                     2019-08-04 20:59...
End                       2021-10-31 20:59...
Duration                    819 days 00:00:00
Exposure Time [%]                   48.305085
Equity Final [$]              139860304.58489
Equity Peak [$]               262800331.35565
Return [%]                          39.860305
Buy & Hold Return [%]                 4.10628
Return (Ann.) [%]                  182.270243
Volatility (Ann.) [%]            10494.243884
Sharpe Ratio                         0.017369
Sortino Ratio                        1.208224
Calmar Ratio                          2.66243
Max. Drawdown [%]                  -68.460102
Avg. Drawdown [%]                  -41.061793
Max. Drawdown Duration      385 days 00:00:00
Avg. Drawdown Duration      206 days 00:00:00
# Trades                                   10
Win Rate [%]                             30.0
Best Trade [%]                       284.7793
Worst Trade [%]                    -39.106754
Avg. Trade [%]                       3.411645
Max. Trade Duration         133 days 00:00:00
Avg. Trade Duration          33 days 00:00:00
Profit Factor                        2.810152
Expectancy [%]                      20.176908
SQN                                  0.301334
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
5;2;1;"Start                     2019-08-04 20:59...
End                       2021-10-31 20:59...
Duration                    819 days 00:00:00
Exposure Time [%]                   75.423729
Equity Final [$]              137507090.00539
Equity Peak [$]               271187054.59363
Return [%]                           37.50709
Buy & Hold Return [%]                 4.10628
Return (Ann.) [%]                  167.836639
Volatility (Ann.) [%]             4680.518257
Sharpe Ratio                         0.035859
Sortino Ratio                         1.07114
Calmar Ratio                          2.23906
Max. Drawdown [%]                  -74.958532
Avg. Drawdown [%]                  -33.529536
Max. Drawdown Duration      266 days 00:00:00
Avg. Drawdown Duration      124 days 00:00:00
# Trades                                   34
Win Rate [%]                        67.647059
Best Trade [%]                      35.340109
Worst Trade [%]                    -56.985871
Avg. Trade [%]                       0.941182
Max. Trade Duration          28 days 00:00:00
Avg. Trade Duration          12 days 00:00:00
Profit Factor                        1.517564
Expectancy [%]                       2.905757
SQN                                  0.210501
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
6;2;3;"Start                     2019-08-04 20:59...
End                       2021-10-31 20:59...
Duration                    819 days 00:00:00
Exposure Time [%]                   65.254237
Equity Final [$]              142244667.30668
Equity Peak [$]               253203306.05772
Return [%]                          42.244667
Buy & Hold Return [%]                 4.10628
Return (Ann.) [%]                  197.422657
Volatility (Ann.) [%]             2790.751368
Sharpe Ratio                         0.070742
Sortino Ratio                        1.609285
Calmar Ratio                         3.769253
Max. Drawdown [%]                  -52.377133
Avg. Drawdown [%]                  -35.160499
Max. Drawdown Duration      343 days 00:00:00
Avg. Drawdown Duration      189 days 00:00:00
# Trades                                   22
Win Rate [%]                        40.909091
Best Trade [%]                     102.694136
Worst Trade [%]                    -24.740973
Avg. Trade [%]                       1.614616
Max. Trade Duration          91 days 00:00:00
Avg. Trade Duration          18 days 00:00:00
Profit Factor                        1.695192
Expectancy [%]                       4.153413
SQN                                  0.305336
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
7;2;4;"Start                     2019-08-04 20:59...
End                       2021-10-31 20:59...
Duration                    819 days 00:00:00
Exposure Time [%]                   58.474576
Equity Final [$]              202187990.88217
Equity Peak [$]               278244199.84213
Return [%]                         102.187991
Buy & Hold Return [%]                 4.10628
Return (Ann.) [%]                  782.609684
Volatility (Ann.) [%]            11043.638725
Sharpe Ratio                         0.070865
Sortino Ratio                        6.088887
Calmar Ratio                        13.903687
Max. Drawdown [%]                  -56.287923
Avg. Drawdown [%]                  -28.077487
Max. Drawdown Duration      357 days 00:00:00
Avg. Drawdown Duration      103 days 00:00:00
# Trades                                   15
Win Rate [%]                        46.666667
Best Trade [%]                     174.326466
Worst Trade [%]                    -24.740973
Avg. Trade [%]                       4.805407
Max. Trade Duration          98 days 00:00:00
Avg. Trade Duration          26 days 00:00:00
Profit Factor                         2.59164
Expectancy [%]                       11.24827
SQN                                  0.684013
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
8;2;5;"Start                     2019-08-04 20:59...
End                       2021-10-31 20:59...
Duration                    819 days 00:00:00
Exposure Time [%]                   54.237288
Equity Final [$]              151297449.77747
Equity Peak [$]               239336027.87449
Return [%]                           51.29745
Buy & Hold Return [%]                 4.10628
Return (Ann.) [%]                  259.963766
Volatility (Ann.) [%]             4449.775887
Sharpe Ratio                         0.058422
Sortino Ratio                         1.97769
Calmar Ratio                          4.45095
Max. Drawdown [%]                   -58.40636
Avg. Drawdown [%]                  -35.694966
Max. Drawdown Duration      357 days 00:00:00
Avg. Drawdown Duration      154 days 00:00:00
# Trades                                   12
Win Rate [%]                        41.666667
Best Trade [%]                     174.326466
Worst Trade [%]                    -31.530424
Avg. Trade [%]                       3.510872
Max. Trade Duration          98 days 00:00:00
Avg. Trade Duration          31 days 00:00:00
Profit Factor                         2.20713
Expectancy [%]                      12.197021
SQN                                  0.328148
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
9;3;5;"Start                     2019-08-04 20:59...
End                       2021-10-31 20:59...
Duration                    819 days 00:00:00
Exposure Time [%]                   54.237288
Equity Final [$]              236760465.05265
Equity Peak [$]               319657559.51493
Return [%]                         136.760465
Buy & Hold Return [%]                 4.10628
Return (Ann.) [%]                  1338.20496
Volatility (Ann.) [%]            51353.595677
Sharpe Ratio                         0.026059
Sortino Ratio                        9.303275
Calmar Ratio                        18.685585
Max. Drawdown [%]                  -71.616968
Avg. Drawdown [%]                  -33.004549
Max. Drawdown Duration      504 days 00:00:00
Avg. Drawdown Duration      179 days 00:00:00
# Trades                                   12
Win Rate [%]                        33.333333
Best Trade [%]                     474.484945
Worst Trade [%]                    -41.465969
Avg. Trade [%]                       7.446539
Max. Trade Duration         140 days 00:00:00
Avg. Trade Duration          31 days 00:00:00
Profit Factor                         3.99075
Expectancy [%]                      36.414986
SQN                                   0.67316
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
10;4;3;"Start                     2019-08-04 20:59...
End                       2021-10-31 20:59...
Duration                    819 days 00:00:00
Exposure Time [%]                   62.711864
Equity Final [$]              215286179.60208
Equity Peak [$]               215286179.60208
Return [%]                          115.28618
Buy & Hold Return [%]                 4.10628
Return (Ann.) [%]                  971.747135
Volatility (Ann.) [%]            16894.609265
Sharpe Ratio                         0.057518
Sortino Ratio                        8.131747
Calmar Ratio                        17.072806
Max. Drawdown [%]                  -56.917834
Avg. Drawdown [%]                  -18.133684
Max. Drawdown Duration      336 days 00:00:00
Avg. Drawdown Duration       81 days 00:00:00
# Trades                                   18
Win Rate [%]                        55.555556
Best Trade [%]                      75.621028
Worst Trade [%]                    -33.875862
Avg. Trade [%]                       4.352029
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          22 days 00:00:00
Profit Factor                        2.168821
Expectancy [%]                       7.301009
SQN                                  0.896712
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
