;sma1;sma2;output
0;1;2;"Start                     2019-09-01 20:59...
End                       2021-10-31 20:59...
Duration                    791 days 00:00:00
Exposure Time [%]                   76.315789
Equity Final [$]              461752670.14941
Equity Peak [$]               635859859.27299
Return [%]                          361.75267
Buy & Hold Return [%]             1072.749392
Return (Ann.) [%]                13305.276002
Volatility (Ann.) [%]           844142.383108
Sharpe Ratio                         0.015762
Sortino Ratio                      107.034328
Calmar Ratio                       295.838535
Max. Drawdown [%]                   -44.97479
Avg. Drawdown [%]                  -27.574013
Max. Drawdown Duration      203 days 00:00:00
Avg. Drawdown Duration      101 days 00:00:00
# Trades                                   28
Win Rate [%]                        42.857143
Best Trade [%]                      73.292209
Worst Trade [%]                    -31.500573
Avg. Trade [%]                       5.615804
Max. Trade Duration          35 days 00:00:00
Avg. Trade Duration          15 days 00:00:00
Profit Factor                        2.608398
Expectancy [%]                       8.198324
SQN                                  1.026689
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
1;1;3;"Start                     2019-09-01 20:59...
End                       2021-10-31 20:59...
Duration                    791 days 00:00:00
Exposure Time [%]                   69.298246
Equity Final [$]              129625524.39594
Equity Peak [$]               283925392.66706
Return [%]                          29.625524
Buy & Hold Return [%]             1072.749392
Return (Ann.) [%]                  129.513051
Volatility (Ann.) [%]             8152.707948
Sharpe Ratio                         0.015886
Sortino Ratio                        0.990161
Calmar Ratio                         2.329957
Max. Drawdown [%]                  -55.586025
Avg. Drawdown [%]                  -31.663131
Max. Drawdown Duration      203 days 00:00:00
Avg. Drawdown Duration      119 days 00:00:00
# Trades                                   21
Win Rate [%]                        38.095238
Best Trade [%]                       46.05829
Worst Trade [%]                    -21.714789
Avg. Trade [%]                       1.112579
Max. Trade Duration          42 days 00:00:00
Avg. Trade Duration          20 days 00:00:00
Profit Factor                        1.447486
Expectancy [%]                       3.206035
SQN                                  0.186424
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
2;1;4;"Start                     2019-09-01 20:59...
End                       2021-10-31 20:59...
Duration                    791 days 00:00:00
Exposure Time [%]                    67.54386
Equity Final [$]              392357348.58511
Equity Peak [$]               608123738.04421
Return [%]                         292.357349
Buy & Hold Return [%]             1072.749392
Return (Ann.) [%]                 7858.354459
Volatility (Ann.) [%]            878881.69804
Sharpe Ratio                         0.008941
Sortino Ratio                       62.462506
Calmar Ratio                       172.313506
Max. Drawdown [%]                  -45.604983
Avg. Drawdown [%]                  -28.729291
Max. Drawdown Duration      175 days 00:00:00
Avg. Drawdown Duration       98 days 00:00:00
# Trades                                   16
Win Rate [%]                             50.0
Best Trade [%]                     138.799373
Worst Trade [%]                    -21.714789
Avg. Trade [%]                        8.73485
Max. Trade Duration          56 days 00:00:00
Avg. Trade Duration          27 days 00:00:00
Profit Factor                        3.255597
Expectancy [%]                      13.866063
SQN                                  0.976152
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
3;1;5;"Start                     2019-09-01 20:59...
End                       2021-10-31 20:59...
Duration                    791 days 00:00:00
Exposure Time [%]                   65.789474
Equity Final [$]              402021178.91837
Equity Peak [$]               622591344.70443
Return [%]                         302.021179
Buy & Hold Return [%]             1072.749392
Return (Ann.) [%]                 8503.133671
Volatility (Ann.) [%]          1387904.729146
Sharpe Ratio                         0.006127
Sortino Ratio                       61.924143
Calmar Ratio                       147.445694
Max. Drawdown [%]                  -57.669597
Avg. Drawdown [%]                  -32.008615
Max. Drawdown Duration      203 days 00:00:00
Avg. Drawdown Duration      115 days 00:00:00
# Trades                                   14
Win Rate [%]                        42.857143
Best Trade [%]                     204.555825
Worst Trade [%]                    -24.061139
Avg. Trade [%]                      10.448708
Max. Trade Duration         105 days 00:00:00
Avg. Trade Duration          31 days 00:00:00
Profit Factor                        4.162781
Expectancy [%]                      18.588888
SQN                                  0.879234
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
4;1;6;"Start                     2019-09-01 20:59...
End                       2021-10-31 20:59...
Duration                    791 days 00:00:00
Exposure Time [%]                   63.157895
Equity Final [$]              451071485.84329
Equity Peak [$]               656085792.80889
Return [%]                         351.071486
Buy & Hold Return [%]             1072.749392
Return (Ann.) [%]                12337.497224
Volatility (Ann.) [%]          1878415.549296
Sharpe Ratio                         0.006568
Sortino Ratio                       91.722281
Calmar Ratio                       251.812728
Max. Drawdown [%]                  -48.994732
Avg. Drawdown [%]                  -30.976587
Max. Drawdown Duration      168 days 00:00:00
Avg. Drawdown Duration       98 days 00:00:00
# Trades                                   13
Win Rate [%]                        46.153846
Best Trade [%]                     204.555825
Worst Trade [%]                    -21.714789
Avg. Trade [%]                      12.052175
Max. Trade Duration         105 days 00:00:00
Avg. Trade Duration          32 days 00:00:00
Profit Factor                        4.973156
Expectancy [%]                      20.510662
SQN                                  1.098641
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
5;1;7;"Start                     2019-09-01 20:59...
End                       2021-10-31 20:59...
Duration                    791 days 00:00:00
Exposure Time [%]                   62.280702
Equity Final [$]              471031597.71908
Equity Peak [$]               750139115.44458
Return [%]                         371.031598
Buy & Hold Return [%]             1072.749392
Return (Ann.) [%]                14186.995966
Volatility (Ann.) [%]          2139359.136329
Sharpe Ratio                         0.006631
Sortino Ratio                      105.715348
Calmar Ratio                       289.561659
Max. Drawdown [%]                  -48.994732
Avg. Drawdown [%]                  -30.844432
Max. Drawdown Duration      168 days 00:00:00
Avg. Drawdown Duration       98 days 00:00:00
# Trades                                   11
Win Rate [%]                        45.454545
Best Trade [%]                     204.555825
Worst Trade [%]                    -21.714789
Avg. Trade [%]                      15.129433
Max. Trade Duration         105 days 00:00:00
Avg. Trade Duration          39 days 00:00:00
Profit Factor                        5.272328
Expectancy [%]                      24.994509
SQN                                  1.038813
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
6;1;8;"Start                     2019-09-01 20:59...
End                       2021-10-31 20:59...
Duration                    791 days 00:00:00
Exposure Time [%]                   62.280702
Equity Final [$]               543825885.9455
Equity Peak [$]                724753688.6407
Return [%]                         443.825886
Buy & Hold Return [%]             1072.749392
Return (Ann.) [%]                22534.029822
Volatility (Ann.) [%]          3489042.594727
Sharpe Ratio                         0.006459
Sortino Ratio                       167.91711
Calmar Ratio                       459.927604
Max. Drawdown [%]                  -48.994732
Avg. Drawdown [%]                  -30.189666
Max. Drawdown Duration      168 days 00:00:00
Avg. Drawdown Duration       98 days 00:00:00
# Trades                                   10
Win Rate [%]                             50.0
Best Trade [%]                     204.555825
Worst Trade [%]                    -21.714789
Avg. Trade [%]                      18.452979
Max. Trade Duration         105 days 00:00:00
Avg. Trade Duration          43 days 00:00:00
Profit Factor                         6.35161
Expectancy [%]                      29.326064
SQN                                  1.240807
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
7;2;1;"Start                     2019-09-01 20:59...
End                       2021-10-31 20:59...
Duration                    791 days 00:00:00
Exposure Time [%]                    67.54386
Equity Final [$]              282511632.14012
Equity Peak [$]               301475705.75972
Return [%]                         182.511632
Buy & Hold Return [%]             1072.749392
Return (Ann.) [%]                 2680.401801
Volatility (Ann.) [%]           2902882.01603
Sharpe Ratio                         0.000923
Sortino Ratio                       18.850309
Calmar Ratio                        43.960359
Max. Drawdown [%]                  -60.973156
Avg. Drawdown [%]                  -23.443466
Max. Drawdown Duration      364 days 00:00:00
Avg. Drawdown Duration       90 days 00:00:00
# Trades                                   28
Win Rate [%]                        57.142857
Best Trade [%]                     159.048724
Worst Trade [%]                    -32.370932
Avg. Trade [%]                       3.778751
Max. Trade Duration          21 days 00:00:00
Avg. Trade Duration          13 days 00:00:00
Profit Factor                        2.308623
Expectancy [%]                       8.152507
SQN                                  0.850904
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
8;2;3;"Start                     2019-09-01 20:59...
End                       2021-10-31 20:59...
Duration                    791 days 00:00:00
Exposure Time [%]                   70.175439
Equity Final [$]              151770474.32762
Equity Peak [$]               197047303.20032
Return [%]                          51.770474
Buy & Hold Return [%]             1072.749392
Return (Ann.) [%]                  280.292014
Volatility (Ann.) [%]            31162.131208
Sharpe Ratio                         0.008995
Sortino Ratio                         2.08596
Calmar Ratio                         5.186321
Max. Drawdown [%]                  -54.044475
Avg. Drawdown [%]                  -34.974519
Max. Drawdown Duration      189 days 00:00:00
Avg. Drawdown Duration      122 days 00:00:00
# Trades                                   22
Win Rate [%]                        40.909091
Best Trade [%]                      87.022901
Worst Trade [%]                    -24.061139
Avg. Trade [%]                       1.788862
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          19 days 00:00:00
Profit Factor                        1.653887
Expectancy [%]                       4.040127
SQN                                  0.439657
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
9;2;4;"Start                     2019-09-01 20:59...
End                       2021-10-31 20:59...
Duration                    791 days 00:00:00
Exposure Time [%]                   71.052632
Equity Final [$]              146592942.72765
Equity Peak [$]               412362890.09779
Return [%]                          46.592943
Buy & Hold Return [%]             1072.749392
Return (Ann.) [%]                  240.293167
Volatility (Ann.) [%]            65634.622524
Sharpe Ratio                         0.003661
Sortino Ratio                        1.548241
Calmar Ratio                         3.093592
Max. Drawdown [%]                  -77.674475
Avg. Drawdown [%]                  -40.041562
Max. Drawdown Duration      364 days 00:00:00
Avg. Drawdown Duration      175 days 00:00:00
# Trades                                   16
Win Rate [%]                            43.75
Best Trade [%]                     185.826323
Worst Trade [%]                     -52.81701
Avg. Trade [%]                       2.419362
Max. Trade Duration          56 days 00:00:00
Avg. Trade Duration          29 days 00:00:00
Profit Factor                        2.184205
Expectancy [%]                      10.439768
SQN                                  0.182269
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
