;sma1;sma2;output
0;1;2;"Start                     2019-03-31 20:59...
End                       2021-10-31 20:59...
Duration                    945 days 00:00:00
Exposure Time [%]                   71.323529
Equity Final [$]                  369376936.9
Equity Peak [$]                  478497515.34
Return [%]                         269.376937
Buy & Hold Return [%]               84.281843
Return (Ann.) [%]                 3234.177649
Volatility (Ann.) [%]            92506.544919
Sharpe Ratio                         0.034962
Sortino Ratio                       27.699729
Calmar Ratio                        54.101746
Max. Drawdown [%]                  -59.779543
Avg. Drawdown [%]                  -29.424687
Max. Drawdown Duration      252 days 00:00:00
Avg. Drawdown Duration      125 days 00:00:00
# Trades                                   32
Win Rate [%]                           34.375
Best Trade [%]                      148.22711
Worst Trade [%]                    -22.995461
Avg. Trade [%]                       4.167786
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          15 days 00:00:00
Profit Factor                        2.446106
Expectancy [%]                       7.721993
SQN                                  1.007019
_strategy                            SmaCross
_equity_curve                             ...
_trades                          Size  Ent...
dtype: object"
1;1;3;"Start                     2019-03-31 20:59...
End                       2021-10-31 20:59...
Duration                    945 days 00:00:00
Exposure Time [%]                   61.029412
Equity Final [$]                 514744319.62
Equity Peak [$]                  666809062.06
Return [%]                          414.74432
Buy & Hold Return [%]               84.281843
Return (Ann.) [%]                 8024.304255
Volatility (Ann.) [%]           203086.767518
Sharpe Ratio                         0.039512
Sortino Ratio                       71.981509
Calmar Ratio                       172.803342
Max. Drawdown [%]                  -46.436048
Avg. Drawdown [%]                  -25.220648
Max. Drawdown Duration      210 days 00:00:00
Avg. Drawdown Duration      105 days 00:00:00
# Trades                                   22
Win Rate [%]                        45.454545
Best Trade [%]                     116.204066
Worst Trade [%]                    -27.488055
Avg. Trade [%]                       7.732087
Max. Trade Duration          42 days 00:00:00
Avg. Trade Duration          20 days 00:00:00
Profit Factor                        3.081332
Expectancy [%]                      11.959499
SQN                                  1.040477
_strategy                            SmaCross
_equity_curve                             ...
_trades                          Size  Ent...
dtype: object"
2;1;4;"Start                     2019-03-31 20:59...
End                       2021-10-31 20:59...
Duration                    945 days 00:00:00
Exposure Time [%]                   58.823529
Equity Final [$]                 152090581.24
Equity Peak [$]                   395878652.3
Return [%]                          52.090581
Buy & Hold Return [%]               84.281843
Return (Ann.) [%]                  208.127521
Volatility (Ann.) [%]            13488.951964
Sharpe Ratio                         0.015429
Sortino Ratio                        1.413042
Calmar Ratio                         2.726705
Max. Drawdown [%]                  -76.329318
Avg. Drawdown [%]                   -36.32315
Max. Drawdown Duration      252 days 00:00:00
Avg. Drawdown Duration      143 days 00:00:00
# Trades                                   20
Win Rate [%]                             40.0
Best Trade [%]                     116.204066
Worst Trade [%]                    -52.412524
Avg. Trade [%]                       2.118658
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          21 days 00:00:00
Profit Factor                        1.837898
Expectancy [%]                       7.385312
SQN                                  0.230684
_strategy                            SmaCross
_equity_curve                             ...
_trades                          Size  Ent...
dtype: object"
3;1;6;"Start                     2019-03-31 20:59...
End                       2021-10-31 20:59...
Duration                    945 days 00:00:00
Exposure Time [%]                   56.617647
Equity Final [$]                  215772372.9
Equity Peak [$]                  427543935.13
Return [%]                         115.772373
Buy & Hold Return [%]               84.281843
Return (Ann.) [%]                  687.745422
Volatility (Ann.) [%]            34558.287918
Sharpe Ratio                         0.019901
Sortino Ratio                        4.703815
Calmar Ratio                        10.080276
Max. Drawdown [%]                  -68.226846
Avg. Drawdown [%]                  -30.704485
Max. Drawdown Duration      252 days 00:00:00
Avg. Drawdown Duration      123 days 00:00:00
# Trades                                   17
Win Rate [%]                        52.941176
Best Trade [%]                     111.200156
Worst Trade [%]                    -52.412524
Avg. Trade [%]                       4.627732
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          25 days 00:00:00
Profit Factor                        2.357986
Expectancy [%]                      10.710729
SQN                                  0.442027
_strategy                            SmaCross
_equity_curve                             ...
_trades                          Size  Ent...
dtype: object"
4;1;7;"Start                     2019-03-31 20:59...
End                       2021-10-31 20:59...
Duration                    945 days 00:00:00
Exposure Time [%]                        50.0
Equity Final [$]                 120845289.65
Equity Peak [$]                  277154871.55
Return [%]                           20.84529
Buy & Hold Return [%]               84.281843
Return (Ann.) [%]                   66.222602
Volatility (Ann.) [%]             6243.253435
Sharpe Ratio                         0.010607
Sortino Ratio                        0.450674
Calmar Ratio                         0.944478
Max. Drawdown [%]                  -70.115525
Avg. Drawdown [%]                  -46.425483
Max. Drawdown Duration      378 days 00:00:00
Avg. Drawdown Duration      278 days 00:00:00
# Trades                                   15
Win Rate [%]                        33.333333
Best Trade [%]                      75.583164
Worst Trade [%]                    -52.412524
Avg. Trade [%]                       1.270266
Max. Trade Duration          56 days 00:00:00
Avg. Trade Duration          25 days 00:00:00
Profit Factor                        1.781516
Expectancy [%]                        6.04995
SQN                                   0.13209
_strategy                            SmaCross
_equity_curve                             ...
_trades                          Size  Ent...
dtype: object"
5;2;3;"Start                     2019-03-31 20:59...
End                       2021-10-31 20:59...
Duration                    945 days 00:00:00
Exposure Time [%]                   66.911765
Equity Final [$]                 171886503.53
Equity Peak [$]                  546691048.29
Return [%]                          71.886504
Buy & Hold Return [%]               84.281843
Return (Ann.) [%]                  327.905055
Volatility (Ann.) [%]             15250.00818
Sharpe Ratio                         0.021502
Sortino Ratio                        2.326036
Calmar Ratio                         4.001701
Max. Drawdown [%]                  -81.941422
Avg. Drawdown [%]                  -34.971855
Max. Drawdown Duration      252 days 00:00:00
Avg. Drawdown Duration      140 days 00:00:00
# Trades                                   25
Win Rate [%]                             40.0
Best Trade [%]                     111.200156
Worst Trade [%]                    -63.149749
Avg. Trade [%]                       2.190292
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          19 days 00:00:00
Profit Factor                        1.971391
Expectancy [%]                       7.596648
SQN                                   0.20831
_strategy                            SmaCross
_equity_curve                             ...
_trades                          Size  Ent...
dtype: object"
6;3;5;"Start                     2019-03-31 20:59...
End                       2021-10-31 20:59...
Duration                    945 days 00:00:00
Exposure Time [%]                   58.823529
Equity Final [$]                 103445557.18
Equity Peak [$]                  201586569.78
Return [%]                           3.445557
Buy & Hold Return [%]               84.281843
Return (Ann.) [%]                    9.517618
Volatility (Ann.) [%]             2967.024137
Sharpe Ratio                         0.003208
Sortino Ratio                        0.060463
Calmar Ratio                         0.150694
Max. Drawdown [%]                  -63.158493
Avg. Drawdown [%]                  -43.757965
Max. Drawdown Duration      602 days 00:00:00
Avg. Drawdown Duration      224 days 00:00:00
# Trades                                   16
Win Rate [%]                            43.75
Best Trade [%]                      43.121834
Worst Trade [%]                    -24.151982
Avg. Trade [%]                       0.211944
Max. Trade Duration          63 days 00:00:00
Avg. Trade Duration          28 days 00:00:00
Profit Factor                        1.278515
Expectancy [%]                       1.816227
SQN                                  0.062172
_strategy                            SmaCross
_equity_curve                             ...
_trades                          Size  Ent...
dtype: object"
7;4;1;"Start                     2019-03-31 20:59...
End                       2021-10-31 20:59...
Duration                    945 days 00:00:00
Exposure Time [%]                   64.705882
Equity Final [$]                 112404248.29
Equity Peak [$]                  148361259.81
Return [%]                          12.404248
Buy & Hold Return [%]               84.281843
Return (Ann.) [%]                   36.864834
Volatility (Ann.) [%]              945.549552
Sharpe Ratio                         0.038988
Sortino Ratio                        0.317752
Calmar Ratio                         0.455317
Max. Drawdown [%]                  -80.965218
Avg. Drawdown [%]                  -56.782032
Max. Drawdown Duration      693 days 00:00:00
Avg. Drawdown Duration      420 days 00:00:00
# Trades                                   19
Win Rate [%]                        63.157895
Best Trade [%]                      63.358608
Worst Trade [%]                    -43.447003
Avg. Trade [%]                       0.617323
Max. Trade Duration          77 days 00:00:00
Avg. Trade Duration          26 days 00:00:00
Profit Factor                        1.475036
Expectancy [%]                       3.727072
SQN                                   0.14783
_strategy                            SmaCross
_equity_curve                             ...
_trades                          Size  Ent...
dtype: object"
8;4;2;"Start                     2019-03-31 20:59...
End                       2021-10-31 20:59...
Duration                    945 days 00:00:00
Exposure Time [%]                   59.558824
Equity Final [$]                  174137046.8
Equity Peak [$]                  200365332.16
Return [%]                          74.137047
Buy & Hold Return [%]               84.281843
Return (Ann.) [%]                  343.107809
Volatility (Ann.) [%]             9885.350482
Sharpe Ratio                         0.034709
Sortino Ratio                        2.953896
Calmar Ratio                         4.223325
Max. Drawdown [%]                  -81.241161
Avg. Drawdown [%]                  -55.498034
Max. Drawdown Duration      637 days 00:00:00
Avg. Drawdown Duration      392 days 00:00:00
# Trades                                   18
Win Rate [%]                        66.666667
Best Trade [%]                     116.887885
Worst Trade [%]                    -44.044424
Avg. Trade [%]                       3.129484
Max. Trade Duration          70 days 00:00:00
Avg. Trade Duration          25 days 00:00:00
Profit Factor                         2.05199
Expectancy [%]                       8.667169
SQN                                  0.716803
_strategy                            SmaCross
_equity_curve                             ...
_trades                          Size  Ent...
dtype: object"
9;4;3;"Start                     2019-03-31 20:59...
End                       2021-10-31 20:59...
Duration                    945 days 00:00:00
Exposure Time [%]                   61.764706
Equity Final [$]                 231301966.11
Equity Peak [$]                  314123834.26
Return [%]                         131.301966
Buy & Hold Return [%]               84.281843
Return (Ann.) [%]                  849.277177
Volatility (Ann.) [%]            11458.799787
Sharpe Ratio                         0.074116
Sortino Ratio                         8.22716
Calmar Ratio                        14.676932
Max. Drawdown [%]                  -57.864763
Avg. Drawdown [%]                  -32.742055
Max. Drawdown Duration      602 days 00:00:00
Avg. Drawdown Duration      285 days 00:00:00
# Trades                                   20
Win Rate [%]                             55.0
Best Trade [%]                     125.021975
Worst Trade [%]                    -25.962166
Avg. Trade [%]                       4.281908
Max. Trade Duration          70 days 00:00:00
Avg. Trade Duration          23 days 00:00:00
Profit Factor                        2.270697
Expectancy [%]                       8.537285
SQN                                  0.639843
_strategy                            SmaCross
_equity_curve                             ...
_trades                          Size  Ent...
dtype: object"
