;sma1;sma2;output
0;1;2;"Start                     2019-09-01 20:59...
End                       2021-10-31 20:59...
Duration                    791 days 00:00:00
Exposure Time [%]                   70.175439
Equity Final [$]           13847846296.498373
Equity Peak [$]            21640573823.165215
Return [%]                       13747.846296
Buy & Hold Return [%]               1222.8874
Return (Ann.) [%]            718091689.649734
Volatility (Ann.) [%]      8799756946295436.0
Sharpe Ratio                              0.0
Sortino Ratio                  5540478.521288
Calmar Ratio                  17551816.228367
Max. Drawdown [%]                  -40.912671
Avg. Drawdown [%]                  -26.930988
Max. Drawdown Duration      175 days 00:00:00
Avg. Drawdown Duration       90 days 00:00:00
# Trades                                   27
Win Rate [%]                        40.740741
Best Trade [%]                     739.184916
Worst Trade [%]                    -28.239297
Avg. Trade [%]                      19.768071
Max. Trade Duration          35 days 00:00:00
Avg. Trade Duration          14 days 00:00:00
Profit Factor                       10.747819
Expectancy [%]                       51.39163
SQN                                   0.76636
_strategy                            SmaCross
_equity_curve                             ...
_trades                                Siz...
dtype: object"
1;1;3;"Start                     2019-09-01 20:59...
End                       2021-10-31 20:59...
Duration                    791 days 00:00:00
Exposure Time [%]                   61.403509
Equity Final [$]            2814594189.408762
Equity Peak [$]             4679531027.748921
Return [%]                        2714.594189
Buy & Hold Return [%]               1222.8874
Return (Ann.) [%]              4371831.535966
Volatility (Ann.) [%]     18583360804400.7...
Sharpe Ratio                              0.0
Sortino Ratio                    32342.917485
Calmar Ratio                     80344.196179
Max. Drawdown [%]                  -54.413782
Avg. Drawdown [%]                  -29.188305
Max. Drawdown Duration      189 days 00:00:00
Avg. Drawdown Duration       88 days 00:00:00
# Trades                                   20
Win Rate [%]                             50.0
Best Trade [%]                     312.655774
Worst Trade [%]                    -28.239297
Avg. Trade [%]                      18.160084
Max. Trade Duration          42 days 00:00:00
Avg. Trade Duration          18 days 00:00:00
Profit Factor                        7.060127
Expectancy [%]                      34.451397
SQN                                  0.893701
_strategy                            SmaCross
_equity_curve                             ...
_trades                                Siz...
dtype: object"
2;1;4;"Start                     2019-09-01 20:59...
End                       2021-10-31 20:59...
Duration                    791 days 00:00:00
Exposure Time [%]                   57.894737
Equity Final [$]            8623986138.330698
Equity Peak [$]            12624688412.053215
Return [%]                        8523.986138
Buy & Hold Return [%]               1222.8874
Return (Ann.) [%]            157638198.416537
Volatility (Ann.) [%]       418867540713948.0
Sharpe Ratio                              0.0
Sortino Ratio                  1284322.198869
Calmar Ratio                   3773275.753118
Max. Drawdown [%]                  -41.777545
Avg. Drawdown [%]                  -24.397924
Max. Drawdown Duration      182 days 00:00:00
Avg. Drawdown Duration       82 days 00:00:00
# Trades                                   13
Win Rate [%]                        69.230769
Best Trade [%]                     435.944995
Worst Trade [%]                    -10.816433
Avg. Trade [%]                      40.896634
Max. Trade Duration          77 days 00:00:00
Avg. Trade Duration          29 days 00:00:00
Profit Factor                       33.542089
Expectancy [%]                      66.855795
SQN                                   1.65584
_strategy                            SmaCross
_equity_curve                             ...
_trades                                Siz...
dtype: object"
3;1;5;"Start                     2019-09-01 20:59...
End                       2021-10-31 20:59...
Duration                    791 days 00:00:00
Exposure Time [%]                   57.894737
Equity Final [$]           10155525567.898239
Equity Peak [$]            14866715217.166519
Return [%]                       10055.525568
Buy & Hold Return [%]               1222.8874
Return (Ann.) [%]            266052938.362904
Volatility (Ann.) [%]      3489252092202633.0
Sharpe Ratio                              0.0
Sortino Ratio                  1914043.840919
Calmar Ratio                   6035124.738347
Max. Drawdown [%]                  -44.084083
Avg. Drawdown [%]                  -32.127537
Max. Drawdown Duration      189 days 00:00:00
Avg. Drawdown Duration       99 days 00:00:00
# Trades                                   11
Win Rate [%]                        54.545455
Best Trade [%]                    3138.151583
Worst Trade [%]                    -26.502463
Avg. Trade [%]                      52.204499
Max. Trade Duration          98 days 00:00:00
Avg. Trade Duration          35 days 00:00:00
Profit Factor                        63.23127
Expectancy [%]                     302.109398
SQN                                   1.49137
_strategy                            SmaCross
_equity_curve                             ...
_trades                                Siz...
dtype: object"
4;1;6;"Start                     2019-09-01 20:59...
End                       2021-10-31 20:59...
Duration                    791 days 00:00:00
Exposure Time [%]                   53.508772
Equity Final [$]            7739648707.162202
Equity Peak [$]            12548462748.532665
Return [%]                        7639.648707
Buy & Hold Return [%]               1222.8874
Return (Ann.) [%]            111486210.438579
Volatility (Ann.) [%]      1607503377093255.5
Sharpe Ratio                              0.0
Sortino Ratio                   800524.975578
Calmar Ratio                   2619357.003648
Max. Drawdown [%]                  -42.562434
Avg. Drawdown [%]                  -32.185167
Max. Drawdown Duration      189 days 00:00:00
Avg. Drawdown Duration       88 days 00:00:00
# Trades                                   10
Win Rate [%]                             50.0
Best Trade [%]                    3138.151583
Worst Trade [%]                     -8.722198
Avg. Trade [%]                      54.479952
Max. Trade Duration          98 days 00:00:00
Avg. Trade Duration          36 days 00:00:00
Profit Factor                       96.074491
Expectancy [%]                     327.389272
SQN                                  1.319742
_strategy                            SmaCross
_equity_curve                             ...
_trades                               Size...
dtype: object"
5;2;3;"Start                     2019-09-01 20:59...
End                       2021-10-31 20:59...
Duration                    791 days 00:00:00
Exposure Time [%]                   63.157895
Equity Final [$]            4893484156.392271
Equity Peak [$]             5721222747.036724
Return [%]                        4793.484156
Buy & Hold Return [%]               1222.8874
Return (Ann.) [%]             25688618.479683
Volatility (Ann.) [%]        77029422971595.0
Sharpe Ratio                              0.0
Sortino Ratio                   210224.759967
Calmar Ratio                    399110.879391
Max. Drawdown [%]                  -64.364616
Avg. Drawdown [%]                  -25.226512
Max. Drawdown Duration      133 days 00:00:00
Avg. Drawdown Duration       77 days 00:00:00
# Trades                                   20
Win Rate [%]                             50.0
Best Trade [%]                     364.109665
Worst Trade [%]                    -19.791012
Avg. Trade [%]                      21.473322
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          19 days 00:00:00
Profit Factor                       10.304338
Expectancy [%]                      38.479184
SQN                                  1.316204
_strategy                            SmaCross
_equity_curve                             ...
_trades                                Siz...
dtype: object"
6;2;4;"Start                     2019-09-01 20:59...
End                       2021-10-31 20:59...
Duration                    791 days 00:00:00
Exposure Time [%]                    58.77193
Equity Final [$]             8161064637.57368
Equity Peak [$]             8322501626.760356
Return [%]                        8061.064638
Buy & Hold Return [%]               1222.8874
Return (Ann.) [%]            132112353.502651
Volatility (Ann.) [%]     368402377203193....
Sharpe Ratio                              0.0
Sortino Ratio                  1049087.385433
Calmar Ratio                   2225611.708201
Max. Drawdown [%]                  -59.360019
Avg. Drawdown [%]                  -20.686641
Max. Drawdown Duration      133 days 00:00:00
Avg. Drawdown Duration       62 days 00:00:00
# Trades                                   14
Win Rate [%]                        64.285714
Best Trade [%]                     435.944995
Worst Trade [%]                    -19.791012
Avg. Trade [%]                      36.947259
Max. Trade Duration          77 days 00:00:00
Avg. Trade Duration          27 days 00:00:00
Profit Factor                       17.893495
Expectancy [%]                      64.832488
SQN                                  1.472818
_strategy                            SmaCross
_equity_curve                             ...
_trades                                Siz...
dtype: object"
7;2;5;"Start                     2019-09-01 20:59...
End                       2021-10-31 20:59...
Duration                    791 days 00:00:00
Exposure Time [%]                   57.894737
Equity Final [$]           10750806738.361643
Equity Peak [$]            14546488276.718159
Return [%]                       10650.806738
Buy & Hold Return [%]               1222.8874
Return (Ann.) [%]            319282541.034436
Volatility (Ann.) [%]      3893894397443640.5
Sharpe Ratio                              0.0
Sortino Ratio                  2353503.142843
Calmar Ratio                   5901363.952841
Max. Drawdown [%]                  -54.103177
Avg. Drawdown [%]                  -30.577641
Max. Drawdown Duration      182 days 00:00:00
Avg. Drawdown Duration       98 days 00:00:00
# Trades                                   10
Win Rate [%]                             60.0
Best Trade [%]                    2452.638311
Worst Trade [%]                     -8.722198
Avg. Trade [%]                      59.640877
Max. Trade Duration         105 days 00:00:00
Avg. Trade Duration          40 days 00:00:00
Profit Factor                      126.297019
Expectancy [%]                      265.39366
SQN                                  1.665975
_strategy                            SmaCross
_equity_curve                             ...
_trades                               Size...
dtype: object"
8;3;4;"Start                     2019-09-01 20:59...
End                       2021-10-31 20:59...
Duration                    791 days 00:00:00
Exposure Time [%]                   61.403509
Equity Final [$]            1667966270.854629
Equity Peak [$]             3982845818.072409
Return [%]                        1567.966271
Buy & Hold Return [%]               1222.8874
Return (Ann.) [%]               818635.145663
Volatility (Ann.) [%]     5477563062527.79...
Sharpe Ratio                              0.0
Sortino Ratio                     4912.260331
Calmar Ratio                      9813.630703
Max. Drawdown [%]                  -83.418173
Avg. Drawdown [%]                   -40.05131
Max. Drawdown Duration      238 days 00:00:00
Avg. Drawdown Duration      129 days 00:00:00
# Trades                                   16
Win Rate [%]                             50.0
Best Trade [%]                    1468.227273
Worst Trade [%]                    -58.484544
Avg. Trade [%]                      18.782058
Max. Trade Duration          70 days 00:00:00
Avg. Trade Duration          24 days 00:00:00
Profit Factor                          15.633
Expectancy [%]                      96.836573
SQN                                  0.705224
_strategy                            SmaCross
_equity_curve                             ...
_trades                               Size...
dtype: object"
9;3;5;"Start                     2019-09-01 20:59...
End                       2021-10-31 20:59...
Duration                    791 days 00:00:00
Exposure Time [%]                   57.894737
Equity Final [$]            4470434141.514345
Equity Peak [$]             7212368511.269796
Return [%]                        4370.434142
Buy & Hold Return [%]               1222.8874
Return (Ann.) [%]              19231454.69096
Volatility (Ann.) [%]     356514462332072....
Sharpe Ratio                              0.0
Sortino Ratio                   128846.823876
Calmar Ratio                    301845.460297
Max. Drawdown [%]                  -63.712917
Avg. Drawdown [%]                  -35.629823
Max. Drawdown Duration      210 days 00:00:00
Avg. Drawdown Duration      116 days 00:00:00
# Trades                                   11
Win Rate [%]                        54.545455
Best Trade [%]                    2452.638311
Worst Trade [%]                    -20.856573
Avg. Trade [%]                      41.264095
Max. Trade Duration         105 days 00:00:00
Avg. Trade Duration          35 days 00:00:00
Profit Factor                       48.990096
Expectancy [%]                     231.166613
SQN                                  1.243361
_strategy                            SmaCross
_equity_curve                             ...
_trades                                Siz...
dtype: object"
