;sma1;sma2;output
0;1;2;"Start                     2019-09-01 20:59...
End                       2021-10-31 20:59...
Duration                    791 days 00:00:00
Exposure Time [%]                   77.192982
Equity Final [$]              329127659.12856
Equity Peak [$]              482407870.513695
Return [%]                         229.127659
Buy & Hold Return [%]             1285.473028
Return (Ann.) [%]                 4433.918152
Volatility (Ann.) [%]           566098.951302
Sharpe Ratio                         0.007832
Sortino Ratio                       27.662122
Calmar Ratio                         73.31104
Max. Drawdown [%]                  -60.480907
Avg. Drawdown [%]                  -48.016629
Max. Drawdown Duration      308 days 00:00:00
Avg. Drawdown Duration      182 days 00:00:00
# Trades                                   25
Win Rate [%]                             44.0
Best Trade [%]                     117.942051
Worst Trade [%]                    -27.667217
Avg. Trade [%]                       4.749429
Max. Trade Duration          63 days 00:00:00
Avg. Trade Duration          18 days 00:00:00
Profit Factor                         2.30999
Expectancy [%]                       8.620749
SQN                                  0.914531
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
1;1;3;"Start                     2019-09-01 20:59...
End                       2021-10-31 20:59...
Duration                    791 days 00:00:00
Exposure Time [%]                   65.789474
Equity Final [$]             266110306.142473
Equity Peak [$]              676076465.641297
Return [%]                         166.110306
Buy & Hold Return [%]             1285.473028
Return (Ann.) [%]                 2195.848071
Volatility (Ann.) [%]           148829.345335
Sharpe Ratio                         0.014754
Sortino Ratio                       14.879067
Calmar Ratio                        30.041733
Max. Drawdown [%]                  -73.093256
Avg. Drawdown [%]                  -40.006982
Max. Drawdown Duration      231 days 00:00:00
Avg. Drawdown Duration      136 days 00:00:00
# Trades                                   18
Win Rate [%]                        44.444444
Best Trade [%]                     117.942051
Worst Trade [%]                    -28.544881
Avg. Trade [%]                       5.404826
Max. Trade Duration          63 days 00:00:00
Avg. Trade Duration          23 days 00:00:00
Profit Factor                        2.253686
Expectancy [%]                      10.441227
SQN                                  0.497542
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
2;1;4;"Start                     2019-09-01 20:59...
End                       2021-10-31 20:59...
Duration                    791 days 00:00:00
Exposure Time [%]                   64.035088
Equity Final [$]             351705327.321002
Equity Peak [$]              691300611.929601
Return [%]                         251.705327
Buy & Hold Return [%]             1285.473028
Return (Ann.) [%]                  5507.00364
Volatility (Ann.) [%]            650433.62459
Sharpe Ratio                         0.008467
Sortino Ratio                       35.686337
Calmar Ratio                        84.435033
Max. Drawdown [%]                  -65.221786
Avg. Drawdown [%]                  -37.229714
Max. Drawdown Duration      287 days 00:00:00
Avg. Drawdown Duration      116 days 00:00:00
# Trades                                   14
Win Rate [%]                             50.0
Best Trade [%]                     117.942051
Worst Trade [%]                    -28.544881
Avg. Trade [%]                       9.154915
Max. Trade Duration          84 days 00:00:00
Avg. Trade Duration          30 days 00:00:00
Profit Factor                        2.818252
Expectancy [%]                      17.148328
SQN                                  0.725582
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
3;1;5;"Start                     2019-09-01 20:59...
End                       2021-10-31 20:59...
Duration                    791 days 00:00:00
Exposure Time [%]                   64.912281
Equity Final [$]              413831939.08601
Equity Peak [$]              841159552.314499
Return [%]                         313.831939
Buy & Hold Return [%]             1285.473028
Return (Ann.) [%]                 9338.847437
Volatility (Ann.) [%]          1173644.797019
Sharpe Ratio                         0.007957
Sortino Ratio                       60.456527
Calmar Ratio                       143.186013
Max. Drawdown [%]                  -65.221786
Avg. Drawdown [%]                  -37.417164
Max. Drawdown Duration      287 days 00:00:00
Avg. Drawdown Duration      115 days 00:00:00
# Trades                                   13
Win Rate [%]                        46.153846
Best Trade [%]                     184.750658
Worst Trade [%]                    -28.544881
Avg. Trade [%]                      11.276623
Max. Trade Duration         112 days 00:00:00
Avg. Trade Duration          33 days 00:00:00
Profit Factor                        3.252329
Expectancy [%]                      23.293452
SQN                                  0.699485
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
4;1;6;"Start                     2019-09-01 20:59...
End                       2021-10-31 20:59...
Duration                    791 days 00:00:00
Exposure Time [%]                   60.526316
Equity Final [$]             504828317.577885
Equity Peak [$]             1282413401.272159
Return [%]                         404.828318
Buy & Hold Return [%]             1285.473028
Return (Ann.) [%]                17735.835208
Volatility (Ann.) [%]          1982341.191846
Sharpe Ratio                         0.008947
Sortino Ratio                       117.73296
Calmar Ratio                       271.931151
Max. Drawdown [%]                  -65.221786
Avg. Drawdown [%]                  -35.427805
Max. Drawdown Duration      217 days 00:00:00
Avg. Drawdown Duration      103 days 00:00:00
# Trades                                   11
Win Rate [%]                        45.454545
Best Trade [%]                     184.750658
Worst Trade [%]                    -28.544881
Avg. Trade [%]                      15.528268
Max. Trade Duration         112 days 00:00:00
Avg. Trade Duration          37 days 00:00:00
Profit Factor                         3.83146
Expectancy [%]                      29.453152
SQN                                  0.607036
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
5;2;1;"Start                     2019-09-01 20:59...
End                       2021-10-31 20:59...
Duration                    791 days 00:00:00
Exposure Time [%]                   63.157895
Equity Final [$]             323838654.588913
Equity Peak [$]              462857404.217015
Return [%]                         223.838655
Buy & Hold Return [%]             1285.473028
Return (Ann.) [%]                 4204.741829
Volatility (Ann.) [%]           723332.846214
Sharpe Ratio                         0.005813
Sortino Ratio                       24.983696
Calmar Ratio                        66.834514
Max. Drawdown [%]                  -62.912732
Avg. Drawdown [%]                  -21.921816
Max. Drawdown Duration      364 days 00:00:00
Avg. Drawdown Duration       98 days 00:00:00
# Trades                                   25
Win Rate [%]                             64.0
Best Trade [%]                      77.516558
Worst Trade [%]                    -45.345884
Avg. Trade [%]                       4.812516
Max. Trade Duration          42 days 00:00:00
Avg. Trade Duration          14 days 00:00:00
Profit Factor                        2.281479
Expectancy [%]                       8.459053
SQN                                  0.680409
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
6;2;3;"Start                     2019-09-01 20:59...
End                       2021-10-31 20:59...
Duration                    791 days 00:00:00
Exposure Time [%]                   71.052632
Equity Final [$]              286298286.65858
Equity Peak [$]              748396226.032961
Return [%]                         186.298287
Buy & Hold Return [%]             1285.473028
Return (Ann.) [%]                 2801.492373
Volatility (Ann.) [%]           214509.519541
Sharpe Ratio                          0.01306
Sortino Ratio                       17.926397
Calmar Ratio                        38.474926
Max. Drawdown [%]                  -72.813456
Avg. Drawdown [%]                  -35.441441
Max. Drawdown Duration      231 days 00:00:00
Avg. Drawdown Duration      112 days 00:00:00
# Trades                                   18
Win Rate [%]                        44.444444
Best Trade [%]                     182.209312
Worst Trade [%]                    -36.083337
Avg. Trade [%]                       5.833894
Max. Trade Duration          91 days 00:00:00
Avg. Trade Duration          25 days 00:00:00
Profit Factor                        2.413025
Expectancy [%]                      13.909537
SQN                                  0.434181
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
7;2;4;"Start                     2019-09-01 20:59...
End                       2021-10-31 20:59...
Duration                    791 days 00:00:00
Exposure Time [%]                   69.298246
Equity Final [$]             228791615.207742
Equity Peak [$]              1131178291.58218
Return [%]                         128.791615
Buy & Hold Return [%]             1285.473028
Return (Ann.) [%]                 1315.268793
Volatility (Ann.) [%]          1009696.632518
Sharpe Ratio                         0.001303
Sortino Ratio                        6.723372
Calmar Ratio                        15.347174
Max. Drawdown [%]                  -85.701041
Avg. Drawdown [%]                  -51.336614
Max. Drawdown Duration      280 days 00:00:00
Avg. Drawdown Duration      138 days 00:00:00
# Trades                                   12
Win Rate [%]                        33.333333
Best Trade [%]                     777.843854
Worst Trade [%]                    -67.632773
Avg. Trade [%]                       6.861748
Max. Trade Duration         161 days 00:00:00
Avg. Trade Duration          40 days 00:00:00
Profit Factor                         4.49566
Expectancy [%]                      63.734247
SQN                                  0.124281
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
8;2;5;"Start                     2019-09-01 20:59...
End                       2021-10-31 20:59...
Duration                    791 days 00:00:00
Exposure Time [%]                   62.280702
Equity Final [$]             385968915.670767
Equity Peak [$]             2189027888.353375
Return [%]                         285.968916
Buy & Hold Return [%]             1285.473028
Return (Ann.) [%]                 7450.861329
Volatility (Ann.) [%]           6053495.66105
Sharpe Ratio                         0.001231
Sortino Ratio                       39.357806
Calmar Ratio                         85.15303
Max. Drawdown [%]                  -87.499661
Avg. Drawdown [%]                  -39.499898
Max. Drawdown Duration      217 days 00:00:00
Avg. Drawdown Duration      102 days 00:00:00
# Trades                                   10
Win Rate [%]                             50.0
Best Trade [%]                     608.574323
Worst Trade [%]                    -67.632773
Avg. Trade [%]                      14.460393
Max. Trade Duration         161 days 00:00:00
Avg. Trade Duration          43 days 00:00:00
Profit Factor                        5.628898
Expectancy [%]                      65.495008
SQN                                  0.206332
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
9;3;1;"Start                     2019-09-01 20:59...
End                       2021-10-31 20:59...
Duration                    791 days 00:00:00
Exposure Time [%]                   59.649123
Equity Final [$]             334285182.537288
Equity Peak [$]              447028816.133896
Return [%]                         234.285183
Buy & Hold Return [%]             1285.473028
Return (Ann.) [%]                 4665.344569
Volatility (Ann.) [%]          1315418.179633
Sharpe Ratio                         0.003547
Sortino Ratio                       26.234551
Calmar Ratio                        69.367165
Max. Drawdown [%]                  -67.255805
Avg. Drawdown [%]                  -42.209874
Max. Drawdown Duration      392 days 00:00:00
Avg. Drawdown Duration      136 days 00:00:00
# Trades                                   19
Win Rate [%]                        63.157895
Best Trade [%]                      77.516558
Worst Trade [%]                    -59.704781
Avg. Trade [%]                       6.557767
Max. Trade Duration          42 days 00:00:00
Avg. Trade Duration          19 days 00:00:00
Profit Factor                        2.553196
Expectancy [%]                      11.986535
SQN                                  0.922439
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
