;sma1;sma2;output
0;1;9;"Start                     2018-06-03 20:59...
End                       2021-10-24 20:59...
Duration                   1239 days 00:00:00
Exposure Time [%]                   90.449438
Equity Final [$]               100424563.1308
Equity Peak [$]                 373221533.485
Return [%]                           0.424563
Buy & Hold Return [%]               -67.45444
Return (Ann.) [%]                    0.872535
Volatility (Ann.) [%]             3738.751615
Sharpe Ratio                         0.000233
Sortino Ratio                        0.005169
Calmar Ratio                         0.010833
Max. Drawdown [%]                  -80.545254
Avg. Drawdown [%]                  -21.331258
Max. Drawdown Duration      756 days 00:00:00
Avg. Drawdown Duration      133 days 00:00:00
# Trades                                   28
Win Rate [%]                        32.142857
Best Trade [%]                      104.03859
Worst Trade [%]                    -32.976916
Avg. Trade [%]                       0.015132
Max. Trade Duration         140 days 00:00:00
Avg. Trade Duration          40 days 00:00:00
Profit Factor                        1.376121
Expectancy [%]                       2.544509
SQN                                   0.00204
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
1;1;10;"Start                     2018-06-03 20:59...
End                       2021-10-24 20:59...
Duration                   1239 days 00:00:00
Exposure Time [%]                   89.325843
Equity Final [$]               129354776.2708
Equity Peak [$]                414360141.8152
Return [%]                          29.354776
Buy & Hold Return [%]               -67.45444
Return (Ann.) [%]                   69.518406
Volatility (Ann.) [%]             6280.739958
Sharpe Ratio                         0.011069
Sortino Ratio                        0.413514
Calmar Ratio                         0.897838
Max. Drawdown [%]                  -77.428688
Avg. Drawdown [%]                  -20.451421
Max. Drawdown Duration      756 days 00:00:00
Avg. Drawdown Duration      130 days 00:00:00
# Trades                                   24
Win Rate [%]                        33.333333
Best Trade [%]                      104.03859
Worst Trade [%]                    -32.976916
Avg. Trade [%]                       1.078224
Max. Trade Duration         140 days 00:00:00
Avg. Trade Duration          47 days 00:00:00
Profit Factor                         1.59008
Expectancy [%]                       4.189243
SQN                                  0.125096
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
2;2;9;"Start                     2018-06-03 20:59...
End                       2021-10-24 20:59...
Duration                   1239 days 00:00:00
Exposure Time [%]                    89.88764
Equity Final [$]               109688884.3193
Equity Peak [$]                400877353.7164
Return [%]                           9.688884
Buy & Hold Return [%]               -67.45444
Return (Ann.) [%]                   20.880412
Volatility (Ann.) [%]             4306.412416
Sharpe Ratio                         0.004849
Sortino Ratio                        0.126804
Calmar Ratio                         0.231024
Max. Drawdown [%]                  -90.382151
Avg. Drawdown [%]                  -20.283044
Max. Drawdown Duration      784 days 00:00:00
Avg. Drawdown Duration      130 days 00:00:00
# Trades                                   24
Win Rate [%]                             37.5
Best Trade [%]                     108.718003
Worst Trade [%]                    -32.976916
Avg. Trade [%]                       0.386068
Max. Trade Duration         147 days 00:00:00
Avg. Trade Duration          47 days 00:00:00
Profit Factor                        1.511869
Expectancy [%]                       4.713173
SQN                                  0.039811
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
3;3;10;"Start                     2018-06-03 20:59...
End                       2021-10-24 20:59...
Duration                   1239 days 00:00:00
Exposure Time [%]                   89.325843
Equity Final [$]                111637543.409
Equity Peak [$]                454114902.2166
Return [%]                          11.637543
Buy & Hold Return [%]               -67.45444
Return (Ann.) [%]                   25.325058
Volatility (Ann.) [%]             3683.225159
Sharpe Ratio                         0.006876
Sortino Ratio                         0.15751
Calmar Ratio                         0.327906
Max. Drawdown [%]                  -77.232587
Avg. Drawdown [%]                  -16.887852
Max. Drawdown Duration      756 days 00:00:00
Avg. Drawdown Duration      116 days 00:00:00
# Trades                                   18
Win Rate [%]                        38.888889
Best Trade [%]                     108.718003
Worst Trade [%]                    -32.976916
Avg. Trade [%]                        0.61347
Max. Trade Duration         147 days 00:00:00
Avg. Trade Duration          62 days 00:00:00
Profit Factor                        1.598484
Expectancy [%]                       5.751687
SQN                                  0.040711
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
4;4;9;"Start                     2018-06-03 20:59...
End                       2021-10-24 20:59...
Duration                   1239 days 00:00:00
Exposure Time [%]                   89.325843
Equity Final [$]               140227996.2774
Equity Peak [$]                454367723.7444
Return [%]                          40.227996
Buy & Hold Return [%]               -67.45444
Return (Ann.) [%]                  100.029332
Volatility (Ann.) [%]             5739.367516
Sharpe Ratio                         0.017429
Sortino Ratio                        0.631988
Calmar Ratio                         1.255083
Max. Drawdown [%]                  -79.699388
Avg. Drawdown [%]                  -19.044958
Max. Drawdown Duration      623 days 00:00:00
Avg. Drawdown Duration      104 days 00:00:00
# Trades                                   24
Win Rate [%]                        41.666667
Best Trade [%]                     108.718003
Worst Trade [%]                    -24.461811
Avg. Trade [%]                       1.418717
Max. Trade Duration         147 days 00:00:00
Avg. Trade Duration          47 days 00:00:00
Profit Factor                        1.646806
Expectancy [%]                       4.585593
SQN                                  0.158806
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
5;12;38;"Start                     2018-06-03 20:59...
End                       2021-10-24 20:59...
Duration                   1239 days 00:00:00
Exposure Time [%]                    72.47191
Equity Final [$]               125116070.9615
Equity Peak [$]                315360192.8051
Return [%]                          25.116071
Buy & Hold Return [%]               -67.45444
Return (Ann.) [%]                   58.323915
Volatility (Ann.) [%]             8571.232864
Sharpe Ratio                         0.006805
Sortino Ratio                        0.334996
Calmar Ratio                         0.745815
Max. Drawdown [%]                  -78.201609
Avg. Drawdown [%]                  -56.309828
Max. Drawdown Duration      672 days 00:00:00
Avg. Drawdown Duration      287 days 00:00:00
# Trades                                   10
Win Rate [%]                             30.0
Best Trade [%]                      47.618113
Worst Trade [%]                    -21.473499
Avg. Trade [%]                        2.26601
Max. Trade Duration         231 days 00:00:00
Avg. Trade Duration          90 days 00:00:00
Profit Factor                        1.724514
Expectancy [%]                       4.269512
SQN                                  0.360709
_strategy                            SmaCross
_equity_curve                             ...
_trades                          Size  Ent...
dtype: object"
6;12;39;"Start                     2018-06-03 20:59...
End                       2021-10-24 20:59...
Duration                   1239 days 00:00:00
Exposure Time [%]                    72.47191
Equity Final [$]               116095842.9956
Equity Peak [$]                374532365.9958
Return [%]                          16.095843
Buy & Hold Return [%]               -67.45444
Return (Ann.) [%]                   35.803382
Volatility (Ann.) [%]             4805.006654
Sharpe Ratio                         0.007451
Sortino Ratio                        0.212613
Calmar Ratio                         0.458458
Max. Drawdown [%]                  -78.095222
Avg. Drawdown [%]                  -50.166781
Max. Drawdown Duration      623 days 00:00:00
Avg. Drawdown Duration      214 days 00:00:00
# Trades                                   10
Win Rate [%]                             40.0
Best Trade [%]                      48.104062
Worst Trade [%]                    -32.567237
Avg. Trade [%]                       1.503652
Max. Trade Duration         245 days 00:00:00
Avg. Trade Duration          90 days 00:00:00
Profit Factor                        1.538082
Expectancy [%]                        4.47719
SQN                                  0.170617
_strategy                            SmaCross
_equity_curve                             ...
_trades                          Size  Ent...
dtype: object"
7;13;30;"Start                     2018-06-03 20:59...
End                       2021-10-24 20:59...
Duration                   1239 days 00:00:00
Exposure Time [%]                   73.033708
Equity Final [$]               100941896.6042
Equity Peak [$]                254428193.6141
Return [%]                           0.941897
Buy & Hold Return [%]               -67.45444
Return (Ann.) [%]                    1.940975
Volatility (Ann.) [%]             4972.214231
Sharpe Ratio                          0.00039
Sortino Ratio                        0.011181
Calmar Ratio                          0.02482
Max. Drawdown [%]                  -78.201609
Avg. Drawdown [%]                  -60.885741
Max. Drawdown Duration      686 days 00:00:00
Avg. Drawdown Duration      292 days 00:00:00
# Trades                                   10
Win Rate [%]                             40.0
Best Trade [%]                      46.579971
Worst Trade [%]                    -20.306408
Avg. Trade [%]                       0.093793
Max. Trade Duration         189 days 00:00:00
Avg. Trade Duration          91 days 00:00:00
Profit Factor                        1.277381
Expectancy [%]                       1.502301
SQN                                  0.020435
_strategy                            SmaCross
_equity_curve                             ...
_trades                          Size  Ent...
dtype: object"
8;15;18;"Start                     2018-06-03 20:59...
End                       2021-10-24 20:59...
Duration                   1239 days 00:00:00
Exposure Time [%]                   75.842697
Equity Final [$]               195529534.2932
Equity Peak [$]                778557046.2952
Return [%]                          95.529534
Buy & Hold Return [%]               -67.45444
Return (Ann.) [%]                  295.502245
Volatility (Ann.) [%]           138972.424967
Sharpe Ratio                         0.002126
Sortino Ratio                        1.590568
Calmar Ratio                         3.272985
Max. Drawdown [%]                  -90.285231
Avg. Drawdown [%]                  -40.174106
Max. Drawdown Duration      441 days 00:00:00
Avg. Drawdown Duration      125 days 00:00:00
# Trades                                   13
Win Rate [%]                        53.846154
Best Trade [%]                      61.176422
Worst Trade [%]                    -25.054669
Avg. Trade [%]                       5.293352
Max. Trade Duration         196 days 00:00:00
Avg. Trade Duration          73 days 00:00:00
Profit Factor                        2.459272
Expectancy [%]                       7.354778
SQN                                  0.737505
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
9;16;18;"Start                     2018-06-03 20:59...
End                       2021-10-24 20:59...
Duration                   1239 days 00:00:00
Exposure Time [%]                   75.280899
Equity Final [$]               190982886.1817
Equity Peak [$]                580463367.3978
Return [%]                          90.982886
Buy & Hold Return [%]               -67.45444
Return (Ann.) [%]                  276.874271
Volatility (Ann.) [%]            27988.844712
Sharpe Ratio                         0.009892
Sortino Ratio                        1.622798
Calmar Ratio                         3.258347
Max. Drawdown [%]                  -84.973832
Avg. Drawdown [%]                  -42.283294
Max. Drawdown Duration      441 days 00:00:00
Avg. Drawdown Duration      149 days 00:00:00
# Trades                                   13
Win Rate [%]                        46.153846
Best Trade [%]                      41.736527
Worst Trade [%]                    -12.036567
Avg. Trade [%]                       5.102963
Max. Trade Duration         203 days 00:00:00
Avg. Trade Duration          72 days 00:00:00
Profit Factor                         3.01513
Expectancy [%]                       6.294383
SQN                                  1.101537
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
