;sma1;sma2;output
0;2;5;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                   54.748603
Equity Final [$]               142440950.4974
Equity Peak [$]                501445547.8991
Return [%]                           42.44095
Buy & Hold Return [%]              -66.380829
Return (Ann.) [%]                  105.720605
Volatility (Ann.) [%]             3244.858408
Sharpe Ratio                         0.032581
Sortino Ratio                        0.713348
Calmar Ratio                          1.47667
Max. Drawdown [%]                  -71.593935
Avg. Drawdown [%]                  -38.382256
Max. Drawdown Duration      252 days 00:00:00
Avg. Drawdown Duration      139 days 00:00:00
# Trades                                   22
Win Rate [%]                        63.636364
Best Trade [%]                      67.648089
Worst Trade [%]                    -59.254581
Avg. Trade [%]                       1.620986
Max. Trade Duration          77 days 00:00:00
Avg. Trade Duration          29 days 00:00:00
Profit Factor                        1.675943
Expectancy [%]                         7.0688
SQN                                   0.10131
_strategy                                HiLo
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
1;2;6;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                   54.189944
Equity Final [$]               116876508.6645
Equity Peak [$]                411449124.2808
Return [%]                          16.876509
Buy & Hold Return [%]              -66.380829
Return (Ann.) [%]                   37.436792
Volatility (Ann.) [%]             2141.435002
Sharpe Ratio                         0.017482
Sortino Ratio                        0.252604
Calmar Ratio                         0.522905
Max. Drawdown [%]                  -71.593934
Avg. Drawdown [%]                  -39.632057
Max. Drawdown Duration      252 days 00:00:00
Avg. Drawdown Duration      140 days 00:00:00
# Trades                                   22
Win Rate [%]                        63.636364
Best Trade [%]                      67.648089
Worst Trade [%]                    -59.254581
Avg. Trade [%]                       0.711371
Max. Trade Duration          77 days 00:00:00
Avg. Trade Duration          29 days 00:00:00
Profit Factor                        1.565108
Expectancy [%]                       6.328228
SQN                                  0.048959
_strategy                                HiLo
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
2;2;7;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                   54.189944
Equity Final [$]               116876508.6645
Equity Peak [$]                411449124.2808
Return [%]                          16.876509
Buy & Hold Return [%]              -66.380829
Return (Ann.) [%]                   37.436792
Volatility (Ann.) [%]             2141.435002
Sharpe Ratio                         0.017482
Sortino Ratio                        0.252604
Calmar Ratio                         0.522905
Max. Drawdown [%]                  -71.593934
Avg. Drawdown [%]                  -39.632057
Max. Drawdown Duration      252 days 00:00:00
Avg. Drawdown Duration      140 days 00:00:00
# Trades                                   22
Win Rate [%]                        63.636364
Best Trade [%]                      67.648089
Worst Trade [%]                    -59.254581
Avg. Trade [%]                       0.711371
Max. Trade Duration          77 days 00:00:00
Avg. Trade Duration          29 days 00:00:00
Profit Factor                        1.565108
Expectancy [%]                       6.328228
SQN                                  0.048959
_strategy                                HiLo
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
3;2;14;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                   51.396648
Equity Final [$]               166773510.7509
Equity Peak [$]                491193268.6857
Return [%]                          66.773511
Buy & Hold Return [%]              -66.380829
Return (Ann.) [%]                   183.75314
Volatility (Ann.) [%]             3861.650302
Sharpe Ratio                         0.047584
Sortino Ratio                        1.303008
Calmar Ratio                         2.567115
Max. Drawdown [%]                  -71.579621
Avg. Drawdown [%]                  -25.539737
Max. Drawdown Duration      672 days 00:00:00
Avg. Drawdown Duration      155 days 00:00:00
# Trades                                   21
Win Rate [%]                        61.904762
Best Trade [%]                      67.648089
Worst Trade [%]                    -59.254581
Avg. Trade [%]                       2.465457
Max. Trade Duration          77 days 00:00:00
Avg. Trade Duration          28 days 00:00:00
Profit Factor                        1.814145
Expectancy [%]                       8.191849
SQN                                  0.157307
_strategy                                HiLo
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
4;2;15;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                   51.955307
Equity Final [$]               111936509.0911
Equity Peak [$]                329683409.0031
Return [%]                          11.936509
Buy & Hold Return [%]              -66.380829
Return (Ann.) [%]                   25.851563
Volatility (Ann.) [%]             1946.042953
Sharpe Ratio                         0.013284
Sortino Ratio                        0.173913
Calmar Ratio                         0.361158
Max. Drawdown [%]                   -71.57962
Avg. Drawdown [%]                  -27.399371
Max. Drawdown Duration      707 days 00:00:00
Avg. Drawdown Duration      184 days 00:00:00
# Trades                                   21
Win Rate [%]                        61.904762
Best Trade [%]                      67.648089
Worst Trade [%]                    -59.254581
Avg. Trade [%]                       0.538404
Max. Trade Duration          77 days 00:00:00
Avg. Trade Duration          29 days 00:00:00
Profit Factor                        1.657332
Expectancy [%]                       7.239811
SQN                                  0.036414
_strategy                                HiLo
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
5;2;53;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                   39.106145
Equity Final [$]               115995300.2906
Equity Peak [$]                 257426918.807
Return [%]                            15.9953
Buy & Hold Return [%]              -66.380829
Return (Ann.) [%]                   35.332094
Volatility (Ann.) [%]              1465.82124
Sharpe Ratio                         0.024104
Sortino Ratio                        0.271864
Calmar Ratio                         0.539659
Max. Drawdown [%]                  -65.471158
Avg. Drawdown [%]                  -40.304703
Max. Drawdown Duration      427 days 00:00:00
Avg. Drawdown Duration      188 days 00:00:00
# Trades                                   15
Win Rate [%]                        53.333333
Best Trade [%]                      67.648089
Worst Trade [%]                    -45.925743
Avg. Trade [%]                       0.994105
Max. Trade Duration          98 days 00:00:00
Avg. Trade Duration          30 days 00:00:00
Profit Factor                        1.575791
Expectancy [%]                        5.34958
SQN                                  0.083759
_strategy                                HiLo
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
6;2;54;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                   39.106145
Equity Final [$]               115995300.2906
Equity Peak [$]                 257426918.807
Return [%]                            15.9953
Buy & Hold Return [%]              -66.380829
Return (Ann.) [%]                   35.332094
Volatility (Ann.) [%]              1465.82124
Sharpe Ratio                         0.024104
Sortino Ratio                        0.271864
Calmar Ratio                         0.539659
Max. Drawdown [%]                  -65.471158
Avg. Drawdown [%]                  -40.304703
Max. Drawdown Duration      427 days 00:00:00
Avg. Drawdown Duration      188 days 00:00:00
# Trades                                   15
Win Rate [%]                        53.333333
Best Trade [%]                      67.648089
Worst Trade [%]                    -45.925743
Avg. Trade [%]                       0.994105
Max. Trade Duration          98 days 00:00:00
Avg. Trade Duration          30 days 00:00:00
Profit Factor                        1.575791
Expectancy [%]                        5.34958
SQN                                  0.083759
_strategy                                HiLo
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
7;2;55;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                   39.106145
Equity Final [$]               115995300.2906
Equity Peak [$]                 257426918.807
Return [%]                            15.9953
Buy & Hold Return [%]              -66.380829
Return (Ann.) [%]                   35.332094
Volatility (Ann.) [%]              1465.82124
Sharpe Ratio                         0.024104
Sortino Ratio                        0.271864
Calmar Ratio                         0.539659
Max. Drawdown [%]                  -65.471158
Avg. Drawdown [%]                  -40.304703
Max. Drawdown Duration      427 days 00:00:00
Avg. Drawdown Duration      188 days 00:00:00
# Trades                                   15
Win Rate [%]                        53.333333
Best Trade [%]                      67.648089
Worst Trade [%]                    -45.925743
Avg. Trade [%]                       0.994105
Max. Trade Duration          98 days 00:00:00
Avg. Trade Duration          30 days 00:00:00
Profit Factor                        1.575791
Expectancy [%]                        5.34958
SQN                                  0.083759
_strategy                                HiLo
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
8;2;56;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                   39.106145
Equity Final [$]               115995300.2906
Equity Peak [$]                 257426918.807
Return [%]                            15.9953
Buy & Hold Return [%]              -66.380829
Return (Ann.) [%]                   35.332094
Volatility (Ann.) [%]              1465.82124
Sharpe Ratio                         0.024104
Sortino Ratio                        0.271864
Calmar Ratio                         0.539659
Max. Drawdown [%]                  -65.471158
Avg. Drawdown [%]                  -40.304703
Max. Drawdown Duration      427 days 00:00:00
Avg. Drawdown Duration      188 days 00:00:00
# Trades                                   15
Win Rate [%]                        53.333333
Best Trade [%]                      67.648089
Worst Trade [%]                    -45.925743
Avg. Trade [%]                       0.994105
Max. Trade Duration          98 days 00:00:00
Avg. Trade Duration          30 days 00:00:00
Profit Factor                        1.575791
Expectancy [%]                        5.34958
SQN                                  0.083759
_strategy                                HiLo
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
9;2;57;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                   38.547486
Equity Final [$]               118260782.8097
Equity Peak [$]                262454676.4382
Return [%]                          18.260783
Buy & Hold Return [%]              -66.380829
Return (Ann.) [%]                   40.776453
Volatility (Ann.) [%]             1522.956901
Sharpe Ratio                         0.026775
Sortino Ratio                        0.313829
Calmar Ratio                         0.622816
Max. Drawdown [%]                  -65.471158
Avg. Drawdown [%]                  -40.098812
Max. Drawdown Duration      427 days 00:00:00
Avg. Drawdown Duration      188 days 00:00:00
# Trades                                   15
Win Rate [%]                        53.333333
Best Trade [%]                      67.648089
Worst Trade [%]                    -45.925743
Avg. Trade [%]                       1.124421
Max. Trade Duration          98 days 00:00:00
Avg. Trade Duration          30 days 00:00:00
Profit Factor                        1.591152
Expectancy [%]                       5.439271
SQN                                  0.094193
_strategy                                HiLo
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
