;sma1;sma2;output
0;1;9;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                     50.2793
Equity Final [$]                  1.16096e+08
Equity Peak [$]                   3.04319e+08
Return [%]                            16.0956
Buy & Hold Return [%]                -66.9245
Return (Ann.) [%]                     35.5708
Volatility (Ann.) [%]                 1903.46
Sharpe Ratio                        0.0186874
Sortino Ratio                        0.251931
Calmar Ratio                         0.570567
Max. Drawdown [%]                    -62.3429
Avg. Drawdown [%]                    -25.7146
Max. Drawdown Duration      707 days 00:00:00
Avg. Drawdown Duration      184 days 00:00:00
# Trades                                   14
Win Rate [%]                          35.7143
Best Trade [%]                        104.039
Worst Trade [%]                      -32.6457
Avg. Trade [%]                       0.978032
Max. Trade Duration         140 days 00:00:00
Avg. Trade Duration          38 days 00:00:00
Profit Factor                          1.6264
Expectancy [%]                        4.25908
SQN                                  0.127071
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
1;1;10;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                      47.486
Equity Final [$]                  1.29144e+08
Equity Peak [$]                   3.42948e+08
Return [%]                            29.1444
Buy & Hold Return [%]                -66.9245
Return (Ann.) [%]                     68.4591
Volatility (Ann.) [%]                 2368.47
Sharpe Ratio                        0.0289043
Sortino Ratio                        0.485556
Calmar Ratio                          1.09811
Max. Drawdown [%]                    -62.3429
Avg. Drawdown [%]                    -25.1116
Max. Drawdown Duration      707 days 00:00:00
Avg. Drawdown Duration      181 days 00:00:00
# Trades                                   12
Win Rate [%]                          33.3333
Best Trade [%]                        104.039
Worst Trade [%]                      -32.6457
Avg. Trade [%]                        2.15421
Max. Trade Duration         140 days 00:00:00
Avg. Trade Duration          43 days 00:00:00
Profit Factor                         1.83587
Expectancy [%]                         6.4749
SQN                                  0.226832
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
2;1;11;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                     45.8101
Equity Final [$]                  1.13474e+08
Equity Peak [$]                   3.99471e+08
Return [%]                            13.4741
Buy & Hold Return [%]                -66.9245
Return (Ann.) [%]                     29.4018
Volatility (Ann.) [%]                 1622.46
Sharpe Ratio                        0.0181217
Sortino Ratio                        0.209934
Calmar Ratio                         0.410675
Max. Drawdown [%]                    -71.5939
Avg. Drawdown [%]                    -25.7864
Max. Drawdown Duration      686 days 00:00:00
Avg. Drawdown Duration      153 days 00:00:00
# Trades                                   11
Win Rate [%]                          36.3636
Best Trade [%]                        104.039
Worst Trade [%]                      -32.6457
Avg. Trade [%]                        1.15576
Max. Trade Duration         140 days 00:00:00
Avg. Trade Duration          46 days 00:00:00
Profit Factor                         1.68807
Expectancy [%]                        6.32364
SQN                                 0.0884892
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
3;1;12;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                     46.3687
Equity Final [$]                  1.23486e+08
Equity Peak [$]                   4.34716e+08
Return [%]                            23.4858
Buy & Hold Return [%]                -66.9245
Return (Ann.) [%]                     53.7506
Volatility (Ann.) [%]                 1896.51
Sharpe Ratio                        0.0283418
Sortino Ratio                        0.386893
Calmar Ratio                          0.75077
Max. Drawdown [%]                    -71.5939
Avg. Drawdown [%]                    -25.2425
Max. Drawdown Duration      679 days 00:00:00
Avg. Drawdown Duration      149 days 00:00:00
# Trades                                   11
Win Rate [%]                          36.3636
Best Trade [%]                        104.039
Worst Trade [%]                      -32.6457
Avg. Trade [%]                        1.93629
Max. Trade Duration         140 days 00:00:00
Avg. Trade Duration          46 days 00:00:00
Profit Factor                         1.87102
Expectancy [%]                        6.93514
SQN                                  0.152841
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
4;1;13;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                     45.8101
Equity Final [$]                  1.07568e+08
Equity Peak [$]                   3.78679e+08
Return [%]                             7.5679
Buy & Hold Return [%]                -66.9245
Return (Ann.) [%]                     16.0391
Volatility (Ann.) [%]                 1458.54
Sharpe Ratio                        0.0109967
Sortino Ratio                        0.114542
Calmar Ratio                         0.224029
Max. Drawdown [%]                    -71.5939
Avg. Drawdown [%]                    -25.1866
Max. Drawdown Duration      707 days 00:00:00
Avg. Drawdown Duration      175 days 00:00:00
# Trades                                   11
Win Rate [%]                          27.2727
Best Trade [%]                        104.039
Worst Trade [%]                      -32.6457
Avg. Trade [%]                       0.665405
Max. Trade Duration         140 days 00:00:00
Avg. Trade Duration          46 days 00:00:00
Profit Factor                         1.69728
Expectancy [%]                        5.63739
SQN                                  0.051292
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
5;1;14;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                     46.3687
Equity Final [$]                  1.02636e+08
Equity Peak [$]                   3.78162e+08
Return [%]                            2.63617
Buy & Hold Return [%]                -66.9245
Return (Ann.) [%]                     5.44908
Volatility (Ann.) [%]                 1329.34
Sharpe Ratio                       0.00409909
Sortino Ratio                       0.0388926
Calmar Ratio                        0.0747892
Max. Drawdown [%]                    -72.8592
Avg. Drawdown [%]                     -30.253
Max. Drawdown Duration      707 days 00:00:00
Avg. Drawdown Duration      189 days 00:00:00
# Trades                                   12
Win Rate [%]                               25
Best Trade [%]                        101.478
Worst Trade [%]                      -32.6457
Avg. Trade [%]                       0.217071
Max. Trade Duration         133 days 00:00:00
Avg. Trade Duration          42 days 00:00:00
Profit Factor                         1.60745
Expectancy [%]                        4.67283
SQN                                 0.0181331
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
6;2;8;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                     49.7207
Equity Final [$]                  1.03886e+08
Equity Peak [$]                    2.3498e+08
Return [%]                            3.88601
Buy & Hold Return [%]                -66.9245
Return (Ann.) [%]                     8.08405
Volatility (Ann.) [%]                 1389.08
Sharpe Ratio                       0.00581974
Sortino Ratio                       0.0563372
Calmar Ratio                         0.110976
Max. Drawdown [%]                    -72.8454
Avg. Drawdown [%]                    -20.8008
Max. Drawdown Duration      882 days 00:00:00
Avg. Drawdown Duration      220 days 00:00:00
# Trades                                   13
Win Rate [%]                          46.1538
Best Trade [%]                        104.039
Worst Trade [%]                      -31.8174
Avg. Trade [%]                       0.193569
Max. Trade Duration         140 days 00:00:00
Avg. Trade Duration          41 days 00:00:00
Profit Factor                         1.50862
Expectancy [%]                        3.86691
SQN                                  0.021489
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
7;2;9;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                     50.2793
Equity Final [$]                   1.3493e+08
Equity Peak [$]                   2.47316e+08
Return [%]                            34.9296
Buy & Hold Return [%]                -66.9245
Return (Ann.) [%]                     84.2054
Volatility (Ann.) [%]                 3145.26
Sharpe Ratio                        0.0267721
Sortino Ratio                        0.581076
Calmar Ratio                          1.15678
Max. Drawdown [%]                     -72.793
Avg. Drawdown [%]                    -19.9997
Max. Drawdown Duration      882 days 00:00:00
Avg. Drawdown Duration      217 days 00:00:00
# Trades                                   12
Win Rate [%]                          33.3333
Best Trade [%]                        108.718
Worst Trade [%]                      -32.6457
Avg. Trade [%]                        2.52795
Max. Trade Duration         147 days 00:00:00
Avg. Trade Duration          46 days 00:00:00
Profit Factor                         1.94159
Expectancy [%]                        8.23967
SQN                                  0.252418
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
8;2;15;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                     45.2514
Equity Final [$]                  1.15436e+08
Equity Peak [$]                   3.22881e+08
Return [%]                            15.4356
Buy & Hold Return [%]                -66.9245
Return (Ann.) [%]                     34.0039
Volatility (Ann.) [%]                  1918.1
Sharpe Ratio                        0.0177279
Sortino Ratio                        0.240767
Calmar Ratio                         0.525485
Max. Drawdown [%]                    -64.7095
Avg. Drawdown [%]                    -28.7822
Max. Drawdown Duration      686 days 00:00:00
Avg. Drawdown Duration      158 days 00:00:00
# Trades                                   10
Win Rate [%]                               30
Best Trade [%]                        106.017
Worst Trade [%]                      -28.9655
Avg. Trade [%]                        1.31414
Max. Trade Duration         133 days 00:00:00
Avg. Trade Duration          50 days 00:00:00
Profit Factor                         1.73069
Expectancy [%]                        7.56725
SQN                                 0.0961166
_strategy                            SmaCross
_equity_curve                             ...
_trades                          Size  Ent...
dtype: object"
9;2;19;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                     40.7821
Equity Final [$]                  1.08865e+08
Equity Peak [$]                   2.99304e+08
Return [%]                            8.86486
Buy & Hold Return [%]                -66.9245
Return (Ann.) [%]                     18.9099
Volatility (Ann.) [%]                 1508.55
Sharpe Ratio                        0.0125352
Sortino Ratio                        0.136569
Calmar Ratio                         0.296163
Max. Drawdown [%]                    -63.8497
Avg. Drawdown [%]                    -35.7896
Max. Drawdown Duration      707 days 00:00:00
Avg. Drawdown Duration      233 days 00:00:00
# Trades                                   10
Win Rate [%]                               30
Best Trade [%]                        106.017
Worst Trade [%]                       -22.021
Avg. Trade [%]                       0.852989
Max. Trade Duration         133 days 00:00:00
Avg. Trade Duration          45 days 00:00:00
Profit Factor                         1.65545
Expectancy [%]                        4.99034
SQN                                 0.0836046
_strategy                            SmaCross
_equity_curve                             ...
_trades                          Size  Ent...
dtype: object"
